,datetime,open,high,low,close,volume
0,2023-04-19,2.64000,2.91000,2.50000,2.66000,2058500
1,2023-04-18,2.45000,3.24000,2.37000,2.92000,6644800
2,2023-04-17,2.80500,2.83000,2.25000,2.45000,2672900
3,2023-04-14,2.48000,3.07900,2.37000,2.87000,13766700
4,2023-04-13,2.10000,2.26000,2.01000,2.18000,1454900
5,2023-04-12,2.22000,2.29000,2.11000,2.16000,1787500
6,2023-04-11,2.19000,2.49000,2.04000,2.11000,11478700
7,2023-04-10,1.72000,1.84000,1.65000,1.77000,2640600
8,2023-04-06,1.90000,2.05000,1.72100,1.85000,2064800
9,2023-04-05,1.96000,2.08000,1.66000,1.92000,2328400
10,2023-04-04,2.59000,2.60000,2.00000,2.08000,6138600
11,2023-04-03,2.73000,10.64000,2.65000,6.51000,10208900
12,2023-03-31,2.65000,3.42000,2.56000,2.71500,368900
13,2023-03-30,3.77000,3.90000,3.43000,3.63000,62800
14,2023-03-29,4.75000,5.55000,3.68000,3.73000,261700
15,2023-03-28,7.20000,7.40000,4.32000,4.90000,46815
16,2023-03-27,9.76000,9.76000,7.66000,7.72000,9425
17,2023-03-24,7.70000,10.60000,7.28000,10.10000,64975
18,2023-03-23,7.64000,9.32000,7.20000,7.94000,32080
19,2023-03-22,7.40000,7.56000,7.02000,7.28000,4745
20,2023-03-21,7.20000,7.56000,7.00000,7.24000,5745
21,2023-03-20,7.10000,7.62000,6.76000,6.84000,10945
22,2023-03-17,7.00000,7.26000,6.68000,6.70000,10230
23,2023-03-16,7.60000,7.62000,6.82000,7.10000,3495
24,2023-03-15,7.00000,7.46000,6.60000,7.14000,2870
25,2023-03-14,8.40000,8.40000,7.26000,7.56000,2975
26,2023-03-13,8.10000,9.00000,7.86000,8.00000,1805
27,2023-03-10,8.44000,8.70000,7.90000,8.20000,6085
28,2023-03-09,8.20000,8.50000,8.20000,8.20000,2640
29,2023-03-08,9.40000,9.42000,8.22000,8.36000,7005
30,2023-03-07,9.60000,9.60000,9.02000,9.06000,2590
31,2023-03-06,8.82000,9.46000,8.68000,9.34000,8360
32,2023-03-03,9.80000,10.12000,8.60000,8.78000,13245
33,2023-03-02,9.92000,10.60000,9.60000,10.00000,6320
34,2023-03-01,11.66000,11.66000,10.02000,10.22000,12890
35,2023-02-28,12.20000,12.42000,11.34000,11.80000,4265
36,2023-02-27,12.70000,13.38000,11.10000,12.50000,24220
37,2023-02-24,12.84000,13.50000,12.62000,13.20000,5540
38,2023-02-23,13.80000,14.00000,12.76000,12.76000,10770
39,2023-02-22,13.60000,15.00000,13.44000,14.50000,22950
40,2023-02-21,12.60000,14.36000,12.22000,14.36000,61795
41,2023-02-17,15.34000,15.72000,13.00000,14.62000,435175
42,2023-02-16,12.44000,13.06000,12.00000,12.22000,80750
43,2023-02-15,13.56000,13.68000,13.00000,13.00000,945
44,2023-02-14,13.80000,14.34000,12.20000,13.00000,6335
45,2023-02-13,15.32000,15.80000,13.40000,13.80000,7345
46,2023-02-10,15.52000,16.80000,15.40000,15.80000,3800
47,2023-02-09,15.44000,17.40000,15.32000,15.80000,14865
48,2023-02-08,15.24000,15.60000,14.80000,15.60000,2955
49,2023-02-07,15.60000,16.28000,15.30000,15.42000,3340
50,2023-02-06,16.40000,16.40000,14.42000,15.40000,5240
51,2023-02-03,14.40000,15.40000,14.40000,14.94000,1690
52,2023-02-02,13.96000,16.60000,13.80000,15.10000,15940
53,2023-02-01,14.00000,14.46000,13.24000,14.40000,3840
54,2023-01-31,14.36000,15.00000,13.38000,14.22000,1375
55,2023-01-30,14.82000,15.20000,12.20000,14.38000,7015
56,2023-01-27,15.00000,15.30000,14.40000,14.40000,8300
57,2023-01-26,15.40000,17.00000,14.50000,15.28000,12430
58,2023-01-25,15.10000,16.64000,14.40000,16.00000,5585
59,2023-01-24,15.38000,16.20000,14.22000,15.80000,6405
60,2023-01-23,15.44000,15.80000,14.00000,14.58000,7200
61,2023-01-20,15.12000,16.00000,14.20000,15.92000,13350
62,2023-01-19,16.54000,17.76000,14.80000,16.00000,152625
63,2023-01-18,14.86000,17.00000,14.00000,16.00000,8710
64,2023-01-17,16.34000,16.34000,14.80000,15.76000,745
65,2023-01-13,15.50000,16.00000,14.60000,15.70000,1220
