,datetime,open,high,low,close,volume
0,2023-04-19,0.04700,0.04700,0.04700,0.04700,0
1,2023-04-18,0.04700,0.04700,0.04700,0.04700,0
2,2023-04-17,0.04700,0.04700,0.04700,0.04700,0
3,2023-04-14,0.04700,0.04700,0.04700,0.04700,0
4,2023-04-13,0.04700,0.04700,0.04700,0.04700,0
5,2023-04-12,0.04700,0.04700,0.04700,0.04700,0
6,2023-04-11,0.04700,0.04700,0.04700,0.04700,0
7,2023-04-10,0.04700,0.04700,0.04700,0.04700,700
8,2023-04-06,0.07800,0.07800,0.07800,0.07800,0
9,2023-04-05,0.04700,0.07800,0.04700,0.07800,400
10,2023-04-04,0.04700,0.04700,0.04700,0.04700,0
11,2023-04-03,0.04700,0.04700,0.04700,0.04700,0
12,2023-03-31,0.04700,0.04700,0.04700,0.04700,0
13,2023-03-30,0.05000,0.08000,0.04700,0.04700,7200
14,2023-03-29,0.05100,0.05100,0.05100,0.05100,0
15,2023-03-28,0.05100,0.05100,0.05100,0.05100,0
16,2023-03-27,0.05100,0.05100,0.05100,0.05100,0
17,2023-03-24,0.05100,0.05100,0.05100,0.05100,0
18,2023-03-23,0.05100,0.05100,0.05100,0.05100,0
19,2023-03-22,0.10000,0.10000,0.05000,0.05110,33202
20,2023-03-21,0.06000,0.06000,0.06000,0.06000,0
21,2023-03-20,0.06000,0.06000,0.06000,0.06000,0
22,2023-03-17,0.06000,0.06000,0.06000,0.06000,4200
23,2023-03-16,0.06000,0.06000,0.06000,0.06000,0
24,2023-03-15,0.06000,0.06000,0.06000,0.06000,800
25,2023-03-14,0.07000,0.07000,0.07000,0.07000,0
26,2023-03-13,0.07000,0.07000,0.07000,0.07000,1000
27,2023-03-10,0.13000,0.13000,0.13000,0.13000,100
28,2023-03-09,0.06400,0.06400,0.06100,0.06400,3000
29,2023-03-08,0.06500,0.06500,0.06500,0.06500,100
30,2023-03-07,0.10400,0.12000,0.06400,0.06500,3200
31,2023-03-06,0.06500,0.12000,0.06400,0.12000,6200
32,2023-03-03,0.07200,0.07200,0.07200,0.07200,300
33,2023-03-02,0.07200,0.07200,0.07200,0.07200,1700
34,2023-03-01,0.07000,0.19000,0.06400,0.07700,90900
35,2023-02-28,0.03200,0.03200,0.03200,0.03200,200
36,2023-02-27,0.05000,0.07000,0.03100,0.07000,3000
37,2023-02-24,0.07000,0.07000,0.07000,0.07000,0
38,2023-02-23,0.07000,0.07000,0.07000,0.07000,200
39,2023-02-22,0.02300,0.07500,0.02100,0.07500,4000
40,2023-02-16,0.07000,0.08000,0.07000,0.08000,12800
41,2023-02-15,0.07800,0.08000,0.07500,0.08000,2400
42,2023-02-10,0.08000,0.08000,0.07800,0.07800,1000
43,2023-02-09,0.08000,0.08000,0.08000,0.08000,6000
44,2023-02-08,0.07000,0.08000,0.07000,0.07000,14300
45,2023-02-03,0.07000,0.07000,0.07000,0.07000,3000
46,2023-02-02,0.07000,0.07900,0.06000,0.06000,25700
47,2023-01-31,0.07000,0.07000,0.07000,0.07000,6800
48,2023-01-30,0.07000,0.07000,0.07000,0.07000,1400
49,2023-01-24,0.02500,0.07000,0.02500,0.07000,8900
50,2023-01-19,0.07000,0.07000,0.07000,0.07000,1300
51,2023-01-18,0.07000,0.07000,0.07000,0.07000,1200
52,2023-01-12,0.07000,0.07000,0.07000,0.07000,14100
53,2023-01-11,0.05200,0.08000,0.03000,0.07000,13200
54,2023-01-10,0.04000,0.04000,0.04000,0.04000,5200
55,2023-01-06,0.07000,0.07000,0.07000,0.07000,15000
56,2023-01-05,0.06000,0.08000,0.06000,0.08000,2600
57,2022-12-29,0.05800,0.06800,0.01500,0.05500,9900
58,2022-12-28,0.03600,0.03600,0.03600,0.03600,100
59,2022-12-27,0.06000,0.06000,0.04000,0.04000,2900
60,2022-12-22,0.08000,0.08500,0.06800,0.07500,57600
61,2022-12-19,0.06200,0.06200,0.06200,0.06200,100
62,2022-12-16,0.08000,0.09000,0.07000,0.08800,34600
63,2022-12-15,0.09400,0.09500,0.08000,0.09400,5800
64,2022-12-09,0.08000,0.10000,0.08000,0.08700,10800
65,2022-12-07,0.10000,0.10000,0.10000,0.10000,10800
66,2022-12-02,0.07000,0.07000,0.07000,0.07000,300
67,2022-12-01,0.10000,0.10000,0.07900,0.10000,22100
68,2022-11-29,0.10000,0.10000,0.10000,0.10000,2000
69,2022-11-28,0.10000,0.10000,0.10000,0.10000,10000
70,2022-11-25,0.10000,0.10000,0.09500,0.10000,19200
71,2022-11-22,0.10000,0.10000,0.10000,0.10000,14800
72,2022-11-18,0.09100,0.09100,0.09100,0.09100,100
73,2022-11-17,0.09100,0.09100,0.09100,0.09100,500
74,2022-11-11,0.10000,0.13500,0.09500,0.11100,57300
75,2022-11-09,0.11000,0.11000,0.11000,0.11000,100
76,2022-11-08,0.13900,0.14000,0.11000,0.11000,2500
77,2022-11-07,0.10000,0.10000,0.10000,0.10000,900
78,2022-11-02,0.15000,0.15000,0.10000,0.10000,600
79,2022-10-27,0.10000,0.10300,0.10000,0.10300,2500
80,2022-10-26,0.13000,0.13000,0.10000,0.10000,2200
81,2022-10-25,0.15000,0.15000,0.15000,0.15000,2000
82,2022-10-24,0.13000,0.13000,0.13000,0.13000,200
83,2022-10-20,0.13000,0.13000,0.13000,0.13000,1000
84,2022-10-13,0.15000,0.15000,0.15000,0.15000,100
85,2022-10-07,0.15000,0.15000,0.15000,0.15000,100
86,2022-10-06,0.14400,0.14400,0.14400,0.14400,200
87,2022-10-05,0.12000,0.15600,0.12000,0.15600,1400
88,2022-09-29,0.21000,0.21000,0.21000,0.21000,100
89,2022-09-26,0.22500,0.22500,0.22500,0.22500,1000
90,2022-09-23,0.22500,0.22500,0.22500,0.22500,700
91,2022-09-20,0.17000,0.17000,0.17000,0.17000,200
92,2022-09-19,0.21000,0.23000,0.21000,0.22000,9500
93,2022-09-16,0.21000,0.21000,0.21000,0.21000,300
94,2022-09-13,0.15000,0.15000,0.15000,0.15000,200
95,2022-09-08,0.13000,0.13000,0.13000,0.13000,2000
96,2022-09-07,0.21000,0.21000,0.14000,0.14000,12300
97,2022-09-02,0.17500,0.17500,0.17500,0.17500,100
98,2022-09-01,0.13000,0.13000,0.13000,0.13000,100
99,2022-08-31,0.18000,0.21000,0.17000,0.21000,33100
100,2022-08-29,0.18000,0.18000,0.17900,0.17900,1900
101,2022-08-25,0.18000,0.18000,0.18000,0.18000,1000
102,2022-08-22,0.18900,0.18900,0.18900,0.18900,200
103,2022-08-19,0.12000,0.12000,0.12000,0.12000,500
104,2022-08-18,0.12000,0.12000,0.12000,0.12000,1600
105,2022-08-16,0.12000,0.12000,0.12000,0.12000,200
106,2022-08-15,0.12000,0.12000,0.12000,0.12000,700
107,2022-08-12,0.14500,0.17600,0.10100,0.10500,5700
108,2022-08-11,0.11000,0.11000,0.11000,0.11000,500
109,2022-08-09,0.11900,0.11900,0.11900,0.11900,3900
110,2022-08-08,0.13200,0.13200,0.13200,0.13200,1300
111,2022-08-05,0.10500,0.16300,0.10500,0.12000,3000
112,2022-08-04,0.10200,0.11000,0.10200,0.10500,6900
113,2022-08-03,0.19000,0.19000,0.14600,0.19000,1400
114,2022-07-29,0.21000,0.21000,0.09000,0.20000,40400
115,2022-07-25,0.17000,0.17000,0.16000,0.16000,400
116,2022-07-22,0.22000,0.23000,0.22000,0.22000,2000
117,2022-07-21,0.14000,0.14000,0.14000,0.14000,1800
118,2022-07-20,0.13500,0.13500,0.13500,0.13500,1100
119,2022-07-19,0.13500,0.17600,0.13500,0.13500,1800
120,2022-07-18,0.13000,0.13000,0.13000,0.13000,1100
121,2022-07-15,0.19000,0.19000,0.19000,0.19000,4000
122,2022-07-14,0.19000,0.19000,0.19000,0.19000,1000
123,2022-07-12,0.19000,0.19000,0.19000,0.19000,100
124,2022-07-11,0.19000,0.19000,0.19000,0.19000,100
125,2022-07-08,0.19000,0.19000,0.19000,0.19000,600
126,2022-07-06,167.00000,168.00000,167.00000,168.00000,0
127,2022-07-05,164.00000,167.00000,162.00000,167.00000,0
128,2022-07-04,163.00000,163.00000,161.00000,163.00000,0
129,2022-07-01,163.00000,166.00000,162.00000,164.00000,0
130,2022-06-30,0.13500,0.13500,0.13500,0.13500,200
131,2022-06-30,165.00000,166.00000,162.00000,165.00000,0
132,2022-06-29,170.00000,170.00000,165.00000,165.00000,75
