,datetime,open,high,low,close,volume
0,2023-04-19,58.88000,59.21000,58.75000,59.04000,132700
1,2023-04-18,59.14000,59.57000,58.29000,58.74000,223200
2,2023-04-17,58.54000,59.36000,58.39000,59.11000,242300
3,2023-04-14,59.50000,59.50000,58.12000,58.59000,361800
4,2023-04-13,60.10000,60.10000,58.58000,59.61000,387300
5,2023-04-12,60.88000,60.94000,60.01000,60.16000,285400
6,2023-04-11,60.97000,61.06000,60.12000,60.52000,312100
7,2023-04-10,61.24000,61.24000,59.98000,60.83000,372400
8,2023-04-06,60.26000,61.16000,60.16000,61.07000,352600
9,2023-04-05,58.72000,60.66000,58.71000,59.99000,550800
10,2023-04-04,57.36000,58.70000,57.15000,58.50000,530900
11,2023-04-03,57.62000,57.95000,57.06000,57.39000,298200
12,2023-03-31,57.63000,57.94000,57.20000,57.86000,370800
13,2023-03-30,57.16000,57.88000,56.52000,57.42000,257800
14,2023-03-29,56.74000,57.12000,56.19000,57.05000,345700
15,2023-03-28,55.57000,56.56000,55.57000,56.42000,352100
16,2023-03-27,55.54000,56.17000,55.00000,55.83000,341300
17,2023-03-24,53.52000,55.17000,53.44000,55.17000,359300
18,2023-03-23,54.72000,54.93000,53.39000,53.50000,543500
19,2023-03-22,55.86000,56.05000,54.86000,54.90000,352300
20,2023-03-21,57.47000,57.50000,55.31000,56.01000,337000
21,2023-03-20,56.59000,57.75000,56.44000,57.24000,373135
22,2023-03-17,56.87000,57.24000,56.16500,56.45000,843576
23,2023-03-16,56.28000,57.41000,56.01000,57.20000,315292
24,2023-03-15,55.91000,57.04000,55.91000,56.70000,380707
25,2023-03-14,56.24000,57.48000,56.03000,56.52000,483778
26,2023-03-13,55.64000,57.36000,55.54000,56.16000,424532
27,2023-03-10,56.37000,56.54790,55.60000,55.84000,396719
28,2023-03-09,57.38000,57.56000,56.42000,56.49000,206715
29,2023-03-08,56.85000,57.28000,56.56000,57.26000,258531
30,2023-03-07,57.73000,57.98000,56.56000,56.63000,272595
31,2023-03-06,57.81000,58.01000,57.17000,57.64000,324060
32,2023-03-03,57.76000,57.93000,57.11400,57.70000,310378
33,2023-03-02,56.83000,57.73000,56.50000,57.42000,292385
34,2023-03-01,57.29000,57.39000,56.18000,56.83000,402229
35,2023-02-28,57.68000,58.80000,57.46000,57.78000,684122
36,2023-02-27,57.98000,58.69000,57.85000,57.90000,388683
37,2023-02-24,57.40000,57.98000,56.95000,57.73000,302631
38,2023-02-23,57.95000,58.14000,57.54500,57.64000,297291
39,2023-02-22,58.28000,58.74000,57.74100,57.81000,321589
40,2023-02-21,57.89000,58.42000,57.57500,58.09000,331843
41,2023-02-17,58.98000,58.99000,57.09000,58.48000,492190
42,2023-02-16,56.35000,57.42000,56.18000,56.92000,427515
43,2023-02-15,55.94000,56.89000,55.94000,56.85000,343146
44,2023-02-14,56.66000,56.91000,56.12000,56.41000,384964
45,2023-02-13,56.47000,57.22000,56.47000,56.87000,236427
46,2023-02-10,55.51000,56.73000,55.35000,56.51000,466935
47,2023-02-09,56.58000,56.94000,54.91000,55.13000,398453
48,2023-02-08,56.86000,57.14000,56.25000,56.51000,429395
49,2023-02-07,56.88000,57.55000,56.69000,57.32000,296052
50,2023-02-06,57.51000,57.87500,56.94000,57.26000,330088
51,2023-02-03,58.50000,58.55000,56.41000,57.63000,425211
52,2023-02-02,57.43000,58.83000,57.30000,58.82000,338508
53,2023-02-01,56.56000,58.08000,56.28500,57.54000,416703
54,2023-01-31,56.20000,56.83000,55.62000,56.80000,1352324
55,2023-01-30,56.54000,56.85000,55.82000,55.92000,264208
56,2023-01-27,56.80000,56.83500,56.20000,56.73000,313733
57,2023-01-26,56.02000,56.71000,55.82000,56.65000,314740
58,2023-01-25,56.62000,56.90000,55.60500,56.17000,383092
59,2023-01-24,55.79000,57.21000,55.56000,56.80000,402709
60,2023-01-23,54.83000,56.00000,54.53000,55.70000,549171
61,2023-01-20,55.94000,55.94000,54.31000,55.66000,714325
62,2023-01-19,56.30000,56.38000,55.02000,55.76000,547477
63,2023-01-18,58.10000,58.10000,56.46000,56.48000,364012
64,2023-01-17,58.91000,59.11000,58.04000,58.06000,384227
65,2023-01-13,58.82000,58.89000,58.40500,58.60000,198101
66,2023-01-12,58.87000,59.33000,58.61500,59.07000,224237
67,2023-01-11,58.29000,58.86500,58.21000,58.66000,298936
68,2023-01-10,58.38000,58.46000,57.67000,58.21000,298333
69,2023-01-09,59.10000,59.15000,58.20000,58.58000,370033
70,2023-01-06,58.97000,59.52500,58.72000,59.25000,294784
71,2023-01-05,59.35000,59.35000,58.17000,58.42000,214253
72,2023-01-04,59.93000,60.51900,59.15000,59.38000,352247
73,2023-01-03,58.89000,59.82500,58.52000,59.79000,267722
74,2022-12-30,59.60000,59.77000,58.81000,59.34000,392962
75,2022-12-29,58.81000,60.10000,58.81000,59.83000,331932
76,2022-12-28,59.37000,59.59000,58.82000,59.10000,325091
77,2022-12-27,58.49000,59.25500,58.49000,59.21000,140333
78,2022-12-23,57.85000,58.55000,57.73000,58.49000,188170
79,2022-12-22,57.47000,57.91000,56.65000,57.84000,289805
80,2022-12-21,56.98000,57.61000,56.98000,57.58000,369893
81,2022-12-20,56.79000,57.13000,56.56000,56.73000,512564
82,2022-12-19,56.97000,57.33000,56.45000,56.81000,397292
83,2022-12-16,56.53000,57.03000,55.85000,56.71000,1093504
84,2022-12-15,57.76000,57.93000,56.57000,56.86000,306933
85,2022-12-14,58.44000,58.91000,57.52000,57.95000,321539
86,2022-12-13,59.21000,59.69000,58.28000,58.51000,456347
