,datetime,open,high,low,close,volume
0,2023-04-19,1.34000,1.41000,1.30000,1.34000,9700
1,2023-04-18,1.34000,1.52900,1.34000,1.38000,7600
2,2023-04-17,1.48000,1.66000,1.33000,1.38000,6000
3,2023-04-14,1.42000,1.47000,1.35000,1.35000,51900
4,2023-04-13,1.39000,1.48000,1.39000,1.41000,13700
5,2023-04-12,1.47000,1.53000,1.40000,1.40000,7000
6,2023-04-11,1.49000,1.53500,1.44000,1.45000,15700
7,2023-04-10,1.53000,1.55000,1.44000,1.47000,15600
8,2023-04-06,1.52000,1.55100,1.44000,1.46000,9700
9,2023-04-05,1.51000,1.57000,1.51000,1.55000,18400
10,2023-04-04,1.57200,1.60000,1.50000,1.51000,19300
11,2023-04-03,1.59000,1.75000,1.54000,1.58000,7000
12,2023-03-31,1.60000,1.76000,1.54000,1.60000,4500
13,2023-03-30,1.75000,1.75000,1.62400,1.62400,25000
14,2023-03-29,1.85000,1.85000,1.70000,1.77000,13500
15,2023-03-28,1.70000,1.79500,1.69000,1.78000,26000
16,2023-03-27,1.70000,1.70000,1.63000,1.68100,15300
17,2023-03-24,1.68000,1.69900,1.61000,1.62800,7800
18,2023-03-23,1.65600,1.70000,1.60000,1.65000,6800
19,2023-03-22,1.58500,1.60700,1.55000,1.60000,15800
20,2023-03-21,1.53000,1.61000,1.53000,1.58000,2700
21,2023-03-20,1.59600,1.60600,1.56000,1.56000,2300
22,2023-03-17,1.56000,1.57300,1.46000,1.56000,5700
23,2023-03-16,1.57500,1.57500,1.48000,1.48000,6900
24,2023-03-15,1.62700,1.62700,1.56300,1.57000,7500
25,2023-03-14,1.57000,1.62000,1.56300,1.58000,5100
26,2023-03-13,1.57000,1.57000,1.49000,1.55000,26500
27,2023-03-10,1.72000,1.72000,1.56000,1.57000,12800
28,2023-03-09,1.76000,1.77000,1.72000,1.72000,27800
29,2023-03-08,1.66000,1.78000,1.66000,1.75000,7300
30,2023-03-07,1.77000,1.81000,1.75000,1.81000,4900
31,2023-03-06,1.68000,1.76000,1.68000,1.76000,17600
32,2023-03-03,1.80000,1.80000,1.71000,1.77000,7500
33,2023-03-02,1.73000,1.73000,1.68000,1.73000,2700
34,2023-03-01,1.48000,1.65000,1.46600,1.65000,24700
35,2023-02-28,1.60500,1.60500,1.50000,1.50000,34100
36,2023-02-27,1.70000,1.75000,1.57000,1.61000,10800
37,2023-02-24,1.74500,1.77000,1.63000,1.66000,55200
38,2023-02-23,1.79000,1.79000,1.61000,1.65000,47900
39,2023-02-22,1.84000,1.84000,1.80000,1.80000,28100
40,2023-02-21,1.86000,1.88500,1.80500,1.84000,30500
41,2023-02-17,1.86000,1.88700,1.83000,1.85600,14600
42,2023-02-16,1.89000,1.89000,1.89000,1.89000,3000
43,2023-02-15,1.86000,1.92000,1.86000,1.89000,11100
44,2023-02-14,1.87000,1.87000,1.85000,1.86000,11600
45,2023-02-13,1.89400,1.91000,1.86000,1.91000,8200
46,2023-02-10,1.87000,1.87000,1.85000,1.85100,1400
47,2023-02-09,1.93700,1.94200,1.93700,1.94200,2400
48,2023-02-08,1.95000,1.96000,1.87500,1.96000,13400
49,2023-02-07,1.85000,1.94100,1.85000,1.93000,16200
50,2023-02-06,2.03000,2.03000,1.86000,1.92500,12700
51,2023-02-03,1.99000,1.99000,1.86000,1.93000,13400
52,2023-02-02,1.99100,1.99100,1.93000,1.98000,42500
53,2023-02-01,1.97000,2.04000,1.96000,1.97000,34300
54,2023-01-31,1.89000,2.00000,1.89000,1.98000,14400
55,2023-01-30,1.96000,2.00000,1.88000,1.95000,28700
56,2023-01-27,1.90000,2.00700,1.82000,1.87000,22100
57,2023-01-26,1.90000,2.04000,1.90000,1.95000,34200
58,2023-01-25,1.96000,1.96000,1.85000,1.90000,9100
59,2023-01-24,1.92000,1.92000,1.84000,1.87000,13900
60,2023-01-23,2.03000,2.05000,1.83000,1.89000,18900
61,2023-01-20,1.95000,2.07000,1.89000,1.90000,28000
62,2023-01-19,1.85000,1.95000,1.78100,1.86000,25400
63,2023-01-18,1.99000,2.11000,1.85000,1.85000,57800
64,2023-01-17,1.94000,2.08000,1.91000,1.92000,42700
65,2023-01-13,2.01000,2.07000,1.90000,1.98000,54400
66,2023-01-12,1.97700,2.05000,1.90000,2.00000,46700
67,2023-01-11,1.86000,2.04000,1.85000,2.02000,100300
68,2023-01-10,1.80000,1.87500,1.78000,1.82000,53400
