,datetime,open,high,low,close,volume
0,2023-04-19,3.78000,3.99500,3.77000,3.95000,173400
1,2023-04-18,3.97000,4.01000,3.80000,3.85500,138800
2,2023-04-17,3.84000,4.03000,3.75000,3.98000,543600
3,2023-04-14,3.88000,3.94100,3.73000,3.84000,261800
4,2023-04-13,4.04000,4.11500,3.85000,3.87000,483300
5,2023-04-12,4.03000,4.18500,3.98000,4.00000,343300
6,2023-04-11,3.76000,4.04000,3.76000,3.97000,316500
7,2023-04-10,3.50000,3.84000,3.47500,3.76000,313200
8,2023-04-06,3.48000,3.63000,3.44500,3.55000,206400
9,2023-04-05,3.60000,3.62000,3.45000,3.50000,337500
10,2023-04-04,3.86000,3.86000,3.60300,3.63000,498800
11,2023-04-03,3.90000,4.07000,3.77500,3.86000,342600
12,2023-03-31,3.97000,4.05000,3.78500,3.86000,482400
13,2023-03-30,4.31000,4.35000,3.88000,3.92000,499400
14,2023-03-29,4.01000,4.32000,3.96000,4.22500,573800
15,2023-03-28,3.75000,3.98000,3.75000,3.92000,407400
16,2023-03-27,3.78000,3.98000,3.66000,3.76000,318100
17,2023-03-24,3.65000,3.73000,3.54000,3.65000,319800
18,2023-03-23,3.64000,3.82000,3.51800,3.75000,524900
19,2023-03-22,3.88000,3.92000,3.56500,3.60000,877300
20,2023-03-21,3.64000,4.12000,3.63200,3.84000,1123700
21,2023-03-20,3.75000,3.75000,3.30000,3.39000,1453200
22,2023-03-17,2.82000,3.66000,2.75000,3.64000,2550100
23,2023-03-16,2.37000,3.00500,2.25000,2.84000,2173700
24,2023-03-15,2.66000,2.66000,2.19000,2.45000,1496100
25,2023-03-14,3.55000,3.55000,2.71000,2.74000,3052000
26,2023-03-13,4.23000,4.44000,4.00000,4.19000,839500
27,2023-03-10,4.91000,4.99000,4.12000,4.32000,1124600
28,2023-03-09,5.13000,5.29000,5.00000,5.02000,367100
29,2023-03-08,5.34000,5.34000,4.99000,5.11000,1448200
30,2023-03-07,5.61000,5.66000,5.28000,5.31000,327500
31,2023-03-06,6.00000,6.02000,5.53000,5.60000,482800
32,2023-03-03,6.13000,6.17000,5.98000,6.00000,163100
33,2023-03-02,6.09000,6.09000,5.82000,6.00000,101700
34,2023-03-01,5.98000,6.14000,5.92000,6.02000,132600
35,2023-02-28,5.87000,6.20300,5.78000,6.04000,144400
36,2023-02-27,6.07000,6.13000,5.88000,5.92000,162500
37,2023-02-24,5.99000,6.05500,5.76000,5.90000,141800
38,2023-02-23,6.28000,6.56000,6.12000,6.15000,88000
39,2023-02-22,6.43000,6.43000,6.09000,6.18000,200100
40,2023-02-21,6.67000,6.81800,6.33000,6.41000,165400
41,2023-02-17,6.94000,6.94000,6.69000,6.75000,103700
42,2023-02-16,6.90000,7.14000,6.78000,6.89000,71200
43,2023-02-15,6.79000,7.10000,6.71000,7.08000,62200
44,2023-02-14,6.66000,6.94000,6.47000,6.90000,175200
45,2023-02-13,6.65000,6.82500,6.55000,6.72000,159100
46,2023-02-10,7.18000,7.18000,6.40000,6.72000,340600
47,2023-02-09,7.78000,7.83000,7.30000,7.35000,89800
48,2023-02-08,7.72000,7.93000,7.62000,7.66000,59000
49,2023-02-07,7.35000,7.87000,7.22000,7.83000,186600
50,2023-02-06,7.59000,7.59000,7.35000,7.37000,125500
51,2023-02-03,7.73000,7.92000,7.50500,7.65000,133600
52,2023-02-02,7.49000,8.06000,7.25600,7.76000,214600
53,2023-02-01,6.94000,7.48000,6.92000,7.35000,340600
54,2023-01-31,6.73000,7.22000,6.70000,7.01000,243900
55,2023-01-30,6.45000,6.84000,6.43000,6.74000,258600
56,2023-01-27,6.48000,6.55000,6.27000,6.48000,178200
57,2023-01-26,6.23000,6.53000,6.16000,6.51000,175200
58,2023-01-25,5.80000,6.15500,5.73000,6.11000,256800
59,2023-01-24,6.13000,6.26000,5.84500,5.88000,134100
60,2023-01-23,6.50000,6.62500,6.01400,6.18000,349200
61,2023-01-20,5.84000,6.44000,5.75500,6.43000,288600
62,2023-01-19,6.01000,6.10000,5.79000,5.83000,175000
63,2023-01-18,6.15000,6.24000,6.03000,6.06000,181500
64,2023-01-17,6.02000,6.20000,5.85500,6.15000,189600
65,2023-01-13,5.73000,6.05000,5.72000,6.00000,162800
66,2023-01-12,5.62000,5.74700,5.53000,5.73500,243700
67,2023-01-11,5.71000,5.83000,5.60000,5.61000,117100
68,2023-01-10,5.80000,5.88000,5.64000,5.71000,119600
69,2023-01-09,5.55000,6.25000,5.53000,5.84000,360800
70,2023-01-06,5.48000,5.51000,4.88000,5.41000,421500
71,2023-01-05,5.96000,5.96000,5.55000,5.55000,98200
72,2023-01-04,5.70000,6.09000,5.61500,6.03000,157600
73,2023-01-03,5.61000,5.83900,5.41000,5.64000,186800
74,2022-12-30,5.47000,5.57400,5.42000,5.51000,89000
