,datetime,open,high,low,close,volume
0,2023-04-19,2.41000,2.54000,2.41000,2.48000,23800
1,2023-04-18,2.45000,2.49000,2.45000,2.47000,7400
2,2023-04-17,2.49000,2.49000,2.41000,2.47000,19900
3,2023-04-14,2.47000,2.54000,2.41000,2.46000,6100
4,2023-04-13,2.42000,2.52000,2.42000,2.48500,4300
5,2023-04-12,2.42800,2.47000,2.42800,2.46500,13400
6,2023-04-11,2.47000,2.47000,2.39100,2.46500,22200
7,2023-04-10,2.57000,2.65000,2.46500,2.46500,12700
8,2023-04-06,2.49000,2.53500,2.49000,2.50000,1200
9,2023-04-05,2.48000,2.48000,2.48000,2.48000,800
10,2023-04-04,2.50000,2.55000,2.47000,2.47000,11100
11,2023-04-03,2.51000,2.70000,2.43000,2.50000,20500
12,2023-03-31,2.46000,2.50000,2.46000,2.48000,26700
13,2023-03-30,2.46500,2.51000,2.45000,2.51000,13200
14,2023-03-29,2.42000,2.48500,2.37000,2.46000,29000
15,2023-03-28,2.52000,2.54100,2.42000,2.44000,21200
16,2023-03-27,2.62000,2.62000,2.50000,2.50000,29300
17,2023-03-24,2.51000,2.61000,2.45000,2.58000,106200
18,2023-03-23,2.50000,2.76800,2.50000,2.67500,114200
19,2023-03-22,2.56000,2.56000,2.45000,2.45000,34700
20,2023-03-21,2.43000,2.60000,2.43000,2.53000,38900
21,2023-03-20,2.52000,2.63500,2.46000,2.47000,54600
22,2023-03-17,2.61000,2.65000,2.53000,2.61000,30700
23,2023-03-16,2.66000,2.66000,2.61000,2.65000,9500
24,2023-03-15,2.59000,2.73000,2.59000,2.64000,24200
25,2023-03-14,2.68600,2.80000,2.64000,2.64000,34200
26,2023-03-13,2.67000,2.73000,2.65000,2.67000,13800
27,2023-03-10,2.70000,2.75000,2.70000,2.73500,9600
28,2023-03-09,2.77400,2.86500,2.71700,2.75000,10700
29,2023-03-08,2.78000,2.90000,2.78000,2.87000,8700
30,2023-03-07,2.92000,2.92000,2.79000,2.82000,9200
31,2023-03-06,2.88000,2.92300,2.83000,2.84500,13700
32,2023-03-03,2.90600,2.97000,2.86600,2.91000,10000
33,2023-03-02,2.90000,2.99000,2.84000,2.84000,33900
34,2023-03-01,2.88000,2.92500,2.88000,2.89000,13300
35,2023-02-28,2.90000,2.97000,2.88000,2.88000,7400
36,2023-02-27,3.05000,3.05000,2.85000,2.88000,32300
37,2023-02-24,2.97000,2.97000,2.93000,2.93000,24700
38,2023-02-23,3.06000,3.10600,2.96000,2.96500,22700
39,2023-02-22,3.07000,3.12000,3.00000,3.00000,36100
40,2023-02-21,3.11000,3.12000,3.05000,3.07000,31000
41,2023-02-17,3.08000,3.18000,3.08000,3.16000,6500
42,2023-02-16,3.18000,3.24000,3.12000,3.12000,14200
43,2023-02-15,3.24000,3.29000,3.15000,3.15000,32500
44,2023-02-14,3.29000,3.29000,3.10500,3.22000,42400
45,2023-02-13,3.32000,3.32000,3.26000,3.28000,17800
46,2023-02-10,3.45000,3.45000,3.26000,3.26000,93000
47,2023-02-09,3.50000,3.54000,3.47000,3.49000,160400
48,2023-02-08,3.62000,3.62000,3.50000,3.50000,7900
49,2023-02-07,3.63000,3.65000,3.51000,3.62000,14600
50,2023-02-06,3.50000,3.65000,3.50000,3.54900,11600
51,2023-02-03,3.47400,3.67000,3.47400,3.51000,7000
52,2023-02-02,3.48000,3.50000,3.39900,3.50000,13400
53,2023-02-01,3.50000,3.50000,3.42300,3.45000,5700
54,2023-01-31,3.55400,3.71000,3.50000,3.53000,52900
55,2023-01-30,3.39000,3.60000,3.38000,3.50000,23700
56,2023-01-27,3.40000,3.40000,3.34000,3.38000,7400
57,2023-01-26,3.35000,3.35000,3.32500,3.34200,3000
58,2023-01-25,3.33000,3.38500,3.30000,3.37000,9100
59,2023-01-24,3.35000,3.35000,3.26000,3.33000,8900
60,2023-01-23,3.22000,3.33000,3.20500,3.29000,4900
61,2023-01-20,3.28000,3.34500,3.28000,3.28000,4000
62,2023-01-19,3.25000,3.39000,3.25000,3.36000,10900
63,2023-01-18,3.25000,3.42000,3.25000,3.28000,35700
64,2023-01-17,3.18000,3.38600,3.18000,3.25000,48000
65,2023-01-13,3.01000,3.20000,3.01000,3.16000,15600
66,2023-01-12,2.97000,3.01000,2.97000,2.98000,3000
67,2023-01-11,3.02000,3.02000,2.93000,2.94000,17200
68,2023-01-10,2.97000,3.01000,2.97000,2.97000,3500
69,2023-01-09,2.99000,3.03000,2.92000,2.93000,16300
70,2023-01-06,2.92000,3.01000,2.92000,3.01000,7700
71,2023-01-05,3.02000,3.03000,2.97000,3.02000,3900
72,2023-01-04,3.02000,3.02000,2.91000,2.97000,9200
73,2023-01-03,3.01000,3.03000,2.97000,3.02000,24800
74,2022-12-30,3.00000,3.04200,2.98500,3.01000,9900
75,2022-12-29,2.89000,3.05000,2.89000,3.04000,43400
76,2022-12-28,2.89000,2.99000,2.87000,2.90000,22700
77,2022-12-27,2.80000,2.97000,2.80000,2.91000,41500
78,2022-12-23,2.90000,2.98000,2.86000,2.93000,19500
79,2022-12-22,2.92500,2.96000,2.88600,2.92000,17900
80,2022-12-21,2.78000,2.99000,2.78000,2.93000,31400
81,2022-12-20,2.77000,2.99000,2.69000,2.80000,360300
82,2022-12-19,2.85000,2.95000,2.77600,2.81000,62300
83,2022-12-16,2.90000,2.98000,2.88000,2.88000,23000
84,2022-12-15,2.96300,2.96300,2.90000,2.92000,14800
85,2022-12-14,3.02000,3.03000,2.98000,2.98000,48900
86,2022-12-13,2.99000,3.08000,2.99000,3.04000,73900
87,2022-12-12,3.06000,3.08000,3.00100,3.02000,7200
88,2022-12-09,3.02000,3.16000,3.00000,3.09000,32600
89,2022-12-08,3.14000,3.17000,3.01000,3.04000,28700
90,2022-12-07,3.13000,3.20000,3.08000,3.12000,58200
91,2022-12-06,2.99000,3.03000,2.99000,3.02000,18200
92,2022-12-05,3.02500,3.05000,3.01000,3.01000,8200
93,2022-12-02,3.06000,3.06000,3.02000,3.03500,8500
94,2022-12-01,3.06000,3.12000,3.06000,3.06000,13200
95,2022-11-30,2.99000,3.15000,2.98000,3.14000,84100
96,2022-11-29,3.11000,3.11000,3.00000,3.00000,30000
97,2022-11-28,3.10000,3.19000,3.10000,3.11500,10600
98,2022-11-25,3.08000,3.10000,3.06000,3.10000,38400
99,2022-11-23,3.15000,3.18400,3.08000,3.10000,18300
100,2022-11-22,3.19000,3.23300,3.15000,3.15000,16400
101,2022-11-21,3.23500,3.25000,3.15900,3.20000,30200
102,2022-11-18,3.20000,3.22000,3.15000,3.17000,23100
103,2022-11-17,3.20000,3.20000,3.15000,3.20000,15900
104,2022-11-16,3.22000,3.23800,3.15000,3.21000,7500
105,2022-11-15,3.15000,3.23000,3.13000,3.22000,18300
106,2022-11-14,3.21000,3.21000,3.18000,3.18000,9200
107,2022-11-11,3.33000,3.33000,3.10000,3.26000,50000
108,2022-11-10,3.05000,3.20000,3.05000,3.20000,26400
109,2022-11-09,3.18000,3.18000,2.98000,3.04000,9600
110,2022-11-08,3.19000,3.20000,3.12000,3.17000,12200
111,2022-11-07,3.19000,3.19000,3.16500,3.18000,11000
112,2022-11-04,3.29700,3.29700,3.17500,3.19000,5600
113,2022-11-03,3.30000,3.31000,3.23500,3.24000,10600
114,2022-11-02,3.30000,3.30000,3.21000,3.30000,9200
115,2022-11-01,3.27500,3.31500,3.24700,3.30000,14700
116,2022-10-31,3.23000,3.28000,3.19000,3.22000,4600
117,2022-10-28,3.30200,3.30200,3.14000,3.27900,4700
118,2022-10-27,3.32000,3.35000,3.28100,3.34000,8800
119,2022-10-26,3.19000,3.33800,3.18000,3.32000,9700
120,2022-10-25,2.96000,3.35000,2.96000,3.28000,23100
121,2022-10-24,3.20000,3.34000,3.20000,3.34000,26400
