,datetime,open,high,low,close,volume
0,2023-04-19,0.14000,0.14000,0.14000,0.14000,33566
1,2023-04-18,0.13220,0.17750,0.12000,0.15000,5140
2,2023-04-13,0.10000,0.13990,0.10000,0.13220,3580
3,2023-04-10,0.12000,0.12000,0.11000,0.11000,0
4,2023-04-06,0.11000,0.11000,0.11000,0.11000,47784
5,2023-03-31,0.11210,0.12000,0.09010,0.12000,71850
6,2023-03-30,0.14500,0.14500,0.10000,0.10010,50342
7,2023-03-29,0.14000,0.14990,0.14000,0.14000,23585
8,2023-03-28,0.15410,0.16000,0.13900,0.16000,6715
9,2023-03-24,0.13000,0.13000,0.13000,0.13000,100
10,2023-03-23,0.12000,0.12000,0.10000,0.10000,34760
11,2023-03-21,0.12980,0.13000,0.12980,0.13000,2400
12,2023-03-20,0.10000,0.15000,0.10000,0.12000,51388
13,2023-03-14,0.14180,0.14180,0.14180,0.14180,6115
14,2023-03-13,0.14250,0.18000,0.13000,0.16430,1400
15,2023-03-09,0.19617,0.19617,0.19617,0.19617,0
16,2023-03-03,0.18000,0.18000,0.18000,0.18000,7650
17,2023-03-02,0.14500,0.15000,0.14500,0.15000,0
18,2023-03-01,0.16520,0.17000,0.16520,0.17000,1227
19,2023-02-28,0.20000,0.20000,0.20000,0.20000,0
20,2023-02-27,0.19000,0.19000,0.19000,0.19000,0
21,2023-02-24,0.15000,0.15000,0.15000,0.15000,1000
22,2023-02-22,0.15000,0.15000,0.15000,0.15000,0
23,2023-02-21,0.16100,0.16100,0.13710,0.16040,8794
24,2023-02-17,0.22000,0.22000,0.22000,0.22000,1100
25,2023-02-16,0.19500,0.22000,0.17000,0.22000,100
26,2023-02-15,0.15000,0.21000,0.15000,0.20500,22600
27,2023-02-14,0.16500,0.20490,0.14840,0.19980,55100
28,2023-02-13,0.18500,0.18500,0.15000,0.15000,18950
29,2023-02-10,0.23750,0.23750,0.23750,0.23750,14110
30,2023-02-09,0.26500,0.26500,0.16250,0.18000,31925
31,2023-02-07,0.27000,0.27000,0.27000,0.27000,0
32,2023-02-06,0.30370,0.30370,0.29730,0.29750,2100
33,2023-02-03,0.25000,0.25030,0.25000,0.25000,5949
34,2023-02-02,0.23000,0.24200,0.23000,0.24200,1350
35,2023-02-01,0.24080,0.24190,0.22510,0.24190,3598
36,2023-01-31,0.24090,0.24090,0.21000,0.21000,105
37,2023-01-27,0.24239,0.24239,0.21420,0.22000,19100
38,2023-01-26,0.23490,0.23490,0.21990,0.21990,2000
39,2023-01-24,0.17000,0.17000,0.17000,0.17000,5164
40,2023-01-23,0.17000,0.18000,0.16400,0.17250,6700
41,2023-01-20,0.17000,0.17990,0.17000,0.17990,4480
42,2023-01-19,0.18000,0.18000,0.18000,0.18000,0
43,2023-01-18,0.25050,0.25050,0.16150,0.18000,71570
44,2023-01-17,0.29100,0.31700,0.22040,0.24760,9344
45,2023-01-12,0.28000,0.29750,0.22010,0.26000,17600
46,2023-01-11,0.30000,0.30000,0.30000,0.30000,0
47,2023-01-10,0.26900,0.28000,0.24190,0.28000,4100
48,2023-01-06,0.26000,0.27250,0.26000,0.27250,5100
49,2023-01-05,0.22400,0.29000,0.21440,0.22000,36309
50,2023-01-04,0.26750,0.26750,0.26750,0.26750,0
51,2023-01-03,0.24000,0.24010,0.23000,0.24000,34551
52,2022-12-30,0.23000,0.23000,0.21690,0.22000,400
53,2022-12-29,0.22740,0.23800,0.21150,0.23000,20304
54,2022-12-28,0.23000,0.23000,0.23000,0.23000,0
55,2022-12-27,0.21520,0.23610,0.20250,0.20250,38491
56,2022-12-23,0.22510,0.26630,0.22430,0.22500,1880
57,2022-12-22,0.23000,3.51200,0.23000,3.51200,27995
58,2022-12-22,3.50000,3.52600,3.48400,3.51200,322
59,2022-12-21,3.48000,3.52600,0.25730,3.51200,889
60,2022-12-21,3.38800,3.50000,3.38800,3.50000,322
61,2022-12-20,0.32000,3.46800,0.20000,3.46800,17980
62,2022-12-20,3.34400,3.39200,3.34000,3.38800,322
63,2022-12-19,3.38400,3.39200,0.19980,3.39200,18899
64,2022-12-19,3.41000,3.43800,3.34400,3.34400,322
65,2022-12-16,3.44800,3.45600,3.39200,3.41000,0
66,2022-12-15,3.61400,3.61400,3.44800,3.44800,322
67,2022-12-14,3.66400,3.66400,3.59800,3.61400,322
68,2022-12-13,3.59200,3.68200,3.52400,3.52400,322
69,2022-12-12,3.61800,3.61800,3.58400,3.59200,322
70,2022-12-09,3.58200,3.61800,3.56200,3.61800,322
71,2022-12-08,3.54400,3.58200,3.53000,3.58200,322
72,2022-12-07,3.55600,3.56600,3.54200,3.54400,322
73,2022-12-06,3.59600,3.60800,3.55600,3.55600,322
74,2022-12-05,3.57800,3.63400,3.57800,3.60800,322
75,2022-12-02,3.52000,3.59000,3.52000,3.59000,322
76,2022-12-01,3.55000,3.56600,3.53000,3.53200,322
77,2022-11-30,3.54200,3.56200,3.54000,3.56200,322
78,2022-11-29,3.52400,3.58200,3.51200,3.55400,322
79,2022-11-28,3.50800,3.53600,3.48400,3.53600,322
80,2022-11-25,3.49400,3.52000,3.49400,3.52000,322
81,2022-11-24,3.57800,3.59200,3.48800,3.50600,322
82,2022-11-23,3.53200,3.59000,3.50400,3.59000,322
83,2022-11-22,3.51800,3.54400,3.50800,3.54400,322
84,2022-11-21,3.55200,3.55200,3.52800,3.53000,322
85,2022-11-18,3.51000,3.56400,3.51000,3.56400,322
86,2022-11-17,3.53200,3.55400,3.50000,3.52200,0
87,2022-11-16,3.53800,3.54400,3.48600,3.54400,322
88,2022-11-15,3.55600,3.55600,3.50200,3.55000,322
89,2022-11-14,3.56400,3.62200,3.55200,3.56800,322
90,2022-11-11,3.48600,3.62400,3.48600,3.57600,0
91,2022-11-10,3.38200,3.50600,3.38200,3.49800,322
92,2022-11-09,3.36200,3.39400,3.36200,3.39400,322
93,2022-11-08,3.29400,3.37400,3.29400,3.37400,322
94,2022-11-07,3.17400,3.30400,3.17400,3.30400,322
95,2022-11-04,3.08800,3.18400,3.06400,3.18400,322
96,2022-11-03,3.08200,3.09800,3.05600,3.09800,0
97,2022-11-02,3.06600,3.13800,3.06600,3.09200,322
98,2022-11-01,3.06600,3.13800,3.06600,3.09600,322
99,2022-10-31,3.08400,3.10400,3.04000,3.07600,322
100,2022-10-28,3.07600,3.10400,3.05800,3.08400,322
101,2022-10-27,3.07600,3.10400,3.05800,3.10400,322
102,2022-10-26,3.07600,3.07800,3.05000,3.07600,322
103,2022-10-25,3.01600,3.07600,2.98000,3.07600,322
104,2022-10-24,2.94600,3.02000,2.94200,3.01600,322
105,2022-10-21,2.98800,2.98800,2.91000,2.94600,0
106,2022-10-20,2.93800,3.01600,2.93600,2.98800,322
107,2022-10-19,3.04400,3.04800,2.99800,3.00600,0
108,2022-10-18,3.00800,3.07800,3.00800,3.04400,0
109,2022-10-17,2.93800,3.01600,2.93600,3.00800,322
110,2022-10-14,2.94400,2.97400,2.93400,2.93800,0
111,2022-10-13,2.86800,2.95800,2.86800,2.94400,322
112,2022-10-12,2.99000,2.99000,2.86800,2.86800,322
113,2022-10-11,2.99800,2.99800,2.94400,2.99000,0
114,2022-10-10,3.01600,3.01600,2.97600,2.99800,322
115,2022-10-07,3.05800,3.07800,3.01600,3.01600,322
116,2022-10-06,3.17000,3.17000,3.02800,3.05800,322
117,2022-10-05,3.13800,3.23000,3.13800,3.17000,322
118,2022-10-04,3.00200,3.13800,3.00200,3.13800,430
119,2022-10-03,2.87400,3.00200,2.86600,3.00200,0
120,2022-09-30,2.80800,2.87400,2.80800,2.87400,430
121,2022-09-29,2.89400,2.89400,2.80400,2.80800,430
122,2022-09-28,2.92000,2.92000,2.85600,2.89400,430
123,2022-09-27,3.00200,3.03800,2.92000,2.92000,430
124,2022-09-26,2.98200,3.06200,2.98200,3.00200,430
125,2022-09-23,3.05200,3.05200,2.95200,2.98200,430
126,2022-09-22,3.07200,3.09600,3.05200,3.05200,430
127,2022-09-21,3.10000,3.10000,3.05200,3.07200,430
128,2022-09-20,3.20800,3.21600,3.10000,3.10000,430
129,2022-09-19,3.18800,3.20800,3.15400,3.20800,430
130,2022-09-16,3.17400,3.19600,3.15800,3.18800,430
131,2022-09-15,3.27000,3.27000,3.17400,3.17400,430
132,2022-09-14,3.31000,3.33400,3.24200,3.27000,430
133,2022-09-13,3.35600,3.39000,3.29800,3.31000,430
134,2022-09-12,3.23400,3.36800,3.23400,3.35600,430
135,2022-09-09,3.17600,3.25200,3.17600,3.23400,430
136,2022-09-08,3.12800,3.17600,3.09800,3.17600,430
137,2022-09-07,3.19000,3.19000,3.12800,3.12800,430
138,2022-09-06,3.18200,3.22400,3.17600,3.19000,430
139,2022-09-05,3.33000,3.33000,3.15800,3.18200,430
140,2022-09-02,3.21600,3.33000,3.21600,3.33000,430
141,2022-09-01,3.33400,3.33400,3.21600,3.21600,430
142,2022-08-31,3.34800,3.37600,3.33200,3.33400,430
143,2022-08-30,3.21400,3.35000,3.21400,3.34800,430
144,2022-08-29,3.26800,3.33200,3.21400,3.21400,430
145,2022-08-26,3.28600,3.33400,3.20400,3.20400,0
146,2022-08-25,3.29800,3.33400,3.28000,3.28600,0
147,2022-08-24,3.31400,3.31400,3.26800,3.29800,0
148,2022-08-23,3.26800,3.33200,3.26800,3.31400,430
149,2022-08-22,3.38000,3.38000,3.26600,3.26800,430
150,2022-08-19,3.47600,3.47600,3.37400,3.38000,430
151,2022-08-18,3.46000,3.48000,3.44000,3.47600,430
152,2022-08-17,3.52800,3.55400,3.45800,3.46000,0
153,2022-08-16,3.53000,3.54800,3.52600,3.52800,430
154,2022-08-15,3.53000,3.53600,3.53000,3.53000,430
155,2022-08-12,3.47000,3.53600,3.46200,3.53000,430
156,2022-08-11,3.43000,3.49000,3.43000,3.47000,430
157,2022-08-10,3.38200,3.43000,3.36600,3.43000,430
158,2022-08-09,3.44800,3.44800,3.38200,3.38200,430
159,2022-08-08,3.49400,3.52600,3.44800,3.44800,430
160,2022-08-05,3.52000,3.54200,3.52000,3.52800,430
161,2022-08-04,3.46200,3.52000,3.45200,3.52000,430
162,2022-08-03,3.37000,3.46200,3.36600,3.46200,430
163,2022-08-02,3.36000,3.37000,3.31200,3.37000,430
164,2022-08-01,3.35200,3.39600,3.33800,3.36000,430
165,2022-07-29,3.28600,3.39800,3.28600,3.35200,0
166,2022-07-28,3.21600,3.28600,3.21600,3.28600,430
167,2022-07-27,3.21800,3.24600,3.21400,3.21600,430
168,2022-07-26,3.27800,3.27800,3.21800,3.21800,430
169,2022-07-25,3.30800,3.30800,3.27000,3.27800,430
170,2022-07-22,3.30400,3.31600,3.28000,3.30800,430
171,2022-07-21,3.29400,3.30400,3.22200,3.30400,430
172,2022-07-20,3.32800,3.36000,3.28800,3.29400,430
173,2022-07-19,3.21200,3.32800,3.21200,3.32800,430
174,2022-07-18,3.13600,3.23600,3.13600,3.21200,430
175,2022-07-15,2.99400,3.16800,2.99400,3.13600,430
176,2022-07-14,3.18800,3.18800,2.99200,2.99400,430
177,2022-07-13,3.20400,3.20400,3.12800,3.18800,430
178,2022-07-12,3.21400,3.21400,3.12800,3.20400,430
179,2022-07-11,3.31800,3.31800,3.21000,3.21200,0
180,2022-07-08,3.23600,3.31800,3.22600,3.31800,0
181,2022-07-07,3.14600,3.25800,3.14600,3.23600,0
182,2022-07-06,3.19200,3.25800,3.14600,3.14600,0
183,2022-07-05,3.43200,3.44400,3.18600,3.19200,0
184,2022-07-04,3.43600,3.46600,3.40600,3.43200,0
185,2022-07-01,3.42800,3.48800,3.38600,3.43600,0
