,datetime,open,high,low,close,volume
0,2023-04-19,6.55000,6.75000,6.55000,6.70000,15100
1,2023-04-18,6.49000,6.60000,6.49000,6.60000,14800
2,2023-04-17,6.45000,6.50000,6.40000,6.50000,7500
3,2023-04-14,6.39000,6.46000,6.39000,6.40000,2500
4,2023-04-13,6.38000,6.50000,6.38000,6.50000,6900
5,2023-04-12,6.36000,6.50000,6.35000,6.50000,12800
6,2023-04-11,6.35000,6.40000,6.35000,6.35000,14800
7,2023-04-10,6.30000,6.43000,6.24000,6.35000,5200
8,2023-04-06,6.43000,6.46000,6.38000,6.38000,5200
9,2023-04-05,6.46000,6.58000,6.30000,6.50750,14962
10,2023-04-04,6.36000,6.47990,6.35000,6.42000,6782
11,2023-04-03,6.28000,6.49000,6.25060,6.41000,14779
12,2023-03-31,6.39000,6.44500,6.27000,6.28000,18508
13,2023-03-30,6.33000,6.38000,6.20000,6.24000,16508
14,2023-03-29,6.26000,6.32000,6.19000,6.19000,6182
15,2023-03-28,6.26000,6.27000,6.23500,6.26000,7382
16,2023-03-27,6.30000,6.37000,6.23000,6.35500,5474
17,2023-03-24,6.33000,6.33000,6.15000,6.24000,3952
18,2023-03-23,6.33000,6.46000,6.33000,6.34550,8835
19,2023-03-22,6.08000,6.49190,6.08000,6.39000,25776
20,2023-03-21,6.02000,6.16000,6.02000,6.03000,20270
21,2023-03-20,6.16000,6.18900,6.03000,6.03000,16524
22,2023-03-17,6.06000,6.18000,6.02000,6.09000,45734
23,2023-03-16,6.02000,6.15000,6.02000,6.15000,13063
24,2023-03-15,6.27000,6.27000,6.02000,6.09000,20897
25,2023-03-14,6.15000,6.32000,6.15000,6.20000,10603
26,2023-03-13,6.17000,6.24840,5.95010,6.14000,12105
27,2023-03-10,6.28850,6.36000,6.13010,6.20990,43690
28,2023-03-09,6.25000,6.49000,6.20000,6.36000,42648
29,2023-03-08,6.16000,6.37000,6.07010,6.20000,19222
30,2023-03-07,6.14000,6.21000,5.98240,6.21000,14168
31,2023-03-06,6.02000,6.11000,5.96000,6.11000,18382
32,2023-03-03,6.19000,6.19000,6.04900,6.04900,2923
33,2023-03-02,6.00000,6.18000,5.94010,6.15000,8475
34,2023-03-01,6.09000,6.15000,6.04000,6.04000,18892
35,2023-02-28,6.07000,6.14000,6.07000,6.11000,9765
36,2023-02-27,6.05000,6.16000,6.05000,6.08000,7035
37,2023-02-24,6.05000,6.15000,5.98000,6.01000,12118
38,2023-02-23,6.16500,6.19000,6.06880,6.15000,6692
39,2023-02-22,6.28400,6.28400,6.04000,6.15000,16538
40,2023-02-21,6.30000,6.30000,6.07120,6.10000,11426
41,2023-02-17,6.23000,6.44820,6.20000,6.30000,20030
42,2023-02-16,6.17660,6.49000,5.89000,6.23000,18686
43,2023-02-15,6.39000,6.59990,5.93000,5.93000,85527
44,2023-02-14,6.25000,6.25930,5.88000,5.93000,31659
45,2023-02-13,6.34000,6.37110,6.03000,6.16000,21305
46,2023-02-10,6.25000,6.39000,6.25000,6.34000,8744
47,2023-02-09,6.18000,6.31000,6.18000,6.25000,45797
48,2023-02-08,6.19000,6.34500,6.02010,6.07000,33957
49,2023-02-07,6.19000,6.40000,6.12000,6.13000,27161
50,2023-02-06,6.05000,6.12500,6.05000,6.12500,28251
51,2023-02-03,6.00000,6.40990,6.00000,6.05000,56804
52,2023-02-02,5.52000,6.00000,5.52000,5.97000,9953
53,2023-02-01,5.75000,5.99000,5.74530,5.81000,19681
54,2023-01-31,5.74000,5.89000,5.61000,5.80000,18720
55,2023-01-30,5.75500,5.89990,5.75000,5.75000,4953
56,2023-01-27,5.71000,5.91990,5.50000,5.77990,57164
57,2023-01-26,5.76000,5.92000,5.71000,5.71000,13370
58,2023-01-25,5.79000,5.93990,5.71000,5.71000,8817
59,2023-01-24,5.96990,5.97080,5.63000,5.96000,10049
60,2023-01-23,5.59000,5.79000,5.59000,5.79000,7981
61,2023-01-20,5.55000,5.80000,5.55000,5.78000,15868
62,2023-01-19,5.55000,5.65990,5.51000,5.53000,6830
63,2023-01-18,5.55000,5.75000,5.55000,5.61000,11769
64,2023-01-17,5.50000,5.75000,5.46000,5.70000,36489
65,2023-01-13,5.40000,5.59500,5.40000,5.55500,16687
66,2023-01-12,5.48990,5.48990,5.32000,5.40000,16362
67,2023-01-11,5.44000,5.49000,5.23000,5.23500,14988
68,2023-01-10,5.38000,5.48320,5.38000,5.39000,3600
69,2023-01-09,5.43000,5.49990,5.38000,5.38000,6880
70,2023-01-06,5.37000,5.49000,5.24090,5.43000,9481
71,2023-01-05,5.21050,5.38000,5.21050,5.38000,8650
72,2023-01-04,5.01660,5.17000,5.00250,5.16000,8678
73,2023-01-03,5.00200,5.18000,4.82770,5.08000,25644
74,2022-12-30,5.01000,5.19000,4.87000,4.95000,60096
75,2022-12-29,5.02000,5.24000,5.01000,5.02000,24626
76,2022-12-28,5.10000,5.16000,5.01000,5.01000,17964
77,2022-12-27,5.25000,5.25000,5.03500,5.06000,98608
78,2022-12-23,5.01000,5.24000,5.01000,5.24000,10879
79,2022-12-22,5.38500,5.48990,5.00000,5.02000,31177
80,2022-12-21,5.15000,5.45000,5.10220,5.29000,10110
81,2022-12-20,5.10000,5.44990,5.09000,5.15000,42397
82,2022-12-19,5.01010,5.50000,5.01010,5.13000,78193
83,2022-12-16,5.09000,5.41000,4.96000,5.01000,62651
84,2022-12-15,5.07950,5.62000,5.00000,5.13000,36331
85,2022-12-14,5.10000,5.21990,5.04000,5.05000,25485
86,2022-12-13,5.00000,5.11000,4.97000,5.11000,19372
87,2022-12-12,5.02000,5.02000,4.99000,5.00000,13067
88,2022-12-09,5.00000,5.29080,5.00000,5.04000,11733
89,2022-12-08,5.10000,5.10000,4.94000,4.94000,17781
90,2022-12-07,5.13000,5.18000,4.96000,5.03000,24921
91,2022-12-06,5.19000,5.19000,5.00000,5.12000,9281
92,2022-12-05,5.23000,5.25000,5.14000,5.14000,10022
93,2022-12-02,5.25000,5.64000,5.08000,5.19000,16640
94,2022-12-01,5.20000,5.35000,4.83520,5.26000,20713
95,2022-11-30,5.05000,5.18000,4.95000,5.18000,14120
