,datetime,open,high,low,close,volume
0,2023-04-19,26.53000,26.80000,26.44000,26.70000,878800
1,2023-04-18,26.93000,27.13000,26.58000,26.59000,969100
2,2023-04-17,26.54000,26.94000,26.46000,26.87000,728100
3,2023-04-14,26.87000,26.94000,26.53000,26.56000,815200
4,2023-04-13,26.82000,26.94000,26.61000,26.77000,739900
5,2023-04-12,27.15000,27.39000,26.65000,26.68000,942600
6,2023-04-11,26.59000,27.30000,26.59000,27.18000,912500
7,2023-04-10,26.37000,26.63000,26.34000,26.44000,634600
8,2023-04-06,26.90000,26.97000,26.43000,26.50000,484300
9,2023-04-05,26.30000,26.82000,26.26000,26.73000,889400
10,2023-04-04,26.80000,26.80000,26.29000,26.34000,1082200
11,2023-04-03,26.83000,27.27000,26.64000,26.71000,1274300
12,2023-03-31,26.52000,26.82000,26.38000,26.77000,1340400
13,2023-03-30,26.59000,26.73000,26.27000,26.33000,498300
14,2023-03-29,26.79000,26.90000,26.17000,26.31000,693900
15,2023-03-28,26.54000,26.90000,26.47000,26.63000,311600
16,2023-03-27,26.81000,26.92000,26.53000,26.68000,436800
17,2023-03-24,26.33000,26.61000,26.14000,26.56000,504400
18,2023-03-23,26.68000,26.81000,26.16000,26.41000,491100
19,2023-03-22,27.23000,27.49000,26.54000,26.57000,645000
20,2023-03-21,26.54000,27.32000,26.50000,27.32000,1187000
21,2023-03-20,25.54000,26.37000,25.49000,26.31000,852000
22,2023-03-17,25.70000,25.79000,25.20000,25.36000,1648300
23,2023-03-16,25.51000,26.15000,25.46000,25.80000,788100
24,2023-03-15,25.59000,25.81000,25.22000,25.74000,1134500
25,2023-03-14,26.63000,26.63000,25.75000,25.94000,1340100
26,2023-03-13,26.15000,26.35000,25.87000,26.14000,824800
27,2023-03-10,26.80000,26.97000,26.19000,26.42000,788000
28,2023-03-09,27.05000,27.10000,26.72000,26.73000,803300
29,2023-03-08,27.02000,27.19000,26.80000,26.91000,641000
30,2023-03-07,27.34000,27.63000,27.10000,27.18000,740900
31,2023-03-06,27.38000,27.69000,27.08000,27.37000,914600
32,2023-03-03,26.92000,27.32500,26.72000,27.31000,669989
33,2023-03-02,25.89000,27.54000,25.15000,26.98000,967034
34,2023-03-01,26.46000,27.20000,26.43000,27.02000,1639819
35,2023-02-28,26.90000,27.21000,26.52000,26.52000,801804
36,2023-02-27,27.56000,27.76500,26.75000,26.92000,797180
37,2023-02-24,27.67000,27.67000,27.16000,27.42000,457112
38,2023-02-23,27.90000,28.07310,27.50500,27.78000,432347
39,2023-02-22,28.23000,28.23000,27.64000,27.87000,480601
40,2023-02-21,28.50000,28.53000,28.01000,28.23000,500019
41,2023-02-17,28.74000,28.96000,28.48000,28.82000,414886
42,2023-02-16,29.59000,29.66000,28.62500,28.65000,909759
