,datetime,open,high,low,close,volume
0,2023-04-19,10.45000,10.45000,10.45000,10.45000,0
1,2023-04-18,10.45000,10.45000,10.45000,10.45000,0
2,2023-04-17,10.44000,10.50000,10.44000,10.45000,600
3,2023-04-14,10.44000,10.44000,10.44000,10.44000,100
4,2023-04-13,10.44000,10.44000,10.44000,10.44000,100
5,2023-04-12,10.44000,10.44000,10.44000,10.44000,200
6,2023-04-11,10.44000,10.44000,10.44000,10.44000,0
7,2023-04-10,10.44000,10.44000,10.44000,10.44000,0
8,2023-04-06,10.44000,10.44000,10.44000,10.44000,0
9,2023-04-05,10.44000,10.44000,10.44000,10.44000,0
10,2023-04-04,10.45000,10.46000,10.44000,10.44000,400
11,2023-04-03,10.44000,10.44000,10.44000,10.44000,2600
12,2023-03-31,10.43000,10.43000,10.43000,10.43000,0
13,2023-03-30,10.43000,10.43000,10.43000,10.43000,100
14,2023-03-29,10.24000,10.43000,10.23800,10.43000,500
15,2023-03-28,10.43000,10.43000,10.43000,10.43000,0
16,2023-03-27,10.45000,10.45000,10.43000,10.43000,400
17,2023-03-24,10.43000,10.43000,10.43000,10.43000,200
18,2023-03-23,10.43000,10.43000,10.43000,10.43000,0
19,2023-03-22,10.43000,10.43000,10.43000,10.43000,0
20,2023-03-21,10.43000,10.43000,10.43000,10.43000,0
21,2023-03-20,10.45000,10.45000,10.43000,10.43000,900
22,2023-03-17,10.43000,10.43000,10.43000,10.43000,300
23,2023-03-16,10.44800,10.44800,10.44800,10.44800,0
24,2023-03-15,10.44800,10.44800,10.44800,10.44800,0
25,2023-03-14,10.44800,10.44800,10.44800,10.44800,0
26,2023-03-13,10.44800,10.44800,10.44800,10.44800,0
27,2023-03-10,10.40000,10.45000,10.40000,10.44800,1400
28,2023-03-09,10.40000,10.40000,10.40000,10.40000,200
29,2023-03-08,10.39000,10.50000,10.39000,10.43000,6200
30,2023-03-07,10.28000,10.28000,10.28000,10.28000,0
31,2023-03-06,10.29000,10.31000,10.11000,10.28000,8500
32,2023-03-03,10.33000,10.33000,10.33000,10.33000,0
33,2023-03-02,10.33000,10.33000,10.33000,10.33000,0
34,2023-03-01,10.33000,10.33000,10.33000,10.33000,0
35,2023-02-28,10.32500,10.33000,10.32500,10.33000,1700
36,2023-02-27,10.33000,10.33000,10.33000,10.33000,0
37,2023-02-23,10.33000,10.33000,10.33000,10.33000,0
38,2023-02-22,10.34000,10.34000,10.32000,10.33000,400
39,2023-02-21,10.48000,10.48000,10.35000,10.42000,700
40,2023-02-17,10.45000,10.45000,10.45000,10.45000,8500
41,2023-02-16,10.43000,10.45000,10.43000,10.43900,2900
42,2023-02-15,10.69000,10.89000,10.69000,10.79000,1200
43,2023-02-14,10.42000,10.42000,10.42000,10.42000,100
44,2023-02-13,10.40000,10.93000,10.40000,10.54000,1100
45,2023-02-10,10.50000,10.50000,10.50000,10.50000,100
46,2023-02-09,10.46000,11.33000,10.45000,10.51000,4700
47,2023-02-08,10.45000,11.06000,10.45000,10.49000,11800
48,2023-02-07,10.53000,11.51000,10.40000,10.49200,42900
49,2023-02-06,10.48000,11.64000,10.37000,10.43000,35600
50,2023-02-03,10.35000,10.35000,10.35000,10.35000,100
51,2023-02-01,10.50000,10.53000,10.50000,10.53000,1500
52,2023-01-26,10.37000,10.37000,10.37000,10.37000,3000
53,2023-01-23,10.29000,10.48000,10.29000,10.48000,8500
54,2023-01-20,10.32000,10.34000,10.32000,10.34000,2600
55,2023-01-19,10.34000,10.34000,10.34000,10.34000,100
56,2023-01-18,10.40000,10.40000,10.40000,10.40000,200
57,2023-01-17,10.34000,10.35000,10.32000,10.34000,148600
58,2023-01-13,10.35000,10.40000,10.34000,10.34000,13300
59,2023-01-12,10.37000,10.37000,10.29000,10.30000,1800
60,2023-01-11,10.15000,10.32500,10.14600,10.30000,395300
61,2023-01-10,10.11000,10.12000,10.11000,10.12000,500
62,2023-01-09,10.13000,10.14000,10.11600,10.11600,4000
63,2023-01-06,10.09000,10.12000,10.09000,10.11000,96600
64,2023-01-05,10.09000,10.15000,10.09000,10.15000,22400
65,2023-01-04,10.09000,10.09000,10.09000,10.09000,1700
66,2023-01-03,10.09000,10.09000,10.09000,10.09000,5300
67,2022-12-28,10.09000,10.09000,10.09000,10.09000,100
68,2022-12-27,10.09000,10.09000,10.09000,10.09000,100
69,2022-12-22,10.09000,10.09000,10.09000,10.09000,200
70,2022-12-22,10.71800,10.73000,10.03000,10.24600,300
71,2022-12-21,10.07000,10.07000,10.07000,10.07000,900
72,2022-12-21,10.72200,10.88600,10.64000,10.64000,300
73,2022-12-20,10.08200,10.08200,10.08200,10.08200,500
74,2022-12-20,10.40800,10.62600,10.35200,10.62600,300
75,2022-12-19,10.59200,10.61600,10.38600,10.42000,300
76,2022-12-16,10.07000,10.07000,10.07000,10.07000,3000
77,2022-12-16,10.40600,10.40600,10.23200,10.36600,0
78,2022-12-15,10.07000,10.07000,10.07000,10.07000,600
79,2022-12-15,11.11600,11.11800,10.52000,10.52000,300
80,2022-12-14,10.09000,10.10000,10.07000,10.09000,80300
81,2022-12-14,11.28400,11.28800,11.03200,11.08400,300
82,2022-12-13,10.05000,10.05000,10.05000,10.05000,5900
83,2022-12-13,11.23800,11.72600,11.11800,11.16600,300
84,2022-12-12,10.08000,10.09000,10.08000,10.09000,2300
85,2022-12-12,11.44600,11.44600,11.12800,11.12800,300
86,2022-12-09,10.04000,10.09000,10.00000,10.09000,13600
87,2022-12-09,11.73800,11.78200,11.66600,11.67200,0
88,2022-12-08,11.64600,12.00800,11.55800,11.97000,300
89,2022-12-07,11.58200,11.68000,11.32400,11.63400,300
90,2022-12-06,11.20000,11.47800,10.95000,11.47800,300
91,2022-12-05,11.24400,11.30200,11.04200,11.30200,20
92,2022-12-02,11.14800,11.20800,10.98800,11.20600,20
93,2022-12-01,10.09000,10.09000,10.09000,10.09000,48200
94,2022-12-01,11.70000,11.97200,11.17400,11.20000,20
95,2022-11-30,10.07000,10.07000,10.07000,10.07000,4000
