,datetime,open,high,low,close,volume
0,2023-04-19,5.24000,5.31000,5.24000,5.31000,3600
1,2023-04-18,5.23000,5.35000,5.23000,5.35000,1400
2,2023-04-17,5.24000,5.36000,5.20000,5.36000,5500
3,2023-04-14,5.35000,5.36000,5.13000,5.27000,12300
4,2023-04-13,5.30000,5.34000,5.14000,5.34000,19400
5,2023-04-12,5.62000,5.62000,5.31000,5.37000,8700
6,2023-04-11,5.39000,5.63000,5.39000,5.60000,8600
7,2023-04-10,5.55000,5.60000,5.43000,5.58000,4100
8,2023-04-06,5.50000,5.51000,5.33000,5.35000,1300
9,2023-04-05,5.35000,5.49730,5.35000,5.47500,3339
10,2023-04-04,5.43000,5.48000,5.34000,5.48000,10180
11,2023-04-03,5.33000,5.49000,5.20010,5.40000,8206
12,2023-03-31,5.43000,5.43000,5.20550,5.25000,2010
13,2023-03-30,5.41000,5.45000,5.36000,5.41000,1533
14,2023-03-29,5.21000,5.46000,5.09000,5.45000,6140
15,2023-03-28,5.34620,5.35000,5.13000,5.26000,8657
16,2023-03-27,5.19000,5.28000,5.15000,5.28000,6058
17,2023-03-24,5.18990,5.19990,5.05000,5.16000,5555
18,2023-03-23,5.11000,5.24000,4.97000,5.04000,13454
19,2023-03-22,5.11000,5.36000,5.05000,5.05000,4706
20,2023-03-21,5.45000,5.45000,5.02000,5.18000,11241
21,2023-03-20,5.74000,5.96000,5.26000,5.26000,22549
22,2023-03-17,5.91000,6.13000,5.56000,5.56000,18703
23,2023-03-16,5.73000,5.91000,5.73000,5.91000,6288
24,2023-03-15,6.11000,6.21000,5.91000,5.91000,1750
25,2023-03-14,5.75000,6.25000,5.75000,6.06000,4091
26,2023-03-13,6.21000,6.27730,6.02000,6.20000,3690
27,2023-03-10,6.08000,6.47800,6.03000,6.31000,2907
28,2023-03-09,6.43000,6.43000,6.20920,6.20920,3279
29,2023-03-08,6.45000,6.50000,6.25500,6.47000,5633
30,2023-03-07,6.25000,6.75000,6.22000,6.36000,18224
31,2023-03-06,5.99800,6.47000,5.88000,6.25000,22829
32,2023-03-03,5.98000,6.00000,5.73360,6.00000,2767
33,2023-03-02,5.51000,5.96000,5.51000,5.86000,8561
34,2023-03-01,5.62240,5.62240,5.53000,5.54000,1326
35,2023-02-28,5.63000,5.64730,5.53000,5.63000,2714
36,2023-02-27,5.61000,5.64000,5.55000,5.58000,4097
37,2023-02-24,5.53570,5.60000,5.51000,5.52000,5316
38,2023-02-23,5.52000,5.59970,5.51000,5.53000,3384
39,2023-02-22,5.62000,5.64000,5.53000,5.59000,2338
40,2023-02-21,5.53000,5.58500,5.52000,5.53000,2470
41,2023-02-17,5.57010,5.57010,5.57010,5.57010,960
42,2023-02-16,5.61000,5.63000,5.57000,5.57000,1393
43,2023-02-15,5.55000,5.55000,5.51000,5.51000,1573
44,2023-02-14,5.50000,5.61920,5.50000,5.52000,1015
45,2023-02-13,5.60000,5.60000,5.50000,5.50000,2908
46,2023-02-10,5.57190,5.57190,5.51000,5.51000,1153
47,2023-02-09,5.59000,5.61270,5.55000,5.55000,1583
48,2023-02-08,5.52000,5.52000,5.51000,5.52000,5828
49,2023-02-07,5.52000,5.60100,5.52000,5.58000,3346
50,2023-02-06,5.63990,5.63990,5.51000,5.52000,751
51,2023-02-03,5.63090,5.63090,5.51000,5.51000,2705
52,2023-02-02,5.60010,5.65000,5.60010,5.62000,3123
53,2023-02-01,5.60000,5.61000,5.55000,5.61000,3852
54,2023-01-31,5.83000,5.83000,5.52000,5.60000,9047
55,2023-01-30,5.53120,5.62000,5.51000,5.56000,3795
56,2023-01-27,5.55010,5.55010,5.55010,5.55010,1146
57,2023-01-26,5.60000,5.60000,5.52000,5.53000,5234
58,2023-01-25,5.51010,5.55500,5.51000,5.51000,1461
59,2023-01-24,5.57000,5.65000,5.50000,5.65000,838
60,2023-01-23,5.51000,5.57000,5.50000,5.51000,5304
61,2023-01-20,5.52000,5.65000,5.52000,5.56450,1370
62,2023-01-19,5.48000,5.61000,5.48000,5.48000,1015
63,2023-01-18,5.64000,5.64000,5.63000,5.63000,829
64,2023-01-17,5.20000,5.46000,5.20000,5.45000,11697
