,datetime,open,high,low,close,volume
0,2023-04-19,4.90000,7.25000,4.81000,6.55000,13906400
1,2023-04-18,5.63000,6.20000,4.12000,5.50000,27008900
2,2023-04-17,4.34000,5.09000,3.60000,3.86000,5627000
3,2023-04-14,1.82000,8.52000,1.41000,4.59000,76992300
4,2023-04-13,0.93100,1.01000,0.93100,1.01000,56200
5,2023-04-12,1.02000,1.02000,0.97000,0.98000,11800
6,2023-04-11,1.04000,1.04000,0.98000,1.04000,14500
7,2023-04-10,0.93000,1.04000,0.93000,0.96300,14100
8,2023-04-06,0.95100,1.05000,0.95100,0.99000,23400
9,2023-04-05,1.00000,1.04000,0.98000,0.98000,20100
10,2023-04-04,1.22000,1.40000,0.91700,1.02000,148700
11,2023-04-03,1.43000,1.49000,1.30000,1.30000,10800
12,2023-03-31,1.37000,1.42000,1.35500,1.39500,3400
13,2023-03-30,1.35000,1.41000,1.35000,1.37000,13000
14,2023-03-29,1.47000,1.49600,1.40000,1.40000,10000
15,2023-03-28,1.45900,1.50000,1.38000,1.45500,6100
16,2023-03-27,1.50000,1.50000,1.35000,1.45000,1500
17,2023-03-24,1.72000,1.72000,1.36000,1.40000,3600
18,2023-03-23,1.55000,1.59400,1.46000,1.53700,5200
19,2023-03-22,1.41000,1.49000,1.40000,1.46000,2500
20,2023-03-21,1.45000,1.50000,1.42000,1.49000,7600
21,2023-03-20,1.46000,1.58000,1.43200,1.53000,4700
22,2023-03-17,1.51200,1.59100,1.50000,1.55000,14700
23,2023-03-16,1.47000,1.47000,1.35200,1.35200,600
24,2023-03-15,1.45000,1.49000,1.44000,1.48000,6000
25,2023-03-14,1.58100,1.58100,1.32100,1.52700,33500
26,2023-03-13,1.60000,1.68800,1.60000,1.62000,4000
27,2023-03-10,1.65700,1.87000,1.65700,1.68000,1700
28,2023-03-09,1.80100,1.89000,1.80000,1.89000,4800
29,2023-03-08,1.85000,1.85400,1.68300,1.80000,5400
30,2023-03-07,2.00000,2.00000,1.85000,1.89000,12200
31,2023-03-06,2.20000,2.50000,1.71000,2.06000,47900
32,2023-03-03,1.84000,1.85000,1.77000,1.84000,7240
33,2023-03-02,2.01000,2.01000,1.81000,1.82000,19948
34,2023-03-01,2.18000,2.18000,2.00000,2.00000,2855
35,2023-02-28,2.10000,2.10000,2.05010,2.10000,1924
36,2023-02-27,2.13380,2.13380,2.05000,2.05000,3873
37,2023-02-24,2.10710,2.17000,2.01000,2.17000,26748
38,2023-02-23,2.33000,2.41560,2.21000,2.22000,14297
39,2023-02-22,2.53610,2.53610,2.28000,2.28000,4057
40,2023-02-21,2.47000,2.53000,2.41010,2.43010,7132
41,2023-02-17,2.55500,2.56000,2.48080,2.52000,3839
42,2023-02-16,2.51400,2.68000,2.40000,2.68000,12252
43,2023-02-15,2.52760,2.60000,2.44000,2.53500,29455
44,2023-02-14,2.60000,2.85620,2.55010,2.70010,11044
45,2023-02-13,2.68000,2.68000,2.57090,2.60000,4062
46,2023-02-10,2.74850,2.84000,2.66760,2.70000,6754
47,2023-02-09,2.74620,2.86000,2.70000,2.86000,7756
48,2023-02-08,2.80000,2.95000,2.71000,2.86000,12884
49,2023-02-07,2.77000,2.90000,2.77000,2.90000,19777
50,2023-02-06,2.65000,2.90000,2.62430,2.80000,22112
51,2023-02-03,2.68000,2.94500,2.60000,2.66000,30014
52,2023-02-02,2.60000,2.81000,2.50010,2.70000,38930
53,2023-02-01,2.51000,2.63000,2.45000,2.55000,9623
54,2023-01-31,2.61500,2.65000,2.60000,2.60000,2962
55,2023-01-30,2.66900,2.66900,2.55000,2.66000,3256
56,2023-01-27,2.72520,2.77120,2.62000,2.63000,7784
57,2023-01-26,2.70000,2.88000,2.65000,2.69000,8119
58,2023-01-25,2.80000,2.86510,2.68000,2.70000,9918
59,2023-01-24,2.52130,2.89000,2.52000,2.89000,42551
60,2023-01-23,2.66000,2.66000,2.56640,2.59000,2874
61,2023-01-20,2.51010,2.71000,2.51010,2.65000,6524
62,2023-01-19,2.52190,2.69990,2.51000,2.61540,4877
63,2023-01-18,2.86000,3.00000,2.50000,2.50000,35199
64,2023-01-17,3.04990,3.04990,2.86000,2.98000,11559
65,2023-01-13,2.92260,3.06000,2.74000,3.05000,27113
66,2023-01-12,2.82000,2.90000,2.81980,2.89990,3629
67,2023-01-11,2.90730,2.90730,2.71000,2.71000,10284
68,2023-01-10,2.81710,2.93990,2.81710,2.93500,6911
69,2023-01-09,2.83000,2.89000,2.80770,2.80770,6496
70,2023-01-06,2.83010,2.94730,2.83010,2.93000,5751
71,2023-01-05,3.02000,3.13000,2.86010,2.96000,30902
