,datetime,open,high,low,close,volume
0,2023-04-19,1.67000,1.67000,1.41000,1.55000,89900
1,2023-04-18,1.60000,1.63000,1.41000,1.52000,105200
2,2023-04-17,1.75400,1.76000,1.53000,1.55000,83900
3,2023-04-14,1.88000,1.95000,1.43000,1.78000,273500
4,2023-04-13,1.50000,1.80000,1.49000,1.67000,140100
5,2023-04-12,1.50000,1.52200,1.39000,1.45000,42000
6,2023-04-11,1.45000,1.50000,1.43000,1.50000,34200
7,2023-04-10,1.52000,1.52000,1.43000,1.43000,18400
8,2023-04-06,1.55000,1.55000,1.42000,1.52000,10000
9,2023-04-05,1.53000,1.56000,1.42000,1.42000,44000
10,2023-04-04,1.41000,1.58000,1.41000,1.52100,60500
11,2023-04-03,1.49000,1.50000,1.41000,1.41000,34800
12,2023-03-31,1.41000,1.49000,1.37000,1.38000,43000
13,2023-03-30,1.35700,1.45000,1.31000,1.38000,55100
14,2023-03-29,1.38700,1.39200,1.31000,1.31000,10800
15,2023-03-28,1.31000,1.39100,1.30000,1.34000,14800
16,2023-03-27,1.28000,1.38000,1.28000,1.31000,9300
17,2023-03-24,1.28000,1.36000,1.26000,1.31000,62300
18,2023-03-23,1.27000,1.31000,1.25000,1.28000,12400
19,2023-03-22,1.30000,1.35000,1.27000,1.27000,19300
20,2023-03-21,1.26000,1.33000,1.20100,1.30000,71200
21,2023-03-20,1.35000,1.40900,1.20000,1.26000,76400
22,2023-03-17,1.43000,1.47000,1.37000,1.41000,60000
23,2023-03-16,1.36500,1.44000,1.29000,1.33000,36900
24,2023-03-15,1.40000,1.48000,1.33000,1.37000,35800
25,2023-03-14,1.33000,1.55000,1.28000,1.40000,186600
26,2023-03-13,1.21000,1.25500,1.16000,1.19000,29900
27,2023-03-10,1.30500,1.35000,1.20000,1.26100,66200
28,2023-03-09,1.38000,1.38000,1.30000,1.30000,20775
29,2023-03-08,1.37000,1.39000,1.32000,1.35000,21300
30,2023-03-07,1.38000,1.40000,1.35000,1.36000,34400
31,2023-03-06,1.32000,1.38000,1.32000,1.38000,13400
32,2023-03-03,1.38000,1.42000,1.35000,1.37000,12388
33,2023-03-02,1.35000,1.41000,1.35000,1.36000,19531
34,2023-03-01,1.40000,1.46990,1.34000,1.34000,63402
35,2023-02-28,1.33040,1.45010,1.33000,1.44000,42565
36,2023-02-27,1.44000,1.49990,1.27000,1.33000,65305
