,datetime,open,high,low,close,volume
0,2023-04-19,0.54500,0.57000,0.53000,0.53100,2581500
1,2023-04-18,0.56000,0.57000,0.55000,0.56500,2173900
2,2023-04-17,0.53600,0.55500,0.53500,0.55000,2197600
3,2023-04-14,0.54000,0.54400,0.53000,0.53900,1498400
4,2023-04-13,0.53000,0.54900,0.52500,0.54700,3032700
5,2023-04-12,0.56800,0.58000,0.52000,0.52200,6439500
6,2023-04-11,0.58700,0.60500,0.54000,0.54100,6526200
7,2023-04-10,0.60600,0.61000,0.58100,0.58700,3972600
8,2023-04-06,0.58400,0.61800,0.57500,0.59200,2479500
9,2023-04-05,0.60600,0.61300,0.56000,0.58400,7534800
10,2023-04-04,0.63300,0.67000,0.60300,0.61000,3791600
11,2023-04-03,0.66000,0.66400,0.61500,0.64000,7548200
12,2023-03-31,0.64200,0.68000,0.63300,0.66300,5065200
13,2023-03-30,0.64000,0.66000,0.60100,0.63700,20921100
14,2023-03-29,0.65300,0.66200,0.61400,0.63300,8038600
15,2023-03-28,0.65500,0.66500,0.63400,0.65300,5092100
16,2023-03-27,0.65100,0.67000,0.63000,0.65600,4688600
17,2023-03-24,0.67000,0.67300,0.64000,0.64400,7740400
18,2023-03-23,0.71000,0.72000,0.67000,0.67300,6848300
19,2023-03-22,0.76000,0.76400,0.69700,0.69700,4843500
20,2023-03-21,0.72500,0.76800,0.72000,0.75800,2679200
21,2023-03-20,0.73000,0.73500,0.70000,0.71600,4743900
22,2023-03-17,0.77100,0.78000,0.72600,0.72600,4175000
23,2023-03-16,0.72900,0.77500,0.70500,0.77100,6349800
24,2023-03-15,0.79000,0.79000,0.71500,0.74400,6818400
25,2023-03-14,0.79300,0.82400,0.77200,0.78800,4724100
26,2023-03-13,0.83000,0.84000,0.76300,0.77700,5989400
27,2023-03-10,0.87000,0.87500,0.81100,0.83500,4400100
28,2023-03-09,0.92000,0.92000,0.84200,0.84300,8798000
29,2023-03-08,0.98000,0.99700,0.90000,0.90900,6827700
30,2023-03-07,1.01000,1.03000,0.96500,0.98000,3830900
31,2023-03-06,1.10000,1.13000,1.01000,1.02000,4741800
32,2023-03-03,1.06000,1.14000,1.06000,1.12000,3430500
33,2023-03-02,0.99000,1.09000,0.96100,1.06000,4296300
34,2023-03-01,1.03000,1.04800,0.96000,0.98900,5216800
35,2023-02-28,1.08000,1.08500,1.02000,1.04000,6290700
36,2023-02-27,1.09000,1.11000,1.06000,1.08000,2345000
37,2023-02-24,1.07000,1.07000,1.02000,1.06000,2241500
38,2023-02-23,1.10100,1.16000,1.05000,1.09000,5665100
39,2023-02-22,1.22000,1.25000,1.18000,1.23000,1990600
40,2023-02-21,1.30000,1.32000,1.20000,1.21000,3268100
41,2023-02-17,1.30000,1.31000,1.26000,1.30000,1454700
42,2023-02-16,1.37000,1.37000,1.28000,1.30000,2338200
43,2023-02-15,1.25000,1.39000,1.24100,1.38000,2284500
44,2023-02-14,1.26000,1.31000,1.23000,1.27000,1468700
45,2023-02-13,1.23000,1.30000,1.22000,1.26000,1585100
46,2023-02-10,1.26000,1.29000,1.23000,1.26000,1711100
47,2023-02-09,1.38000,1.38000,1.25500,1.27000,2789500
48,2023-02-08,1.36000,1.43000,1.32000,1.33000,2337500
