,datetime,open,high,low,close,volume
0,2023-04-19,8.56000,8.96000,8.56000,8.91000,57100
1,2023-04-18,8.45000,8.74500,8.45000,8.68000,50000
2,2023-04-17,8.53000,8.67500,8.40000,8.54000,27500
3,2023-04-14,8.56000,8.77500,8.39000,8.50000,25800
4,2023-04-13,8.39000,8.63000,8.39000,8.56000,18000
5,2023-04-12,8.46000,8.66000,8.38000,8.41000,20500
6,2023-04-11,8.40000,8.53000,8.37000,8.44000,46100
7,2023-04-10,8.53000,8.60500,8.32500,8.44000,33200
8,2023-04-06,8.38000,8.67000,8.36000,8.61000,17300
9,2023-04-05,8.64000,8.72000,8.25000,8.44000,33200
10,2023-04-04,8.78000,8.86000,8.61000,8.67000,46900
11,2023-04-03,8.60000,8.86000,8.56100,8.78000,41900
12,2023-03-31,8.30000,8.87000,8.30000,8.57000,54700
13,2023-03-30,8.41000,8.64000,8.21500,8.31000,46000
14,2023-03-29,8.32000,8.49000,8.24000,8.44000,29300
15,2023-03-28,8.62000,8.70000,8.24000,8.29000,58200
16,2023-03-27,8.12000,8.69000,8.05000,8.57000,112000
17,2023-03-24,8.00000,8.26000,7.76000,8.23000,56700
18,2023-03-23,8.06000,8.60000,8.06000,8.19000,97900
19,2023-03-22,8.22000,8.28000,7.98000,8.06000,36900
20,2023-03-21,7.93000,8.22000,7.91000,8.10000,53600
21,2023-03-20,7.49000,7.85000,7.46500,7.82000,64400
22,2023-03-17,7.55000,7.60200,7.36500,7.54000,74900
23,2023-03-16,7.46000,7.76000,7.46000,7.67000,53300
24,2023-03-15,7.37000,7.55000,7.27000,7.52000,39300
25,2023-03-14,7.32000,7.60000,7.32000,7.54000,88300
26,2023-03-13,7.25000,7.38000,6.81000,7.27000,35700
27,2023-03-10,7.52000,7.54000,7.27500,7.29000,57500
28,2023-03-09,7.86000,7.95000,7.60000,7.60000,44812
29,2023-03-08,7.85000,8.01000,7.80000,7.87000,29500
30,2023-03-07,7.72000,7.83000,7.71000,7.78000,18900
31,2023-03-06,7.80000,7.83000,7.58000,7.80000,70300
32,2023-03-03,7.71000,7.90000,7.71000,7.83000,16000
33,2023-03-02,7.65000,7.73100,7.64000,7.67000,36000
34,2023-03-01,7.61000,7.74000,7.60000,7.69000,26600
35,2023-02-28,7.78000,7.78000,7.52600,7.57000,19000
36,2023-02-27,7.77000,7.80000,7.74500,7.76000,9800
37,2023-02-24,7.79000,7.90000,7.65000,7.72000,29300
38,2023-02-23,7.94000,8.00500,7.68000,7.79000,26300
39,2023-02-22,7.64000,8.14000,7.64000,7.94000,49500
40,2023-02-21,7.70000,7.80000,7.60000,7.70000,27400
41,2023-02-17,7.77000,7.92000,7.53500,7.85000,44300
42,2023-02-16,8.03000,8.08000,7.75000,7.75000,27800
43,2023-02-15,8.03000,8.30000,8.02500,8.20000,24900
44,2023-02-14,8.26000,8.37000,7.94000,8.03000,44900
45,2023-02-13,8.69000,8.73500,8.28000,8.33000,26500
46,2023-02-10,8.63000,8.73000,8.50000,8.66000,47200
47,2023-02-09,8.79000,8.95000,8.35700,8.65000,71300
48,2023-02-08,8.59000,8.80000,8.33000,8.66000,78900
49,2023-02-07,8.64000,8.64000,8.39800,8.56000,38900
50,2023-02-06,8.36000,8.77000,8.32000,8.64000,31800
51,2023-02-03,8.29000,8.59000,8.23000,8.51500,35100
52,2023-02-02,8.41000,8.60000,8.25000,8.50000,51000
53,2023-02-01,8.05000,8.37500,8.00000,8.29000,97300
54,2023-01-31,7.71000,8.08000,7.66000,8.02000,50700
55,2023-01-30,7.23000,7.73000,7.18000,7.62000,43200
56,2023-01-27,7.34000,7.58000,7.30000,7.37000,21700
57,2023-01-26,7.50000,7.73000,7.28000,7.41000,25400
58,2023-01-25,7.11000,7.50000,7.02200,7.45000,32200
59,2023-01-24,7.42000,7.57000,7.19000,7.26000,20400
60,2023-01-23,7.35000,7.65000,7.22000,7.44500,19500
61,2023-01-20,7.34000,7.73000,6.91000,7.35000,76900
62,2023-01-19,7.36000,7.52000,6.88000,7.22000,48900
63,2023-01-18,7.12000,7.49000,7.12000,7.42000,41700
64,2023-01-17,6.97000,7.31000,6.89500,7.12000,56200
65,2023-01-13,6.95000,7.19000,6.70000,7.12000,70700
66,2023-01-12,6.66000,7.20000,6.66000,6.95000,65100
67,2023-01-11,6.52000,6.70700,6.49500,6.66000,34900
68,2023-01-10,6.40000,6.49000,6.28300,6.48000,40600
69,2023-01-09,6.41000,6.57000,6.37500,6.42000,27800
70,2023-01-06,6.25000,6.48000,6.21000,6.36000,34100
71,2023-01-05,6.28000,6.41500,6.16600,6.28000,25200
72,2023-01-04,6.36000,6.49000,6.20100,6.38000,46400
73,2023-01-03,6.31000,6.52000,6.10500,6.28000,144200
74,2022-12-30,5.77000,6.64000,5.77000,6.39000,124600
75,2022-12-29,5.38000,6.01000,5.38000,5.93000,67700
76,2022-12-28,5.37000,5.55000,5.28000,5.35000,30400
77,2022-12-27,5.47000,5.55000,5.33000,5.34000,57500
78,2022-12-23,5.45000,5.66000,5.36000,5.53000,70100
79,2022-12-22,5.60000,5.66000,5.41500,5.52000,71300
80,2022-12-21,5.65500,5.84000,5.63000,5.67000,67200
81,2022-12-20,5.52000,5.83000,5.48000,5.68000,74200
82,2022-12-19,5.76000,5.82500,5.52000,5.56000,70100
83,2022-12-16,5.71000,5.84000,5.62000,5.81000,68700
84,2022-12-15,6.08000,6.08000,5.75000,5.83000,80200
85,2022-12-14,6.16000,6.40000,6.13000,6.14000,99100
86,2022-12-13,6.46000,6.52000,6.08000,6.15000,82200
87,2022-12-12,6.50000,6.60500,6.18000,6.21000,63800
88,2022-12-09,6.40000,6.56000,6.32000,6.50000,34600
89,2022-12-08,6.36000,6.70000,6.25000,6.41000,40800
90,2022-12-07,6.40000,6.42000,6.20000,6.24000,54300
91,2022-12-06,6.65000,6.78000,6.36000,6.43000,46500
92,2022-12-05,6.77000,6.86000,6.57500,6.68000,39000
93,2022-12-02,6.66000,6.96000,6.51000,6.91000,84200
94,2022-12-01,6.78000,7.39000,6.63000,7.02000,120000
95,2022-11-30,7.11000,7.23000,6.69000,7.18000,94800
96,2022-11-29,7.29000,7.37000,6.95500,7.07000,26100
97,2022-11-28,7.62000,7.70500,7.23000,7.29000,33400
98,2022-11-25,7.52000,7.68000,7.41000,7.63000,12300
99,2022-11-23,7.35500,7.71500,7.23500,7.48000,44200
100,2022-11-22,7.29000,7.34500,6.97000,7.27000,50900
101,2022-11-21,7.10000,7.46000,7.10000,7.29000,45500
102,2022-11-18,7.43000,7.58400,7.15000,7.18000,66500
103,2022-11-17,7.47000,7.57000,7.09000,7.23000,58800
104,2022-11-16,7.48500,7.57000,7.43000,7.50000,32600
105,2022-11-15,7.63000,7.72500,7.56000,7.61000,42300
106,2022-11-14,7.55000,7.57000,7.25000,7.42000,68700
107,2022-11-11,7.04000,7.73000,6.80000,7.60000,726900
108,2022-11-10,6.60000,7.13000,6.27000,7.04000,322400
109,2022-11-09,6.69000,6.72000,6.18000,6.33000,181200
110,2022-11-08,6.91000,6.91000,6.58000,6.79000,145300
111,2022-11-07,6.64000,7.05000,6.50000,6.83000,200600
112,2022-11-04,6.99000,6.99000,6.41000,6.62000,156500
113,2022-11-03,7.49000,7.49000,6.94000,6.98000,128700
114,2022-11-02,7.63000,7.85500,7.49000,7.52000,62900
115,2022-11-01,8.26000,8.28000,7.70500,7.77000,55100
116,2022-10-31,8.05000,8.27500,8.05000,8.18000,35200
117,2022-10-28,7.88000,8.07500,7.73000,8.05000,30600
118,2022-10-27,8.00000,8.14000,7.75000,7.83000,46400
119,2022-10-26,8.17000,8.22000,8.01000,8.01000,19000
120,2022-10-25,8.12000,8.39000,8.07000,8.18000,38700
121,2022-10-24,8.05000,8.31000,7.95000,8.11000,35300
122,2022-10-21,7.97000,8.14000,7.86000,8.09000,21100
123,2022-10-20,7.76000,8.21000,7.66000,7.98000,36800
124,2022-10-19,8.00000,8.13000,7.65000,7.89000,67800
125,2022-10-18,7.56000,8.05000,7.45000,8.03000,168700
126,2022-10-17,7.22000,7.88000,7.22000,7.39000,52300
127,2022-10-14,7.55000,7.73000,7.11000,7.16000,41400
128,2022-10-13,7.22000,7.71000,7.20000,7.55000,55600
129,2022-10-12,7.21000,7.42000,7.06500,7.30000,106100
130,2022-10-11,7.51000,7.64000,7.16000,7.21000,41500
131,2022-10-10,7.88000,8.03000,7.50000,7.50000,74600
132,2022-10-07,8.33000,8.42000,7.85000,7.92000,37600
133,2022-10-06,8.09000,8.44500,8.09000,8.35000,64300
134,2022-10-05,8.22000,8.28000,8.00000,8.20000,20600
135,2022-10-04,8.18000,8.41000,8.02000,8.20000,44100
136,2022-10-03,8.18000,8.21600,7.96000,8.11000,52000
137,2022-09-30,8.00000,8.23000,7.86000,8.05000,64700
138,2022-09-29,8.02000,8.02000,7.72000,7.98000,62100
139,2022-09-28,8.09000,8.35000,8.07000,8.15000,44700
140,2022-09-27,8.08000,8.29000,7.98000,8.09000,58300
141,2022-09-26,8.12000,8.23000,7.98000,8.02000,36400
142,2022-09-23,8.30000,8.30000,7.88000,8.10000,40800
143,2022-09-22,8.30000,8.52000,8.22000,8.33000,35000
144,2022-09-21,8.34500,8.56000,8.20000,8.32000,94100
145,2022-09-20,8.63000,8.68000,8.20000,8.34000,87800
146,2022-09-19,8.70000,8.95000,8.50000,8.74000,57500
147,2022-09-16,9.06000,9.06000,8.57000,8.67000,164300
148,2022-09-15,9.26000,9.46000,9.01000,9.06000,106400
149,2022-09-14,9.79000,9.79000,9.14000,9.39000,239400
150,2022-09-13,10.02000,10.23000,9.72000,9.82000,107300
151,2022-09-12,10.60000,10.75000,9.86000,10.17000,75200
152,2022-09-09,10.19000,10.64000,9.90000,10.60000,79000
153,2022-09-08,9.66000,10.14000,9.64000,10.02000,71800
154,2022-09-07,9.74000,9.95000,9.33000,9.75000,52100
155,2022-09-06,10.12000,10.68000,9.49000,9.85000,182900
156,2022-09-02,9.93000,10.76000,9.89000,10.19000,133800
157,2022-09-01,9.80000,10.61000,9.27000,10.04000,274400
158,2022-08-31,10.32000,10.56000,10.13000,10.40000,251200
159,2022-08-30,10.43000,10.48000,10.17000,10.38000,50000
160,2022-08-29,11.00000,11.25000,10.24000,10.30000,66300
161,2022-08-26,10.66000,11.24000,10.65000,11.17000,97200
162,2022-08-25,10.59000,10.81000,10.40000,10.73000,57100
163,2022-08-24,10.22200,10.59000,10.22200,10.46000,38200
164,2022-08-23,9.98000,10.31000,9.95000,10.20000,69300
165,2022-08-22,9.77000,10.06000,9.76000,9.92000,45300
166,2022-08-19,10.10000,10.21000,9.83000,9.93000,35700
167,2022-08-18,10.18000,10.33500,10.06000,10.26000,28200
168,2022-08-17,9.98000,10.14000,9.81000,10.07000,41800
169,2022-08-16,10.08000,10.26000,9.96000,10.14000,33000
170,2022-08-15,10.02000,10.25000,9.82400,10.17000,29900
171,2022-08-12,9.83000,10.19000,9.81000,10.12000,43500
172,2022-08-11,10.35000,10.39000,9.80000,9.82000,72600
173,2022-08-10,10.10000,10.66000,9.94000,10.35000,69500
174,2022-08-09,9.81000,10.04000,9.51500,9.96000,79100
175,2022-08-08,10.03000,10.11000,9.84000,9.90000,36200
176,2022-08-05,9.98000,10.11000,9.82000,9.92000,40000
177,2022-08-04,10.30000,10.37000,9.88000,10.01000,51600
178,2022-08-03,10.37000,10.42000,10.25000,10.36000,33400
179,2022-08-02,10.15000,10.36500,10.06000,10.12000,27000
180,2022-08-01,9.96000,10.23500,9.83000,10.06000,49200
181,2022-07-29,10.03000,10.09000,9.85000,9.93000,51300
182,2022-07-28,10.24000,10.24000,9.90000,10.00000,30600
183,2022-07-27,10.31000,10.33200,10.12500,10.22000,20300
