,datetime,open,high,low,close,volume
0,2023-04-19,4.00500,4.09000,3.62000,3.94000,19100
1,2023-04-18,3.99000,4.10000,3.99000,4.06000,7400
2,2023-04-17,4.09000,4.16000,4.01000,4.11000,39700
3,2023-04-14,3.85000,4.14000,3.85000,4.09000,31000
4,2023-04-13,3.45000,3.88800,3.45000,3.84000,10700
5,2023-04-12,3.67000,3.67000,3.41000,3.53000,52800
6,2023-04-11,4.10600,4.12000,3.60000,3.60000,41500
7,2023-04-10,4.11000,4.19000,4.00000,4.01000,23800
8,2023-04-06,4.13000,4.15000,4.10000,4.14000,9500
9,2023-04-05,4.14300,4.16000,4.06000,4.07000,21800
10,2023-04-04,4.18000,4.19000,4.15000,4.15000,11400
11,2023-04-03,4.12500,4.18000,4.12000,4.18000,13100
12,2023-03-31,4.11500,4.16500,4.09000,4.09000,16000
13,2023-03-30,4.02000,4.19000,4.00000,4.10000,341400
14,2023-03-29,4.13000,4.20000,4.13000,4.20000,10500
15,2023-03-28,4.06000,4.16000,4.06000,4.13000,19400
16,2023-03-27,4.05000,4.10000,4.05000,4.09000,23800
17,2023-03-24,4.02000,4.07000,4.02000,4.04000,12000
18,2023-03-23,4.03000,4.06000,4.00000,4.02000,19400
19,2023-03-22,3.94000,4.04000,3.94000,4.02000,17000
20,2023-03-21,3.88000,3.99000,3.84000,3.99000,135800
21,2023-03-20,3.87000,3.88300,3.84000,3.88000,10300
22,2023-03-17,3.91000,3.91000,3.81000,3.83000,15000
23,2023-03-16,3.93000,3.99000,3.93000,3.99000,14900
24,2023-03-15,3.90000,3.95400,3.82000,3.93000,20700
25,2023-03-14,3.86100,3.91000,3.79000,3.90000,7000
26,2023-03-13,3.86800,3.87000,3.77000,3.85000,14100
27,2023-03-10,3.80500,3.85000,3.79000,3.85000,11200
28,2023-03-09,3.90000,3.93500,3.82600,3.83000,27300
29,2023-03-08,3.94000,3.95000,3.85000,3.91000,40900
30,2023-03-07,3.86900,3.96000,3.85000,3.95000,38500
31,2023-03-06,3.80000,3.92000,3.60000,3.89000,31200
32,2023-03-03,3.66000,3.84000,3.58000,3.84000,76100
33,2023-03-02,3.59000,3.65000,3.56000,3.59500,23200
34,2023-03-01,3.62000,3.65000,3.52000,3.60000,51900
35,2023-02-28,3.61000,3.63800,3.55100,3.59000,35000
36,2023-02-27,3.76000,3.76000,3.50000,3.61000,153700
37,2023-02-24,3.83000,3.87000,3.75900,3.76000,48100
38,2023-02-23,3.77000,3.92000,3.77000,3.86000,151600
39,2023-02-22,3.51000,3.80000,3.51000,3.79000,82600
40,2023-02-21,3.37000,3.65000,3.37000,3.50000,176300
41,2023-02-17,3.31000,3.48000,3.10000,3.45000,46700
42,2023-02-16,3.50000,3.55000,3.30000,3.30000,48200
43,2023-02-15,3.09000,3.56000,3.09000,3.54000,441300
44,2023-02-14,2.94000,3.24000,2.87000,3.10000,837300
45,2023-02-13,2.70000,2.99000,2.70000,2.91000,407700
46,2023-02-10,2.71000,2.72000,2.68500,2.70000,74600
47,2023-02-09,2.71000,2.89000,2.57400,2.70000,38100
48,2023-02-08,2.65000,2.70000,2.65000,2.69000,73800
49,2023-02-07,2.60000,2.78000,2.57000,2.70000,166200
50,2023-02-06,2.69000,2.70000,2.55500,2.60000,58700
51,2023-02-03,2.63000,2.69000,2.59000,2.65000,40300
52,2023-02-02,2.70000,2.80500,2.67500,2.68000,71400
53,2023-02-01,2.60000,2.79000,2.60000,2.70000,8900
54,2023-01-31,2.52000,2.61000,2.47000,2.58000,40500
55,2023-01-30,2.55000,2.68000,2.54000,2.56000,125400
56,2023-01-27,2.52000,2.54200,2.42400,2.52500,25200
57,2023-01-26,2.52900,2.53000,2.43000,2.45000,33500
58,2023-01-25,2.53000,2.57000,2.51000,2.51000,7200
59,2023-01-24,2.66000,2.66000,2.55000,2.55000,7300
60,2023-01-23,2.65000,2.68900,2.59000,2.59100,43700
61,2023-01-20,2.61000,2.64000,2.57000,2.64000,11800
62,2023-01-19,2.55000,2.68000,2.49000,2.64000,40300
63,2023-01-18,2.53000,2.65000,2.47000,2.63000,44200
64,2023-01-17,2.42000,2.55000,2.42000,2.55000,32300
65,2023-01-13,2.23000,2.53800,2.23000,2.41000,139800
66,2023-01-12,2.16000,2.24000,2.13000,2.23000,84500
67,2023-01-11,2.18500,2.22000,2.15000,2.18000,54000
68,2023-01-10,2.17500,2.20300,2.15500,2.19000,60500
69,2023-01-09,2.20000,2.21000,2.14500,2.17000,118700
70,2023-01-06,2.21000,2.26000,2.13000,2.19000,102000
71,2023-01-05,2.14000,2.19500,2.09000,2.17000,101500
72,2023-01-04,2.07000,2.30000,2.07000,2.13000,87600
73,2023-01-03,2.03000,2.29000,1.93000,2.16000,161300
74,2022-12-30,1.95000,2.02000,1.93500,1.97000,21700
75,2022-12-29,1.88000,1.95000,1.88000,1.95000,19300
76,2022-12-28,1.94000,1.96500,1.79000,1.89000,122700
77,2022-12-27,1.63000,1.97000,1.63000,1.94000,192100
78,2022-12-23,1.67000,1.75000,1.61000,1.63000,258600
79,2022-12-22,1.85000,1.90000,1.66000,1.66000,119800
80,2022-12-21,1.93000,1.95000,1.82000,1.82000,30500
81,2022-12-20,1.95000,1.98000,1.91000,1.96000,15800
82,2022-12-19,1.91000,2.02000,1.89000,1.97000,5800
83,2022-12-16,1.90000,2.00000,1.80000,1.93000,86700
84,2022-12-15,1.95000,2.05000,1.89000,1.89000,61700
85,2022-12-14,2.04000,2.11000,1.96000,1.99000,273100
86,2022-12-13,1.94000,2.05000,1.94000,1.99000,23800
87,2022-12-12,1.99000,2.08000,1.87700,2.00000,25500
88,2022-12-09,2.00000,2.06000,1.99900,2.02000,9700
89,2022-12-08,2.02000,2.08000,1.97000,2.03000,22000
90,2022-12-07,2.08000,2.08000,1.98000,2.06000,25500
91,2022-12-06,1.94000,2.05000,1.92000,1.97000,11300
92,2022-12-05,2.00000,2.10000,1.84000,1.98000,56800
93,2022-12-02,1.84000,2.04000,1.81000,2.01000,34300
94,2022-12-01,1.86500,1.98000,1.86500,1.93000,33600
95,2022-11-30,1.94000,2.07000,1.76000,1.97000,166400
96,2022-11-29,2.01000,2.06400,1.86000,1.94000,83600
97,2022-11-28,1.89000,2.07000,1.89000,2.07000,55900
98,2022-11-25,1.83000,2.08000,1.83000,1.95000,68700
99,2022-11-23,1.80000,1.95000,1.75000,1.92000,97700
100,2022-11-22,1.73000,1.80000,1.72000,1.72000,36200
101,2022-11-21,1.76000,1.80000,1.71000,1.74000,87400
102,2022-11-18,1.76000,1.81000,1.72000,1.80000,27100
103,2022-11-17,1.71000,1.79000,1.69000,1.77000,96100
104,2022-11-16,1.57000,1.79000,1.55000,1.67000,198300
105,2022-11-15,1.65000,1.65800,1.51000,1.56000,117500
