,datetime,open,high,low,close,volume
0,2023-04-19,21.47000,21.98000,21.46500,21.73000,67400
1,2023-04-18,21.43000,21.56000,21.17200,21.48000,190200
2,2023-04-17,21.30000,21.39000,20.95000,21.16000,54800
3,2023-04-14,21.09000,21.56500,20.87000,21.18000,157500
4,2023-04-13,21.53000,21.95000,20.79000,21.08000,110400
5,2023-04-12,21.60000,22.33000,21.41000,21.50000,255100
6,2023-04-11,20.72000,21.54000,20.63000,21.44000,92100
7,2023-04-10,20.61000,23.25000,19.74000,20.76000,213700
8,2023-04-06,20.54000,20.87200,19.70000,20.69000,105800
9,2023-04-05,20.07000,20.80000,19.99500,20.50000,196800
10,2023-04-04,20.53000,20.53000,19.71000,20.17000,329000
11,2023-04-03,21.87000,22.00000,20.28800,20.54000,365600
12,2023-03-31,21.70000,22.02000,20.02000,21.87000,233000
13,2023-03-30,21.26000,21.80000,20.91000,21.52000,397900
14,2023-03-29,21.11000,22.03500,20.55000,21.06000,592300
15,2023-03-28,20.21000,20.84000,20.13000,20.81000,311400
16,2023-03-27,19.98000,20.37000,19.84000,20.24000,299800
17,2023-03-24,19.52000,19.86000,19.49500,19.84000,176300
18,2023-03-23,19.49000,19.98000,19.49000,19.75000,144300
19,2023-03-22,19.69000,20.00000,19.36000,19.46000,127800
20,2023-03-21,19.37000,20.00500,19.36500,19.70000,223000
21,2023-03-20,18.47000,19.44000,18.38000,19.09000,357300
22,2023-03-17,18.82000,19.13000,18.25000,18.42000,1887400
23,2023-03-16,17.82000,18.80000,17.82000,18.73000,198300
24,2023-03-15,18.71000,18.71000,17.96300,18.14000,195300
25,2023-03-14,18.31000,19.49000,17.88000,19.09000,207500
26,2023-03-13,18.51000,18.82000,17.56000,17.92000,189900
27,2023-03-10,19.27000,19.72000,18.68000,18.85000,160100
28,2023-03-09,19.63000,20.92000,19.41000,19.50000,141200
29,2023-03-08,19.52000,19.69000,18.92000,19.52000,148300
30,2023-03-07,20.13000,20.32000,19.65000,19.72000,126000
31,2023-03-06,20.48000,20.66000,20.03000,20.11000,152400
32,2023-03-03,19.93000,20.46000,19.59500,20.25000,113600
33,2023-03-02,19.34000,20.03000,19.16000,19.80000,159000
34,2023-03-01,19.40000,19.84200,18.55200,19.54000,122900
35,2023-02-28,19.39000,19.84000,19.20000,19.52000,142600
36,2023-02-27,19.24000,19.35000,18.84400,19.30000,336800
37,2023-02-24,18.87000,19.11000,18.26000,19.11000,129500
38,2023-02-23,19.01000,19.28000,18.65000,18.88000,74900
39,2023-02-22,19.00000,19.11000,18.80000,19.06000,119200
40,2023-02-21,19.41000,19.44000,18.64500,19.03000,152700
41,2023-02-17,20.09000,20.56500,19.37500,19.67000,92600
42,2023-02-16,20.50000,20.69000,20.08000,20.08000,66200
43,2023-02-15,20.58000,20.80000,20.35000,20.64000,59300
44,2023-02-14,20.81000,20.88500,20.11000,20.65000,134800
45,2023-02-13,19.84000,21.38500,19.75200,20.79000,197200
46,2023-02-10,19.48000,20.34000,19.42200,20.06000,196100
47,2023-02-09,19.12000,19.88000,18.78000,19.75000,181300
48,2023-02-08,19.51000,20.17000,19.08000,19.30000,180200
49,2023-02-07,19.50000,20.37000,19.13800,19.70000,291600
50,2023-02-06,19.13000,19.43000,18.72000,19.25000,170400
51,2023-02-03,18.74000,19.27000,18.56500,19.10000,136900
52,2023-02-02,18.66000,19.00000,18.28000,18.93000,250900
53,2023-02-01,18.31000,18.90000,18.02000,18.70000,168600
54,2023-01-31,18.40000,18.72000,18.30000,18.51000,130300
55,2023-01-30,18.50000,18.65000,18.37700,18.54000,58300
56,2023-01-27,19.00000,19.17000,18.66000,18.69000,114800
57,2023-01-26,18.61000,19.11000,18.33000,18.93000,92100
58,2023-01-25,18.53000,18.54000,18.21000,18.38000,64200
59,2023-01-24,18.38000,18.55000,18.20000,18.49000,72200
60,2023-01-23,18.75000,18.75000,18.36000,18.53000,54700
61,2023-01-20,18.80000,18.80000,17.50000,18.53000,279400
62,2023-01-19,19.00000,19.14500,18.56000,18.69000,277800
63,2023-01-18,19.45000,19.72000,18.68000,19.03000,340200
64,2023-01-17,18.72000,19.59300,18.68000,19.48000,487300
65,2023-01-13,18.90000,19.85000,18.21000,19.10000,4171700
66,2023-01-13,19.30000,19.30000,19.30000,19.30000,0
67,2023-01-12,19.85000,19.85000,19.85000,19.85000,0
68,2023-01-11,19.85000,19.85000,19.85000,19.85000,0
69,2023-01-10,19.85000,19.85000,19.85000,19.85000,0
70,2023-01-09,19.85000,19.85000,19.85000,19.85000,0
71,2023-01-06,19.85000,19.85000,19.85000,19.85000,0
72,2023-01-05,19.55000,19.55000,19.55000,19.55000,0
73,2023-01-04,19.10000,19.10000,19.10000,19.10000,0
74,2023-01-03,18.85000,18.85000,18.85000,18.85000,0
75,2023-01-02,18.45000,18.45000,18.45000,18.45000,0
76,2022-12-30,18.40000,18.45000,18.40000,18.45000,0
77,2022-12-29,18.40000,18.40000,18.40000,18.40000,0
78,2022-12-28,18.10000,18.10000,18.10000,18.10000,0
79,2022-12-27,18.25000,18.25000,18.25000,18.25000,0
80,2022-12-23,17.95000,17.95000,17.95000,17.95000,0
81,2022-12-22,18.25000,18.25000,18.25000,18.25000,0
82,2022-12-21,18.25000,18.25000,18.25000,18.25000,30
83,2022-12-20,18.10000,18.10000,18.10000,18.10000,0
84,2022-12-19,17.95000,17.95000,17.95000,17.95000,0
85,2022-12-16,17.95000,17.95000,17.95000,17.95000,0
86,2022-12-15,18.10000,18.10000,18.10000,18.10000,0
87,2022-12-14,18.15000,18.15000,18.15000,18.15000,0
88,2022-12-13,18.15000,18.15000,18.15000,18.15000,0
89,2022-12-12,18.20000,18.20000,18.20000,18.20000,0
90,2022-12-09,18.75000,18.75000,18.75000,18.75000,0
91,2022-12-08,18.75000,18.75000,18.75000,18.75000,0
92,2022-12-07,18.75000,18.75000,18.75000,18.75000,0
93,2022-12-06,19.20000,19.20000,19.20000,19.20000,0
94,2022-12-05,18.10000,18.10000,18.10000,18.10000,0
95,2022-12-02,18.10000,18.10000,18.10000,18.10000,0
96,2022-12-01,18.35000,18.35000,18.35000,18.35000,0
97,2022-11-30,18.60000,18.60000,18.60000,18.60000,0
98,2022-11-29,18.70000,18.70000,18.70000,18.70000,0
99,2022-11-28,18.70000,18.70000,18.70000,18.70000,0
100,2022-11-25,18.70000,18.70000,18.70000,18.70000,0
101,2022-11-24,18.70000,18.70000,18.70000,18.70000,0
102,2022-11-23,18.70000,18.70000,18.70000,18.70000,0
103,2022-11-22,18.80000,18.80000,18.80000,18.80000,0
104,2022-11-21,18.80000,18.80000,18.80000,18.80000,0
105,2022-11-18,18.85000,18.85000,18.85000,18.85000,0
106,2022-11-17,18.85000,18.85000,18.85000,18.85000,0
107,2022-11-16,18.85000,18.85000,18.85000,18.85000,0
108,2022-11-15,18.75000,18.75000,18.75000,18.75000,0
109,2022-11-14,18.75000,18.75000,18.75000,18.75000,0
110,2022-11-11,18.65000,18.65000,18.65000,18.65000,0
111,2022-11-10,18.65000,18.65000,18.65000,18.65000,0
112,2022-11-09,18.90000,18.90000,18.90000,18.90000,0
113,2022-11-08,19.50000,19.50000,19.50000,19.50000,0
114,2022-11-07,19.50000,19.50000,19.50000,19.50000,0
115,2022-11-04,19.55000,19.55000,19.55000,19.55000,0
116,2022-11-03,19.55000,19.55000,19.55000,19.55000,0
117,2022-11-02,19.55000,19.55000,19.55000,19.55000,0
118,2022-11-01,19.55000,19.55000,19.55000,19.55000,0
119,2022-10-28,19.55000,19.55000,19.55000,19.55000,0
120,2022-10-27,19.55000,19.55000,19.55000,19.55000,0
121,2022-10-26,19.55000,19.55000,19.55000,19.55000,0
122,2022-10-25,19.55000,19.55000,19.55000,19.55000,0
123,2022-10-24,19.40000,19.40000,19.40000,19.40000,0
124,2022-10-21,19.40000,19.40000,19.40000,19.40000,0
125,2022-10-20,19.05000,19.05000,19.05000,19.05000,0
126,2022-10-19,19.05000,19.05000,19.05000,19.05000,0
127,2022-10-18,17.65000,17.65000,17.65000,17.65000,0
128,2022-10-17,17.10000,17.10000,17.10000,17.10000,0
129,2022-10-14,17.25000,17.25000,17.25000,17.25000,0
130,2022-10-13,16.95000,16.95000,16.95000,16.95000,0
131,2022-10-12,17.25000,17.25000,17.25000,17.25000,0
132,2022-10-11,17.40000,17.40000,17.40000,17.40000,0
133,2022-10-10,17.50000,17.50000,17.50000,17.50000,0
134,2022-10-07,17.65000,17.65000,17.65000,17.65000,0
135,2022-10-06,17.75000,17.75000,17.75000,17.75000,0
136,2022-10-05,17.40000,17.40000,17.40000,17.40000,0
137,2022-10-04,16.55000,16.55000,16.55000,16.55000,0
138,2022-10-03,16.55000,16.55000,16.55000,16.55000,0
139,2022-09-30,15.85000,15.85000,15.85000,15.85000,0
140,2022-09-29,17.20000,17.20000,17.20000,17.20000,0
141,2022-09-28,17.90000,17.90000,17.90000,17.90000,0
142,2022-09-27,18.70000,18.70000,18.70000,18.70000,0
143,2022-09-26,18.80000,18.80000,18.80000,18.80000,0
144,2022-09-23,19.20000,19.20000,19.20000,19.20000,0
145,2022-09-22,20.80000,20.80000,20.80000,20.80000,0
146,2022-09-21,21.30000,21.30000,21.30000,21.30000,0
147,2022-09-20,21.50000,21.50000,21.50000,21.50000,0
148,2022-09-19,22.50000,22.50000,22.50000,22.50000,0
149,2022-09-16,22.50000,22.50000,22.50000,22.50000,0
150,2022-09-15,24.40000,24.40000,24.40000,24.40000,0
151,2022-09-14,25.00000,25.00000,25.00000,25.00000,0
152,2022-09-13,25.10000,25.10000,25.10000,25.10000,0
153,2022-09-12,25.50000,25.50000,25.50000,25.50000,0
154,2022-09-09,25.60000,25.60000,25.60000,25.60000,0
155,2022-09-08,25.70000,25.70000,25.70000,25.70000,0
156,2022-09-07,26.40000,26.40000,26.40000,26.40000,0
157,2022-09-06,26.70000,26.70000,26.70000,26.70000,0
158,2022-09-05,27.20000,27.20000,27.20000,27.20000,0
159,2022-09-02,27.90000,27.90000,27.90000,27.90000,0
160,2022-09-01,28.10000,28.10000,28.10000,28.10000,0
161,2022-08-31,28.10000,28.10000,28.10000,28.10000,0
162,2022-08-30,28.10000,28.10000,28.10000,28.10000,0
163,2022-08-29,28.10000,28.10000,28.10000,28.10000,0
164,2022-08-26,28.30000,28.30000,28.30000,28.30000,0
165,2022-08-25,28.30000,28.30000,28.30000,28.30000,0
166,2022-08-24,28.30000,28.30000,28.30000,28.30000,0
167,2022-08-23,28.30000,28.30000,28.30000,28.30000,0
168,2022-08-22,28.70000,28.70000,28.70000,28.70000,0
169,2022-08-19,28.70000,28.70000,28.70000,28.70000,0
170,2022-08-18,28.70000,28.70000,28.70000,28.70000,0
171,2022-08-17,28.70000,28.70000,28.70000,28.70000,0
172,2022-08-16,28.10000,28.10000,28.10000,28.10000,0
173,2022-08-15,27.50000,27.50000,27.50000,27.50000,0
174,2022-08-12,27.50000,27.50000,27.50000,27.50000,0
175,2022-08-11,27.50000,27.50000,27.50000,27.50000,0
176,2022-08-10,27.50000,27.50000,27.50000,27.50000,0
177,2022-08-09,27.50000,27.50000,27.50000,27.50000,0
178,2022-08-08,28.20000,28.20000,28.20000,28.20000,0
179,2022-08-05,28.20000,28.20000,28.20000,28.20000,0
180,2022-08-04,28.10000,28.10000,28.10000,28.10000,0
181,2022-08-03,26.80000,26.80000,26.80000,26.80000,0
182,2022-08-02,26.40000,26.40000,26.40000,26.40000,0
183,2022-08-01,26.40000,26.40000,26.40000,26.40000,0
184,2022-07-29,26.60000,26.60000,26.60000,26.60000,0
185,2022-07-28,26.10000,26.10000,26.10000,26.10000,0
186,2022-07-27,25.90000,25.90000,25.90000,25.90000,0
187,2022-07-26,25.20000,25.20000,25.20000,25.20000,0
188,2022-07-25,24.70000,24.70000,24.70000,24.70000,0
189,2022-07-22,24.70000,24.70000,24.70000,24.70000,0
190,2022-07-21,24.70000,24.70000,24.70000,24.70000,0
191,2022-07-20,24.70000,24.70000,24.70000,24.70000,0
