,datetime,open,high,low,close,volume
0,2023-04-19,23.95000,23.95000,23.95000,23.95000,500
1,2023-04-18,24.20000,24.21000,24.20000,24.21000,500
2,2023-04-17,24.28000,24.28000,24.28000,24.28000,100
3,2023-04-14,24.23000,24.23000,24.23000,24.23000,0
4,2023-04-13,24.32500,24.45000,24.21000,24.23000,1700
5,2023-04-12,24.27000,24.45000,24.27000,24.45000,6400
6,2023-04-11,24.29200,24.29200,24.23000,24.23000,500
7,2023-04-10,24.20000,24.20000,24.20000,24.20000,500
8,2023-04-06,24.40000,24.40000,24.25000,24.25000,3400
9,2023-04-05,24.20000,24.20000,24.20000,24.20000,100
10,2023-04-04,24.27000,24.27000,24.27000,24.27000,0
11,2023-04-03,24.05000,24.40000,24.00000,24.27000,4100
12,2023-03-31,24.21000,24.21000,24.21000,24.21000,100
13,2023-03-30,24.30000,24.30000,24.23500,24.23500,1200
14,2023-03-29,24.00000,24.45000,24.00000,24.20000,3400
15,2023-03-28,24.00000,24.07000,23.84000,24.04000,3500
16,2023-03-27,24.15000,24.24000,24.00000,24.01000,12600
17,2023-03-24,24.13000,24.13000,24.00000,24.07000,11700
18,2023-03-23,24.05000,24.45200,24.04000,24.45200,800
19,2023-03-22,25.24000,25.24000,25.24000,25.24000,100
20,2023-03-21,25.24000,25.24000,25.24000,25.24000,200
21,2023-03-20,24.57000,25.19000,24.57000,25.19000,200
22,2023-03-17,24.00000,24.05000,24.00000,24.02000,2400
23,2023-03-16,23.80000,24.75000,21.94000,24.75000,18000
24,2023-03-15,23.51500,23.79000,23.51500,23.79000,1200
25,2023-03-14,24.90000,24.90000,24.90000,24.90000,0
26,2023-03-13,24.90000,24.93000,24.90000,24.90000,1100
27,2023-03-10,24.91000,24.91000,24.91000,24.91000,0
28,2023-03-09,24.91000,24.91000,24.91000,24.91000,0
29,2023-03-08,24.91000,24.91000,24.91000,24.91000,100
30,2023-03-07,24.91000,24.91000,24.91000,24.91000,100
31,2023-03-06,25.01000,25.01000,25.01000,25.01000,100
32,2023-03-03,25.13100,25.25000,24.90800,24.90800,2900
33,2023-03-02,24.70000,24.70000,24.70000,24.70000,0
34,2023-03-01,24.70000,24.83000,24.70000,24.70000,1000
35,2023-02-28,25.27000,25.27000,24.79000,24.79000,600
36,2023-02-27,26.00000,26.00000,25.50000,25.50000,1700
37,2023-02-24,25.50000,25.50000,25.50000,25.50000,1000
38,2023-02-23,25.60000,25.60000,25.21300,25.21300,600
39,2023-02-22,25.55000,25.55000,25.55000,25.55000,0
40,2023-02-21,25.89000,25.90000,25.55000,25.55000,1100
41,2023-02-17,25.60000,25.98000,25.60000,25.98000,18700
42,2023-02-16,25.68000,25.68000,25.68000,25.68000,100
43,2023-02-08,25.33600,25.33600,25.33600,25.33600,600
44,2023-02-07,25.38000,25.54900,25.21500,25.54900,1700
45,2023-02-03,25.02000,25.02000,25.02000,25.02000,100
46,2023-02-02,25.49000,25.49000,25.39000,25.49000,2400
47,2023-02-01,25.25500,25.25500,25.25500,25.25500,400
48,2023-01-31,25.00000,25.30000,25.00000,25.30000,700
49,2023-01-30,25.00000,25.23800,25.00000,25.01000,1500
50,2023-01-27,25.16000,25.16000,25.16000,25.16000,200
51,2023-01-26,25.15000,25.16000,25.15000,25.16000,400
52,2023-01-25,25.00000,26.00000,24.50000,25.06800,4900
53,2023-01-24,22.81000,24.82500,22.79200,24.76300,18400
54,2023-01-23,22.10000,22.63000,21.36000,21.40000,3000
55,2023-01-20,22.00000,22.35000,22.00000,22.00000,2300
56,2023-01-19,20.97000,22.15000,20.62500,21.97900,127600
57,2023-01-18,20.95000,20.97000,20.95000,20.97000,4700
58,2023-01-17,20.90000,20.90000,20.90000,20.90000,700
59,2023-01-13,21.04000,21.04000,20.44000,20.47200,6600
60,2023-01-12,21.00000,21.51000,21.00000,21.50000,1600
61,2023-01-11,21.65000,21.65000,21.65000,21.65000,800
62,2023-01-10,21.90000,22.29000,21.90000,22.29000,400
63,2023-01-09,21.00000,21.00000,21.00000,21.00000,300
64,2023-01-06,20.61000,20.77000,20.61000,20.77000,900
65,2023-01-04,21.19000,21.44000,20.82000,20.82000,4500
66,2023-01-03,21.15000,21.15000,20.95500,20.95500,600
67,2022-12-30,21.87000,21.87000,21.87000,21.87000,100
68,2022-12-29,21.18000,21.87000,20.55000,21.87000,2000
