,datetime,open,high,low,close,volume
0,2023-04-19,0.97000,1.00000,0.97000,0.97300,23100
1,2023-04-18,1.00000,1.00000,0.97000,0.97100,36800
2,2023-04-17,0.97100,1.00000,0.97100,0.98900,19800
3,2023-04-14,0.98900,1.01000,0.97000,0.97100,36100
4,2023-04-13,0.97100,1.01000,0.97100,0.98000,34200
5,2023-04-12,0.98100,1.01000,0.98100,1.00100,48000
6,2023-04-11,0.97800,1.01000,0.97800,0.98200,28200
7,2023-04-10,0.97000,1.00000,0.97000,0.99000,14700
8,2023-04-06,1.01000,1.01000,0.97700,1.01000,31000
9,2023-04-05,1.00000,1.03000,0.97500,0.97600,38000
10,2023-04-04,0.99100,1.00000,0.97000,0.99800,29500
11,2023-04-03,1.00000,1.02000,0.98000,1.00000,43500
12,2023-03-31,1.02000,1.03000,0.99500,1.02000,63500
13,2023-03-30,0.99800,1.02000,0.97500,1.01000,106500
14,2023-03-29,1.01000,1.01000,0.98500,0.99600,47300
15,2023-03-28,0.98000,1.01000,0.98000,0.98500,22800
16,2023-03-27,1.05000,1.05000,0.99000,0.99900,114500
17,2023-03-24,1.02000,1.05000,0.99000,1.04000,126100
18,2023-03-23,1.05000,1.05500,0.96600,1.04000,964600
19,2023-03-22,1.15000,1.26000,1.11000,1.22000,207800
20,2023-03-21,1.11000,1.17000,1.08000,1.14000,112700
21,2023-03-20,1.05000,1.16000,1.05000,1.10000,294400
22,2023-03-17,1.05000,1.06000,1.02000,1.03000,51400
23,2023-03-16,1.02000,1.05000,0.97100,1.05000,108700
24,2023-03-15,0.95000,1.05000,0.95000,1.03000,143700
25,2023-03-14,1.02000,1.06000,0.93000,0.98000,376700
26,2023-03-13,0.97900,1.01000,0.97000,0.97600,87500
27,2023-03-10,1.02000,1.04000,0.97000,0.97000,141100
28,2023-03-09,0.98000,1.05000,0.95100,1.05000,280400
29,2023-03-08,0.96800,1.00000,0.96800,0.98900,38100
30,2023-03-07,0.98000,1.00000,0.96000,0.96300,102300
31,2023-03-06,1.00000,1.01000,0.98000,0.98000,62100
32,2023-03-03,0.95100,1.02800,0.94000,1.02000,141500
33,2023-03-02,1.02000,1.02000,0.80600,0.98000,247200
34,2023-03-01,1.12000,1.12000,1.03000,1.04000,87900
35,2023-02-28,1.02900,1.18000,1.01000,1.10000,344200
36,2023-02-27,1.01000,1.06000,1.01000,1.02000,37000
