,datetime,open,high,low,close,volume
0,2023-04-19,1.09000,1.12000,1.08000,1.12000,15600
1,2023-04-18,1.01000,1.08000,1.01000,1.07000,8300
2,2023-04-17,1.04000,1.09000,1.04000,1.07000,16400
3,2023-04-14,1.03000,1.03000,1.01000,1.01000,9500
4,2023-04-13,1.02000,1.04000,1.02000,1.02000,6200
5,2023-04-12,1.03000,1.04000,1.02000,1.04000,4200
6,2023-04-11,1.01000,1.06000,1.01000,1.06000,2200
7,2023-04-10,1.01000,1.05000,1.01000,1.05000,5200
8,2023-04-06,1.05000,1.06000,1.01000,1.01000,1400
9,2023-04-05,1.00000,1.06000,1.00000,1.06000,2200
10,2023-04-04,1.08000,1.08000,1.00000,1.00000,30800
11,2023-04-03,1.07000,1.07000,1.01000,1.06000,6500
12,2023-03-31,1.05000,1.15000,1.05000,1.06000,35100
13,2023-03-30,1.14000,1.15000,1.10000,1.14000,12000
14,2023-03-29,1.02000,1.10000,1.02000,1.07000,12300
15,2023-03-28,1.05000,1.10000,0.98000,1.02000,13200
16,2023-03-27,1.02000,1.10000,0.94000,1.07000,7000
17,2023-03-24,0.95000,1.07000,0.91000,0.98000,27200
18,2023-03-23,0.94000,1.05000,0.94000,0.97000,52300
19,2023-03-22,1.01000,1.03000,0.94000,1.03000,2500
20,2023-03-21,0.93000,1.06000,0.91000,0.95000,20200
21,2023-03-20,0.87000,0.95000,0.87000,0.90000,10700
22,2023-03-17,0.90000,0.92000,0.85000,0.85000,21000
23,2023-03-16,0.93000,0.96000,0.92000,0.92000,15400
24,2023-03-15,0.95000,1.10000,0.95000,0.96000,21500
25,2023-03-14,0.98000,1.12000,0.90000,0.93000,42600
26,2023-03-13,0.89000,1.01000,0.85000,0.93000,21300
27,2023-03-10,1.10000,1.10000,0.91000,0.98000,13800
28,2023-03-09,1.08000,1.09000,1.06000,1.07000,3200
29,2023-03-08,1.06000,1.13000,1.05000,1.09000,10900
30,2023-03-07,1.05000,1.09000,1.05000,1.07000,2500
31,2023-03-06,1.13000,1.13000,1.05000,1.07000,7500
32,2023-03-03,1.14000,1.14000,1.10000,1.13000,6100
33,2023-03-02,1.12000,1.14000,1.12000,1.12000,2700
34,2023-03-01,1.12000,1.14000,1.10000,1.12000,12400
35,2023-02-28,1.16000,1.19000,1.12000,1.12000,4800
36,2023-02-27,1.21000,1.21000,1.12000,1.19000,8400
37,2023-02-24,1.13000,1.25000,1.12000,1.17000,46800
38,2023-02-23,1.17000,1.20000,1.12000,1.16000,17300
39,2023-02-22,1.12000,1.19000,1.12000,1.15000,11100
40,2023-02-21,1.13000,1.25000,1.12000,1.13000,14400
41,2023-02-17,1.09000,1.16000,1.09000,1.12000,20600
42,2023-02-16,1.27000,1.30000,1.12000,1.16000,47500
43,2023-02-15,1.36000,1.36000,1.20000,1.27000,63700
44,2023-02-14,1.21000,1.39000,1.17000,1.33000,251800
45,2023-02-13,1.23000,1.23000,1.15000,1.18000,11500
46,2023-02-10,1.15000,1.21000,1.00000,1.16000,54500
47,2023-02-09,1.12000,1.12000,0.97000,1.04000,7300
48,2023-02-08,1.12000,1.20000,1.12000,1.20000,5200
49,2023-02-07,1.12000,1.21000,1.12000,1.21000,13300
50,2023-02-06,1.15000,1.25000,1.12000,1.16000,29900
51,2023-02-03,0.98000,1.31000,0.96000,1.15000,162500
52,2023-02-02,1.00000,1.00000,0.96000,0.98000,23100
53,2023-02-01,0.93000,0.98000,0.93000,0.94000,62000
54,2023-01-31,0.88000,0.92000,0.85000,0.92000,9200
55,2023-01-30,0.87000,0.87000,0.85000,0.87000,12200
56,2023-01-27,0.86000,0.93000,0.86000,0.87000,20000
57,2023-01-26,0.87000,0.89000,0.86000,0.86000,2100
58,2023-01-25,0.85000,0.88000,0.85000,0.86000,1600
59,2023-01-24,0.88000,0.88000,0.86000,0.86000,9100
60,2023-01-23,0.93000,0.93000,0.90000,0.91000,10300
61,2023-01-20,0.88000,0.93000,0.88000,0.93000,3500
62,2023-01-19,0.92000,0.93000,0.88000,0.88000,9800
63,2023-01-18,0.85000,0.93000,0.85000,0.88000,3900
64,2023-01-17,0.91000,0.94000,0.86000,0.87000,6000
65,2023-01-13,0.85000,0.92000,0.85000,0.91000,9500
66,2023-01-12,0.85000,0.85000,0.85000,0.85000,1300
67,2023-01-11,0.83000,0.83000,0.82000,0.82000,7300
68,2023-01-10,0.82000,0.82000,0.80000,0.80000,6900
69,2023-01-09,0.84000,0.84000,0.78000,0.81000,26600
70,2023-01-06,0.78000,0.85000,0.78000,0.82000,4000
71,2023-01-05,0.78000,0.82000,0.78000,0.79000,8100
72,2023-01-04,0.77000,0.81000,0.74000,0.79000,3400
73,2023-01-03,0.88000,0.88000,0.77000,0.80000,6300
74,2022-12-30,0.76000,0.82000,0.76000,0.79000,3000
75,2022-12-29,0.75000,0.87000,0.75000,0.80000,18300
76,2022-12-28,0.79000,0.84000,0.77000,0.80000,14500
77,2022-12-27,0.82000,0.84000,0.77000,0.79000,22500
78,2022-12-23,0.84000,0.87000,0.82000,0.82000,13900
79,2022-12-22,0.84000,0.86000,0.84000,0.84000,6500
80,2022-12-21,0.84000,0.90000,0.84000,0.86000,11400
81,2022-12-20,0.90000,0.90000,0.84000,0.84000,2900
82,2022-12-19,0.90000,0.91000,0.84000,0.91000,19200
83,2022-12-16,0.85000,0.90000,0.84000,0.90000,3300
84,2022-12-15,0.84000,0.88000,0.84000,0.88000,700
85,2022-12-14,0.89000,0.90000,0.84000,0.84000,4000
86,2022-12-13,0.88000,0.90000,0.87000,0.87000,26100
87,2022-12-12,0.90000,0.90000,0.85000,0.88000,2500
88,2022-12-09,0.90000,0.90000,0.85000,0.90000,2800
89,2022-12-08,0.86000,0.86000,0.86000,0.86000,400
90,2022-12-07,0.85000,0.90000,0.85000,0.86000,6200
91,2022-12-06,0.85000,0.85000,0.85000,0.85000,3200
92,2022-12-05,0.85000,0.85000,0.85000,0.85000,1000
93,2022-12-02,0.85000,0.87000,0.85000,0.86000,22300
94,2022-12-01,0.85000,0.86000,0.85000,0.86000,2500
95,2022-11-30,0.86000,0.87000,0.85000,0.85000,5800
96,2022-11-29,0.85000,0.92000,0.85000,0.87000,1300
97,2022-11-28,0.88000,0.94000,0.84000,0.92000,18700
98,2022-11-25,0.85000,0.89000,0.84000,0.88000,13900
99,2022-11-23,0.85000,0.90000,0.85000,0.89000,10000
100,2022-11-22,0.86000,0.90000,0.84000,0.86000,1700
101,2022-11-21,0.84000,0.92000,0.84000,0.86000,3300
102,2022-11-18,0.94000,0.94000,0.82000,0.84000,3300
103,2022-11-17,0.87000,0.89000,0.81000,0.88000,2100
104,2022-11-16,0.81000,0.89000,0.81000,0.89000,9800
105,2022-11-15,0.95000,0.95000,0.82000,0.82000,2500
106,2022-11-14,0.83000,0.93000,0.83000,0.86000,6200
107,2022-11-11,0.83000,0.90000,0.83000,0.87000,3200
108,2022-11-10,0.82000,0.90000,0.82000,0.84000,6000
109,2022-11-09,0.86000,0.86000,0.83000,0.83000,700
110,2022-11-08,0.86000,0.95000,0.82000,0.83000,43300
111,2022-11-07,0.83000,0.90000,0.83000,0.89000,16100
112,2022-11-04,0.82000,0.93000,0.82000,0.90000,7100
113,2022-11-03,0.88000,0.93000,0.88000,0.89000,8400
114,2022-11-02,0.97000,0.97000,0.91000,0.96000,3000
115,2022-11-01,0.90000,0.94000,0.85000,0.93000,73400
116,2022-10-31,0.81000,0.86000,0.81000,0.82000,3600
117,2022-10-28,0.82000,0.89000,0.82000,0.89000,2900
118,2022-10-27,0.81000,0.85000,0.81000,0.85000,3200
119,2022-10-26,0.78000,0.89000,0.78000,0.79000,29000
120,2022-10-25,0.80000,0.83000,0.79000,0.79000,12600
121,2022-10-24,0.79000,0.90000,0.79000,0.80000,2300
122,2022-10-21,0.83000,0.88000,0.77000,0.84000,3600
123,2022-10-20,0.77000,0.81000,0.77000,0.80000,1400
124,2022-10-19,0.85000,0.85000,0.80000,0.81000,5200
125,2022-10-18,0.88000,0.90000,0.77000,0.85000,7900
126,2022-10-17,0.90000,0.90000,0.80000,0.86000,30100
127,2022-10-14,0.86000,0.88000,0.78000,0.86000,7100
128,2022-10-13,0.83000,0.90000,0.83000,0.89000,3100
129,2022-10-12,0.83000,0.88000,0.78000,0.88000,6800
130,2022-10-11,0.84000,0.90000,0.84000,0.88000,4500
131,2022-10-10,0.83000,0.83000,0.83000,0.83000,1800
132,2022-10-07,0.84000,0.87000,0.82000,0.83000,8500
133,2022-10-06,0.87000,0.92000,0.84000,0.91000,5600
134,2022-10-05,0.92000,0.92000,0.87000,0.92000,7300
135,2022-10-04,0.87000,0.92000,0.87000,0.90000,9700
136,2022-10-03,0.90000,0.90000,0.80000,0.84000,16500
137,2022-09-30,0.78000,0.92000,0.78000,0.87000,16100
138,2022-09-29,0.76000,0.85000,0.76000,0.85000,26800
139,2022-09-28,0.82000,0.88000,0.76000,0.81000,34200
140,2022-09-27,0.83000,0.84000,0.74000,0.82000,77300
141,2022-09-26,0.81000,0.83000,0.76000,0.79000,57300
142,2022-09-23,0.94000,0.94000,0.76000,0.84000,108700
143,2022-09-22,0.99000,0.99000,0.91000,0.94000,68500
144,2022-09-21,0.99000,1.00000,0.95000,1.00000,10100
145,2022-09-20,0.97000,0.99000,0.95000,0.97000,27200
146,2022-09-19,1.05000,1.05000,0.96000,0.98000,13600
147,2022-09-16,1.01000,1.05000,0.96000,1.05000,38700
148,2022-09-15,1.01000,1.01000,0.98000,1.01000,30100
149,2022-09-14,1.00000,1.04000,0.99000,0.99000,38300
150,2022-09-13,0.99000,1.02000,0.99000,1.00000,92700
151,2022-09-12,0.97000,1.02000,0.97000,0.99000,18600
152,2022-09-09,0.99000,1.06000,0.98000,0.98000,14100
153,2022-09-08,1.04000,1.04000,0.97000,1.00000,5100
154,2022-09-07,0.98000,1.02000,0.97000,1.02000,10200
155,2022-09-06,1.01000,1.03000,0.97000,0.99000,12900
156,2022-09-02,1.00000,1.02000,1.00000,1.02000,8200
157,2022-09-01,0.99000,1.00000,0.99000,0.99000,5100
158,2022-08-31,0.98000,1.00000,0.98000,0.99000,14800
159,2022-08-30,0.98000,0.99000,0.98000,0.99000,5400
160,2022-08-29,1.00000,1.00000,0.98000,0.99000,9800
161,2022-08-26,0.98000,1.00000,0.98000,1.00000,3100
162,2022-08-25,0.99000,0.99000,0.98000,0.99000,5900
163,2022-08-24,1.00000,1.02000,0.98000,1.00000,9000
164,2022-08-23,1.01000,1.02000,0.98000,0.98000,12400
165,2022-08-22,0.99000,1.00000,0.97000,0.99000,9500
166,2022-08-19,1.01000,1.01000,0.98000,0.98000,65900
167,2022-08-18,1.02000,1.03000,1.00000,1.00000,86200
168,2022-08-17,1.00000,1.02000,1.00000,1.00000,39300
169,2022-08-16,1.00000,1.03000,1.00000,1.00000,113400
170,2022-08-15,1.04000,1.06000,1.00000,1.00000,81300
171,2022-08-12,1.02000,1.06000,1.02000,1.04000,90600
172,2022-08-11,1.09000,1.12000,1.07000,1.07000,42300
173,2022-08-10,1.07000,1.16000,1.05000,1.12000,59700
174,2022-08-09,1.10000,1.10000,1.06000,1.06000,25700
175,2022-08-08,1.03000,1.10000,1.03000,1.08000,42700
176,2022-08-05,1.03000,1.08000,1.02000,1.05000,26500
177,2022-08-04,1.03000,1.06000,0.99000,1.02000,44600
178,2022-08-03,1.00000,1.06000,0.98000,1.00000,57000
179,2022-08-02,0.98000,1.01000,0.96000,1.01000,46300
180,2022-08-01,1.07000,1.07000,0.97000,1.01000,79500
181,2022-07-29,1.10000,1.10000,1.02000,1.06000,25600
182,2022-07-28,1.13000,1.19000,1.01000,1.10000,100600
183,2022-07-27,1.14000,1.25000,1.07000,1.18000,695600
184,2022-07-26,1.22000,1.23000,1.07000,1.15000,1578300
185,2022-07-25,1.06000,1.20000,1.05000,1.10000,800500
186,2022-07-22,1.14000,1.16000,1.10000,1.13000,18300
187,2022-07-21,1.10000,1.19000,1.10000,1.17000,539100
188,2022-07-20,1.12000,1.15000,1.10000,1.11000,58600
189,2022-07-19,1.13000,1.18000,1.10000,1.11000,76400
190,2022-07-18,1.12000,1.12000,1.11000,1.12000,2500
191,2022-07-15,1.06000,1.10000,1.06000,1.10000,4100
192,2022-07-14,1.07000,1.07000,1.07000,1.07000,0
193,2022-07-13,1.07000,1.09000,1.07000,1.08000,2800
