,datetime,open,high,low,close,volume
0,2023-04-19,57.50000,57.92000,57.39000,57.70000,598000
1,2023-04-18,58.03000,58.22000,57.49000,57.73000,538000
2,2023-04-17,57.48000,57.80000,56.97000,57.75000,593700
3,2023-04-14,57.58000,57.94000,56.98000,57.48000,734800
4,2023-04-13,57.30000,57.95000,57.20000,57.54000,1180500
5,2023-04-12,57.83000,58.04000,57.22000,57.24000,1089800
6,2023-04-11,56.49000,57.90000,56.31000,57.38000,1971900
7,2023-04-10,55.88000,56.26000,55.59000,56.20000,842400
8,2023-04-06,55.20000,56.31000,55.02000,56.29000,871600
9,2023-04-05,55.62000,55.72000,55.04000,55.19000,905000
10,2023-04-04,56.81000,57.00000,55.31000,55.75000,1299300
11,2023-04-03,56.54000,56.72000,56.13000,56.53000,947800
12,2023-03-31,55.58000,56.57000,55.39000,56.47000,644500
13,2023-03-30,55.90000,55.97000,55.38000,55.49000,941700
14,2023-03-29,54.87000,55.37000,54.62000,55.19000,843200
15,2023-03-28,54.10000,54.56000,53.76000,54.41000,879300
16,2023-03-27,54.37000,54.74000,54.03000,54.42000,1068000
17,2023-03-24,53.45000,53.96000,52.93000,53.92000,874400
18,2023-03-23,54.51000,55.01000,53.63000,53.93000,1873600
19,2023-03-22,55.70000,55.78000,54.23000,54.26000,1428800
20,2023-03-21,54.95000,55.77000,54.75000,55.66000,1689000
21,2023-03-20,54.22000,54.87000,54.22000,54.50000,1656600
22,2023-03-17,55.16000,55.16000,53.75000,53.87000,1729100
23,2023-03-16,53.48000,55.37000,53.35000,55.24000,1353300
24,2023-03-15,54.64000,54.78000,53.21000,53.82000,1253200
25,2023-03-14,55.19000,55.84000,54.35000,54.88000,1559400
26,2023-03-13,54.66000,54.98000,53.76000,54.34000,1402400
27,2023-03-10,57.00000,57.18000,55.11000,55.26000,1481100
28,2023-03-09,58.70000,59.14000,57.10000,57.18000,1190000
29,2023-03-08,58.10000,58.72000,58.04000,58.51000,1057900
30,2023-03-07,59.19000,59.24000,57.94000,58.14000,1407700
31,2023-03-06,59.66000,60.13000,59.07000,59.26000,1057800
32,2023-03-03,59.44000,59.76000,58.91000,59.53000,1101732
33,2023-03-02,58.53000,59.22000,58.32830,59.17000,1090255
34,2023-03-01,58.54000,58.91000,58.29000,58.72000,1308059
35,2023-02-28,59.09000,59.39000,58.42000,58.70000,2048462
36,2023-02-27,60.25000,60.28000,59.22000,59.47000,1116934
37,2023-02-24,59.67000,59.99000,59.20000,59.94000,1292539
38,2023-02-23,60.04000,60.59000,59.72000,60.47000,2207843
39,2023-02-22,60.18000,60.61000,59.65000,59.90000,1178278
40,2023-02-21,60.96000,61.21000,60.09000,60.10000,949097
41,2023-02-17,61.86000,62.14000,61.41000,61.74000,1242748
42,2023-02-16,62.02000,62.69000,61.89000,62.32000,993139
43,2023-02-15,62.15000,63.03000,61.84000,62.99000,1241491
44,2023-02-14,62.09000,62.82000,61.83000,62.46000,1264427
45,2023-02-13,62.02000,62.66000,61.95000,62.43000,1251903
46,2023-02-10,62.45000,62.71000,61.75000,62.26000,1504059
47,2023-02-09,64.30000,64.52000,62.87500,62.93000,1772392
48,2023-02-08,63.66000,63.87000,61.85500,63.74000,2262229
49,2023-02-07,60.66000,61.94000,60.24000,61.64000,1482249
50,2023-02-06,60.84000,61.20000,60.29940,60.69000,843073
51,2023-02-03,61.52000,62.22000,61.36000,61.62000,1575278
52,2023-02-02,62.12000,63.38000,62.00000,62.49000,1472252
53,2023-02-01,60.35000,61.92000,59.69000,61.60000,1283417
54,2023-01-31,59.10000,60.40000,58.77000,60.35000,1285086
