,datetime,open,high,low,close,volume
0,2023-04-19,10.58000,10.59000,10.57500,10.59000,8900
1,2023-04-18,10.55000,10.55000,10.55000,10.55000,0
2,2023-04-17,10.55000,10.55000,10.55000,10.55000,0
3,2023-04-14,10.55000,10.55000,10.55000,10.55000,400
4,2023-04-13,10.55000,10.55000,10.55000,10.55000,400
5,2023-04-12,10.55000,10.55000,10.55000,10.55000,0
6,2023-04-11,10.55000,10.55000,10.55000,10.55000,0
7,2023-04-10,10.55000,10.55000,10.55000,10.55000,0
8,2023-04-06,10.55000,10.57000,10.55000,10.55000,11900
9,2023-04-05,10.55000,10.55000,10.55000,10.55000,0
10,2023-04-04,10.55000,10.56000,10.55000,10.55000,11600
11,2023-04-03,10.56000,10.56000,10.56000,10.56000,0
12,2023-03-31,10.56000,10.56000,10.56000,10.56000,0
13,2023-03-30,10.53000,10.56000,10.53000,10.56000,1000
14,2023-03-29,10.54000,10.55000,10.54000,10.55000,14200
15,2023-03-28,10.54000,10.54000,10.54000,10.54000,2900
16,2023-03-27,10.51000,10.51000,10.51000,10.51000,0
17,2023-03-24,10.51000,10.51000,10.51000,10.51000,0
18,2023-03-23,10.51000,10.51000,10.51000,10.51000,0
19,2023-03-22,10.51000,10.51000,10.51000,10.51000,100
20,2023-03-21,10.51000,10.51000,10.51000,10.51000,100
21,2023-03-20,10.51000,10.51000,10.51000,10.51000,0
22,2023-03-17,10.51000,10.51000,10.51000,10.51000,0
23,2023-03-16,10.51000,10.51000,10.51000,10.51000,0
24,2023-03-15,10.51000,10.51000,10.51000,10.51000,100
25,2023-03-14,10.52000,10.53000,10.52000,10.53000,74
26,2023-03-13,10.53500,10.53500,10.53500,10.53500,0
27,2023-03-10,10.53000,10.53500,10.53000,10.53500,210900
28,2023-03-09,10.50500,10.50500,10.50500,10.50500,4894
29,2023-03-08,10.50500,10.50500,10.50500,10.50500,0
30,2023-03-07,10.50500,10.50500,10.50500,10.50500,4894
31,2023-03-06,10.50500,10.50500,10.50500,10.50500,0
32,2023-03-03,10.50500,10.50500,10.50500,10.50500,0
33,2023-03-02,10.50500,10.50500,10.50500,10.50500,0
34,2023-03-01,10.50000,10.51000,10.50000,10.50500,4900
35,2023-02-28,10.52000,10.52000,10.52000,10.52000,0
36,2023-02-27,10.53000,10.53000,10.52000,10.52000,75900
37,2023-02-24,10.53000,10.53000,10.52000,10.53000,50400
38,2023-02-23,10.45000,10.45000,10.45000,10.45000,0
39,2023-02-22,10.45000,10.45000,10.45000,10.45000,0
40,2023-02-17,10.45000,10.45000,10.45000,10.45000,400000
41,2023-02-16,10.44000,10.45000,10.44000,10.45000,59300
42,2023-02-15,10.44900,10.44900,10.44900,10.44900,200
43,2023-02-14,10.45000,10.45000,10.45000,10.45000,300
44,2023-02-13,10.45000,10.45000,10.45000,10.45000,300
45,2023-02-09,10.45500,10.45500,10.44500,10.44500,8900
46,2023-02-08,10.45000,10.52000,10.45000,10.45000,26100
47,2023-02-07,10.45000,10.46000,10.45000,10.45000,42000
48,2023-02-06,10.46000,10.46000,10.43000,10.45000,21500
49,2023-02-03,10.45000,10.46000,10.44000,10.45000,103600
50,2023-02-02,10.65000,10.65000,10.46000,10.46000,800
51,2023-02-01,10.59000,10.59000,10.59000,10.59000,200
52,2023-01-31,10.58000,10.58000,10.43000,10.45000,1700
53,2023-01-30,10.51200,10.54500,10.43000,10.47000,11000
54,2023-01-27,10.44200,10.44200,10.44200,10.44200,100
55,2023-01-26,10.78000,10.91700,10.42000,10.48000,45400
56,2023-01-25,10.72200,10.72200,10.42000,10.44000,10500
57,2023-01-24,10.42000,10.78500,10.41000,10.42000,815200
58,2023-01-23,10.80000,11.37100,10.41000,10.45000,20600
59,2023-01-20,10.42000,10.43000,10.41000,10.42000,450600
60,2023-01-19,10.41000,10.42000,10.41000,10.41500,150700
61,2023-01-18,10.41000,10.44000,10.41000,10.41000,681900
62,2023-01-17,10.41000,10.41000,10.40500,10.40500,1300
63,2023-01-13,10.41000,10.41000,10.41000,10.41000,33600
64,2023-01-12,10.41000,10.43000,10.40000,10.40000,245500
65,2023-01-11,10.38500,10.40000,10.38500,10.40000,7100
66,2023-01-10,10.39000,10.39000,10.39000,10.39000,200
67,2023-01-06,10.39000,10.40000,10.37000,10.38000,47900
68,2023-01-05,10.38000,10.40000,10.38000,10.38000,763000
69,2023-01-04,10.38000,10.38000,10.38000,10.38000,800
70,2023-01-03,10.36000,10.38000,10.36000,10.38000,471800
71,2022-12-30,10.37000,10.37000,10.37000,10.37000,100
72,2022-12-29,10.38000,10.39000,10.37000,10.37000,15500
73,2022-12-28,10.35000,10.38000,10.35000,10.38000,291500
74,2022-12-27,10.34500,10.36000,10.34500,10.36000,30900
75,2022-12-22,10.34500,10.38000,10.34000,10.38000,59700
76,2022-12-21,10.34000,10.36000,10.33000,10.33000,27900
77,2022-12-20,10.36000,10.36000,10.34000,10.34000,24000
78,2022-12-19,10.33000,10.33000,10.32000,10.33000,700
79,2022-12-16,10.31000,10.31000,10.31000,10.31000,16
80,2022-12-15,10.31000,10.31000,10.31000,10.31000,0
81,2022-12-14,10.31000,10.31000,10.31000,10.31000,100
82,2022-12-13,10.31000,10.31000,10.31000,10.31000,0
83,2022-12-12,10.31000,10.31000,10.31000,10.31000,0
84,2022-12-05,10.31000,10.31000,10.31000,10.31000,5000
85,2022-12-01,10.30500,10.30500,10.30000,10.30000,5200
86,2022-11-30,10.31000,10.31000,10.31000,10.31000,1200
87,2022-11-29,10.31000,10.31000,10.30000,10.31000,1082400
88,2022-11-28,10.29000,10.30000,10.29000,10.30000,167400
89,2022-11-23,10.28500,10.28500,10.28500,10.28500,900
90,2022-11-22,10.29000,10.29000,10.29000,10.29000,5000
91,2022-11-14,10.27000,10.27000,10.27000,10.27000,100
92,2022-11-10,10.27000,10.27000,10.27000,10.27000,17800
93,2022-11-08,10.26500,10.26500,10.26000,10.26000,5900
94,2022-11-07,10.26500,10.27000,10.26500,10.27000,88400
95,2022-11-04,10.26000,10.27500,10.26000,10.27000,5900
96,2022-11-03,10.26000,10.26000,10.26000,10.26000,332400
97,2022-11-02,10.26000,10.26000,10.26000,10.26000,22400
98,2022-11-01,10.25500,10.25500,10.25500,10.25500,4600
99,2022-10-31,10.26000,10.26000,10.26000,10.26000,0
100,2022-10-28,10.25000,10.26000,10.25000,10.25000,18400
101,2022-10-26,10.22000,10.22000,10.22000,10.22000,2
102,2022-10-21,10.22000,10.22000,10.21000,10.21000,65200
103,2022-10-17,10.20000,10.20000,10.20000,10.20000,100
104,2022-10-07,10.20000,10.20000,10.20000,10.20000,12900
105,2022-10-06,10.20000,10.20000,10.20000,10.20000,471400
106,2022-10-05,10.20000,10.20000,10.20000,10.20000,0
107,2022-10-04,10.19000,10.19000,10.19000,10.19000,25200
108,2022-10-03,10.19000,10.19000,10.19000,10.19000,3600
109,2022-09-30,10.19000,10.19000,10.19000,10.19000,5200
110,2022-09-29,10.19000,10.19000,10.18000,10.18000,55800
111,2022-09-28,10.17000,10.18000,10.17000,10.18000,9400
112,2022-09-27,10.17000,10.17000,10.17000,10.17000,10400
113,2022-09-22,10.19000,10.19000,10.17000,10.19000,12
114,2022-09-21,10.19000,10.19000,10.19000,10.19000,300
115,2022-09-20,10.18000,10.18000,10.17000,10.17000,0
116,2022-09-19,10.17000,10.19000,10.17000,10.19000,11400
117,2022-09-16,10.16000,10.16000,10.16000,10.16000,3500
118,2022-09-15,10.17000,10.18000,10.17000,10.17000,88000
119,2022-09-14,10.16000,10.17000,10.16000,10.17000,27600
120,2022-09-13,10.13500,10.19000,10.13500,10.19000,102
121,2022-09-12,10.13500,10.19000,10.13500,10.19000,2
122,2022-09-09,10.13500,10.19000,10.13500,10.19000,3
123,2022-09-08,10.16000,10.16000,10.15000,10.15000,0
124,2022-09-07,10.13500,10.19000,10.13500,10.19000,2
125,2022-09-06,10.13500,10.19000,10.13500,10.19000,3
126,2022-09-01,10.13500,10.19000,10.13000,10.19000,2
127,2022-08-31,10.13500,10.19000,10.13000,10.19000,2
128,2022-08-26,10.13000,10.13000,10.13000,10.13000,0
129,2022-08-23,10.13500,10.19000,10.13000,10.19000,25000
130,2022-08-12,10.13000,10.14000,10.13000,10.13000,0
131,2022-08-11,10.13000,10.13000,10.13000,10.13000,100
132,2022-08-09,10.13000,10.13000,10.13000,10.13000,47800
133,2022-08-05,10.14000,10.15000,10.14000,10.15000,5100
134,2022-08-03,10.12000,10.12000,10.12000,10.12000,7800
135,2022-08-01,10.12500,10.13000,10.12000,10.12000,18400
136,2022-07-28,10.13000,10.13000,10.13000,10.13000,600
137,2022-07-25,10.14000,10.14000,10.14000,10.14000,366600
138,2022-07-19,10.10000,10.10000,10.10000,10.10000,800
139,2022-07-15,10.09000,10.09000,10.09000,10.09000,140100
140,2022-07-14,10.06000,10.06000,10.06000,10.06000,100
141,2022-07-11,10.07000,10.07000,10.07000,10.07000,500
142,2022-07-08,10.07000,10.07000,10.07000,10.07000,100
143,2022-07-07,10.08000,10.08000,10.08000,10.08000,300
144,2022-07-06,10.07000,10.08000,10.06000,10.08000,528700
145,2022-07-05,10.07000,10.07000,10.07000,10.07000,5500
146,2022-06-30,10.06000,10.06000,10.05000,10.06000,12300
147,2022-06-29,10.11000,10.11000,10.07000,10.07000,3200
148,2022-06-28,10.07000,10.07000,10.07000,10.07000,21700
149,2022-06-27,10.05000,10.05000,10.05000,10.05000,200
150,2022-06-23,10.05000,10.05000,10.05000,10.05000,500
151,2022-06-22,10.05000,10.05000,10.05000,10.05000,700
152,2022-06-21,10.15000,10.15000,10.15000,10.15000,200
153,2022-06-16,10.07000,10.07000,10.07000,10.07000,4300
154,2022-06-15,10.10000,10.10000,10.10000,10.10000,200
155,2022-06-14,10.06000,10.06000,10.06000,10.06000,5300
156,2022-06-10,10.07000,10.07000,10.07000,10.07000,800
157,2022-06-07,10.05000,10.05000,10.05000,10.05000,1300
158,2022-06-06,10.10000,10.10000,10.10000,10.10000,100
159,2022-06-03,10.09000,10.09000,10.09000,10.09000,200
160,2022-06-02,10.03000,10.05000,10.02000,10.05000,34800
161,2022-05-27,10.05000,10.05000,10.05000,10.05000,200
162,2022-05-13,10.05000,10.05000,10.05000,10.05000,10100
163,2022-05-12,10.05000,10.05000,10.05000,10.05000,6500
164,2022-05-10,10.06800,10.06800,10.06800,10.06800,300
165,2022-05-09,10.08000,10.08000,10.08000,10.08000,10100
166,2022-05-05,10.08000,10.08000,10.07000,10.07000,12200
167,2022-05-04,10.08000,10.08000,10.08000,10.08000,200
