,datetime,open,high,low,close,volume
0,2023-04-19,14.59000,15.18000,14.59000,15.17000,7700
1,2023-04-18,14.89000,15.37000,14.65000,14.86000,19600
2,2023-04-17,14.65000,15.09000,14.12000,14.88000,23100
3,2023-04-14,15.49000,15.88600,14.58000,14.74000,20800
4,2023-04-13,14.13000,16.84000,14.13000,15.49000,36400
5,2023-04-12,14.58000,14.58000,13.76000,13.88000,11300
6,2023-04-11,14.88000,14.88000,14.03000,14.48000,11900
7,2023-04-10,15.57000,15.57000,14.65000,14.65000,16700
8,2023-04-06,15.76000,15.82000,15.37000,15.57000,6700
9,2023-04-05,14.65600,15.89000,14.65600,15.57000,18600
10,2023-04-04,16.00000,16.00000,15.52000,15.67000,9400
11,2023-04-03,15.95000,16.66000,15.76000,16.00000,43100
12,2023-03-31,15.73000,16.86300,15.73000,16.07000,28200
13,2023-03-30,16.22000,16.59000,15.54000,15.70000,45700
14,2023-03-29,16.00000,16.64000,15.02000,16.22000,42100
15,2023-03-28,15.91000,16.00000,14.53000,15.95000,45600
16,2023-03-27,15.80000,16.00000,15.45000,15.97000,52500
17,2023-03-24,15.15000,16.00000,14.73000,15.95000,29200
18,2023-03-23,15.50000,16.00000,14.97800,15.45000,69600
19,2023-03-22,15.89000,16.00000,15.00000,15.17000,58300
20,2023-03-21,15.89000,16.00000,15.50000,15.97000,83300
21,2023-03-20,14.80000,16.00000,14.21000,15.85000,53700
22,2023-03-17,14.35000,15.29000,13.10000,15.29000,110700
23,2023-03-16,14.35000,14.77000,13.66000,14.77000,20700
24,2023-03-15,13.30000,14.36000,12.90000,14.21000,17800
25,2023-03-14,13.44000,14.18000,12.10000,13.71000,67500
26,2023-03-13,11.77000,14.29000,11.45000,13.02000,27800
27,2023-03-10,14.94000,15.37000,9.82000,12.08000,65900
28,2023-03-09,15.02000,15.17000,14.58500,15.09000,37700
29,2023-03-08,15.00000,15.19000,14.27000,15.18000,43400
30,2023-03-07,14.36000,15.25000,13.46000,15.00000,203400
31,2023-03-06,13.05000,14.25300,13.05000,13.60000,127900
32,2023-03-03,12.07000,12.24000,10.85000,12.13000,26900
33,2023-03-02,13.11000,13.11000,11.95000,12.22000,8300
34,2023-03-01,13.44000,13.74000,12.60000,12.77000,24600
35,2023-02-28,12.12000,13.49000,11.68000,13.21000,30500
36,2023-02-27,10.73000,12.16000,10.73000,11.94000,18200
37,2023-02-24,9.94000,10.89000,9.70000,10.52000,32600
38,2023-02-23,11.51000,11.51000,10.26000,10.26000,27600
39,2023-02-22,12.03000,12.10000,11.15000,11.28000,80500
40,2023-02-21,12.68000,13.80000,11.77500,12.26000,50100
41,2023-02-17,13.57000,13.57000,12.55200,13.10000,42500
42,2023-02-16,12.78000,13.91000,12.51300,13.45000,41000
43,2023-02-15,12.50000,12.88000,12.17000,12.48000,18400
44,2023-02-14,13.47000,13.70300,12.52000,12.52000,28800
45,2023-02-13,13.60000,13.74000,13.06900,13.61000,17600
46,2023-02-10,14.17000,14.21500,13.28000,13.60000,817000
47,2023-02-09,13.08000,14.56000,13.03000,14.04000,245300
48,2023-02-08,13.53000,13.76000,13.00000,13.07000,17800
49,2023-02-07,13.47000,13.80000,13.01000,13.53000,30900
50,2023-02-06,13.02000,13.52000,12.91500,13.44000,18200
51,2023-02-03,13.75000,13.75000,12.83000,13.18000,36600
52,2023-02-02,14.35000,14.35000,11.35000,13.30000,90000
53,2023-02-01,10.62000,14.61200,10.62000,13.20000,134400
54,2023-01-31,9.32500,10.62000,9.15000,10.62000,26400
55,2023-01-30,8.50000,8.92000,8.28000,8.67000,11800
56,2023-01-27,8.00000,9.08000,8.00000,8.58000,6800
57,2023-01-26,8.37000,8.50000,7.54900,8.50000,13700
58,2023-01-25,7.67000,8.39000,7.67000,8.30000,5900
59,2023-01-24,7.86000,7.99000,7.40000,7.77000,5200
60,2023-01-23,7.87000,8.09000,7.18000,7.87000,9600
61,2023-01-20,7.85000,8.11000,7.37900,7.94000,15700
62,2023-01-19,8.12000,8.12000,7.42500,7.73000,8000
63,2023-01-18,8.22000,8.35000,8.05000,8.11000,11700
64,2023-01-17,8.40500,8.96000,7.99000,8.32000,38000
65,2023-01-13,7.76000,8.46000,7.76000,8.39000,13400
66,2023-01-12,6.98000,8.19000,6.98000,7.94000,19600
