,datetime,open,high,low,close,volume
0,2023-04-19,58.48000,60.35000,57.70000,59.78000,368800
1,2023-04-18,60.19000,60.19000,57.98000,58.11000,214000
2,2023-04-17,57.72000,60.08000,57.17000,60.03000,325000
3,2023-04-14,59.90000,60.13000,57.67000,58.19000,286800
4,2023-04-13,57.74000,59.78000,57.14000,59.36000,409300
5,2023-04-12,57.95000,58.27000,57.16000,57.48000,389800
6,2023-04-11,59.26000,59.99000,57.65000,57.71000,279300
7,2023-04-10,57.74000,59.29000,57.48000,58.15000,517000
8,2023-04-06,57.71000,58.72000,57.71000,58.25000,412600
9,2023-04-05,56.51000,58.46000,56.25000,58.19000,648600
10,2023-04-04,57.77000,59.00000,56.00000,57.54000,580400
11,2023-04-03,58.18000,58.86000,57.00000,57.28000,430000
12,2023-03-31,59.29000,59.59000,56.85000,57.72000,739500
13,2023-03-30,60.45000,60.66000,58.56000,58.64000,357400
14,2023-03-29,60.27000,60.27000,58.33000,59.67000,562600
15,2023-03-28,59.01000,61.25000,58.32000,58.88000,574500
16,2023-03-27,62.03000,63.01000,59.11000,59.25000,644500
17,2023-03-24,57.96000,59.49000,57.40000,59.31000,997900
18,2023-03-23,61.08000,61.42000,58.46000,58.68000,548200
19,2023-03-22,64.10000,64.58000,60.28000,60.44000,405200
20,2023-03-21,64.43000,66.47000,62.38000,64.19000,594800
21,2023-03-20,60.36000,64.76000,60.27000,60.46000,730800
22,2023-03-17,61.45000,62.58000,57.38000,58.27000,1703000
23,2023-03-16,62.99000,67.99000,62.27000,65.28000,783700
24,2023-03-15,62.55000,64.79000,60.95000,64.50000,1097200
25,2023-03-14,71.99000,75.20000,62.77000,64.13000,1256200
26,2023-03-13,72.55000,72.55000,51.28000,65.08000,2506900
27,2023-03-10,77.75000,79.84000,75.56000,77.09000,404300
28,2023-03-09,85.85000,85.85000,79.75000,79.76000,253400
29,2023-03-08,86.00000,86.50000,85.39000,86.17000,193200
30,2023-03-07,88.04000,88.41000,85.33000,85.81000,115400
31,2023-03-06,88.82000,89.21000,87.89000,88.32000,124300
32,2023-03-03,88.33000,89.09000,87.32500,88.85000,121628
33,2023-03-02,89.23000,89.23000,87.02000,88.03000,151129
34,2023-03-01,90.22000,90.64500,89.59000,89.95000,168255
35,2023-02-28,91.38000,91.99000,90.02750,90.66000,249300
36,2023-02-27,91.34000,92.07000,90.77500,91.06000,167304
37,2023-02-24,90.71000,91.19000,89.89000,91.17000,159013
38,2023-02-23,90.88000,91.58000,90.28000,91.26000,175705
39,2023-02-22,90.71000,91.29000,89.98000,90.79000,187775
40,2023-02-21,91.30000,91.30000,90.00000,90.99000,153594
41,2023-02-17,91.25000,91.88000,90.49000,91.67000,354181
42,2023-02-16,90.66000,91.25000,89.82000,90.76000,140834
43,2023-02-15,90.83000,91.96000,90.32000,91.43000,139508
44,2023-02-14,91.34000,91.82500,89.98000,91.19000,181216
45,2023-02-13,90.87000,91.77000,90.81500,91.77000,110086
46,2023-02-10,90.62000,91.81750,90.43000,90.83000,154819
47,2023-02-09,91.95000,92.48000,90.36000,90.94000,133708
