,datetime,open,high,low,close,volume
0,2023-04-19,10.45000,10.46000,10.44000,10.44000,9500
1,2023-04-18,10.43000,11.45000,10.43000,10.44500,208900
2,2023-04-17,10.44000,10.45500,10.43000,10.43000,410100
3,2023-04-14,10.43000,10.43000,10.43000,10.43000,700
4,2023-04-13,10.45600,10.49500,10.45600,10.48400,1300
5,2023-04-12,10.42000,10.43000,10.42000,10.43000,59700
6,2023-04-11,10.41000,10.45000,10.40000,10.42000,10000
7,2023-04-10,10.42000,10.46000,10.41600,10.45000,130900
8,2023-04-06,10.41000,10.42000,10.41000,10.42000,18300
9,2023-04-05,10.41100,10.42000,10.41000,10.42000,5100
10,2023-04-04,10.41000,10.41000,10.41000,10.41000,17300
11,2023-04-03,10.43500,10.43500,10.41000,10.41000,4600
12,2023-03-31,10.48000,10.48000,10.41000,10.41000,9200
13,2023-03-30,10.41000,10.42000,10.41000,10.41000,39800
14,2023-03-29,10.40500,10.41000,10.40000,10.40500,111100
15,2023-03-28,10.40000,10.40000,10.40000,10.40000,700
16,2023-03-27,10.42000,10.42000,10.40000,10.42000,63500
17,2023-03-24,10.39400,10.41000,10.39400,10.41000,3900
18,2023-03-23,10.40000,10.41000,10.40000,10.41000,2500
19,2023-03-22,10.42000,10.42000,10.38500,10.40000,104600
20,2023-03-21,10.38000,10.39000,10.38000,10.39000,3300
21,2023-03-20,10.37200,10.39800,10.37000,10.39000,5300
22,2023-03-17,10.37000,10.40000,10.37000,10.40000,5500
23,2023-03-16,10.42000,10.47000,10.37000,10.40000,4600
24,2023-03-15,10.37000,10.39000,10.36000,10.37000,177300
25,2023-03-14,10.43500,10.43500,10.37000,10.37000,17000
26,2023-03-13,10.43500,10.50000,10.37000,10.38000,98400
27,2023-03-10,10.43500,10.49000,10.37000,10.37000,74800
28,2023-03-09,10.37500,10.37500,10.37000,10.37500,5600
29,2023-03-08,10.37000,10.37500,10.36000,10.37000,16200
30,2023-03-07,10.36000,10.36000,10.36000,10.36000,100
31,2023-03-06,10.39000,10.39000,10.36000,10.36000,18800
32,2023-03-03,10.36800,10.36800,10.36200,10.36200,500
33,2023-03-02,10.42500,10.50000,10.35000,10.37000,11400
34,2023-03-01,10.35000,10.35000,10.35000,10.35000,2900
35,2023-02-28,10.37000,10.37000,10.36000,10.36000,1100
36,2023-02-27,10.38000,10.38000,10.35000,10.35000,10600
37,2023-02-24,10.35000,10.36000,10.35000,10.35500,1800
38,2023-02-23,10.35000,10.36000,10.34000,10.36000,28500
39,2023-02-22,10.33000,10.35400,10.33000,10.35000,6600
40,2023-02-21,10.33000,10.34000,10.33000,10.33000,1000
41,2023-02-17,10.35000,10.35000,10.33000,10.34000,2800
42,2023-02-16,10.33000,10.34000,10.33000,10.34000,600
43,2023-02-15,10.33700,10.35000,10.32000,10.34000,8400
44,2023-02-14,10.34000,10.34000,10.33000,10.34000,3400
45,2023-02-13,10.31000,10.32500,10.30000,10.32000,7100
46,2023-02-10,10.30600,10.31000,10.30000,10.30000,1700
47,2023-02-09,10.32600,10.32600,10.30000,10.30000,10200
48,2023-02-08,10.30000,10.32000,10.30000,10.32000,14900
49,2023-02-07,10.30000,10.31500,10.30000,10.30000,6700
50,2023-02-06,10.30500,10.32500,10.29000,10.32000,30000
51,2023-02-03,10.31000,10.31000,10.28000,10.30000,4500
52,2023-02-02,10.29000,10.29500,10.29000,10.29000,3600
53,2023-02-01,10.30000,10.31000,10.28400,10.29000,10900
