,datetime,open,high,low,close,volume
0,2023-04-19,0.27800,0.27800,0.25000,0.25100,97100
1,2023-04-18,0.25000,0.27800,0.25000,0.27000,125400
2,2023-04-17,0.24400,0.25000,0.23100,0.24900,45600
3,2023-04-14,0.24600,0.24900,0.23000,0.23500,118300
4,2023-04-13,0.25000,0.25000,0.23200,0.24900,37400
5,2023-04-12,0.24000,0.26000,0.23100,0.25000,211900
6,2023-04-11,0.23000,0.24000,0.22300,0.23700,63700
7,2023-04-10,0.25100,0.25100,0.20100,0.22000,183500
8,2023-04-06,0.27000,0.28000,0.25000,0.25900,236400
9,2023-04-05,0.23700,0.27000,0.23000,0.26400,319000
10,2023-04-04,0.22000,0.25500,0.22000,0.23000,92000
11,2023-04-03,0.21900,0.22000,0.20500,0.21100,81200
12,2023-03-31,0.20500,0.22000,0.20500,0.22000,105700
13,2023-03-30,0.21300,0.22000,0.20500,0.21000,55700
14,2023-03-29,0.20200,0.21000,0.19400,0.20500,47400
15,2023-03-28,0.20900,0.22000,0.19000,0.20000,131200
16,2023-03-27,0.21900,0.22400,0.20600,0.20900,87500
17,2023-03-24,0.21000,0.22000,0.20000,0.21000,137900
18,2023-03-23,0.21700,0.25000,0.21700,0.22600,71500
19,2023-03-22,0.22000,0.22600,0.21500,0.21700,244500
20,2023-03-21,0.26000,0.26000,0.22000,0.23500,463600
21,2023-03-20,0.23000,0.28000,0.23000,0.26000,262700
22,2023-03-17,0.29200,0.29200,0.24000,0.24000,158400
23,2023-03-16,0.23800,0.26700,0.22700,0.25700,318300
24,2023-03-15,0.22600,0.23200,0.20700,0.21600,231300
25,2023-03-14,0.24100,0.24900,0.23000,0.23000,162700
26,2023-03-13,0.25000,0.29000,0.24100,0.24900,116000
27,2023-03-10,0.27000,0.27000,0.24000,0.24500,212300
28,2023-03-09,0.28400,0.30300,0.27000,0.27900,210900
29,2023-03-08,0.26200,0.29000,0.26200,0.28300,160000
30,2023-03-07,0.29500,0.29500,0.27600,0.28000,125500
31,2023-03-06,0.28800,0.30600,0.28100,0.29500,135000
32,2023-03-03,0.32000,0.32000,0.26500,0.29100,462900
33,2023-03-02,0.27600,0.33300,0.27600,0.31600,367900
34,2023-03-01,0.29000,0.30000,0.28200,0.28500,212700
35,2023-02-28,0.34000,0.35000,0.29500,0.29800,337500
36,2023-02-27,0.35700,0.35700,0.34000,0.34000,136100
37,2023-02-24,0.38700,0.39000,0.34400,0.35500,434900
38,2023-02-23,0.41900,0.43500,0.38400,0.39900,197800
39,2023-02-22,0.40200,0.43900,0.39000,0.41800,126300
40,2023-02-21,0.40100,0.44900,0.38800,0.43200,299800
41,2023-02-17,0.44000,0.45000,0.38800,0.43000,417100
42,2023-02-16,0.49400,0.53000,0.40000,0.41900,1138700
43,2023-02-15,0.44200,0.50000,0.42000,0.46800,541800
44,2023-02-14,0.44100,0.47800,0.41500,0.45300,681600
45,2023-02-13,0.47000,0.50900,0.38300,0.48000,1990600
46,2023-02-10,0.42000,0.49000,0.37000,0.47700,5363700
47,2023-02-09,0.46000,0.47000,0.40000,0.41000,240500
48,2023-02-08,0.48500,0.48500,0.44800,0.46800,248300
49,2023-02-07,0.48000,0.50000,0.45100,0.48800,657500
50,2023-02-06,0.48000,0.53200,0.47000,0.50300,711400
51,2023-02-03,0.41000,0.47500,0.40000,0.45000,920100
52,2023-02-02,0.40000,0.43700,0.39900,0.41000,723200
53,2023-02-01,0.37600,0.44400,0.33000,0.40000,1080800
54,2023-01-31,0.36900,0.40000,0.34500,0.38100,1362100
55,2023-01-30,0.33500,0.40500,0.31000,0.36900,2810700
56,2023-01-27,0.39100,0.42500,0.35200,0.35800,3192100
57,2023-01-26,0.62000,0.64500,0.40300,0.43000,25300000
58,2023-01-25,0.22000,0.59000,0.21200,0.38000,20060500
59,2023-01-24,0.23000,0.24500,0.21800,0.22000,475600
60,2023-01-23,0.24000,0.24000,0.21000,0.22300,290000
61,2023-01-20,0.23000,0.23800,0.20500,0.21000,501300
62,2023-01-19,0.21800,0.24100,0.21000,0.21700,251200
63,2023-01-18,0.24000,0.24100,0.20500,0.22500,515600
64,2023-01-17,0.25800,0.26000,0.22900,0.22900,1264000
65,2023-01-13,0.23500,0.25900,0.23000,0.24700,229200
66,2023-01-12,0.25700,0.25700,0.22900,0.24400,179900
67,2023-01-11,0.25000,0.25000,0.22900,0.24000,275500
