,datetime,open,high,low,close,volume
0,2023-04-19,0.14000,0.15000,0.14000,0.14000,1640100
1,2023-04-18,0.14000,0.15000,0.14000,0.14000,1228900
2,2023-04-17,0.14000,0.15000,0.13000,0.15000,2835500
3,2023-04-14,0.14000,0.14000,0.13000,0.14000,1956900
4,2023-04-13,0.13000,0.14000,0.13000,0.14000,3333900
5,2023-04-12,0.13000,0.13000,0.12000,0.13000,1844900
6,2023-04-11,0.12000,0.13000,0.12000,0.13000,2948100
7,2023-04-10,0.13000,0.13000,0.12000,0.12000,6619100
8,2023-04-06,0.16000,0.16000,0.13000,0.14000,20144900
9,2023-04-05,0.14000,0.14000,0.13000,0.13000,1850200
10,2023-04-04,0.14000,0.14000,0.13000,0.13000,3087600
11,2023-04-03,0.13000,0.13000,0.12000,0.13000,4241900
12,2023-03-31,0.14000,0.14000,0.12000,0.12000,8428600
13,2023-03-30,0.15000,0.15000,0.13000,0.14000,10984400
14,2023-03-29,0.14000,0.15000,0.14000,0.14000,2288900
15,2023-03-28,0.15000,0.15000,0.13000,0.14000,3402700
16,2023-03-27,0.14000,0.15000,0.14000,0.14000,3322800
17,2023-03-24,0.14000,0.14000,0.13000,0.14000,4662900
18,2023-03-23,0.15000,0.15000,0.14000,0.14000,5357500
19,2023-03-22,0.17000,0.20000,0.14000,0.16000,42547400
20,2023-03-21,0.13000,0.14000,0.13000,0.13000,2134600
21,2023-03-20,0.14000,0.14000,0.13000,0.13000,2317400
22,2023-03-17,0.15000,0.15000,0.14000,0.14000,2450400
23,2023-03-16,0.16000,0.16000,0.14000,0.15000,1383700
24,2023-03-15,0.14000,0.16000,0.14000,0.15000,2111500
25,2023-03-14,0.15000,0.16000,0.14000,0.15000,1252900
26,2023-03-13,0.13000,0.16000,0.13000,0.15000,3280800
27,2023-03-10,0.15000,0.15000,0.13000,0.13000,3763700
28,2023-03-09,0.15000,0.16000,0.14000,0.14000,2381200
29,2023-03-08,0.16000,0.16000,0.15000,0.15000,1875400
30,2023-03-07,0.16000,0.17000,0.16000,0.16000,1789000
31,2023-03-06,0.17000,0.17000,0.16000,0.16000,2223200
32,2023-03-03,0.17000,0.17000,0.16000,0.17000,2205200
33,2023-03-02,0.18000,0.18000,0.17000,0.17000,2528500
34,2023-03-01,0.18000,0.19000,0.17000,0.18000,2119100
35,2023-02-28,0.18000,0.19000,0.17000,0.18000,1289900
