,datetime,open,high,low,close,volume
0,2023-04-19,2.30000,2.31000,2.18000,2.24000,733300
1,2023-04-18,2.41000,2.42000,2.27000,2.32000,1236900
2,2023-04-17,2.18000,2.42000,2.13000,2.37000,2664600
3,2023-04-14,2.22000,2.23000,2.08000,2.17000,1074700
4,2023-04-13,1.99000,2.23000,1.98000,2.18000,2648500
5,2023-04-12,2.08000,2.11000,1.97000,1.99000,2649800
6,2023-04-11,1.95000,2.11000,1.94000,2.07000,1138300
7,2023-04-10,1.88000,1.99000,1.77000,1.94000,1129000
8,2023-04-06,1.83000,1.93000,1.79000,1.89000,754500
9,2023-04-05,1.92000,2.04000,1.84000,1.89000,1655400
10,2023-04-04,1.82000,1.94000,1.79000,1.94000,2192400
11,2023-04-03,1.64000,1.83000,1.64000,1.82000,2798500
12,2023-03-31,1.45000,1.70000,1.44000,1.63000,2742000
13,2023-03-30,1.42000,1.49000,1.36000,1.46000,2596900
14,2023-03-29,1.33000,1.35000,1.31000,1.32000,300200
15,2023-03-28,1.26000,1.35000,1.26000,1.33000,662900
16,2023-03-27,1.30000,1.31000,1.26000,1.27000,312600
17,2023-03-24,1.28000,1.30000,1.25000,1.28000,823900
18,2023-03-23,1.32000,1.35000,1.26000,1.28000,679600
19,2023-03-22,1.35000,1.36000,1.30000,1.32000,577000
20,2023-03-21,1.29000,1.36000,1.28000,1.34000,651900
21,2023-03-20,1.34000,1.34000,1.26000,1.29000,875400
22,2023-03-17,1.29000,1.39000,1.28000,1.35000,1126000
23,2023-03-16,1.30000,1.32000,1.27000,1.30000,429800
24,2023-03-15,1.29000,1.31000,1.25000,1.30000,547700
25,2023-03-14,1.26000,1.36000,1.24000,1.30000,1218800
26,2023-03-13,1.19000,1.25000,1.18000,1.21000,783200
27,2023-03-10,1.25000,1.25000,1.13000,1.21000,2101700
28,2023-03-09,1.36000,1.38000,1.24000,1.25000,1720400
29,2023-03-08,1.51000,1.52000,1.32000,1.35000,1930800
30,2023-03-07,1.43000,1.56000,1.41000,1.53000,1373500
31,2023-03-06,1.38000,1.48000,1.35000,1.45000,749600
32,2023-03-03,1.33000,1.49000,1.33000,1.45000,1333500
33,2023-03-02,1.42000,1.44000,1.33000,1.33000,2021500
34,2023-03-01,1.36000,1.46000,1.35000,1.42000,1578300
35,2023-02-28,1.29000,1.40000,1.29000,1.38000,1837000
36,2023-02-27,1.27000,1.30000,1.25000,1.28000,804300
37,2023-02-24,1.22000,1.27000,1.20000,1.25000,996600
38,2023-02-23,1.24000,1.25000,1.21000,1.23000,434800
39,2023-02-22,1.27000,1.27000,1.23000,1.25000,686100
40,2023-02-21,1.42000,1.43000,1.25000,1.25000,1554800
41,2023-02-17,1.29000,1.41000,1.25000,1.39000,2686300
42,2023-02-16,1.25000,1.28000,1.20000,1.27000,1104000
43,2023-02-15,1.16000,1.27000,1.15000,1.26000,1169100
44,2023-02-14,1.19000,1.20000,1.16000,1.16000,349700
45,2023-02-13,1.13000,1.20000,1.12000,1.18000,485000
46,2023-02-10,1.13000,1.15000,1.11000,1.14000,428200
47,2023-02-09,1.17000,1.17000,1.13000,1.13000,540800
48,2023-02-08,1.16000,1.18000,1.13000,1.14000,365300
49,2023-02-07,1.18000,1.19000,1.13000,1.16000,626100
50,2023-02-06,1.20000,1.20000,1.16000,1.18000,477100
51,2023-02-03,1.23000,1.26000,1.17000,1.18000,799500
52,2023-02-02,1.25000,1.28000,1.22000,1.26000,789000
53,2023-02-01,1.23000,1.26000,1.19000,1.22000,717800
54,2023-01-31,1.23000,1.27000,1.22000,1.24000,526500
55,2023-01-30,1.30000,1.32000,1.22000,1.22000,1007800
56,2023-01-27,1.20000,1.29000,1.20000,1.26000,615200
57,2023-01-26,1.17000,1.23000,1.17000,1.22000,699700
58,2023-01-25,1.19000,1.20000,1.15000,1.18000,592800
59,2023-01-24,1.23000,1.25000,1.20000,1.21000,596300
60,2023-01-23,1.20000,1.25000,1.18000,1.24000,900500
61,2023-01-20,1.19000,1.22000,1.15000,1.22000,937200
62,2023-01-19,1.20000,1.21000,1.16000,1.17000,793500
63,2023-01-18,1.28000,1.28000,1.18000,1.20000,1034100
64,2023-01-17,1.25000,1.28000,1.21000,1.25000,1212800
65,2023-01-13,1.16000,1.29000,1.14000,1.28000,2406000
66,2023-01-12,1.07000,1.18000,1.07000,1.15000,2058700
67,2023-01-11,1.08000,1.09000,1.06000,1.07000,973600
68,2023-01-10,1.10000,1.13000,1.07000,1.08000,1013100
69,2023-01-09,1.06000,1.21000,1.06000,1.10000,4240900
70,2023-01-06,1.04000,1.06000,1.02000,1.05000,2528900
71,2023-01-05,1.09000,1.09000,0.97000,1.03000,2370000
72,2023-01-04,1.09000,1.10000,1.02000,1.04000,2420800
73,2023-01-03,1.27000,1.31000,1.11000,1.12000,1511700
74,2022-12-30,1.22000,1.34000,1.21000,1.33000,839300
75,2022-12-29,1.15000,1.26000,1.15000,1.25000,719300
76,2022-12-28,1.16000,1.20000,1.14000,1.14000,673600
77,2022-12-27,1.25000,1.25000,1.15000,1.17000,821000
78,2022-12-23,1.26000,1.27000,1.24000,1.26000,377100
79,2022-12-22,1.31000,1.32000,1.24000,1.26000,533400
80,2022-12-21,1.27000,1.32000,1.27000,1.30000,432400
81,2022-12-20,1.25000,1.32000,1.25000,1.28000,530100
82,2022-12-19,1.30000,1.32000,1.25000,1.27000,450800
83,2022-12-16,1.31000,1.33000,1.25000,1.29000,988300
84,2022-12-15,1.38000,1.38000,1.32000,1.34000,369700
85,2022-12-14,1.41000,1.41000,1.37000,1.38000,378500
86,2022-12-13,1.41000,1.49000,1.39000,1.41000,628600
87,2022-12-12,1.43000,1.46000,1.38000,1.39000,378100
88,2022-12-09,1.44000,1.50000,1.43000,1.45000,266300
89,2022-12-08,1.43000,1.46000,1.38000,1.46000,320500
90,2022-12-07,1.46000,1.48000,1.41000,1.42000,315100
91,2022-12-06,1.51000,1.53000,1.48000,1.49000,342000
92,2022-12-05,1.53000,1.56000,1.52000,1.52000,403500
93,2022-12-02,1.51000,1.57000,1.51000,1.56000,529400
94,2022-12-01,1.53000,1.58000,1.51000,1.55000,467700
95,2022-11-30,1.40000,1.50000,1.40000,1.50000,715700
96,2022-11-29,1.39000,1.44000,1.39000,1.41000,437700
97,2022-11-28,1.40000,1.44000,1.39000,1.40000,465600
98,2022-11-25,1.34000,1.42000,1.31000,1.40000,306200
99,2022-11-23,1.43000,1.43000,1.28000,1.32000,1908400
100,2022-11-22,1.30000,1.31000,1.25000,1.27000,436400
101,2022-11-21,1.30000,1.32000,1.26000,1.30000,356900
102,2022-11-18,1.31000,1.35000,1.28000,1.32000,438100
103,2022-11-17,1.32000,1.34000,1.25000,1.27000,724900
104,2022-11-16,1.39000,1.40000,1.32000,1.34000,651400
105,2022-11-15,1.44000,1.48000,1.38000,1.39000,654000
106,2022-11-14,1.49000,1.50000,1.41000,1.42000,848600
107,2022-11-11,1.52000,1.52000,1.47000,1.48000,768300
108,2022-11-10,1.54000,1.58000,1.46000,1.50000,749600
109,2022-11-09,1.62000,1.62000,1.48000,1.48000,1075800
110,2022-11-08,1.55000,1.55000,1.48000,1.50000,461600
111,2022-11-07,1.51000,1.56000,1.51000,1.53000,377000
112,2022-11-04,1.53000,1.56000,1.50000,1.53000,500200
113,2022-11-03,1.52000,1.57000,1.50000,1.53000,302000
114,2022-11-02,1.58000,1.62000,1.54000,1.54000,559000
115,2022-11-01,1.61000,1.63000,1.58000,1.59000,417500
116,2022-10-31,1.63000,1.66000,1.60000,1.60000,420600
117,2022-10-28,1.58000,1.70000,1.58000,1.65000,662000
118,2022-10-27,1.65000,1.65000,1.57000,1.59000,478700
119,2022-10-26,1.60000,1.64000,1.57000,1.63000,712200
120,2022-10-25,1.47000,1.57000,1.46000,1.56000,637500
121,2022-10-24,1.41000,1.48000,1.32000,1.47000,981700
122,2022-10-21,1.28000,1.37000,1.25000,1.37000,1181200
123,2022-10-20,1.28000,1.41000,1.23000,1.24000,2599000
124,2022-10-19,1.29000,1.32000,1.21000,1.23000,1070500
125,2022-10-18,1.25000,1.37000,1.24000,1.30000,885000
126,2022-10-17,1.25000,1.29000,1.19000,1.23000,1215300
127,2022-10-14,1.31000,1.36000,1.20000,1.22000,1703200
128,2022-10-13,1.28000,1.42000,1.26000,1.29000,1297800
129,2022-10-12,1.42000,1.44000,1.28000,1.32000,1294300
130,2022-10-11,1.40000,1.52000,1.34000,1.44000,1859300
131,2022-10-10,1.52000,1.54000,1.31000,1.42000,2513900
132,2022-10-07,1.56000,1.61000,1.48000,1.49000,1284700
133,2022-10-06,1.61000,1.64000,1.47000,1.57000,3582800
134,2022-10-05,1.60000,1.62000,1.59000,1.61000,355000
135,2022-10-04,1.57000,1.61000,1.56000,1.60000,719900
136,2022-10-03,1.57000,1.57000,1.53000,1.56000,314000
137,2022-09-30,1.57000,1.65000,1.55000,1.56000,488200
138,2022-09-29,1.57000,1.61000,1.53000,1.59000,355800
139,2022-09-28,1.56000,1.61000,1.53000,1.58000,1728400
