,datetime,open,high,low,close,volume
0,2023-04-19,13.74000,13.75000,13.11000,13.39000,7913600
1,2023-04-18,13.65000,14.06000,13.58000,14.05000,3940800
2,2023-04-17,13.84000,13.93000,13.59000,13.73000,2524000
3,2023-04-14,13.75000,14.27000,13.62000,13.87000,6094900
4,2023-04-13,13.12000,14.18500,13.08000,13.89000,11683600
5,2023-04-12,12.55000,13.35500,12.47000,12.92000,18534200
6,2023-04-11,11.62000,12.38900,11.39000,12.30000,17689900
7,2023-04-10,10.79000,11.01000,10.72000,10.94000,3409000
8,2023-04-06,11.01000,11.07000,10.77000,10.83000,3159700
9,2023-04-05,10.79000,11.07000,10.72000,11.00000,6978500
10,2023-04-04,11.25000,11.32000,10.85000,10.91000,3588000
11,2023-04-03,11.75000,11.78000,11.12000,11.16000,4526100
12,2023-03-31,11.97000,12.25000,11.63500,11.87000,7586600
13,2023-03-30,12.38000,12.58000,11.95000,12.04000,4691900
14,2023-03-29,11.94000,12.07000,11.66000,11.89000,4037500
15,2023-03-28,11.26000,12.00000,11.26000,11.92000,7351200
16,2023-03-27,11.22000,11.48000,11.00000,11.22000,5479600
17,2023-03-24,10.57000,11.15500,10.52500,10.92000,3090000
18,2023-03-23,11.54000,11.57000,10.51000,10.65000,4974300
19,2023-03-22,11.86000,11.92000,11.36000,11.38000,5385900
20,2023-03-21,11.62000,11.88000,11.56000,11.78000,5170600
21,2023-03-20,11.98000,11.98000,11.32100,11.47000,5412700
22,2023-03-17,11.67000,12.01000,11.24000,11.92000,8982200
23,2023-03-16,10.88000,11.79000,10.80000,11.63000,10844300
24,2023-03-15,10.56000,10.96500,10.30000,10.96000,6382500
25,2023-03-14,11.34000,11.46000,10.74000,10.92000,8848100
26,2023-03-13,11.00000,11.29500,10.70000,10.94000,7204300
27,2023-03-10,12.00000,12.01000,11.30000,11.32000,7807800
28,2023-03-09,13.00000,13.14000,12.33000,12.35000,6358500
29,2023-03-08,12.36000,12.98000,12.24000,12.91000,12145900
30,2023-03-07,11.87000,11.99000,11.62000,11.94000,4968100
31,2023-03-06,11.51000,12.17000,11.47000,11.92000,6126700
32,2023-03-03,11.52000,11.83000,11.46000,11.49000,5350900
33,2023-03-02,11.64000,11.84000,11.48000,11.51000,7290800
34,2023-03-01,12.35000,12.43000,11.70000,11.94000,8545200
35,2023-02-28,12.35000,12.50500,12.10500,12.42000,6477100
36,2023-02-27,12.95000,12.96000,12.34000,12.36000,8407600
37,2023-02-24,13.01000,13.09000,12.72000,12.95000,4316500
38,2023-02-23,13.35000,13.47500,13.08000,13.24000,5184000
39,2023-02-22,13.28000,13.45500,12.78500,13.17000,7730200
40,2023-02-21,12.96000,14.06000,12.96000,13.31000,8336900
41,2023-02-17,13.50000,13.56000,12.40000,12.91000,32374400
42,2023-02-16,15.85000,16.12000,15.26500,15.89000,7487000
43,2023-02-15,15.91000,16.36000,15.84000,16.20000,3509800
44,2023-02-14,16.00000,16.09000,15.82000,15.98000,3394200
45,2023-02-13,15.81000,16.30000,15.74000,16.07000,3587000
46,2023-02-10,15.57000,15.75000,15.28000,15.66000,5220700
47,2023-02-09,16.57000,16.59000,15.55000,15.57000,3671600
48,2023-02-08,16.43000,16.74000,16.34500,16.53000,4704100
49,2023-02-07,17.02000,17.05000,16.30500,16.55000,4397400
50,2023-02-06,17.00000,17.52000,16.89500,17.04000,2496700
51,2023-02-03,17.23000,17.79000,17.18800,17.45000,5814600
52,2023-02-02,17.98000,18.24000,17.67000,17.80000,2329800
53,2023-02-01,17.79000,17.94000,17.20500,17.58000,2978200
54,2023-01-31,17.99000,18.30000,17.68500,17.82000,4842400
55,2023-01-30,17.88000,18.34500,17.82000,17.97000,3925400
56,2023-01-27,17.27000,18.13000,17.21000,18.11000,3553600
57,2023-01-26,17.70000,18.01000,17.47000,17.85000,2306500
58,2023-01-25,17.56000,17.69500,17.26000,17.56000,2687500
59,2023-01-24,17.59000,17.83000,17.39000,17.75000,2670700
60,2023-01-23,17.34500,17.84000,17.05000,17.63000,4374500
61,2023-01-20,16.51000,17.16500,16.49000,17.03000,3024500
62,2023-01-19,16.24000,16.74000,16.22500,16.66000,4544100
63,2023-01-18,16.41000,16.88000,16.29000,16.30000,3555400
64,2023-01-17,15.78000,16.25000,15.69100,16.18000,3287300
65,2023-01-13,16.67000,17.03000,16.59000,16.65000,3277200
66,2023-01-12,16.12000,17.02000,15.89000,16.86000,6120300
67,2023-01-11,15.52000,16.12000,15.48000,16.04000,6301500
68,2023-01-10,15.51000,15.63000,15.14500,15.56000,4075500
69,2023-01-09,14.71000,15.40000,14.57000,15.07000,3037000
70,2023-01-06,14.24000,14.83000,14.24000,14.77000,3142100
71,2023-01-05,14.07000,14.19000,13.76000,13.97000,2772500
72,2023-01-04,13.92000,14.34000,13.83000,14.23000,2760600
73,2023-01-03,14.50000,14.83000,13.80500,13.82000,5741700
74,2022-12-30,15.08000,15.40000,15.03000,15.34000,1275300
75,2022-12-29,15.12000,15.30000,14.74000,15.25000,2433200
76,2022-12-28,14.74000,14.98000,14.50500,14.90000,3796000
77,2022-12-27,14.87000,15.14500,14.49000,14.55000,2999800
78,2022-12-23,15.39000,15.63500,15.22000,15.52000,2525500
79,2022-12-22,15.27000,15.45000,14.59500,14.97000,2177000
80,2022-12-21,15.08000,15.40000,14.87000,15.39000,2869900
81,2022-12-20,14.53000,15.37000,14.50000,15.08000,4485100
82,2022-12-19,13.99000,14.33000,13.76700,14.19000,5166700
83,2022-12-16,14.10000,14.27200,13.90500,13.99000,4863700
84,2022-12-15,14.50000,14.71500,14.07000,14.19000,4525600
85,2022-12-14,14.39000,15.02000,14.26500,14.70000,12257400
86,2022-12-13,15.98000,16.24900,14.97000,15.13000,5903600
87,2022-12-12,15.40000,15.72000,15.12000,15.60000,3661100
88,2022-12-09,15.71000,16.23500,15.32000,15.90000,4453700
89,2022-12-08,16.58000,16.70000,15.73000,15.90000,4941000
90,2022-12-07,16.87000,16.90000,16.29000,16.58000,4170300
91,2022-12-06,17.55000,17.65500,16.90000,16.94000,3807500
92,2022-12-05,18.14000,18.32000,17.37000,17.44000,4206000
93,2022-12-02,17.37000,18.56000,17.36000,18.37000,4527300
94,2022-12-01,17.50000,17.85000,17.37000,17.51000,3673200
95,2022-11-30,16.47000,17.55000,16.47000,17.51000,5079200
96,2022-11-29,16.08000,16.74500,16.08000,16.49000,2969400
97,2022-11-28,16.37000,16.61500,15.95000,15.99000,5435100
98,2022-11-25,16.52000,16.57000,16.34000,16.50000,3022200
99,2022-11-23,16.52000,16.62000,16.05000,16.45000,4955000
100,2022-11-22,17.19000,17.20000,16.31000,16.56000,3944800
101,2022-11-21,17.27000,17.39000,16.98500,17.27000,2912300
102,2022-11-18,18.05000,18.09000,17.29000,17.38000,3458900
103,2022-11-17,17.38000,17.77000,16.43000,17.61000,9156700
104,2022-11-16,19.06000,19.14000,18.12000,18.28000,8892300
