,datetime,open,high,low,close,volume
0,2023-04-19,1.23000,1.37000,1.22000,1.37000,15400
1,2023-04-18,1.25000,1.41000,1.23000,1.26000,25500
2,2023-04-17,1.24000,1.54000,1.24000,1.32000,69700
3,2023-04-14,1.18000,1.23000,1.18000,1.23000,2300
4,2023-04-13,1.23000,1.28000,1.23000,1.28000,1200
5,2023-04-12,1.22000,1.22000,1.21000,1.21000,800
6,2023-04-11,1.27000,1.27000,1.27000,1.27000,200
7,2023-04-10,1.28000,1.28000,1.28000,1.28000,400
8,2023-04-06,1.14000,1.27000,1.14000,1.27000,1700
9,2023-04-05,1.19000,1.21000,1.19000,1.21000,700
10,2023-04-04,1.27000,1.27000,1.23000,1.26000,2100
11,2023-04-03,1.35000,1.35000,1.28000,1.30000,2800
12,2023-03-31,1.25000,1.31000,1.23000,1.31000,4700
13,2023-03-30,1.23000,1.32000,1.23000,1.27000,1500
14,2023-03-29,1.20000,1.22000,1.13000,1.21000,1500
15,2023-03-28,1.18000,1.38000,1.18000,1.29000,13600
16,2023-03-27,1.21000,1.21000,1.21000,1.21000,0
17,2023-03-24,1.28000,1.28000,1.21000,1.21000,600
18,2023-03-23,1.22000,1.22000,1.22000,1.22000,100
19,2023-03-22,1.18000,1.18000,1.18000,1.18000,100
20,2023-03-21,1.23000,1.28000,1.23000,1.28000,1000
21,2023-03-20,1.24000,1.27000,1.24000,1.27000,300
22,2023-03-17,1.23000,1.23000,1.23000,1.23000,0
23,2023-03-16,1.23000,1.23000,1.23000,1.23000,100
24,2023-03-15,1.25000,1.26000,1.17000,1.23000,1400
25,2023-03-14,1.20000,1.26000,1.20000,1.26000,1000
26,2023-03-13,1.24000,1.24000,1.23000,1.23000,600
27,2023-03-10,1.28000,1.28000,1.28000,1.28000,0
28,2023-03-09,1.28000,1.29000,1.21000,1.28000,2300
29,2023-03-08,1.34000,1.38000,1.28000,1.28000,1600
30,2023-03-07,1.29000,1.39000,1.28000,1.31000,3700
31,2023-03-06,1.23000,1.27000,1.23000,1.27000,500
32,2023-03-03,1.23000,1.31000,1.23000,1.31000,1100
33,2023-03-02,1.36000,1.41000,1.23000,1.27000,4300
34,2023-03-01,1.29000,1.34000,1.29000,1.32000,1800
35,2023-02-28,1.25000,1.40000,1.25000,1.40000,6000
36,2023-02-27,1.25000,1.26000,1.24000,1.24000,1200
37,2023-02-24,1.34000,1.34000,1.34000,1.34000,0
38,2023-02-23,1.32000,1.34000,1.32000,1.34000,200
39,2023-02-22,1.26000,1.37000,1.25000,1.37000,3800
40,2023-02-21,1.33000,1.42000,1.33000,1.42000,600
41,2023-02-17,1.35000,1.45000,1.35000,1.42000,29100
42,2023-02-16,1.36000,1.38000,1.34000,1.37000,8700
43,2023-02-15,1.24000,1.34000,1.24000,1.33000,1500
44,2023-02-14,1.24000,1.24000,1.23000,1.23000,400
45,2023-02-10,1.32000,1.32000,1.31000,1.31000,500
46,2023-02-06,1.35000,1.35000,1.35000,1.35000,400
47,2023-02-02,1.25000,1.33990,1.22000,1.22000,2643
48,2023-02-01,1.22000,1.25000,1.19000,1.24000,6900
49,2023-01-31,1.29000,1.29000,1.16000,1.17000,5700
50,2023-01-30,1.35000,1.35000,1.21000,1.26000,1800
51,2023-01-27,1.35000,1.35000,1.35000,1.35000,200
52,2023-01-23,1.36000,1.36000,1.36000,1.36000,500
53,2023-01-20,1.35000,1.36000,1.30000,1.36000,800
54,2023-01-19,1.39000,1.39000,1.31000,1.31000,2500
55,2023-01-17,1.40000,1.40000,1.40000,1.40000,600
56,2023-01-12,1.38000,1.38000,1.38000,1.38000,100
57,2023-01-11,1.39000,1.39000,1.34000,1.34000,1500
58,2023-01-10,1.39000,1.39000,1.30000,1.38000,3300
59,2023-01-09,1.36000,1.39000,1.32000,1.36000,2700
60,2023-01-06,1.29000,1.39000,1.29000,1.39000,23100
61,2023-01-04,1.31000,1.34000,1.22000,1.26000,13300
62,2022-12-30,1.10000,1.21000,1.10000,1.21000,3300
63,2022-12-29,1.18000,1.19000,1.18000,1.19000,400
64,2022-12-28,1.06000,1.14000,1.06000,1.14000,3700
65,2022-12-27,1.22000,1.22000,1.04000,1.04000,500
66,2022-12-23,1.04000,1.19000,1.04000,1.19000,500
67,2022-12-22,1.10000,1.15000,1.09000,1.15000,2500
68,2022-12-21,1.19000,1.29000,1.11000,1.20000,10700
69,2022-12-20,1.29000,1.30000,1.24000,1.30000,900
70,2022-12-19,1.13000,1.35000,1.11000,1.35000,13800
71,2022-12-15,1.21000,1.21000,1.15000,1.21000,4100
72,2022-12-14,1.23000,1.28000,1.22000,1.27000,2600
73,2022-12-12,1.22000,1.34000,1.17000,1.34000,13300
74,2022-12-09,1.21000,1.21000,1.12000,1.12000,5700
75,2022-12-08,1.24000,1.24000,1.24000,1.24000,300
76,2022-12-06,1.24000,1.24000,1.12000,1.22000,3800
77,2022-12-05,1.23000,1.29000,1.23000,1.29000,900
78,2022-12-01,1.23000,1.23000,1.23000,1.23000,100
79,2022-11-30,1.33000,1.33000,1.33000,1.33000,300
80,2022-11-29,1.20000,1.33000,1.20000,1.33000,300
81,2022-11-23,1.35000,1.35000,1.35000,1.35000,200
82,2022-11-22,1.35000,1.35000,1.35000,1.35000,100
83,2022-11-21,1.27370,1.35000,1.24000,1.34990,4700
84,2022-11-17,1.40000,1.46000,1.38000,1.46000,15900
85,2022-11-16,1.40000,1.42000,1.39000,1.42000,2600
86,2022-11-15,1.43000,1.43000,1.36000,1.42000,1600
87,2022-11-14,1.43000,1.50000,1.43000,1.48000,17000
88,2022-11-11,1.44000,1.46000,1.38000,1.39000,9700
89,2022-11-10,1.35000,1.38000,1.30000,1.36000,4700
90,2022-11-09,1.24000,1.38000,1.24000,1.32000,23300
91,2022-11-08,1.22000,1.22000,1.22000,1.22000,200
92,2022-11-07,1.29000,1.30000,1.29000,1.30000,1000
93,2022-11-04,1.28000,1.35000,1.22000,1.22000,10800
94,2022-11-03,1.23000,1.23000,1.23000,1.23000,200
95,2022-11-02,1.23000,1.23000,1.23000,1.23000,200
96,2022-11-01,1.29000,1.29000,1.29000,1.29000,0
97,2022-10-31,1.26000,1.30000,1.25000,1.29000,4900
98,2022-10-26,1.25000,1.25000,1.25000,1.25000,2000
99,2022-10-25,1.20000,1.22000,1.16000,1.22000,1500
100,2022-10-24,1.18000,1.18000,1.18000,1.18000,300
101,2022-10-21,1.22000,1.22000,1.12000,1.12000,2000
102,2022-10-20,1.19000,1.19000,1.17000,1.17000,1600
103,2022-10-19,1.18000,1.22000,1.18000,1.20000,1000
104,2022-10-18,1.23000,1.23000,1.18000,1.20000,1600
105,2022-10-13,1.20000,1.21000,1.20000,1.21000,600
106,2022-10-12,1.19000,1.20000,1.14000,1.18000,400
107,2022-10-11,1.19000,1.19000,1.19000,1.19000,300
108,2022-10-10,1.18000,1.18000,1.18000,1.18000,100
109,2022-10-07,1.09000,1.21000,1.09000,1.15000,7400
110,2022-10-06,1.18000,1.18000,1.14000,1.14000,1600
