,datetime,open,high,low,close,volume
0,2023-04-19,6.99000,7.02000,6.88000,6.98000,2206900
1,2023-04-18,7.02000,7.08600,6.96000,7.01000,1549600
2,2023-04-17,6.91000,6.99000,6.87000,6.97000,1521400
3,2023-04-14,6.90000,7.00500,6.86000,6.93000,2425600
4,2023-04-13,6.80000,6.94500,6.75000,6.90000,2521900
5,2023-04-12,6.95000,6.97500,6.76000,6.80000,2291400
6,2023-04-11,6.99000,7.08500,6.88000,6.92000,1878300
7,2023-04-10,6.81000,7.01000,6.79000,6.98000,2606900
8,2023-04-06,6.94000,6.95000,6.86000,6.87000,2004700
9,2023-04-05,6.93000,6.95500,6.80000,6.91000,5758500
10,2023-04-04,7.20000,7.21500,6.91000,6.95000,3056700
11,2023-04-03,7.25000,7.31000,7.10000,7.16000,2902600
12,2023-03-31,7.16000,7.24000,7.15000,7.23000,2798000
13,2023-03-30,7.25000,7.29000,7.14000,7.16000,1331200
14,2023-03-29,7.11000,7.18000,7.06000,7.18000,2203400
15,2023-03-28,7.09000,7.10500,6.93000,7.03000,5881200
16,2023-03-27,7.19000,7.23000,7.04000,7.08000,2180700
17,2023-03-24,6.94000,7.13000,6.86000,7.11000,1952700
18,2023-03-23,7.06000,7.16500,6.90500,6.98000,2592500
19,2023-03-22,7.19000,7.22500,7.02000,7.03000,2057400
20,2023-03-21,7.17000,7.24000,7.16000,7.17000,2447645
21,2023-03-20,6.98000,7.13000,6.96500,7.04000,2853132
22,2023-03-17,6.95000,7.02000,6.89000,6.94000,4356303
23,2023-03-16,6.87000,7.07000,6.84000,7.00000,3396325
24,2023-03-15,6.96000,6.98500,6.74000,6.94000,4934061
25,2023-03-14,7.22000,7.26000,7.04000,7.12000,3454738
26,2023-03-13,7.20000,7.30000,7.03500,7.08000,3669051
27,2023-03-10,7.59000,7.62000,7.29000,7.34000,2717306
28,2023-03-09,7.78000,7.85500,7.59500,7.63000,3229435
29,2023-03-08,7.62000,7.80000,7.59500,7.78000,2579281
30,2023-03-07,7.72000,7.82000,7.57000,7.62000,2691488
31,2023-03-06,7.68000,7.88000,7.67500,7.72000,3883812
32,2023-03-03,7.61000,7.76000,7.57000,7.67000,3071589
33,2023-03-02,7.51000,7.65500,7.41000,7.58000,2425517
34,2023-03-01,7.59000,7.72500,7.53500,7.60000,3722118
35,2023-02-28,7.75000,7.78000,7.11500,7.54000,6660735
36,2023-02-27,8.00000,8.01000,7.85500,7.86000,3113157
37,2023-02-24,8.01000,8.01000,7.74000,7.92000,3030912
38,2023-02-23,8.05000,8.11000,7.90000,8.06000,2605712
39,2023-02-22,8.03000,8.11000,7.95500,8.00000,1786777
