,datetime,open,high,low,close,volume
0,2023-04-19,28.20000,28.38000,26.54000,26.56000,3427800
1,2023-04-18,27.75000,28.27000,27.53000,28.18000,2537200
2,2023-04-17,28.99000,28.99000,27.41000,27.46000,2498700
3,2023-04-14,27.66000,28.47000,27.30000,28.46000,2939500
4,2023-04-13,27.96000,28.47000,27.69000,27.69000,1986500
5,2023-04-12,27.81000,28.04000,27.50000,27.73000,2607900
6,2023-04-11,26.82000,27.70000,26.74000,27.60000,3142400
7,2023-04-10,26.03000,26.87000,25.77000,26.84000,1691100
8,2023-04-06,25.80000,26.20000,25.55000,26.14000,1744500
9,2023-04-05,25.24000,26.23000,25.12500,25.87000,3963500
10,2023-04-04,25.49000,25.53500,24.70000,25.28000,3665900
11,2023-04-03,24.02000,25.58000,23.55500,25.35000,3785400
12,2023-03-31,23.50000,24.02000,22.63000,23.75000,6536300
13,2023-03-30,26.94000,27.17500,22.34000,23.37000,10643300
14,2023-03-29,27.53000,27.88000,26.60000,26.79000,4252100
15,2023-03-28,28.54000,28.93000,27.15000,27.22000,4027000
16,2023-03-27,28.80000,29.44000,28.42000,28.55000,3149900
17,2023-03-24,28.42000,28.98500,28.31000,28.69000,4724800
18,2023-03-23,28.18000,28.98000,27.94000,28.40000,2189200
19,2023-03-22,27.92000,28.46000,27.54000,27.80000,3553600
20,2023-03-21,27.10000,28.14000,27.01500,27.92000,2656500
21,2023-03-20,26.07000,27.01500,25.78000,26.90000,2647700
22,2023-03-17,25.83000,27.00000,25.80000,26.70000,4168500
23,2023-03-16,24.21000,26.24900,23.88000,26.08000,3358300
24,2023-03-15,24.06000,24.11000,23.46500,23.91000,1999700
25,2023-03-14,23.52000,23.80000,23.23000,23.68000,1508800
26,2023-03-13,22.67000,23.61000,22.39000,23.06000,1191300
27,2023-03-10,23.70000,23.70000,22.09000,22.84000,5298100
28,2023-03-09,24.56000,24.65000,23.51000,23.67000,1401500
29,2023-03-08,24.82000,24.82000,23.85000,24.45000,1826100
30,2023-03-07,24.40000,25.15000,24.18000,24.80000,1797100
31,2023-03-06,24.93000,25.39000,24.34000,24.35000,2419600
32,2023-03-03,24.51000,25.81000,24.51000,25.22000,3690000
33,2023-03-02,23.60000,24.78000,21.17500,24.47000,7662700
34,2023-03-01,21.23000,21.46000,20.89000,21.09000,2217800
35,2023-02-28,21.06000,21.69000,21.06000,21.21000,2764500
36,2023-02-27,21.25000,21.35000,20.97000,21.16000,1841700
37,2023-02-24,21.14000,21.17000,20.59000,21.12000,2412100
38,2023-02-23,22.09000,22.15000,20.61000,21.38000,3174500
39,2023-02-22,22.36000,22.57000,21.88000,22.00000,1148100
40,2023-02-21,22.51000,22.68500,22.00000,22.23000,1651600
41,2023-02-17,23.28000,23.68000,22.75000,22.79000,1596800
42,2023-02-16,23.34000,23.88500,23.25000,23.58000,1033300
43,2023-02-15,23.10000,23.64000,22.76500,23.60000,919500
44,2023-02-14,22.71000,23.23000,22.59000,23.13000,1054400
45,2023-02-13,22.85000,23.33000,22.56000,22.87000,1419000
46,2023-02-10,23.01000,23.39000,22.64900,22.84000,2669900
47,2023-02-09,22.49000,23.17000,22.34000,23.13000,1971200
48,2023-02-08,22.22000,22.70000,22.12500,22.24000,2157400
49,2023-02-07,21.57000,22.24000,21.30400,22.20000,1549400
50,2023-02-06,21.80000,22.11000,20.87500,21.27000,3066800
51,2023-02-03,22.23000,22.70000,21.79000,22.05000,2249700
52,2023-02-02,23.00000,23.15000,22.38000,22.61000,3137500
53,2023-02-01,21.93000,22.90000,21.53000,22.83000,1896600
54,2023-01-31,20.61000,21.99000,20.58000,21.76000,3263000
55,2023-01-30,20.25000,20.75000,20.15500,20.61000,1296500
56,2023-01-27,20.10000,20.89000,20.10000,20.55000,1614100
57,2023-01-26,20.43000,20.43000,19.81000,20.22000,691200
58,2023-01-25,19.62000,20.18000,19.33500,20.10000,1541100
59,2023-01-24,20.52500,20.59000,19.57900,19.76000,1358300
60,2023-01-23,20.40000,20.54000,20.00100,20.50000,1399800
61,2023-01-20,19.99000,20.82500,19.83000,20.41000,1778100
62,2023-01-19,19.68000,19.93000,19.49000,19.80000,1339600
63,2023-01-18,19.88000,20.12000,19.64000,19.77000,1540900
64,2023-01-17,19.85000,20.19000,19.50000,19.76000,2251600
65,2023-01-13,19.00000,19.87000,18.71000,19.83000,1925400
66,2023-01-12,19.18000,19.40000,18.42000,19.23000,1839400
67,2023-01-11,18.73000,19.41900,18.55000,19.13000,2711000
68,2023-01-10,17.60000,19.16000,17.60000,18.72000,3120800
69,2023-01-09,16.25000,17.69000,16.16000,17.56000,3979300
70,2023-01-06,15.96000,15.96000,15.00000,15.39000,1520800
71,2023-01-05,15.91000,15.91000,15.41500,15.86000,3329500
72,2023-01-04,16.27000,16.60000,16.02300,16.12000,1906000
73,2023-01-03,16.36000,16.66000,15.51000,16.04000,1663000
74,2022-12-30,16.01000,16.22000,15.77000,16.14000,1253300
75,2022-12-29,16.16000,16.59500,15.97500,16.20000,1233900
76,2022-12-28,16.09000,16.19000,15.88000,15.99000,965200
77,2022-12-27,16.18000,16.37000,15.86000,16.11000,1354200
78,2022-12-23,16.93000,17.07000,16.18000,16.28000,1075700
79,2022-12-22,16.86000,17.04000,16.70000,16.98000,1241200
80,2022-12-21,16.57000,16.92000,16.34800,16.86000,996300
81,2022-12-20,16.36000,16.88000,16.36000,16.40000,1718300
82,2022-12-19,16.91500,17.01000,16.33000,16.45000,1830400
83,2022-12-16,17.00000,17.31000,16.65000,17.23000,2805400
84,2022-12-15,17.42000,17.59000,16.98500,17.20000,1906100
85,2022-12-14,17.57000,18.17000,17.26000,17.62000,1511100
86,2022-12-13,18.00000,18.34500,17.32000,17.70000,1149500
87,2022-12-12,17.24000,17.81000,17.04000,17.69000,913200
88,2022-12-09,17.62000,17.98000,17.28000,17.31000,1127400
89,2022-12-08,17.12000,17.48000,17.05400,17.33000,2082300
90,2022-12-07,17.67000,18.03000,17.03000,17.08000,2116000
91,2022-12-06,17.72000,18.16000,17.52500,17.78000,2719500
92,2022-12-05,18.00000,18.37300,17.24000,17.72000,5553300
93,2022-12-02,17.81000,18.26000,17.66000,18.13000,1094900
94,2022-12-01,17.58000,18.32000,17.58000,18.06000,1745600
95,2022-11-30,16.88000,17.57000,16.40000,17.56000,1816300
96,2022-11-29,16.40000,16.73000,15.87000,16.70000,1954100
97,2022-11-28,16.66000,16.77500,16.28500,16.29000,1946300
98,2022-11-25,16.34000,16.74000,16.15200,16.66000,575100
99,2022-11-23,16.45000,16.87000,16.27100,16.43000,808700
100,2022-11-22,16.08000,16.41000,15.76000,16.14000,2415400
101,2022-11-21,16.95000,17.04000,15.86000,16.04000,2056200
102,2022-11-18,16.88000,17.28000,16.71500,17.17000,1465700
103,2022-11-17,17.61000,17.62400,16.60000,16.62000,1737200
104,2022-11-16,18.65000,18.88000,17.90500,17.93000,2234000
105,2022-11-15,18.87000,19.05000,18.51000,18.79000,1440100
106,2022-11-14,18.98000,19.37000,18.51000,18.54000,1739600
107,2022-11-11,18.07000,19.08000,18.07000,18.98000,1596100
108,2022-11-10,18.32000,18.66500,17.91000,18.09000,1354700
109,2022-11-09,18.23000,18.24000,17.31000,17.43000,2595300
110,2022-11-08,17.56000,18.62000,17.25000,18.27000,1970900
111,2022-11-07,17.18000,17.66000,17.05000,17.44000,2284400
112,2022-11-04,19.28000,19.44000,16.66000,17.32000,4713800
113,2022-11-03,19.72000,19.83000,19.12000,19.31000,2380500
114,2022-11-02,19.91000,20.46500,19.42000,19.83000,1620400
115,2022-11-01,20.20000,20.29000,19.48000,19.82000,1647700
116,2022-10-31,20.07000,20.38000,19.69000,19.85000,1341700
117,2022-10-28,20.26000,20.52500,19.65700,20.12000,1694900
118,2022-10-27,20.94000,21.01000,20.19000,20.27000,1029900
119,2022-10-26,20.77000,21.32500,20.61000,20.80000,1459500
120,2022-10-25,20.12000,20.89000,20.05500,20.82000,1363800
121,2022-10-24,20.10000,20.19000,19.60000,19.99000,1182800
122,2022-10-21,20.35000,20.36000,19.41000,20.15000,1113400
123,2022-10-20,19.77000,20.74000,19.51000,20.36000,1587400
124,2022-10-19,20.97000,20.97000,19.52000,19.71000,2362200
125,2022-10-18,21.82000,22.22500,21.10000,21.13000,2165800
126,2022-10-17,21.50000,22.42000,21.09000,21.33000,2119600
127,2022-10-14,22.32000,22.59000,21.13000,21.18000,1037700
128,2022-10-13,21.89000,22.39000,21.55000,22.09000,952300
