,datetime,open,high,low,close,volume
0,2023-04-19,85.20000,87.44000,84.66000,87.41000,567700
1,2023-04-18,87.16000,87.16000,84.64000,85.12000,539400
2,2023-04-17,86.84000,87.34000,85.89000,86.62000,525600
3,2023-04-14,87.33000,88.24000,86.31000,86.70000,595800
4,2023-04-13,86.84000,88.07000,86.56000,87.46000,978000
5,2023-04-12,84.97000,86.88000,84.70000,86.41000,587200
6,2023-04-11,84.09000,84.84000,83.50000,84.33000,494500
7,2023-04-10,81.47000,83.80000,81.47000,83.79000,654700
8,2023-04-06,82.82000,83.21000,81.43000,81.86000,561500
9,2023-04-05,81.94000,83.00000,81.62000,82.90000,662100
10,2023-04-04,83.06000,83.40000,81.15000,81.89000,783500
11,2023-04-03,82.99000,83.48000,82.14000,83.06000,548900
12,2023-03-31,82.39000,83.32000,81.65000,82.96000,526700
13,2023-03-30,84.12000,84.38000,81.42000,81.77000,484300
14,2023-03-29,84.40000,84.40000,83.28000,83.49000,460500
15,2023-03-28,85.36000,85.66000,83.79000,83.96000,280800
16,2023-03-27,84.04000,85.71000,83.73000,85.48000,489500
17,2023-03-24,82.43000,83.94000,81.86000,83.00000,456100
18,2023-03-23,82.96000,84.54000,82.43000,82.70000,754800
19,2023-03-22,84.80000,85.71000,82.90000,82.96000,1011600
20,2023-03-21,84.61000,86.41000,84.23000,85.06000,585600
21,2023-03-20,83.54000,85.05000,83.13000,83.65000,857200
22,2023-03-17,85.06000,85.06000,82.62000,83.46000,1360400
23,2023-03-16,84.84000,85.28000,83.71000,85.15000,584200
24,2023-03-15,84.69000,85.89000,84.54000,85.31000,622900
25,2023-03-14,87.12000,88.53000,84.99000,85.76000,676400
26,2023-03-13,87.00000,88.28000,85.56000,85.89000,623800
27,2023-03-10,89.80000,90.26000,87.00000,87.56000,611800
28,2023-03-09,88.72000,90.75000,88.11000,89.83000,1078500
29,2023-03-08,88.48000,88.85000,87.45000,88.47000,979700
30,2023-03-07,89.96000,90.52000,87.92000,88.29000,825800
31,2023-03-06,90.00000,90.51000,89.43000,90.15000,681000
32,2023-03-03,89.80000,90.57000,89.22000,89.93000,529400
33,2023-03-02,90.32000,90.34000,88.82000,89.60000,571600
34,2023-03-01,90.00000,91.28000,89.62000,90.01000,574600
35,2023-02-28,90.58000,91.87000,89.85000,90.01000,830700
36,2023-02-27,92.63000,93.98000,90.78000,91.00000,798100
37,2023-02-24,91.55000,93.31000,91.42000,92.06000,579900
38,2023-02-23,94.00000,95.34000,91.48000,92.39000,948000
