,datetime,open,high,low,close,volume
0,2023-04-19,165.27000,168.59000,163.44000,167.92000,197500
1,2023-04-18,163.64000,167.14000,161.81000,167.13000,221400
2,2023-04-17,165.17000,168.92000,163.78999,163.84000,253800
3,2023-04-14,166.00000,166.98000,160.92000,164.50999,191100
4,2023-04-13,163.75999,166.47501,161.92999,165.50999,200200
5,2023-04-12,159.35001,162.82001,157.00999,161.98000,210800
6,2023-04-11,154.59000,160.39000,153.57001,158.89000,270800
7,2023-04-10,153.42999,156.98000,152.96001,152.98000,192100
8,2023-04-06,156.38000,156.38000,153.34000,153.77000,187400
9,2023-04-05,156.00999,158.33000,152.50999,157.03000,218600
10,2023-04-04,161.69000,161.69000,154.03999,158.12000,299600
11,2023-04-03,158.20000,162.87000,153.30000,162.37000,277900
12,2023-03-31,154.57001,157.92000,154.57001,156.00000,350300
13,2023-03-30,155.00000,156.00000,151.39999,153.39000,176600
14,2023-03-29,157.98000,158.40900,153.25000,153.37000,236700
15,2023-03-28,151.80000,156.98000,151.80000,155.36000,281300
16,2023-03-27,149.77000,153.00000,147.89000,151.78999,207000
17,2023-03-24,142.55000,149.11000,140.50000,147.72000,245700
18,2023-03-23,144.30000,149.00000,144.20000,144.88000,281700
19,2023-03-22,147.16000,147.83000,143.17000,143.52000,272800
20,2023-03-21,147.57001,148.97000,145.50000,146.97000,239000
21,2023-03-20,147.46001,149.03999,143.21500,143.89999,304900
22,2023-03-17,147.69501,148.61800,144.00000,145.81000,463300
23,2023-03-16,145.00000,149.89999,143.37000,148.64999,381500
24,2023-03-15,158.00000,158.00000,146.61000,147.53999,492000
25,2023-03-14,161.92999,166.64000,159.86000,162.77000,222100
26,2023-03-13,161.75999,166.38200,158.88000,160.23000,242200
27,2023-03-10,174.42999,174.75000,165.21001,166.30000,236700
28,2023-03-09,178.55000,181.97000,173.86000,174.35001,276400
29,2023-03-08,181.67999,183.46001,176.50000,178.55000,176000
30,2023-03-07,181.12000,181.89000,177.21001,180.72000,250200
31,2023-03-06,183.00000,183.00000,179.62000,181.12000,393700
32,2023-03-03,177.00000,183.14999,176.07001,183.00000,268700
33,2023-03-02,171.77000,177.39500,169.67999,176.06000,219800
34,2023-03-01,170.94000,176.33200,170.67999,174.39000,231900
35,2023-02-28,168.09000,173.27400,166.31000,167.74001,304200
36,2023-02-27,159.41000,170.99001,158.53999,167.53000,344700
37,2023-02-24,159.62000,159.62000,153.57001,156.64000,292600
38,2023-02-23,162.84000,169.88000,156.27000,160.17000,316200
39,2023-02-22,163.70000,166.84000,161.62000,163.78000,287700
40,2023-02-21,168.64000,171.00000,163.95000,165.45000,279400
41,2023-02-17,173.66000,174.64000,170.00000,170.00999,236000
42,2023-02-16,165.75999,177.09100,165.75999,172.80000,366400
43,2023-02-15,163.27000,168.61600,161.27000,167.20000,189500
44,2023-02-14,158.36000,166.03999,157.84000,165.64999,227900
45,2023-02-13,158.62000,159.18201,154.32001,158.05000,227500
46,2023-02-10,156.98000,158.58000,154.39999,158.42000,181400
47,2023-02-09,156.17000,158.55000,154.85001,156.62000,181200
48,2023-02-08,158.55000,158.55000,153.08000,154.66000,225700
49,2023-02-07,159.95000,161.19501,154.25000,159.37000,216700
50,2023-02-06,158.73000,160.05000,156.75000,159.91000,205000
51,2023-02-03,163.81000,167.99001,159.34000,159.78999,227300
52,2023-02-02,162.64999,164.11000,158.69000,163.30000,161700
53,2023-02-01,160.75999,164.08000,156.33000,163.25000,262500
54,2023-01-31,163.30000,164.75000,160.05000,160.92999,174400
55,2023-01-30,158.53999,164.82001,157.98000,164.70000,251100
56,2023-01-27,166.64999,168.64999,163.08000,165.07001,108000
57,2023-01-26,170.70000,171.91000,165.42500,167.61000,177100
58,2023-01-25,170.00000,172.08000,167.00000,169.74001,136800
59,2023-01-24,168.50000,174.55499,166.53500,171.07001,224300
60,2023-01-23,170.00000,171.47900,166.21500,167.84000,196600
61,2023-01-20,170.52000,173.42999,167.80000,170.53000,219200
62,2023-01-19,161.82001,168.73000,159.32401,168.72000,267900
63,2023-01-18,168.96001,171.89999,162.42200,163.12000,335100
64,2023-01-17,158.72000,165.92999,156.74001,165.31000,288200
65,2023-01-13,150.60001,158.33000,149.28000,156.72000,184800
66,2023-01-12,147.28000,153.61000,146.19800,151.42000,224500
67,2023-01-11,147.56000,148.80000,143.53000,146.21001,154000
68,2023-01-10,152.75999,153.17999,145.56000,147.56000,188500
69,2023-01-09,152.59000,156.28999,151.67999,151.82001,235700
70,2023-01-06,142.61000,153.92999,142.52000,151.66000,267300
71,2023-01-05,137.85001,142.00000,137.85001,141.07001,236500
72,2023-01-04,135.17000,139.60001,130.53999,138.71001,264200
73,2023-01-03,146.30000,146.30000,135.66499,137.34000,292500
74,2022-12-30,144.00999,146.94000,143.00999,146.39000,294300
75,2022-12-29,142.62000,144.97000,141.37000,144.44000,226100
76,2022-12-28,150.00000,150.32001,136.86600,142.19000,367700
