,datetime,open,high,low,close,volume
0,2023-04-19,7.39000,7.58000,7.37000,7.53000,1509500
1,2023-04-18,7.68000,7.68000,7.39000,7.46000,1764000
2,2023-04-17,7.49000,7.69000,7.41000,7.65000,1855200
3,2023-04-14,7.55000,7.62000,7.41000,7.49000,3577300
4,2023-04-13,7.49000,7.72000,7.45000,7.54000,1634600
5,2023-04-12,7.72000,7.74000,7.35000,7.38000,1856500
6,2023-04-11,7.56000,7.72000,7.53000,7.62000,4697500
7,2023-04-10,7.30000,7.51000,7.25000,7.48000,1489800
8,2023-04-06,7.44000,7.48000,7.32000,7.33000,1516300
9,2023-04-05,7.48000,7.54000,7.31000,7.42000,1621600
10,2023-04-04,7.80000,7.84000,7.46000,7.55000,2789700
11,2023-04-03,8.09000,8.11000,7.73000,7.80000,3463400
12,2023-03-31,7.72000,8.11000,7.72000,8.10000,3763000
13,2023-03-30,7.77000,7.82000,7.55000,7.71000,1357600
14,2023-03-29,7.55000,7.68000,7.51000,7.67000,1289500
15,2023-03-28,7.45000,7.56000,7.38000,7.47000,1588100
16,2023-03-27,7.34000,7.49000,7.25000,7.45000,1873500
17,2023-03-24,7.20000,7.25000,7.02000,7.23000,4417900
18,2023-03-23,7.67000,7.71000,7.22000,7.28000,2420900
19,2023-03-22,7.96000,7.96000,7.57000,7.58000,1879100
20,2023-03-21,7.76000,8.04000,7.72000,7.92000,2811900
21,2023-03-20,7.59000,7.68000,7.50000,7.61000,2256500
22,2023-03-17,7.68000,7.73000,7.52000,7.60000,2844600
23,2023-03-16,7.51000,7.84000,7.39000,7.79000,3219700
24,2023-03-15,7.70000,7.76000,7.51000,7.63000,3616500
25,2023-03-14,8.14000,8.22000,7.84000,7.92000,2873300
26,2023-03-13,8.00000,8.07000,7.86000,7.96000,2860900
27,2023-03-10,8.24000,8.27000,7.87000,8.03000,3736300
28,2023-03-09,8.58000,8.65000,8.28000,8.32000,2747000
29,2023-03-08,8.59000,8.71000,8.43000,8.62000,2567500
30,2023-03-07,8.76000,8.86000,8.64000,8.64000,2010800
31,2023-03-06,9.17000,9.18000,8.78000,8.82000,3468000
32,2023-03-03,9.34000,9.39000,9.15000,9.16000,3661900
33,2023-03-02,9.07000,9.34000,8.88000,9.25000,9362300
34,2023-03-01,9.37000,9.45000,9.11000,9.22000,3670700
35,2023-02-28,9.32000,9.47000,9.16000,9.31000,4898900
36,2023-02-27,9.57000,9.61000,9.24000,9.33000,5981400
37,2023-02-24,9.77000,9.90000,9.49000,9.57000,12061900
38,2023-02-23,8.99000,10.23000,8.90000,9.85000,19602900
39,2023-02-22,8.84000,9.11000,8.56000,8.64000,11498500
40,2023-02-21,9.46000,9.75000,8.83000,8.86000,10625200
41,2023-02-17,8.85000,9.71000,8.85000,9.51000,10998600
42,2023-02-16,8.86000,9.10000,8.68000,8.97000,9200800
43,2023-02-15,7.96000,9.07000,7.88000,8.98000,30504500
44,2023-02-14,7.30000,7.57000,7.24000,7.53000,3568900
45,2023-02-13,7.20000,7.38000,7.07000,7.32000,3531900
46,2023-02-10,7.23000,7.29000,7.08000,7.16000,4738700
47,2023-02-09,7.70000,7.70000,7.16000,7.26000,3843100
48,2023-02-08,7.76000,7.83000,7.48000,7.58000,2961700
49,2023-02-07,7.66000,7.96000,7.55000,7.84000,2580800
50,2023-02-06,7.76000,7.77000,7.63000,7.69000,1621500
51,2023-02-03,7.76000,7.98000,7.66000,7.86000,1777400
52,2023-02-02,7.90000,8.12000,7.81000,7.90000,2980100
53,2023-02-01,7.67000,7.89000,7.52000,7.83000,6182500
54,2023-01-31,7.80000,7.92000,7.61000,7.70000,3064600
55,2023-01-30,8.31000,8.31000,7.71000,7.82000,4015300
56,2023-01-27,8.49000,8.72000,8.36000,8.38000,4675300
57,2023-01-26,8.54000,8.82000,8.37000,8.52000,3865200
58,2023-01-25,8.30000,8.44000,8.22000,8.38000,2238200
59,2023-01-24,8.12000,8.48000,8.10000,8.37000,3272200
60,2023-01-23,8.21000,8.57000,8.07000,8.18000,9228500
61,2023-01-20,7.85000,8.15000,7.72000,8.15000,7922300
62,2023-01-19,7.89000,8.00000,7.61000,7.77000,2326600
63,2023-01-18,7.82000,7.97000,7.69000,7.89000,5908300
64,2023-01-17,7.48000,7.90000,7.42000,7.74000,7069200
65,2023-01-13,7.27000,7.53000,7.24000,7.50000,2843100
66,2023-01-12,7.36000,7.41000,7.15000,7.34000,4367600
67,2023-01-11,7.53000,7.55000,7.24000,7.31000,2237300
68,2023-01-10,7.55000,7.78000,7.43000,7.48000,8730900
69,2023-01-09,7.57000,7.60000,7.43000,7.55000,2873000
70,2023-01-06,7.22000,7.56000,7.07000,7.47000,5480600
71,2023-01-05,6.77000,7.22000,6.71000,7.16000,4431900
72,2023-01-04,6.38000,6.89000,6.30000,6.87000,3722100
73,2023-01-03,6.31000,6.56000,6.22000,6.28000,2518300
74,2022-12-30,6.17000,6.36000,6.12000,6.28000,3164700
75,2022-12-29,6.13000,6.45000,6.09000,6.31000,3175600
76,2022-12-28,6.18000,6.24000,5.99000,6.09000,3930600
77,2022-12-27,6.22000,6.29000,6.11000,6.20000,3973400
78,2022-12-23,6.46000,6.49000,6.18000,6.33000,3982800
79,2022-12-22,6.82000,6.87000,6.34000,6.53000,16350700
80,2022-12-21,6.82000,7.00000,6.77000,6.91000,7155100
81,2022-12-20,6.95000,7.02000,6.66000,6.80000,9617700
82,2022-12-19,7.08000,7.15000,6.98000,7.00000,2837100
83,2022-12-16,7.63000,7.63000,6.96000,7.13000,9428300
84,2022-12-15,7.75000,7.79000,7.59000,7.73000,4649100
85,2022-12-14,7.68000,7.93000,7.51000,7.86000,4219200
86,2022-12-13,7.93000,8.07000,7.53000,7.71000,5336100
87,2022-12-12,7.58000,7.67000,7.33000,7.65000,3771900
88,2022-12-09,7.59000,7.87000,7.56000,7.63000,2914400
89,2022-12-08,7.27000,7.70000,7.19000,7.61000,6474900
90,2022-12-07,7.38000,7.39000,7.13000,7.21000,3690200
91,2022-12-06,7.54000,7.54000,7.26000,7.43000,4074200
92,2022-12-05,7.88000,7.92000,7.49000,7.55000,3243600
93,2022-12-02,7.58000,8.02000,7.53000,7.93000,4404900
