,datetime,open,high,low,close,volume
0,2023-04-19,22.21000,22.21000,21.91000,22.04000,171500
1,2023-04-18,22.68000,22.83000,22.19000,22.39000,198200
2,2023-04-17,22.75000,22.82000,22.59000,22.60000,126900
3,2023-04-14,22.91000,23.14000,22.60000,22.71000,122400
4,2023-04-13,22.80000,23.07000,22.60000,22.94000,215500
5,2023-04-12,23.14000,23.25000,22.74000,22.80000,132600
6,2023-04-11,22.93000,23.19000,22.85000,22.91000,115100
7,2023-04-10,22.59000,22.94000,22.59000,22.84000,138800
8,2023-04-06,23.01000,23.01000,22.58000,22.60000,146500
9,2023-04-05,23.00000,23.21500,22.78000,22.96000,237548
10,2023-04-04,23.88000,23.88000,23.03000,23.08000,201143
11,2023-04-03,23.75000,23.89000,23.39000,23.71000,212505
12,2023-03-31,23.23000,23.70000,23.23000,23.69000,239460
13,2023-03-30,23.23000,23.40000,23.03000,23.18000,116219
14,2023-03-29,22.97000,23.31000,22.89000,23.21000,192936
15,2023-03-28,22.79000,22.96000,22.61000,22.84000,161148
16,2023-03-27,22.79000,23.13000,22.78000,22.87000,150804
17,2023-03-24,22.55000,22.67000,22.34000,22.66000,177625
18,2023-03-23,23.03000,23.28000,22.47000,22.62000,202046
19,2023-03-22,23.28000,23.57000,22.92000,22.93000,216976
20,2023-03-21,22.88000,23.37500,22.85000,23.24000,272216
21,2023-03-20,22.37000,22.87500,22.37000,22.66000,289123
22,2023-03-17,22.59000,22.84000,21.95000,22.08000,1274107
23,2023-03-16,22.39000,22.95000,21.83000,22.70000,192752
24,2023-03-15,23.01000,23.01000,22.24000,22.63000,228314
25,2023-03-14,23.50000,23.81000,23.24000,23.44000,305011
26,2023-03-13,23.14000,23.52000,22.94000,23.02000,337385
27,2023-03-10,23.95000,24.21000,23.40000,23.44000,234079
28,2023-03-09,24.00000,24.31270,23.95000,24.06000,215301
29,2023-03-08,23.92000,24.08500,23.80000,23.98000,184172
30,2023-03-07,23.85000,24.00000,23.73000,23.82000,205122
31,2023-03-06,24.10000,24.11250,23.67000,23.89000,283902
32,2023-03-03,24.00000,24.17000,23.77000,24.05000,257820
33,2023-03-02,23.71000,23.90000,23.55000,23.90000,210312
34,2023-03-01,23.84000,24.22000,23.71000,23.89000,211554
35,2023-02-28,23.61000,23.88000,23.50000,23.79000,328011
36,2023-02-27,24.25000,24.36000,23.70000,23.74000,223234
37,2023-02-24,24.10000,24.28500,23.99000,24.08000,149613
38,2023-02-23,24.44000,24.53000,24.11000,24.41000,213784
39,2023-02-22,24.25000,24.57000,24.18000,24.34000,215777
40,2023-02-21,24.65000,24.73500,24.23000,24.25000,177593
41,2023-02-17,25.12000,25.22000,24.84000,24.87000,167508
42,2023-02-16,24.91000,25.11000,24.78000,25.01000,164396
43,2023-02-15,24.82000,25.19000,24.59000,25.10000,130560
44,2023-02-14,25.23000,25.38000,24.90500,24.97000,238897
45,2023-02-13,25.19000,25.55000,25.07000,25.39000,182049
46,2023-02-10,24.82000,25.24000,24.72000,25.16000,145131
47,2023-02-09,25.12000,25.37000,24.75000,24.88000,244754
48,2023-02-08,24.94000,25.08000,24.70000,24.87000,159202
49,2023-02-07,24.94000,25.24000,24.76660,25.10000,214799
