,datetime,open,high,low,close,volume
0,2023-04-19,209.52000,215.71001,208.06000,215.00000,300700
1,2023-04-18,203.69000,211.25500,203.69000,209.78000,250200
2,2023-04-17,201.53999,203.42000,198.82001,200.70000,155400
3,2023-04-14,199.48000,202.77000,195.88000,201.67999,159600
4,2023-04-13,200.86000,201.75000,196.86501,200.00000,176000
5,2023-04-12,200.78999,201.28999,197.77000,199.08000,239100
6,2023-04-11,192.30000,199.60001,192.30000,198.33000,238600
7,2023-04-10,190.17999,195.91000,190.17999,192.19000,245800
8,2023-04-06,188.02000,192.24001,184.50000,191.47000,198000
9,2023-04-05,191.99001,192.50000,188.19000,189.72000,292100
10,2023-04-04,203.74001,203.74001,192.36800,194.67999,299400
11,2023-04-03,207.22000,209.32001,201.77000,204.39000,238000
12,2023-03-31,200.07001,208.75000,199.80000,208.14000,370100
13,2023-03-30,199.50000,201.57001,197.85500,198.25000,161200
14,2023-03-29,197.56000,198.39000,195.49001,197.49001,121400
15,2023-03-28,194.67000,197.88000,193.44501,195.59000,142800
16,2023-03-27,195.92999,196.56000,192.50000,195.27000,165300
17,2023-03-24,188.61000,193.34000,185.03999,193.05000,183300
18,2023-03-23,193.31000,195.94501,187.48500,189.77000,261000
19,2023-03-22,194.36000,196.49001,190.42000,190.77000,214000
20,2023-03-21,193.38000,197.78999,193.38000,195.36000,160900
21,2023-03-20,191.39000,194.09000,189.94000,190.77000,245500
22,2023-03-17,190.84000,192.38000,188.22501,189.53000,355000
23,2023-03-16,186.12000,194.05000,185.05499,192.07001,205800
24,2023-03-15,191.25000,193.46001,185.85500,188.42999,261000
25,2023-03-14,197.39000,197.91499,191.95000,194.70000,218300
26,2023-03-13,188.00000,195.67999,187.92000,192.32001,233600
27,2023-03-10,199.38000,199.38000,190.73000,192.86000,306200
28,2023-03-09,202.24001,205.59000,200.03000,200.03000,238700
29,2023-03-08,202.23000,203.70000,198.52000,203.08000,187200
30,2023-03-07,203.87000,206.96001,201.25000,201.25999,156100
31,2023-03-06,210.53999,211.26100,202.64999,203.88000,263800
32,2023-03-03,207.78999,210.87000,205.85001,210.36000,172500
33,2023-03-02,203.45000,206.99500,202.14000,206.25000,165100
34,2023-03-01,207.37000,209.03500,203.63000,205.98000,188900
35,2023-02-28,209.45000,210.08000,206.35001,207.59000,360900
36,2023-02-27,207.63000,210.07001,206.57001,208.94000,257200
37,2023-02-24,202.13000,206.92500,199.08000,206.17000,295600
38,2023-02-23,210.00000,216.24001,197.39000,205.21001,573800
39,2023-02-22,192.45000,200.12000,192.45000,198.00000,422600
40,2023-02-21,193.78999,196.62000,190.89500,191.25000,268300
41,2023-02-17,199.25000,199.37000,194.78000,198.91000,230000
42,2023-02-16,197.97000,203.23000,195.73000,200.67000,279000
43,2023-02-15,199.13000,203.39000,199.00000,202.53000,161000
44,2023-02-14,195.61000,201.62000,195.61000,200.39999,135300
45,2023-02-13,195.19000,199.95000,195.19000,199.53000,153500
46,2023-02-10,194.35001,196.81000,193.74500,194.78999,111800
47,2023-02-09,200.16000,201.72501,194.60001,196.72000,139400
48,2023-02-08,199.30000,200.78000,196.77000,197.66000,149800
49,2023-02-07,195.50000,201.20000,195.00999,199.89999,216600
50,2023-02-06,201.33000,202.46001,197.92999,198.32001,232100
51,2023-02-03,205.84000,209.73000,204.25000,205.50000,211500
52,2023-02-02,207.53999,212.96001,206.78000,211.02000,300700
53,2023-02-01,200.89000,205.71001,195.50000,204.35001,342500
54,2023-01-31,191.33000,200.14000,191.28000,200.06000,221200
55,2023-01-30,195.36000,197.80701,189.31000,189.42999,185000
56,2023-01-27,193.39000,197.52000,193.39000,197.39999,181600
57,2023-01-26,193.05000,196.81000,191.77000,194.38000,228700
58,2023-01-25,190.00000,191.29300,188.68500,190.24001,183300
59,2023-01-24,190.00000,193.06000,189.84000,192.82001,138700
60,2023-01-23,187.94000,192.25999,186.88000,192.25000,226800
61,2023-01-20,182.80000,187.48000,180.00999,187.37000,235000
62,2023-01-19,185.57001,186.72501,181.35001,181.83000,399500
63,2023-01-18,189.00000,192.47200,187.50999,188.28000,306700
64,2023-01-17,185.49001,188.06000,185.21500,186.11000,463300
65,2023-01-13,178.25000,186.86000,176.75000,186.28999,361300
66,2023-01-12,179.46001,179.76500,173.75000,178.49001,287300
67,2023-01-11,173.14000,180.53000,173.00000,179.31000,379400
68,2023-01-10,166.70000,168.42999,165.00500,168.17999,181400
69,2023-01-09,166.91000,169.94000,166.61200,167.50999,224300
70,2023-01-06,163.32001,166.77000,162.47000,165.88000,189300
71,2023-01-05,159.42999,162.99001,158.21001,161.37000,326400
72,2023-01-04,160.03000,162.31000,158.92999,161.71001,207700
73,2023-01-03,159.41000,159.83501,156.49001,157.92000,211500
74,2022-12-30,155.80000,158.11000,155.35001,156.49001,131700
75,2022-12-29,152.39999,159.44000,150.88000,158.41000,202100
76,2022-12-28,156.64999,157.14000,151.78999,151.87000,132100
77,2022-12-27,156.80000,157.42000,154.58000,155.75999,132000
78,2022-12-23,156.41000,158.22000,154.38000,158.20000,138800
79,2022-12-22,156.73000,157.62000,153.46001,156.80000,155500
80,2022-12-21,156.64000,159.84000,156.11600,159.39999,287100
81,2022-12-20,156.07001,157.50000,152.39000,154.80000,209700
82,2022-12-19,161.47000,161.92500,156.82001,158.06000,247700
83,2022-12-16,160.47000,162.58000,160.18500,161.22000,568500
84,2022-12-15,158.59000,164.85001,157.14500,163.50000,331900
85,2022-12-14,164.38000,165.78500,161.14000,162.92999,200600
86,2022-12-13,168.03999,169.53999,164.24001,165.47000,275200
87,2022-12-12,158.33000,160.12500,154.55000,159.49001,271600
88,2022-12-09,157.23000,159.92999,156.75999,158.09000,209900
89,2022-12-08,155.19000,159.75000,153.17999,158.46001,235800
90,2022-12-07,153.56000,156.91000,152.84000,155.73000,267400
91,2022-12-06,156.96001,158.48000,149.85001,152.33000,449800
92,2022-12-05,153.67999,157.22501,152.32800,156.71001,318700
93,2022-12-02,155.57001,158.64500,155.00000,156.57001,461400
94,2022-12-01,156.35001,162.41000,155.76500,158.00000,369800
95,2022-11-30,149.64999,154.50999,145.32001,154.08000,425800
96,2022-11-29,146.94000,149.50999,145.81000,149.00999,301900
97,2022-11-28,148.50000,149.89000,145.23000,146.73000,298600
98,2022-11-25,149.75000,151.94501,149.75000,150.45000,55600
99,2022-11-23,148.38000,153.34000,146.91000,150.09000,177000
100,2022-11-22,147.50999,148.66000,145.99001,148.07001,244800
101,2022-11-21,147.61000,148.52000,145.08000,146.09000,155700
102,2022-11-18,151.14000,152.45000,146.78000,148.09000,427700
103,2022-11-17,143.80000,148.00000,140.66000,147.98000,425800
104,2022-11-16,153.23000,153.98000,147.20000,147.62000,369800
105,2022-11-15,154.00000,157.34000,152.17999,155.00000,816100
106,2022-11-14,160.00000,160.28999,149.87000,150.00000,505100
107,2022-11-11,158.02000,162.20000,158.02000,160.71001,735800
108,2022-11-10,156.08000,165.19000,155.85001,158.16000,1077100
109,2022-11-09,146.07001,148.83501,144.64000,147.05000,655500
110,2022-11-08,148.89000,150.77800,146.49001,147.75000,707600
111,2022-11-07,147.63000,149.05000,144.73500,148.25000,483500
112,2022-11-04,144.12000,148.37500,143.21001,146.47000,486800
113,2022-11-03,144.74001,145.35300,141.28000,141.82001,610300
114,2022-11-02,156.39999,160.63000,147.61000,147.84000,533100
115,2022-11-01,181.67000,182.67000,152.25999,157.17999,654900
116,2022-10-31,166.60001,171.77000,164.19701,170.14000,413800
117,2022-10-28,164.44000,169.38000,162.27000,168.57001,422300
118,2022-10-27,167.58000,170.25000,164.75999,164.91000,294000
119,2022-10-26,167.16000,171.00999,165.19501,166.56000,222100
120,2022-10-25,161.47000,168.86000,161.47000,167.89000,318500
121,2022-10-24,159.67999,161.42500,155.95000,160.27000,218100
122,2022-10-21,153.39000,159.94501,151.84000,159.64000,337300
123,2022-10-20,160.37000,163.50000,153.40500,153.44000,340200
124,2022-10-19,169.27000,170.36000,158.84000,160.16000,249500
125,2022-10-18,170.75000,174.14000,167.71001,171.03000,150000
126,2022-10-17,163.83000,167.77000,163.46001,166.89000,228900
127,2022-10-14,171.07001,171.41499,159.59500,160.02000,267600
128,2022-10-13,163.53999,171.85001,160.66000,170.25999,250100
129,2022-10-12,177.53000,177.53000,170.25500,170.84000,155200
130,2022-10-11,173.31000,178.81000,171.59000,177.30000,251100
131,2022-10-10,176.28999,178.47000,172.72000,174.50000,194000
132,2022-10-07,179.14000,180.67000,175.64000,176.24001,204200
133,2022-10-06,179.78000,183.45000,179.55000,182.80000,169500
134,2022-10-05,179.14999,181.53000,176.94000,180.35001,225800
135,2022-10-04,176.14000,182.92000,176.14000,182.60001,215200
136,2022-10-03,168.55000,173.25000,167.60001,172.25000,194400
137,2022-09-30,166.20000,169.34000,164.03000,164.78000,275900
138,2022-09-29,164.50999,167.06000,163.91000,165.14000,327800
139,2022-09-28,160.00000,168.41000,160.00000,167.97000,304300
140,2022-09-27,157.28999,159.61000,154.74001,158.14999,286200
141,2022-09-26,159.85001,161.36000,153.82500,155.12000,392600
142,2022-09-23,160.37000,161.35001,157.67000,160.07001,287200
143,2022-09-22,166.50000,167.57500,159.80499,162.55000,301800
144,2022-09-21,170.00000,172.41000,167.45000,167.75999,412100
145,2022-09-20,169.84000,171.07001,167.28999,168.85001,460900
146,2022-09-19,170.39000,174.39500,170.39000,173.61000,279700
147,2022-09-16,168.00999,170.59500,166.97000,168.53999,481300
148,2022-09-15,169.09000,173.17999,168.13100,170.55000,365300
149,2022-09-14,174.83000,176.58000,167.54500,169.33000,421900
150,2022-09-13,177.74001,178.28999,174.19000,174.99001,440200
151,2022-09-12,187.22000,188.16000,183.28999,184.53999,174700
152,2022-09-09,183.67999,186.82001,183.59000,186.13000,151000
153,2022-09-08,179.81000,183.52000,178.60001,183.00000,150900
154,2022-09-07,177.24001,182.25999,176.85001,181.60001,233300
155,2022-09-06,179.98000,182.80000,173.67999,176.08000,317800
156,2022-09-02,182.95000,183.78000,179.31000,179.75000,179700
157,2022-09-01,181.20000,182.78000,179.03000,181.31000,230700
158,2022-08-31,184.80000,185.82001,183.21001,183.75999,210600
159,2022-08-30,187.34000,188.07001,183.52000,184.72000,150200
160,2022-08-29,183.75999,187.55000,183.50000,186.13000,183800
161,2022-08-26,193.70000,194.91000,183.75999,184.39000,298000
162,2022-08-25,191.55000,197.80000,190.68300,195.47000,109900
163,2022-08-24,191.94000,194.56000,190.53999,192.96001,149800
164,2022-08-23,193.39000,195.16100,190.39000,191.69000,107000
165,2022-08-22,192.60001,195.38000,190.00000,192.17999,133300
166,2022-08-19,199.52000,199.52000,194.14000,195.59000,151900
167,2022-08-18,203.80000,204.50999,200.86000,201.17000,146400
168,2022-08-17,202.96001,204.52000,199.91000,202.06000,210900
169,2022-08-16,200.61000,205.37000,198.61000,204.98000,379900
170,2022-08-15,202.33000,202.50999,198.00000,202.10001,319100
171,2022-08-12,202.03999,203.53999,200.12000,202.73000,178200
172,2022-08-11,202.37000,208.02000,200.13000,201.55000,229000
173,2022-08-10,198.20000,201.52000,197.06000,199.25999,252900
174,2022-08-09,197.88000,199.39999,189.89500,190.59000,248600
175,2022-08-08,198.13000,206.03999,198.13000,200.24001,221100
176,2022-08-05,202.37000,203.70000,195.95000,196.63000,289400
177,2022-08-04,202.39000,209.75999,202.39000,207.28999,290200
178,2022-08-03,211.37000,214.02000,203.82001,204.05000,313100
179,2022-08-02,220.00000,221.38000,204.85001,207.32001,384000
180,2022-08-01,210.03000,219.03000,208.06000,217.03999,441600
181,2022-07-29,207.67000,212.82001,206.45000,211.72000,254500
182,2022-07-28,200.75000,209.17500,200.75000,208.77000,304300
183,2022-07-27,191.49001,200.64000,188.66000,199.11000,234700
184,2022-07-26,187.77000,189.30000,185.95000,188.33000,233700
185,2022-07-25,189.67999,190.80499,186.14999,189.23000,234200
186,2022-07-22,189.87000,194.50999,187.61000,189.58000,243500
187,2022-07-21,182.37000,187.50000,179.06000,187.49001,361700
188,2022-07-20,180.94000,183.27000,177.61099,182.37000,386800
189,2022-07-19,178.99001,181.91000,176.22000,180.85001,291500
190,2022-07-18,178.83000,180.35500,174.77000,175.75000,205400
191,2022-07-15,180.32001,181.25000,174.83000,177.67999,127600
192,2022-07-14,175.30000,177.50000,172.63499,177.14000,147300
193,2022-07-13,174.58000,180.46300,170.02000,178.46001,154100
194,2022-07-12,177.60001,182.31000,176.50999,178.07001,204000
195,2022-07-11,177.86000,179.22000,176.36000,177.39999,191300
196,2022-07-08,177.33000,180.14000,175.18500,178.81000,150200
197,2022-07-07,178.69000,181.44000,176.27000,178.94000,222200
198,2022-07-06,179.53000,181.16000,173.42000,177.28000,206400
199,2022-07-05,172.38000,178.31000,170.42999,178.08000,230900
200,2022-07-01,166.78999,175.24001,166.78999,175.14000,292700
201,2022-06-30,164.60001,169.81000,162.97000,167.16000,218400
202,2022-06-29,167.46001,167.46001,163.19000,166.42000,275600
203,2022-06-28,171.80000,172.63499,167.14000,167.17000,173100
204,2022-06-27,166.33000,171.44000,166.07001,170.22000,208300
205,2022-06-24,163.87000,170.89000,163.87000,167.20000,324800
206,2022-06-23,154.03000,164.86000,154.03000,161.86000,358600
207,2022-06-22,153.17999,157.83000,150.71500,152.72000,570800
208,2022-06-21,160.53000,163.12000,156.03000,157.03999,384400
209,2022-06-17,162.07001,164.11000,158.73000,161.71001,658400
210,2022-06-16,174.03000,174.24001,156.78999,158.91000,541500
211,2022-06-15,180.39000,183.25999,175.59000,178.81000,230300
212,2022-06-14,177.31000,180.10001,175.85001,178.05000,335600
213,2022-06-13,182.32001,186.27000,176.55000,177.38000,393800
214,2022-06-10,198.23000,200.23000,190.53999,190.56000,263500
215,2022-06-09,198.00999,203.50000,198.00999,200.78000,153700
216,2022-06-08,201.24001,202.61000,197.44000,198.87000,222600
217,2022-06-07,199.37000,204.07001,198.71001,203.89000,146000
218,2022-06-06,202.61000,204.09000,200.12000,201.71001,149900
219,2022-06-03,199.19000,202.41000,197.42999,201.70000,137800
220,2022-06-02,193.30000,202.64000,193.30000,202.14999,327100
221,2022-06-01,198.47000,198.47000,192.06000,192.30000,262100
222,2022-05-31,199.10001,199.10001,192.00000,197.25999,383000
223,2022-05-27,198.94000,200.77000,194.94000,200.02000,239700
224,2022-05-26,195.49001,199.70000,194.20000,197.91000,250700
225,2022-05-25,185.00000,193.81000,185.00000,193.14999,210200
226,2022-05-24,189.42000,189.92000,181.19000,185.85001,229700
227,2022-05-23,191.70000,192.92999,187.46001,191.20000,174500
228,2022-05-20,192.91000,192.91000,184.19000,189.62000,307400
229,2022-05-19,190.66000,195.28000,189.41400,190.94000,207200
230,2022-05-18,199.28999,200.85001,190.86000,191.86000,241000
231,2022-05-17,200.39999,204.66000,195.99500,203.64000,332300
232,2022-05-16,198.31000,200.66000,193.09000,197.38000,282200
233,2022-05-13,195.96001,200.17000,195.14999,198.17999,259100
234,2022-05-12,182.11000,196.51500,182.11000,194.02000,367100
235,2022-05-11,192.35001,194.82001,184.02000,184.61000,340200
236,2022-05-10,196.88000,197.59000,188.89999,192.57001,373100
237,2022-05-09,191.92999,201.17000,190.50000,194.20000,288700
238,2022-05-06,193.33000,199.52000,187.41000,195.45000,301300
239,2022-05-05,198.50999,208.91000,192.94000,195.42999,357200
240,2022-05-04,185.00000,194.33000,182.57001,193.48000,367500
241,2022-05-03,186.47000,186.47000,182.28999,185.23000,148300
242,2022-05-02,180.27000,186.10001,177.98000,185.28999,224900
243,2022-04-29,183.42999,186.98000,180.36000,181.14000,193400
244,2022-04-28,182.28000,187.61000,177.00999,186.00999,182900
245,2022-04-27,178.05000,180.87000,174.72000,177.87000,159700
246,2022-04-26,182.98000,185.09000,177.28999,177.86000,230800
247,2022-04-25,174.70000,185.75999,171.66000,184.96001,239100
248,2022-04-22,181.05000,181.45000,175.34000,175.50000,180500
249,2022-04-21,185.56000,187.13000,180.70000,181.07001,258300
250,2022-04-20,180.34000,185.66000,180.19000,183.07001,272200
251,2022-04-19,170.27000,180.45000,170.27000,178.94000,214400
252,2022-04-18,168.82001,171.87000,168.55000,170.36000,160500
253,2022-04-14,173.50000,174.91800,170.31000,170.85001,216300
254,2022-04-13,169.61000,175.92999,169.61000,173.17000,185300
255,2022-04-12,173.69000,176.96001,169.66000,170.39000,286500
256,2022-04-11,168.13000,175.67000,168.13000,170.86000,286200
257,2022-04-08,169.63000,174.45500,167.99500,169.89999,202200
258,2022-04-07,169.37000,173.62000,165.00999,169.13000,320500
259,2022-04-06,172.42000,173.19000,166.69000,170.14000,383900
260,2022-04-05,185.19000,185.34000,173.34000,175.50000,527700
261,2022-04-04,183.12000,185.00000,180.50000,182.62000,253000
262,2022-04-01,183.63000,184.72000,180.48000,183.08000,321700
263,2022-03-31,186.36000,187.39999,181.07001,181.39000,413600
264,2022-03-30,198.17000,198.17000,184.12000,185.59000,497700
265,2022-03-29,200.00000,202.16000,198.10500,200.14000,222200
266,2022-03-28,191.78999,192.75999,187.99001,192.70000,360700
267,2022-03-25,196.83000,198.76900,189.25999,190.99001,430000
268,2022-03-24,204.88000,204.99001,192.50999,196.62000,581400
269,2022-03-23,220.74001,220.74001,203.99001,205.53999,293300
270,2022-03-22,224.09000,228.53999,219.39500,221.47000,187200
271,2022-03-21,228.42999,229.44000,218.63000,222.73000,259200
272,2022-03-18,226.24001,232.92000,223.15100,231.64999,221000
273,2022-03-17,218.45000,226.89999,216.66800,226.82001,161900
274,2022-03-16,220.00000,224.98000,213.38499,219.72000,197400
275,2022-03-15,209.45000,217.58000,207.08701,217.28000,168100
276,2022-03-14,216.24001,216.24001,205.05000,206.10001,275600
277,2022-03-11,218.87000,219.39999,215.01500,216.12000,192100
278,2022-03-10,209.42999,215.92999,208.14999,215.59000,216300
279,2022-03-09,207.00000,218.64999,206.74400,214.64000,396300
280,2022-03-08,197.66000,209.73000,195.53000,202.78000,277600
281,2022-03-07,209.50000,209.50000,196.85001,197.24001,249300
282,2022-03-04,208.19000,210.89999,206.50000,209.47000,231100
283,2022-03-03,217.98000,218.62000,209.22501,210.08000,298100
284,2022-03-02,213.10001,218.25999,212.30499,216.80000,274200
285,2022-03-01,213.00999,218.10001,210.19000,212.10001,438100
286,2022-02-28,207.11000,216.46001,206.24500,214.67999,296900
287,2022-02-25,202.32001,211.59000,200.39000,210.83000,378100
288,2022-02-24,191.62000,203.10001,188.99001,202.70000,466300
289,2022-02-23,219.25999,219.25999,195.45000,195.98000,550500
290,2022-02-22,229.07001,229.07001,218.61000,219.56000,383900
291,2022-02-18,227.08000,228.75999,220.61501,224.49001,297200
292,2022-02-17,230.78999,232.37000,225.12000,225.98000,171100
293,2022-02-16,231.75999,235.17999,226.25000,234.53999,106300
294,2022-02-15,230.92000,234.62000,229.27000,233.46001,106100
295,2022-02-14,226.12000,231.40500,225.55000,228.00999,155700
296,2022-02-11,231.53000,234.20000,224.74001,227.17999,167100
297,2022-02-10,236.31000,243.00999,227.71001,229.35001,331200
298,2022-02-09,238.50000,243.30000,238.50000,242.34000,174200
299,2022-02-08,229.95000,235.88000,229.56000,235.39000,124900
300,2022-02-07,228.85001,231.87000,225.45000,229.78000,150700
301,2022-02-04,228.03000,228.80000,223.28999,226.33000,255000
302,2022-02-03,230.38000,234.49001,228.73000,229.88000,135500
303,2022-02-02,234.99001,236.64999,230.23000,235.20000,134400
304,2022-02-01,234.71001,234.71001,225.97000,231.91000,162800
305,2022-01-31,222.81000,232.77000,221.22000,232.64999,205100
306,2022-01-28,221.14000,223.92000,213.44000,223.77000,298300
307,2022-01-27,225.46001,229.05499,218.27000,219.80000,181400
308,2022-01-26,235.64999,238.86000,219.34000,223.27000,338900
309,2022-01-25,234.02000,234.61700,227.77000,228.66000,297400
310,2022-01-24,226.02000,239.19000,224.08000,238.44000,405000
311,2022-01-21,230.19000,236.08600,227.98000,231.25000,483700
312,2022-01-20,235.78000,239.49001,232.07001,232.74001,450300
313,2022-01-19,229.09000,236.82500,229.00500,233.00000,372200
314,2022-01-18,229.97000,234.30499,225.91000,231.00000,268600
315,2022-01-14,240.48000,244.39500,229.37000,234.72000,341300
316,2022-01-13,244.67000,251.56000,242.71001,244.17999,181000
317,2022-01-12,244.67000,249.33501,241.00000,244.09000,241300
318,2022-01-11,239.88000,244.41000,235.69000,243.62000,289800
319,2022-01-10,238.17999,239.25999,229.27000,238.75000,522800
320,2022-01-07,260.01001,260.01001,241.24001,241.82001,443700
321,2022-01-06,262.16000,266.26001,256.78500,261.85999,194100
322,2022-01-05,274.25000,280.83499,263.81000,264.44000,256700
323,2022-01-04,272.85001,276.79001,270.01001,275.79001,201800
324,2022-01-03,275.79001,278.29999,266.26001,268.98001,219500
325,2021-12-31,272.60999,277.70999,271.28000,275.91000,178500
326,2021-12-30,278.66000,279.31000,272.44000,273.19000,150500
327,2021-12-29,279.38000,282.42200,277.69000,278.45999,114100
328,2021-12-28,280.75000,284.07001,277.42001,278.53000,173900
329,2021-12-27,278.25000,280.45001,274.78500,280.23001,94300
330,2021-12-23,270.04999,275.76999,269.04999,275.73999,145100
331,2021-12-22,262.34000,266.51999,259.48999,265.87000,129000
332,2021-12-21,254.53999,262.62000,250.99001,262.20001,334500
333,2021-12-20,254.20000,254.20000,247.11000,251.12000,352300
334,2021-12-17,270.75000,272.73001,256.13000,257.79001,625200
335,2021-12-16,271.16000,275.76999,269.60999,274.57001,287100
336,2021-12-15,270.76001,275.31000,266.26501,275.17001,339100
337,2021-12-14,272.64001,272.98999,268.00000,270.45001,276600
338,2021-12-13,279.54999,280.84000,271.00000,274.89001,207600
339,2021-12-10,277.12000,279.20999,272.63501,278.79999,176600
340,2021-12-09,278.03000,279.78000,274.98999,275.23999,197100
341,2021-12-08,280.00000,280.57001,275.70001,279.01999,209600
342,2021-12-07,281.39999,283.57001,278.03000,279.67999,180000
343,2021-12-06,273.82999,278.79001,270.72000,278.07001,180000
344,2021-12-03,271.79999,277.17999,266.62000,269.45001,264600
345,2021-12-02,264.60001,278.79999,264.60001,276.47000,268600
346,2021-12-01,274.79001,276.16000,262.38000,262.54001,223100
347,2021-11-30,273.53000,278.27499,267.35001,269.79001,300500
348,2021-11-29,278.38000,278.64001,271.81000,274.85999,151900
349,2021-11-26,274.92999,280.50000,270.06000,275.23999,166600
350,2021-11-24,278.23999,279.67999,275.92999,278.98001,97200
351,2021-11-23,277.79999,280.98999,274.12000,280.00000,284300
352,2021-11-22,275.41000,284.01001,272.32001,279.91000,377200
353,2021-11-19,274.23001,278.07999,272.50000,275.22000,147000
354,2021-11-18,276.35001,277.20999,273.10999,273.85999,147000
355,2021-11-17,276.97000,278.67001,269.37799,274.26001,199600
356,2021-11-16,268.54999,281.31000,267.17001,276.88000,293100
357,2021-11-15,270.20999,271.76001,266.67999,267.72000,210200
358,2021-11-12,265.20001,269.67999,263.57001,269.06000,132000
359,2021-11-11,260.95999,265.10999,259.04999,264.00000,116500
360,2021-11-10,263.42999,265.03000,258.29999,259.94000,232200
361,2021-11-09,263.37000,266.01999,261.50000,264.67001,106000
362,2021-11-08,265.60999,268.63599,260.10001,261.50000,122800
363,2021-11-05,264.39999,267.26001,260.70999,264.14999,260700
364,2021-11-04,260.57001,266.57999,258.73999,260.91000,272300
365,2021-11-03,259.45999,264.03000,257.20999,259.60001,178700
366,2021-11-02,258.00000,259.14999,243.91000,258.07001,314400
367,2021-11-01,257.67001,264.38501,255.86000,263.19000,230500
368,2021-10-29,253.19000,258.55499,253.19000,256.97000,196500
369,2021-10-28,251.19000,256.23001,251.17000,254.11000,124800
370,2021-10-27,247.91000,252.22000,247.19501,249.30000,333900
371,2021-10-26,250.78000,250.78000,245.50000,246.64999,215700
372,2021-10-25,243.48000,250.17000,242.48000,250.00000,218000
373,2021-10-22,233.59000,250.87000,232.72000,243.49001,513800
374,2021-10-21,229.00000,232.78999,227.60201,232.71001,152600
375,2021-10-20,221.61000,228.20500,221.37000,228.03999,178400
376,2021-10-19,225.85001,226.97000,220.55000,221.61000,92500
377,2021-10-18,220.03000,225.51500,218.72000,224.39000,136200
378,2021-10-15,222.06000,223.96500,220.12000,220.78000,245600
379,2021-10-14,214.09000,220.99001,213.74001,220.30000,157200
380,2021-10-13,211.28999,212.89500,208.62000,212.37000,127100
381,2021-10-12,209.73000,210.19000,206.73500,209.78999,117600
382,2021-10-11,210.83000,212.71001,209.46001,209.72000,90000
383,2021-10-08,213.20000,213.20000,209.90500,210.64000,123400
384,2021-10-07,211.39000,214.47000,210.64000,212.60001,131300
385,2021-10-06,203.70000,208.72000,202.22000,208.58000,173100
386,2021-10-05,208.86000,210.46001,205.53999,205.88000,246000
387,2021-10-04,205.75000,208.84500,203.59000,208.42000,196900
388,2021-10-01,205.00000,208.32001,200.13000,206.61000,159000
389,2021-09-30,213.00000,213.78999,204.60001,204.81000,228600
390,2021-09-29,210.74001,213.17999,210.23000,211.69000,178200
391,2021-09-28,218.69000,222.27000,209.49001,209.75999,340100
392,2021-09-27,217.97000,222.05499,216.63000,221.39000,184300
393,2021-09-24,217.64999,221.89000,216.05000,219.24001,164900
394,2021-09-23,222.71001,224.39999,219.16000,219.81000,324100
395,2021-09-22,219.92000,223.58000,218.56000,220.10001,213500
