,datetime,open,high,low,close,volume
0,2023-04-19,10.25000,10.25300,10.25000,10.25000,20700
1,2023-04-18,10.24000,10.25000,10.24000,10.24000,25200
2,2023-04-17,10.24000,10.24000,10.24000,10.24000,27000
3,2023-04-14,10.24000,10.24000,10.24000,10.24000,0
4,2023-04-13,10.23000,10.24000,10.23000,10.24000,5500
5,2023-04-12,10.23000,10.23300,10.23000,10.23000,23200
6,2023-04-11,10.22000,10.22000,10.22000,10.22000,6200
7,2023-04-10,10.22000,10.22000,10.22000,10.22000,5100
8,2023-04-06,10.23000,10.23000,10.22000,10.22000,600
9,2023-04-05,10.22000,10.23000,10.22000,10.22000,45300
10,2023-04-04,10.21500,10.21500,10.21000,10.21000,1800
11,2023-04-03,10.24000,10.25000,10.23000,10.25000,3700
12,2023-03-31,10.27000,10.27000,10.26000,10.27000,1500
13,2023-03-30,10.21000,10.27000,10.21000,10.27000,400
14,2023-03-29,10.27000,10.27000,10.21400,10.22000,700
15,2023-03-28,10.29000,10.29000,10.21000,10.21000,1400
16,2023-03-27,10.20500,10.29000,10.20500,10.29000,14800
17,2023-03-24,10.20000,10.20000,10.20000,10.20000,200
18,2023-03-23,10.19000,10.21000,10.19000,10.20000,900
19,2023-03-22,10.19000,10.19000,10.19000,10.19000,100
20,2023-03-21,10.19000,10.36000,10.19000,10.19000,254000
21,2023-03-20,10.18000,10.22000,10.18000,10.19000,700
22,2023-03-17,10.18000,10.18500,10.18000,10.18500,2000
23,2023-03-16,10.25000,10.25000,10.18000,10.18000,104100
24,2023-03-15,10.18000,10.18000,10.18000,10.18000,100
25,2023-03-14,10.18000,10.19000,10.18000,10.19000,63200
26,2023-03-13,10.18000,10.19000,10.15000,10.16000,404400
27,2023-03-10,10.19000,10.19000,10.19000,10.19000,25000
28,2023-03-09,10.18900,10.18900,10.18900,10.18900,100
29,2023-03-08,10.17500,10.18000,10.17500,10.18000,2800
30,2023-03-07,10.17000,10.17000,10.17000,10.17000,0
31,2023-03-06,10.17000,10.17000,10.17000,10.17000,0
32,2023-03-03,10.16000,10.18000,10.16000,10.17000,6400
33,2023-03-02,10.17000,10.18000,10.17000,10.17000,18800
34,2023-03-01,10.16000,10.17000,10.16000,10.17000,19100
35,2023-02-28,10.16000,10.16000,10.16000,10.16000,16000
36,2023-02-27,10.16000,10.16000,10.15500,10.16000,5900
37,2023-02-24,10.16000,10.16000,10.15500,10.15500,20100
38,2023-02-23,10.15000,10.15000,10.15000,10.15000,4400
39,2023-02-22,10.15000,10.15000,10.15000,10.15000,31500
40,2023-02-21,10.14000,10.15000,10.13000,10.15000,357300
41,2023-02-17,10.15000,10.15000,10.15000,10.15000,200
42,2023-02-16,10.14000,10.16500,10.13500,10.15000,29800
43,2023-02-15,10.13000,10.13500,10.13000,10.13500,13900
44,2023-02-10,10.12000,10.14000,10.12000,10.13000,101000
45,2023-02-09,10.12000,10.12000,10.12000,10.12000,2200
46,2023-02-08,10.12000,10.12100,10.11000,10.12000,112200
47,2023-02-07,10.12000,10.12000,10.12000,10.12000,200
48,2023-02-06,10.13000,10.14000,10.12000,10.14000,107600
49,2023-02-03,10.13000,10.13000,10.11500,10.12000,1300
50,2023-02-02,10.13000,10.13000,10.11000,10.11000,2300
51,2023-02-01,10.12000,10.13000,10.12000,10.12000,600
52,2023-01-31,10.13000,10.13000,10.11000,10.12000,112700
53,2023-01-30,10.10000,10.13000,10.10000,10.12000,311000
54,2023-01-27,10.08500,10.11000,10.08500,10.10500,1025500
