,datetime,open,high,low,close,volume
0,2023-04-19,3.14000,3.30000,2.86000,2.90000,168300
1,2023-04-18,3.30000,3.64000,3.26000,3.35000,320800
2,2023-04-17,2.98000,3.28000,2.87000,3.25000,213400
3,2023-04-14,2.82000,3.13000,2.63000,3.08000,369200
4,2023-04-13,2.56000,2.83000,2.55000,2.68000,310200
5,2023-04-12,2.60000,2.71000,2.44000,2.53000,205100
6,2023-04-11,2.45000,2.71000,2.43000,2.61000,354800
7,2023-04-10,2.29000,2.44000,2.21000,2.38000,123100
8,2023-04-06,2.33000,2.38000,2.22000,2.34000,93900
9,2023-04-05,2.56000,2.56000,2.32000,2.39000,105500
10,2023-04-04,2.50000,2.54000,2.41000,2.49000,73400
11,2023-04-03,2.49000,2.63000,2.36000,2.52000,319500
12,2023-03-31,2.40000,2.57000,2.38000,2.46000,114700
13,2023-03-30,2.61000,2.66000,2.33000,2.40000,126800
14,2023-03-29,2.33000,2.56000,2.33000,2.56000,162800
15,2023-03-28,2.52000,2.52000,2.25000,2.31000,110900
16,2023-03-27,2.51000,2.58000,2.38000,2.52000,150400
17,2023-03-24,2.73000,2.80000,2.43000,2.47000,172900
18,2023-03-23,2.57000,2.78000,2.55000,2.75000,183500
19,2023-03-22,2.75000,2.96000,2.40000,2.41000,272700
20,2023-03-21,2.29000,2.90000,2.24000,2.74000,358200
21,2023-03-20,2.31000,2.37000,2.22000,2.28000,136500
22,2023-03-17,2.48000,2.58000,2.20000,2.20000,242800
23,2023-03-16,2.36000,2.36000,2.20000,2.26000,81500
24,2023-03-15,2.42000,2.51000,2.25000,2.26000,113600
25,2023-03-14,2.48000,2.60000,2.27000,2.44000,179700
26,2023-03-13,2.20000,2.38000,2.03000,2.25000,268200
27,2023-03-10,2.14000,2.16000,2.00000,2.07000,140900
28,2023-03-09,2.21000,2.33000,2.20000,2.21000,93200
29,2023-03-08,2.40000,2.54000,2.25000,2.30000,94300
30,2023-03-07,2.58000,2.66000,2.43000,2.50000,121800
31,2023-03-06,2.69000,2.83000,2.58000,2.62000,102300
32,2023-03-03,2.65000,2.85000,2.62000,2.78000,70400
