,datetime,open,high,low,close,volume
0,2023-04-19,23.15000,23.43000,22.97000,23.40000,18300
1,2023-04-18,23.32000,23.53000,23.17000,23.19000,51700
2,2023-04-17,23.39000,23.54000,23.27000,23.33000,65300
3,2023-04-14,23.29000,23.59000,23.05000,23.41000,132700
4,2023-04-13,23.12000,23.43000,23.04000,23.29000,37700
5,2023-04-12,23.25000,23.41000,23.17000,23.28000,27800
6,2023-04-11,23.37000,23.59000,23.23000,23.23000,37700
7,2023-04-10,23.44000,23.63000,23.15000,23.43000,82500
8,2023-04-06,22.90000,23.59000,22.88000,23.44000,52200
9,2023-04-05,23.17000,23.31000,22.83000,23.06000,43300
10,2023-04-04,23.61000,23.70000,23.06000,23.14000,80000
11,2023-04-03,23.91000,24.22000,23.60000,23.73000,71500
12,2023-03-31,23.00000,24.08000,22.91000,23.98000,323400
13,2023-03-30,22.75000,22.92000,22.73000,22.92000,40400
14,2023-03-29,22.52000,22.85000,22.52000,22.59000,87600
15,2023-03-28,22.33000,22.57000,22.20000,22.52000,59200
16,2023-03-27,22.38000,22.39000,21.95000,22.37000,57000
17,2023-03-24,21.47000,22.24000,21.46000,22.20000,39200
18,2023-03-23,21.31000,21.64000,21.28000,21.49000,45100
19,2023-03-22,21.09000,21.40000,21.08000,21.27000,39000
20,2023-03-21,21.22000,21.30000,21.03000,21.15000,23700
21,2023-03-20,21.00000,21.23000,20.97000,21.02000,33300
22,2023-03-17,21.29000,21.40000,20.89000,21.04000,44100
23,2023-03-16,21.38000,21.58000,21.24000,21.44000,43500
24,2023-03-15,21.59000,22.06000,21.50000,21.55000,55100
25,2023-03-14,22.08000,22.43000,21.68000,21.77000,34600
26,2023-03-13,21.75000,22.37000,21.71000,21.94000,30900
27,2023-03-10,22.37000,22.64000,21.77000,21.84000,38500
28,2023-03-09,22.40000,22.53000,22.20000,22.41000,22000
29,2023-03-08,22.42000,22.58000,22.29000,22.42000,23100
30,2023-03-07,22.66000,22.66000,22.34000,22.44000,22400
31,2023-03-06,22.53000,22.66000,22.44000,22.61000,32600
32,2023-03-03,22.41000,22.66000,22.23000,22.57000,28900
33,2023-03-02,22.35000,22.42000,22.18000,22.23000,30900
34,2023-03-01,22.29000,22.41000,22.18000,22.36000,34300
35,2023-02-28,22.33000,22.56000,22.19000,22.34000,36500
36,2023-02-27,22.62000,22.62000,22.14000,22.18000,41800
37,2023-02-24,22.29000,22.65000,22.29000,22.41000,21400
38,2023-02-23,22.68000,22.71000,22.33000,22.46000,22900
39,2023-02-22,22.29000,22.67000,22.27000,22.53000,39200
40,2023-02-21,22.53000,22.65000,22.12000,22.12000,40400
41,2023-02-17,22.47000,22.90000,22.44000,22.71000,29700
42,2023-02-16,22.60000,22.72000,22.22000,22.61000,42600
43,2023-02-15,22.86000,23.09000,22.57000,22.62000,42600
44,2023-02-14,22.95000,23.15000,22.75000,23.03000,31500
45,2023-02-13,23.13000,23.24000,22.94000,23.09000,56600
46,2023-02-10,22.81000,22.95000,22.68000,22.94000,29800
47,2023-02-09,22.95000,23.23000,22.70000,22.81000,50200
48,2023-02-08,22.89000,22.92000,22.64000,22.91000,54700
49,2023-02-07,22.56000,22.95000,22.37000,22.89000,42100
50,2023-02-06,22.03000,22.72000,22.03000,22.58000,39200
51,2023-02-03,22.36000,22.36000,22.00000,22.20000,46800
52,2023-02-02,22.40000,22.59000,22.27000,22.41000,60000
53,2023-02-01,22.24000,22.48000,21.95000,22.41000,70700
54,2023-01-31,22.10000,22.25000,21.91000,22.24000,59100
55,2023-01-30,22.14000,22.19000,22.00000,22.03000,41900
56,2023-01-27,22.23000,22.37000,22.11000,22.28000,61600
57,2023-01-26,22.08000,22.22000,21.93000,22.22000,37300
58,2023-01-25,22.05000,22.05000,21.76000,21.92000,39700
59,2023-01-24,22.14000,22.14000,21.80000,22.11000,41200
60,2023-01-23,21.86000,22.15000,21.78000,22.02000,52700
61,2023-01-20,21.63000,21.85000,21.61000,21.83000,40000
62,2023-01-19,21.73000,21.95000,21.64000,21.64000,52700
63,2023-01-18,22.31000,22.32000,21.82000,21.83000,71600
64,2023-01-17,22.10000,22.30000,22.10000,22.17000,51600
65,2023-01-13,22.10000,22.28000,22.10000,22.14000,48500
66,2023-01-12,22.39000,22.40000,22.08000,22.11000,58800
67,2023-01-11,22.20000,22.39000,22.07000,22.34000,53000
68,2023-01-10,22.06000,22.18000,21.82000,22.18000,39200
69,2023-01-09,21.95000,22.15000,21.83000,22.06000,52000
70,2023-01-06,21.42000,21.99000,21.42000,21.79000,97100
71,2023-01-05,21.57000,21.61000,21.26000,21.29000,33300
72,2023-01-04,21.05000,21.85000,21.05000,21.70000,121300
73,2023-01-03,20.95000,21.16000,20.78000,20.99000,51500
74,2022-12-30,20.85000,21.02000,20.75000,20.77000,84300
75,2022-12-29,20.77000,21.02000,20.77000,20.85000,84400
76,2022-12-28,20.96000,21.00000,20.64000,20.65000,70000
77,2022-12-27,21.17000,21.17000,20.86000,20.89000,63800
78,2022-12-23,20.77000,21.10000,20.77000,21.07000,31200
79,2022-12-22,21.05000,21.10000,20.61000,20.81000,39400
80,2022-12-21,21.11000,21.24000,21.04000,21.08000,76900
81,2022-12-20,20.76000,21.10000,20.76000,21.05000,56200
82,2022-12-19,21.17000,21.24000,20.83000,20.85000,96400
83,2022-12-16,21.30000,21.37000,21.09000,21.29000,42500
84,2022-12-15,21.76000,21.83000,21.49000,21.55000,64900
85,2022-12-14,22.26000,22.30000,22.00000,22.09000,60500
86,2022-12-13,22.42000,22.42000,21.97000,22.17000,50600
87,2022-12-12,21.54000,21.78000,21.43000,21.76000,73100
88,2022-12-09,21.28000,21.47000,21.26000,21.41000,38800
89,2022-12-08,21.37000,21.49000,21.33000,21.35000,31100
90,2022-12-07,21.39000,21.59000,21.26000,21.27000,71400
91,2022-12-06,21.65000,21.72000,21.29000,21.40000,46200
92,2022-12-05,21.75000,21.79000,21.50000,21.57000,51800
93,2022-12-02,22.01000,22.19000,21.76000,21.79000,83800
94,2022-12-01,22.43000,22.49000,22.15000,22.24000,57500
95,2022-11-30,21.72000,22.18000,21.65000,22.18000,49700
96,2022-11-29,21.59000,21.68000,21.35000,21.61000,70100
97,2022-11-28,21.79000,21.97000,21.56000,21.59000,59500
98,2022-11-25,21.91000,21.98000,21.85000,21.94000,7500
99,2022-11-23,21.59000,21.94000,21.51000,21.83000,37500
100,2022-11-22,21.59000,21.67000,21.42000,21.57000,48700
101,2022-11-21,21.17000,21.51000,21.02000,21.51000,59700
102,2022-11-18,20.95000,21.30000,20.95000,21.23000,32100
103,2022-11-17,20.91000,21.05000,20.70000,20.94000,79700
104,2022-11-16,20.91000,21.18000,20.86000,21.07000,47200
105,2022-11-15,21.17000,21.20000,20.87000,21.00000,55100
106,2022-11-14,21.06000,21.22000,21.01000,21.02000,67600
107,2022-11-11,21.33000,21.44000,21.21000,21.37000,43600
108,2022-11-10,20.81000,21.34000,20.81000,21.30000,71700
109,2022-11-09,20.64000,20.77000,20.43000,20.48000,75400
110,2022-11-08,20.50000,20.81000,20.39000,20.70000,65200
111,2022-11-07,20.50000,20.54000,20.21000,20.41000,56100
112,2022-11-04,20.56000,20.72000,20.27000,20.42000,77000
113,2022-11-03,20.15000,20.40000,19.93000,20.29000,59400
114,2022-11-02,20.34000,20.68000,20.25000,20.27000,50700
115,2022-11-01,20.41000,20.49000,20.30000,20.36000,68200
116,2022-10-31,20.37000,20.39000,20.13000,20.24000,71400
117,2022-10-28,20.02000,20.42000,19.97000,20.31000,68500
118,2022-10-27,19.79000,20.07000,19.79000,19.96000,56300
119,2022-10-26,19.78000,19.95000,19.61000,19.70000,91000
120,2022-10-25,19.55000,19.87000,19.55000,19.75000,64300
121,2022-10-24,19.34000,19.54000,19.26000,19.43000,66000
122,2022-10-21,19.20000,19.40000,19.12000,19.24000,59000
123,2022-10-20,19.39000,19.52000,19.19000,19.25000,43000
124,2022-10-19,19.63000,19.63000,19.34000,19.43000,29100
125,2022-10-18,19.72000,19.81000,19.52000,19.68000,36400
126,2022-10-17,19.28000,19.53000,19.28000,19.41000,34900
127,2022-10-14,19.42000,19.61000,19.02000,19.02000,60200
128,2022-10-13,18.84000,19.53000,18.71000,19.39000,69200
129,2022-10-12,19.66000,19.66000,19.20000,19.25000,54300
130,2022-10-11,19.60000,19.76000,19.25000,19.66000,54100
131,2022-10-10,19.84000,19.84000,19.63000,19.63000,50000
132,2022-10-07,20.25000,20.59000,19.75000,19.83000,99000
133,2022-10-06,20.71000,20.79000,20.35000,20.47000,43500
134,2022-10-05,20.86000,20.91000,20.40000,20.70000,52100
135,2022-10-04,20.62000,21.06000,20.59000,20.97000,38000
136,2022-10-03,20.19000,20.47000,20.07000,20.33000,59800
137,2022-09-30,20.19000,20.49000,20.02000,20.06000,48900
138,2022-09-29,20.59000,20.59000,20.09000,20.18000,51100
139,2022-09-28,20.21000,20.94000,20.14000,20.71000,55500
140,2022-09-27,20.57000,20.72000,20.02000,20.21000,97700
141,2022-09-26,21.02000,21.09000,20.51000,20.55000,58300
142,2022-09-23,21.51000,21.61000,21.11000,21.23000,64100
143,2022-09-22,22.07000,22.14000,21.79000,21.89000,41400
144,2022-09-21,22.52000,22.62000,22.10000,22.10000,37600
145,2022-09-20,22.80000,22.80000,22.42000,22.49000,28400
146,2022-09-19,22.81000,23.10000,22.56000,22.85000,57700
147,2022-09-16,23.20000,23.32000,22.94000,23.10000,60800
148,2022-09-15,23.48000,23.58000,23.28000,23.50000,27600
149,2022-09-14,23.38000,23.67000,23.37000,23.43000,29200
150,2022-09-13,23.62000,23.83000,23.36000,23.50000,42400
151,2022-09-12,23.86000,23.99000,23.62000,23.72000,52100
152,2022-09-09,23.67000,23.98000,23.53000,23.68000,49000
153,2022-09-08,23.76000,23.84000,23.45000,23.60000,59800
154,2022-09-07,23.21000,23.83000,23.17000,23.76000,43200
155,2022-09-06,23.73000,23.73000,23.30000,23.33000,57100
156,2022-09-02,23.84000,24.00000,23.56000,23.60000,57700
157,2022-09-01,23.35000,23.80000,23.31000,23.78000,59200
158,2022-08-31,23.38000,23.53000,23.26000,23.50000,74600
159,2022-08-30,23.65000,23.65000,23.27000,23.32000,34300
160,2022-08-29,23.54000,23.82000,23.51000,23.63000,57500
161,2022-08-26,23.62000,23.85000,23.36000,23.71000,58500
162,2022-08-25,23.44000,23.65000,23.39000,23.47000,32700
163,2022-08-24,23.66000,23.75000,23.22000,23.33000,40600
164,2022-08-23,23.70000,23.79000,23.62000,23.73000,22300
165,2022-08-22,23.76000,23.83000,23.62000,23.77000,25700
166,2022-08-19,23.85000,23.95000,23.75000,23.87000,25300
167,2022-08-18,23.85000,23.97000,23.75000,23.90000,32200
168,2022-08-17,23.75000,23.86000,23.55000,23.83000,61200
169,2022-08-16,23.70000,23.99000,23.70000,23.88000,34800
170,2022-08-15,23.55000,23.85000,23.47000,23.80000,49800
171,2022-08-12,24.28000,24.29000,23.78000,23.84000,48200
172,2022-08-11,24.56000,24.77000,23.71000,24.29000,112900
173,2022-08-10,24.26000,24.73000,24.00000,24.47000,80900
174,2022-08-09,23.90000,24.02000,23.73000,23.99000,45800
175,2022-08-08,23.44000,23.98000,23.39000,23.97000,63500
176,2022-08-05,23.14000,23.68000,22.93000,23.37000,80600
177,2022-08-04,22.90000,23.25000,22.90000,23.15000,35300
178,2022-08-03,22.84000,23.00000,22.79000,23.00000,38700
179,2022-08-02,22.88000,22.98000,22.77000,22.84000,46800
180,2022-08-01,22.77000,22.90000,22.59000,22.86000,37400
181,2022-07-29,22.77000,23.00000,22.57000,22.95000,52400
182,2022-07-28,22.18000,22.63000,22.15000,22.63000,32100
183,2022-07-27,21.86000,22.06000,21.77000,22.01000,39300
184,2022-07-26,21.70000,21.78000,21.65000,21.74000,18700
185,2022-07-25,21.55000,21.76000,21.52000,21.73000,35700
186,2022-07-22,21.50000,21.75000,21.50000,21.53000,31900
187,2022-07-21,21.45000,21.48000,21.26000,21.48000,31900
188,2022-07-20,21.38000,21.61000,21.38000,21.45000,39100
189,2022-07-19,21.18000,21.37000,21.09000,21.34000,33500
190,2022-07-18,21.00000,21.19000,20.91000,20.92000,44700
191,2022-07-15,20.96000,20.96000,20.70000,20.91000,32500
192,2022-07-14,20.72000,21.00000,20.69000,20.91000,52100
193,2022-07-13,20.80000,21.15000,20.74000,21.03000,55700
194,2022-07-12,21.94000,22.00000,20.90000,20.94000,118200
195,2022-07-11,21.40000,21.98000,21.40000,21.89000,48500
196,2022-07-08,21.36000,21.71000,21.36000,21.50000,64300
197,2022-07-07,21.21000,21.47000,21.15000,21.38000,41800
198,2022-07-06,20.92000,21.20000,20.90000,21.07000,60200
199,2022-07-05,21.38000,21.38000,20.59000,21.01000,80500
200,2022-07-01,21.88000,22.31000,21.30000,21.49000,273100
201,2022-06-30,21.48000,21.99000,21.48000,21.88000,60900
202,2022-06-29,21.75000,21.83000,21.43000,21.61000,43600
203,2022-06-28,21.73000,21.90000,21.59000,21.65000,66000
204,2022-06-27,21.30000,21.78000,21.20000,21.55000,52300
205,2022-06-24,20.84000,21.29000,20.72000,21.19000,51100
206,2022-06-23,20.69000,20.91000,20.62000,20.79000,68600
207,2022-06-22,20.52000,20.84000,20.51000,20.58000,52300
208,2022-06-21,20.66000,20.85000,20.60000,20.67000,101200
209,2022-06-17,20.57000,20.74000,20.28000,20.46000,54400
210,2022-06-16,21.13000,21.13000,20.42000,20.56000,116600
211,2022-06-15,21.21000,21.44000,21.00000,21.30000,46800
212,2022-06-14,21.33000,22.03000,20.99000,20.99000,60500
213,2022-06-13,22.42000,22.42000,21.47000,21.63000,69000
214,2022-06-10,22.50000,22.75000,22.29000,22.67000,38600
215,2022-06-09,22.90000,23.21000,22.61000,22.66000,52600
216,2022-06-08,22.84000,23.15000,22.84000,23.01000,66100
217,2022-06-07,22.53000,22.99000,22.53000,22.99000,45600
218,2022-06-06,22.62000,22.87000,22.54000,22.59000,43700
219,2022-06-03,22.59000,22.64000,22.49000,22.58000,42600
220,2022-06-02,22.42000,22.67000,22.30000,22.67000,51000
221,2022-06-01,22.66000,22.66000,22.27000,22.45000,46600
222,2022-05-31,22.73000,22.76000,22.51000,22.53000,83600
223,2022-05-27,22.32000,22.68000,22.32000,22.65000,41600
224,2022-05-26,22.14000,22.41000,22.10000,22.34000,61500
225,2022-05-25,22.00000,22.11000,21.87000,22.02000,61700
226,2022-05-24,21.90000,22.05000,21.71000,21.99000,55200
227,2022-05-23,21.76000,21.97000,21.55000,21.84000,79100
228,2022-05-20,21.51000,21.61000,21.31000,21.55000,54200
229,2022-05-19,21.22000,21.44000,21.12000,21.39000,66600
230,2022-05-18,21.45000,21.91000,21.22000,21.29000,64000
231,2022-05-17,21.46000,21.54000,21.21000,21.41000,73300
232,2022-05-16,21.27000,21.99000,21.07000,21.24000,88400
233,2022-05-13,21.37000,21.39000,21.04000,21.22000,79200
234,2022-05-12,21.45000,21.51000,20.79000,20.93000,195900
235,2022-05-11,22.00000,22.34000,21.57000,21.60000,108800
236,2022-05-10,22.19000,22.50000,21.72000,21.85000,45100
237,2022-05-09,22.42000,22.42000,22.01000,22.10000,65000
238,2022-05-06,22.64000,22.76000,22.47000,22.67000,48400
239,2022-05-05,23.03000,23.06000,22.63000,22.72000,43700
240,2022-05-04,23.18000,23.50000,22.79000,23.23000,103600
241,2022-05-03,23.05000,23.49000,22.91000,23.08000,34500
242,2022-05-02,23.42000,23.68000,22.70000,22.98000,71900
243,2022-04-29,24.13000,24.13000,23.49000,23.62000,66700
244,2022-04-28,23.71000,23.88000,23.50000,23.88000,45800
245,2022-04-27,23.21000,23.78000,23.11000,23.44000,46500
246,2022-04-26,23.27000,23.45000,23.22000,23.26000,49000
247,2022-04-25,23.56000,23.56000,23.06000,23.41000,59700
248,2022-04-22,24.00000,24.00000,23.58000,23.61000,57900
249,2022-04-21,24.41000,24.52000,23.98000,24.03000,32300
250,2022-04-20,24.26000,24.33000,24.08000,24.32000,33600
251,2022-04-19,23.83000,24.09000,23.83000,24.00000,32700
252,2022-04-18,24.00000,24.06000,23.89000,23.89000,59400
253,2022-04-14,24.22000,24.43000,23.93000,24.02000,28900
254,2022-04-13,23.90000,24.21000,23.90000,24.11000,40400
255,2022-04-12,24.25000,24.39000,24.01000,24.04000,46200
256,2022-04-11,24.45000,24.45000,24.12000,24.13000,47700
257,2022-04-08,24.50000,24.72000,24.40000,24.47000,95800
258,2022-04-07,24.75000,24.85000,24.26000,24.52000,59200
259,2022-04-06,24.88000,24.91000,24.56000,24.84000,53800
260,2022-04-05,25.21000,25.50000,24.86000,24.96000,61700
261,2022-04-04,25.84000,25.84000,25.26000,25.33000,50800
262,2022-04-01,25.42000,25.86000,25.26000,25.79000,52500
263,2022-03-31,25.00000,25.50000,24.85000,25.41000,60100
264,2022-03-30,24.71000,24.94000,24.65000,24.93000,62600
265,2022-03-29,24.42000,24.82000,24.42000,24.71000,36400
266,2022-03-28,24.35000,24.46000,24.21000,24.35000,57700
267,2022-03-25,24.51000,24.68000,24.17000,24.35000,49100
268,2022-03-24,24.11000,24.60000,24.11000,24.45000,55100
269,2022-03-23,24.05000,24.31000,24.05000,24.08000,69700
270,2022-03-22,24.34000,24.35000,24.12000,24.18000,44900
271,2022-03-21,24.06000,24.33000,24.06000,24.19000,30000
272,2022-03-18,24.15000,24.38000,23.92000,24.09000,39800
273,2022-03-17,23.89000,24.43000,23.89000,24.11000,40800
274,2022-03-16,24.05000,24.20000,23.76000,23.93000,61900
275,2022-03-15,23.81000,24.00000,23.67000,24.00000,21500
276,2022-03-14,23.69000,23.85000,23.52000,23.60000,46100
277,2022-03-11,23.96000,24.24000,23.70000,23.79000,37500
278,2022-03-10,23.65000,23.99000,23.65000,23.93000,33300
279,2022-03-09,23.79000,24.02000,23.58000,23.75000,45500
280,2022-03-08,23.32000,23.77000,23.32000,23.47000,56800
281,2022-03-07,23.55000,23.56000,23.20000,23.27000,56600
282,2022-03-04,23.80000,23.80000,23.36000,23.68000,43500
283,2022-03-03,24.10000,24.14000,23.87000,23.94000,61200
284,2022-03-02,23.72000,24.05000,23.72000,24.01000,39200
285,2022-03-01,23.95000,24.07000,23.71000,23.74000,50500
286,2022-02-28,23.73000,24.07000,23.54000,23.93000,82300
287,2022-02-25,23.01000,23.79000,23.01000,23.68000,125700
288,2022-02-24,22.50000,22.93000,22.37000,22.88000,73600
289,2022-02-23,23.35000,23.37000,22.76000,22.89000,96500
290,2022-02-22,23.63000,23.73000,23.12000,23.34000,91000
291,2022-02-18,23.93000,24.04000,23.80000,23.80000,62800
292,2022-02-17,24.05000,24.15000,23.92000,23.98000,50300
293,2022-02-16,24.05000,24.43000,23.92000,24.11000,59100
294,2022-02-15,24.03000,24.64000,24.00000,24.03000,36300
295,2022-02-14,24.10000,24.16000,23.81000,23.93000,69800
296,2022-02-11,24.37000,24.47000,24.13000,24.22000,84700
297,2022-02-10,24.91000,24.91000,24.30000,24.42000,86700
298,2022-02-09,24.25000,25.19000,24.25000,25.19000,173600
299,2022-02-08,24.07000,24.35000,24.07000,24.25000,78700
300,2022-02-07,24.33000,24.55000,24.24000,24.25000,53400
301,2022-02-04,24.61000,24.67000,24.32000,24.39000,47100
302,2022-02-03,24.80000,25.00000,24.76000,24.78000,54900
303,2022-02-02,25.21000,25.23000,24.80000,25.07000,85500
304,2022-02-01,24.98000,25.49000,24.72000,25.17000,44900
305,2022-01-31,24.38000,24.96000,24.24000,24.96000,48900
306,2022-01-28,24.20000,24.50000,24.00000,24.38000,73600
307,2022-01-27,24.45000,24.71000,24.12000,24.25000,69500
308,2022-01-26,24.59000,24.59000,24.28000,24.41000,68700
309,2022-01-25,24.27000,24.72000,24.21000,24.49000,62000
310,2022-01-24,25.00000,25.00000,23.85000,24.67000,203900
311,2022-01-21,25.00000,25.51000,24.93000,25.43000,113000
312,2022-01-20,25.30000,25.60000,25.06000,25.12000,54200
313,2022-01-19,25.53000,25.87000,25.26000,25.28000,76100
314,2022-01-18,26.15000,26.15000,25.50000,25.64000,106000
315,2022-01-14,26.11000,26.49000,26.11000,26.39000,32100
316,2022-01-13,26.30000,26.50000,26.23000,26.27000,25600
317,2022-01-12,26.70000,26.98000,26.22000,26.27000,67500
318,2022-01-11,27.25000,27.25000,26.59000,26.69000,70000
319,2022-01-10,26.89000,27.38000,26.56000,27.28000,103600
320,2022-01-07,26.76000,27.00000,26.59000,26.96000,55100
321,2022-01-06,26.61000,27.00000,26.37000,26.80000,82000
322,2022-01-05,26.70000,26.89000,26.51000,26.61000,73000
323,2022-01-04,26.77000,26.77000,26.50000,26.68000,36900
324,2022-01-03,26.62000,26.65000,26.36000,26.65000,57000
325,2021-12-31,26.49000,26.62000,26.38000,26.62000,42800
326,2021-12-30,26.23000,26.41000,26.08000,26.39000,47500
327,2021-12-29,26.21000,26.32000,26.14000,26.30000,61900
328,2021-12-28,25.90000,26.24000,25.90000,26.14000,60500
329,2021-12-27,25.73000,25.95000,25.68000,25.83000,71100
330,2021-12-23,25.79000,25.85000,25.52000,25.78000,33000
331,2021-12-22,25.51000,25.87000,25.51000,25.66000,52800
332,2021-12-21,25.48000,25.71000,25.31000,25.47000,56600
333,2021-12-20,25.34000,25.52000,25.20000,25.39000,63500
334,2021-12-17,25.87000,26.39000,25.49000,25.76000,49600
335,2021-12-16,25.62000,26.00000,25.62000,25.93000,41900
336,2021-12-15,25.62000,26.22000,25.33000,25.78000,68200
337,2021-12-14,25.65000,25.89000,25.60000,25.68000,50400
338,2021-12-13,25.72000,25.90000,25.55000,25.72000,54300
339,2021-12-10,25.93000,26.09000,25.74000,25.78000,61800
340,2021-12-09,26.05000,26.17000,25.62000,25.90000,51700
341,2021-12-08,26.14000,26.14000,25.81000,26.02000,37600
342,2021-12-07,25.80000,26.14000,25.66000,25.96000,66100
343,2021-12-06,25.61000,25.79000,25.47000,25.59000,39800
344,2021-12-03,25.53000,25.54000,25.24000,25.36000,51500
345,2021-12-02,25.21000,25.51000,25.13000,25.44000,37600
346,2021-12-01,25.51000,25.75000,25.26000,25.27000,56700
347,2021-11-30,25.60000,25.66000,25.21000,25.29000,71000
348,2021-11-29,25.63000,25.70000,25.44000,25.63000,79500
349,2021-11-26,25.63000,25.81000,25.33000,25.53000,44700
350,2021-11-24,25.66000,25.93000,25.62000,25.85000,85500
351,2021-11-23,25.75000,25.91000,25.69000,25.77000,46700
352,2021-11-22,25.77000,26.00000,25.75000,25.86000,43500
353,2021-11-19,25.96000,26.15000,25.75000,25.77000,71700
354,2021-11-18,26.79000,27.02000,25.96000,26.09000,66200
355,2021-11-17,26.97000,27.00000,26.52000,26.69000,63100
356,2021-11-16,27.79000,27.79000,26.74000,27.00000,90400
357,2021-11-15,27.23000,27.77000,27.17000,27.77000,86100
358,2021-11-12,26.44000,27.05000,26.34000,27.03000,40600
359,2021-11-11,26.52000,26.60000,26.30000,26.51000,53100
360,2021-11-10,26.40000,26.60000,26.26000,26.49000,64100
361,2021-11-09,26.32000,26.54000,26.22000,26.48000,42600
362,2021-11-08,26.29000,26.45000,26.28000,26.36000,64200
363,2021-11-05,26.28000,26.33000,26.18000,26.28000,29500
