,datetime,open,high,low,close,volume
0,2023-04-19,3.66000,3.68000,3.66000,3.67000,500
1,2023-04-18,3.54000,3.82000,3.54000,3.59000,2000
2,2023-04-17,3.45000,3.55000,3.45000,3.55000,4300
3,2023-04-14,3.55000,3.55000,3.55000,3.55000,800
4,2023-04-13,3.62000,3.89000,3.53000,3.84000,3600
5,2023-04-12,3.64000,3.71000,3.52000,3.71000,1100
6,2023-04-11,3.77000,3.78000,3.41000,3.47000,5100
7,2023-04-10,3.62000,3.74000,3.62000,3.62000,3300
8,2023-04-06,3.45000,3.45000,3.45000,3.45000,700
9,2023-04-05,3.32000,3.80000,3.27000,3.31000,7300
10,2023-04-04,3.20000,3.30000,3.15000,3.16000,16200
11,2023-04-03,3.02000,3.24000,3.00000,3.20000,10700
12,2023-03-31,3.03000,3.11000,3.02000,3.02000,9300
13,2023-03-30,3.01000,3.06000,2.95000,3.04000,4400
14,2023-03-29,3.14000,3.14000,3.05000,3.05000,2200
15,2023-03-28,2.93000,3.15000,2.86000,2.97000,5200
16,2023-03-27,2.85000,3.14000,2.85000,3.14000,6900
17,2023-03-24,3.06000,3.06000,3.06000,3.06000,200
18,2023-03-23,3.00000,3.12000,2.69000,3.12000,62500
19,2023-03-22,3.16000,3.16000,3.10000,3.10000,1300
20,2023-03-21,3.27000,3.36000,3.06000,3.06000,3700
21,2023-03-20,3.20000,3.78000,3.00000,3.19000,39900
22,2023-03-17,3.50000,3.58000,3.14000,3.21000,49000
23,2023-03-16,3.78000,3.78000,3.42000,3.50000,5900
24,2023-03-15,3.50000,3.84000,3.50000,3.78000,10100
25,2023-03-14,3.67000,3.67000,3.10000,3.24000,28000
26,2023-03-13,3.89000,3.89000,3.70000,3.70000,1800
27,2023-03-10,3.61000,3.94000,3.61000,3.70000,2500
28,2023-03-09,3.95000,3.97370,3.60000,3.60000,27011
29,2023-03-08,3.78000,3.93000,3.78000,3.93000,1000
30,2023-03-07,4.05000,4.06000,3.76000,3.76000,11800
31,2023-03-06,3.80000,3.85000,3.71000,3.71000,3400
32,2023-03-03,3.80000,4.03000,3.80000,3.88000,3000
33,2023-03-02,4.06000,4.06000,3.80000,3.84000,12600
34,2023-03-01,4.02000,4.32000,3.82000,3.82000,78400
35,2023-02-28,4.03000,4.03000,3.82000,3.82000,1300
36,2023-02-27,4.04000,4.04000,3.82000,3.85000,4300
37,2023-02-24,3.86010,3.87000,3.83000,3.83000,874
38,2023-02-23,4.03000,4.04000,3.93000,3.93000,1800
39,2023-02-22,3.91000,3.91000,3.82000,3.82000,1200
40,2023-02-21,4.03000,4.05000,3.84000,3.99000,9500
41,2023-02-16,3.92000,3.99000,3.86000,3.86000,2600
42,2023-02-15,3.91000,3.93000,3.81000,3.83000,16100
43,2023-02-14,3.98000,3.98000,3.91000,3.91000,6700
44,2023-02-13,3.94000,3.96000,3.91000,3.91000,2200
45,2023-02-10,3.95000,3.95000,3.95000,3.95000,5700
46,2023-02-09,3.96000,4.02000,3.95000,3.95000,4800
47,2023-02-08,4.00000,4.00000,3.98000,3.98000,3600
48,2023-02-07,4.02000,4.02000,3.99000,3.99000,1400
49,2023-02-06,4.04000,4.04000,4.00000,4.01000,3400
50,2023-02-03,4.02000,4.05000,3.99000,3.99000,6000
51,2023-02-02,4.03000,4.11000,4.01000,4.02000,3100
52,2023-02-01,4.03000,4.08000,4.03000,4.03000,2400
53,2023-01-31,4.14000,4.14000,4.01000,4.04000,3800
54,2023-01-30,4.17000,4.17000,4.09000,4.09000,600
55,2023-01-27,4.72000,4.72000,4.00000,4.03000,37800
56,2023-01-26,4.27000,4.33000,4.26000,4.33000,1200
57,2023-01-25,4.37000,4.39000,4.27000,4.27000,2000
58,2023-01-24,4.41000,4.47000,4.26000,4.28000,20900
59,2023-01-23,4.50000,4.53000,4.29000,4.36000,6400
60,2023-01-20,4.36000,4.84000,4.26000,4.28000,6000
61,2023-01-19,4.35000,4.73000,4.26000,4.42000,5600
62,2023-01-18,4.42000,4.59000,4.26000,4.27000,2600
63,2023-01-17,4.70000,4.70000,4.24000,4.32000,16000
64,2023-01-13,4.40000,4.63000,4.40000,4.62000,3100
65,2023-01-11,4.53000,4.55000,4.50000,4.55000,800
66,2023-01-10,4.62000,4.79000,4.60000,4.61000,2300
67,2023-01-09,4.29000,4.70000,4.29000,4.66000,8600
68,2023-01-06,4.16000,4.36000,4.16000,4.24000,3300
69,2023-01-05,4.30000,4.30000,4.30000,4.30000,700
70,2023-01-04,4.32000,4.32000,4.30000,4.30000,1000
71,2023-01-03,4.26000,4.34000,4.26000,4.34000,1800
72,2022-12-30,4.19000,4.23000,4.15000,4.23000,7100
73,2022-12-29,4.12000,4.30000,4.10000,4.14000,16200
74,2022-12-28,4.17000,4.17000,4.10000,4.12000,5700
75,2022-12-27,4.25000,4.25000,4.15000,4.20000,2700
76,2022-12-23,4.32000,4.38000,4.30000,4.30000,1900
77,2022-12-22,4.17000,4.39000,4.15000,4.19000,14100
78,2022-12-21,4.34000,4.39000,4.17000,4.17000,5600
79,2022-12-20,4.40000,4.40000,4.40000,4.40000,2700
80,2022-12-19,4.35000,4.35000,4.35000,4.35000,2000
81,2022-12-16,4.21000,4.26000,4.16000,4.23000,4500
82,2022-12-15,4.51000,4.54000,4.18000,4.22000,9600
83,2022-12-14,4.36000,4.50000,4.20000,4.32000,19600
84,2022-12-13,4.64000,4.71000,4.35000,4.35000,2700
85,2022-12-12,4.48000,4.48000,4.30000,4.40000,1900
86,2022-12-09,4.47000,4.49000,4.39000,4.39000,1400
87,2022-12-08,4.39000,4.69000,4.38000,4.48000,4800
88,2022-12-07,4.49000,4.70000,4.30000,4.30000,6100
89,2022-12-06,4.43000,4.61000,4.28000,4.47000,15400
90,2022-12-05,4.56000,4.87000,4.35000,4.35000,24200
91,2022-12-02,4.80000,4.80000,4.50000,4.50000,7300
92,2022-12-01,4.46000,4.59000,4.46000,4.59000,500
93,2022-11-30,4.56000,4.57000,4.33000,4.37000,21900
94,2022-11-29,4.57000,4.75000,4.56000,4.56000,1600
95,2022-11-28,4.80000,4.80000,4.54000,4.54000,900
96,2022-11-25,5.00000,5.00000,4.89000,4.89000,2500
97,2022-11-22,4.82000,4.84000,4.75000,4.84000,1100
98,2022-11-21,4.73000,4.73000,4.73000,4.73000,1000
99,2022-11-18,4.90000,4.90000,4.90000,4.90000,1900
100,2022-11-17,4.95000,5.07000,4.83000,4.90000,1700
101,2022-11-16,5.00000,5.14000,4.99000,4.99000,2900
102,2022-11-15,4.80000,4.97000,4.75000,4.93000,20000
103,2022-11-14,4.77000,5.24000,4.75000,4.92000,29100
104,2022-11-11,5.28000,5.28000,4.77000,4.77000,26300
105,2022-11-10,4.91000,4.97000,4.90000,4.95000,8600
106,2022-11-09,5.05000,5.05000,4.77000,4.77000,83
107,2022-11-08,5.05000,5.05000,4.75000,4.77000,36900
108,2022-11-07,5.08000,5.25000,5.00000,5.23000,2900
109,2022-11-04,5.15000,5.30000,4.81000,5.08000,11500
110,2022-11-03,4.68000,5.15000,4.68000,4.81000,6300
111,2022-11-02,4.93000,5.02000,4.90000,4.90000,3100
112,2022-11-01,5.05000,5.15000,4.92000,4.92000,8600
113,2022-10-31,5.02000,5.50000,4.99000,4.99000,10000
114,2022-10-28,5.10000,5.61000,4.95000,4.95000,12800
115,2022-10-27,5.02000,5.46000,5.00000,5.02000,7800
116,2022-10-26,5.27000,5.34000,4.81000,4.81000,2100
117,2022-10-25,5.05000,5.28000,4.87000,5.28000,1900
118,2022-10-24,5.01000,5.08000,4.80000,4.93000,1000
119,2022-10-21,5.19000,5.19000,5.16000,5.16000,900
120,2022-10-20,4.94000,5.26000,4.94000,5.26000,1600
121,2022-10-19,5.28000,5.30000,5.00000,5.03000,23200
122,2022-10-18,5.00000,5.10000,5.00000,5.10000,1200
123,2022-10-17,5.10000,5.18000,5.00000,5.00000,8500
124,2022-10-14,5.30000,5.30000,5.15000,5.15000,900
125,2022-10-13,5.29000,5.63000,5.15000,5.15000,2400
