,datetime,open,high,low,close,volume
0,2023-04-19,22.16000,22.53000,22.01000,22.21000,42300
1,2023-04-18,22.52000,22.57500,22.10000,22.39000,66400
2,2023-04-17,22.27000,22.50000,22.27000,22.47000,37800
3,2023-04-14,22.21000,22.50000,22.21000,22.35000,48700
4,2023-04-13,22.20000,22.52000,22.15000,22.37000,53300
5,2023-04-12,22.01000,22.55000,21.94500,22.19000,67700
6,2023-04-11,21.60000,21.85000,21.41000,21.80000,66800
7,2023-04-10,21.06000,21.53000,21.06000,21.47000,47800
8,2023-04-06,21.08000,21.39000,20.81500,21.29000,43900
9,2023-04-05,20.95000,21.25000,20.95000,21.06000,58500
10,2023-04-04,21.49000,21.49000,20.86000,21.17000,64400
11,2023-04-03,21.56000,21.59000,20.91000,21.51000,118000
12,2023-03-31,21.00000,21.56000,20.82000,21.54000,88500
13,2023-03-30,20.49000,20.95000,20.45000,20.85000,62700
14,2023-03-29,19.97000,20.39400,19.74000,20.31000,69900
15,2023-03-28,19.54000,19.92000,19.52000,19.79000,65700
16,2023-03-27,18.99000,19.75000,18.88000,19.64000,249000
17,2023-03-24,18.21000,18.87000,18.21000,18.82000,109400
18,2023-03-23,18.73000,18.74000,18.31000,18.38000,112900
19,2023-03-22,19.00000,19.01500,18.60000,18.66000,85600
20,2023-03-21,19.11000,19.41500,18.92000,19.00000,118100
21,2023-03-20,19.11000,19.28000,18.63000,18.82000,154200
22,2023-03-17,18.86000,19.49000,18.28000,19.02000,337600
23,2023-03-16,19.18000,19.19000,16.58000,18.95000,278100
24,2023-03-15,19.91000,20.00000,18.89000,19.68000,129700
25,2023-03-14,20.96000,21.16000,20.13000,20.44000,84900
26,2023-03-13,20.62000,20.75000,20.18600,20.53000,61100
27,2023-03-10,21.68000,21.68000,20.76000,20.88000,49400
28,2023-03-09,21.93000,22.14000,21.64000,21.77000,61700
29,2023-03-08,21.95000,22.01000,21.47000,21.82000,41800
30,2023-03-07,22.26000,22.40000,21.74000,21.85000,42300
31,2023-03-06,22.39000,22.76000,22.04000,22.25000,63200
32,2023-03-03,21.86000,22.46000,21.86000,22.22000,41559
33,2023-03-02,21.64000,21.99000,21.64000,21.75000,28027
34,2023-03-01,21.52000,21.91000,21.37500,21.86000,51302
35,2023-02-28,21.60000,21.75000,21.22000,21.48000,96981
36,2023-02-27,21.95000,22.77000,21.71000,21.73000,56211
37,2023-02-24,22.84000,22.84000,21.10000,21.77000,171084
38,2023-02-23,23.18000,23.45990,22.57000,23.14000,128199
39,2023-02-22,22.83000,23.38000,22.77320,22.99000,44910
40,2023-02-21,23.67000,23.79990,22.61000,22.76000,60738
41,2023-02-17,23.31000,23.97000,23.19600,23.76000,47131
42,2023-02-16,23.36000,23.70000,23.23000,23.23000,41829
43,2023-02-15,23.29000,23.94000,23.22000,23.65000,67074
44,2023-02-14,23.21000,23.77000,23.21000,23.43000,39182
45,2023-02-13,23.23000,23.46000,22.95000,23.36000,46344
46,2023-02-10,22.90000,23.42000,22.79000,23.28000,50656
47,2023-02-09,23.41000,23.46000,22.91000,23.01000,43290
48,2023-02-08,23.20000,23.36000,22.89000,23.25000,43958
49,2023-02-07,23.01000,23.43640,22.88900,23.37000,49768
50,2023-02-06,22.88000,23.31000,22.81000,23.13000,51873
