,datetime,open,high,low,close,volume
0,2023-04-19,8.63000,8.64000,8.30000,8.35000,6000
1,2023-04-18,8.57000,8.70000,8.57000,8.57000,6500
2,2023-04-17,8.51000,8.68000,8.49000,8.58000,4500
3,2023-04-14,8.64000,8.70000,8.38000,8.57000,4700
4,2023-04-13,8.59000,8.69000,8.35000,8.58000,4600
5,2023-04-12,8.44000,8.60000,8.35000,8.55000,4500
6,2023-04-11,8.38000,8.69000,8.38000,8.45000,12800
7,2023-04-10,8.33000,8.64000,8.33000,8.37000,4300
8,2023-04-06,8.29000,8.56000,8.29000,8.41000,2500
9,2023-04-05,8.70000,8.70000,8.34000,8.39000,5900
10,2023-04-04,8.49000,8.60000,8.26000,8.32000,9800
11,2023-04-03,8.17000,8.48000,8.10000,8.48000,5100
12,2023-03-31,8.28000,8.42000,8.03000,8.08000,9000
13,2023-03-30,8.08000,8.34000,8.08000,8.21000,4700
14,2023-03-29,7.95000,8.36000,7.90000,8.14000,15200
15,2023-03-28,8.00000,8.06000,7.80000,7.90000,10000
16,2023-03-27,8.01000,8.09000,8.00000,8.00000,5000
17,2023-03-24,8.00000,8.18000,8.00000,8.12000,8500
18,2023-03-23,7.95000,8.14000,7.95000,8.00000,7000
19,2023-03-22,8.01000,8.01000,7.95000,7.98000,5800
20,2023-03-21,8.05000,8.09000,7.89000,7.95000,3500
21,2023-03-20,7.97000,7.99000,7.80000,7.98000,10400
22,2023-03-17,8.15000,8.26000,7.31000,8.06000,37000
23,2023-03-16,8.20000,8.25000,8.00000,8.15000,9100
24,2023-03-15,8.63000,8.63000,8.23000,8.50000,19200
25,2023-03-14,8.16000,8.70000,8.16000,8.69000,22200
26,2023-03-13,8.75000,8.88000,8.01000,8.35000,69000
27,2023-03-10,8.82000,9.05000,8.82000,8.88000,10200
28,2023-03-09,9.19000,9.29000,8.90000,8.90000,14100
29,2023-03-08,9.20000,9.24000,9.20000,9.21000,3100
30,2023-03-07,9.25000,9.27000,9.16000,9.22000,7400
31,2023-03-06,9.20000,9.29000,9.10000,9.23000,3800
32,2023-03-03,9.20000,9.29000,9.05000,9.18000,5500
33,2023-03-02,9.20000,9.25000,9.16000,9.20000,8300
34,2023-03-01,9.20000,9.29000,9.04000,9.21000,6700
35,2023-02-28,9.25000,9.38000,9.11000,9.20000,20800
36,2023-02-27,9.35000,9.35000,9.35000,9.35000,0
37,2023-02-24,9.20000,9.35000,9.05000,9.35000,12718
38,2023-02-23,9.22000,9.34000,8.80000,9.20000,10400
39,2023-02-22,9.15000,9.22000,9.15000,9.21000,1600
