,datetime,open,high,low,close,volume
0,2023-04-19,3.06000,3.22000,3.03500,3.14000,1887100
1,2023-04-18,3.26000,3.27000,3.04500,3.11000,2278400
2,2023-04-17,3.15000,3.21500,3.09000,3.19000,875900
3,2023-04-14,3.17000,3.18500,3.04000,3.13000,1553300
4,2023-04-13,3.11000,3.20500,3.09000,3.15000,1152500
5,2023-04-12,3.29000,3.39000,3.05000,3.06000,1761100
6,2023-04-11,3.17000,3.25000,3.12000,3.19000,1236800
7,2023-04-10,3.14000,3.17500,3.01500,3.13000,2241900
8,2023-04-06,3.12000,3.23000,3.07000,3.20000,1928800
9,2023-04-05,3.15000,3.20500,2.99000,3.14000,1457600
10,2023-04-04,3.25000,3.33000,3.14000,3.20000,1653700
11,2023-04-03,3.21000,3.26000,3.10000,3.25000,1986900
12,2023-03-31,3.09000,3.29000,3.06000,3.23000,2891000
13,2023-03-30,3.13000,3.17000,3.04500,3.07000,1073600
14,2023-03-29,2.99000,3.06000,2.93000,3.06000,1068400
15,2023-03-28,3.00000,3.01000,2.85000,2.91000,1175300
16,2023-03-27,3.05000,3.05000,2.90000,3.02000,1663100
17,2023-03-24,2.90000,3.07000,2.88000,3.00000,1528300
18,2023-03-23,2.96000,3.17000,2.93000,2.96000,1765300
19,2023-03-22,3.12000,3.18000,2.94000,2.95000,2113900
20,2023-03-21,3.00000,3.21000,2.94000,3.16000,2340700
21,2023-03-20,2.95000,3.01900,2.85000,2.94000,1671100
22,2023-03-17,3.05000,3.05000,2.89500,2.96000,2943500
23,2023-03-16,2.89000,3.09000,2.88000,3.06000,1864400
24,2023-03-15,2.76000,2.99000,2.74000,2.97000,2333800
25,2023-03-14,3.08000,3.14000,2.84000,2.89000,2523700
26,2023-03-13,2.75000,3.04000,2.61500,2.94000,4775100
27,2023-03-10,2.92000,2.93000,2.76000,2.85000,3296500
28,2023-03-09,3.29000,3.31000,2.93000,2.94000,1967100
29,2023-03-08,3.24000,3.33000,3.16000,3.30000,1424600
30,2023-03-07,3.28000,3.36500,3.21000,3.25000,3843200
31,2023-03-06,3.40000,3.57000,3.29000,3.36000,2558900
32,2023-03-03,3.16000,3.44000,3.07000,3.41000,5096700
33,2023-03-02,3.08000,3.09000,2.82000,3.02000,3404500
34,2023-03-01,3.36000,3.42000,2.80000,3.05000,6723700
35,2023-02-28,3.56000,3.68000,3.50000,3.61000,2048300
36,2023-02-27,3.66000,3.69000,3.52000,3.58000,1339800
37,2023-02-24,3.52000,3.61500,3.43000,3.59000,1747300
38,2023-02-23,3.90000,3.92000,3.57000,3.65000,2175700
39,2023-02-22,3.80000,3.92000,3.67000,3.85000,1719300
40,2023-02-21,3.78000,3.98000,3.71000,3.79000,2184500
41,2023-02-17,4.09000,4.13700,3.74500,3.88000,2730100
42,2023-02-16,4.26000,4.36000,4.08000,4.16000,2580600
43,2023-02-15,4.17000,4.42000,4.15500,4.41000,2075600
44,2023-02-14,4.02000,4.29000,3.85000,4.25000,2476000
45,2023-02-13,3.73000,4.26000,3.69500,4.12000,3818400
46,2023-02-10,3.83000,3.96000,3.63000,3.70000,2952500
47,2023-02-09,4.27000,4.30500,3.95000,3.95000,2640900
48,2023-02-08,4.16000,4.35000,4.13000,4.14000,2474100
49,2023-02-07,4.33000,4.36000,3.91000,4.23000,3249300
50,2023-02-06,4.41000,4.56000,4.33000,4.45000,2749700
51,2023-02-03,4.48000,4.72000,4.31000,4.48000,3317100
52,2023-02-02,4.49000,5.15900,4.49000,4.76000,10410700
53,2023-02-01,4.03000,4.45000,3.90000,4.41000,3980800
54,2023-01-31,3.84000,4.08000,3.83000,4.02000,3519700
55,2023-01-30,3.94000,3.96000,3.75000,3.77000,3659800
56,2023-01-27,3.65000,4.12000,3.65000,3.99000,6628100
57,2023-01-26,3.52000,3.76000,3.43000,3.72000,3400600
58,2023-01-25,3.21000,3.50000,3.16000,3.49000,3305000
59,2023-01-24,3.38000,3.47000,3.30000,3.31000,2349400
60,2023-01-23,3.41000,3.52000,3.32000,3.42000,2556000
61,2023-01-20,3.15000,3.44000,3.02200,3.41000,2313600
62,2023-01-19,3.39000,3.39000,2.90500,3.10000,4625100
63,2023-01-18,3.70000,3.84000,3.47000,3.48000,2282100
64,2023-01-17,3.60000,3.68000,3.48000,3.65000,1635400
65,2023-01-13,3.54000,3.70000,3.48000,3.60000,2234300
66,2023-01-12,3.34000,3.65000,3.20000,3.64000,3797300
67,2023-01-11,3.00000,3.39000,2.98500,3.34000,5025800
68,2023-01-10,2.79000,3.01000,2.68000,3.01000,2822300
69,2023-01-09,2.55000,2.90500,2.50000,2.80000,3816100
70,2023-01-06,2.45000,2.51000,2.29000,2.51000,1956700
71,2023-01-05,2.39000,2.45500,2.31000,2.39000,2958600
72,2023-01-04,2.30000,2.53500,2.25000,2.45000,3554100
73,2023-01-03,2.35000,2.54000,2.20000,2.22000,2433400
74,2022-12-30,2.15000,2.37000,2.13000,2.33000,2549300
75,2022-12-29,2.08000,2.20000,2.01000,2.20000,2054200
76,2022-12-28,2.09000,2.13000,2.00000,2.04000,1872800
77,2022-12-27,2.23000,2.23000,2.07000,2.10000,1328500
78,2022-12-23,2.24000,2.30000,2.17000,2.25000,1497600
79,2022-12-22,2.29000,2.31000,2.13000,2.24000,2254600
80,2022-12-21,2.38000,2.44000,2.29500,2.38000,1581700
81,2022-12-20,2.41000,2.42000,2.27000,2.32000,2329900
82,2022-12-19,2.62000,2.62000,2.40000,2.41000,1578900
83,2022-12-16,2.52000,2.68000,2.50100,2.67000,3209700
84,2022-12-15,2.71000,2.78500,2.57000,2.57000,1902700
85,2022-12-14,2.64000,2.83000,2.62000,2.82000,2786300
86,2022-12-13,2.87500,3.05000,2.60000,2.65000,2732000
87,2022-12-12,2.55000,2.64500,2.47000,2.64000,2002600
88,2022-12-09,2.54000,2.62000,2.45000,2.57000,1203000
89,2022-12-08,2.63000,2.82000,2.51000,2.60000,1654700
90,2022-12-07,2.72000,2.75500,2.57000,2.64000,2589900
91,2022-12-06,2.91000,2.93000,2.74000,2.76000,1557600
92,2022-12-05,3.20000,3.27000,2.90000,2.91000,1794900
93,2022-12-02,3.04000,3.31000,2.98000,3.27000,2230900
94,2022-12-01,2.99000,3.22000,2.97000,3.21000,3484000
95,2022-11-30,2.71000,2.99000,2.61000,2.99000,3487400
96,2022-11-29,2.70000,2.81000,2.68000,2.69000,1434500
97,2022-11-28,2.80000,2.95000,2.70000,2.70000,1297100
98,2022-11-25,2.75000,2.86000,2.72500,2.86000,564800
