,datetime,open,high,low,close,volume
0,2023-04-19,5.25000,5.25000,5.20000,5.24000,2200
1,2023-04-18,5.48000,5.48000,5.25000,5.25000,3900
2,2023-04-17,5.10000,5.16000,5.10000,5.16000,500
3,2023-04-14,5.07000,5.18000,5.07000,5.16000,4800
4,2023-04-13,5.02000,5.09000,5.01000,5.05000,1500
5,2023-04-12,5.20000,5.20000,5.04000,5.07000,12900
6,2023-04-11,5.49000,5.49000,5.13000,5.13000,2000
7,2023-04-10,5.23000,5.24000,5.23000,5.23000,500
8,2023-04-06,5.15000,5.17000,5.15000,5.17000,500
9,2023-04-05,5.35000,5.35000,5.20000,5.20000,2900
10,2023-04-04,5.45000,5.48000,5.35000,5.35000,3200
11,2023-04-03,5.38000,5.46000,5.30000,5.35000,2200
12,2023-03-31,5.37000,5.37000,5.28000,5.28000,500
13,2023-03-30,5.49000,5.49000,5.27000,5.28000,5500
14,2023-03-29,5.32000,5.34000,5.22000,5.34000,1600
15,2023-03-28,5.37000,5.39000,5.32000,5.32000,600
16,2023-03-27,5.26000,5.39000,5.26000,5.36000,8200
17,2023-03-24,5.21000,5.21000,5.21000,5.21000,500
18,2023-03-23,5.30000,5.34000,5.27000,5.28000,1400
19,2023-03-22,5.19000,5.29000,5.19000,5.29000,2500
20,2023-03-21,5.30000,5.43000,5.22000,5.22000,4900
21,2023-03-20,5.26000,5.28000,5.10000,5.28000,4700
22,2023-03-17,5.30000,5.33000,5.27000,5.32000,4500
23,2023-03-16,5.24000,5.33000,5.17000,5.31000,6100
24,2023-03-15,5.21000,5.25000,5.11000,5.18000,4300
25,2023-03-14,5.30000,5.30000,5.11000,5.19000,4800
26,2023-03-13,5.10000,5.29000,5.10000,5.22000,17100
27,2023-03-10,5.28000,5.28000,5.20000,5.22000,4900
28,2023-03-09,5.32000,5.32000,5.22000,5.22000,2596
29,2023-03-08,5.23000,5.26000,5.23000,5.26000,700
30,2023-03-07,5.20000,5.35000,5.20000,5.34000,10800
31,2023-03-06,5.35000,5.37000,5.20000,5.20000,7900
32,2023-03-03,5.17000,5.25000,5.17000,5.20000,3500
33,2023-03-02,5.07000,5.29000,5.07000,5.21000,4200
34,2023-03-01,5.10000,5.21000,5.08000,5.15000,2900
35,2023-02-28,5.08000,5.15000,5.08000,5.15000,11600
36,2023-02-27,5.06000,5.15000,5.06000,5.09000,7400
37,2023-02-24,5.10000,5.10000,5.10000,5.10000,600
38,2023-02-23,5.05000,5.27000,5.05000,5.15000,17600
39,2023-02-22,5.24000,5.24000,5.10000,5.19000,11400
40,2023-02-21,5.25000,5.30000,5.25000,5.29000,9500
41,2023-02-17,5.32000,5.32000,5.20000,5.20000,6700
42,2023-02-16,5.37000,5.38000,5.30000,5.31000,1400
43,2023-02-15,5.38000,5.38000,5.34000,5.34000,1100
44,2023-02-14,5.32000,5.44000,5.32000,5.34000,71100
45,2023-02-13,5.45000,5.50000,5.25000,5.40000,9200
46,2023-02-10,5.30000,5.41000,5.30000,5.35000,4200
47,2023-02-09,5.42000,5.43000,5.35000,5.35000,7700
48,2023-02-08,5.37000,5.41000,5.35000,5.35000,2600
49,2023-02-07,5.40000,5.44000,5.29000,5.35000,4100
50,2023-02-06,5.45000,5.45000,5.37000,5.37000,16500
51,2023-02-03,5.42000,5.43000,5.39000,5.43000,2100
52,2023-02-02,5.37000,5.45000,5.35000,5.42000,7500
53,2023-02-01,5.40000,5.40000,5.36000,5.38000,6100
54,2023-01-31,5.39000,5.43000,5.30000,5.34000,2300
55,2023-01-30,5.44000,5.44000,5.32000,5.32000,53900
56,2023-01-27,5.40000,5.43000,5.35000,5.35000,18700
57,2023-01-26,5.42000,5.45000,5.39000,5.40000,7400
58,2023-01-25,5.43000,5.43000,5.31000,5.42000,3300
59,2023-01-24,5.41000,5.42000,5.35000,5.39000,3500
60,2023-01-23,5.45000,5.45000,5.32000,5.37000,22400
61,2023-01-20,5.44000,5.44000,5.38000,5.41000,12000
62,2023-01-19,5.40000,5.41000,5.33000,5.38000,3100
63,2023-01-18,5.31000,5.44000,5.31000,5.40000,11700
64,2023-01-17,5.45000,5.45000,5.30000,5.42000,12500
65,2023-01-13,5.31000,5.50000,5.29000,5.49000,41500
66,2023-01-12,5.31000,5.38000,5.15000,5.30000,7400
67,2023-01-11,5.32000,5.39000,5.32000,5.38000,3600
68,2023-01-10,5.27000,5.35000,5.22000,5.23000,4800
69,2023-01-09,5.10000,5.32000,5.10000,5.30000,7700
70,2023-01-06,5.24000,5.24000,5.00000,5.08000,5600
71,2023-01-05,5.28000,5.28000,5.11000,5.11000,3300
72,2023-01-04,5.14000,5.25000,5.14000,5.25000,1700
73,2023-01-03,5.20000,5.21000,5.07000,5.21000,3100
74,2022-12-30,5.17000,5.17000,5.05000,5.16000,4200
75,2022-12-29,5.16000,5.16000,5.02000,5.10000,7300
76,2022-12-28,5.12000,5.12000,4.98000,5.06000,4800
77,2022-12-27,5.01000,5.14000,4.95000,5.02000,22900
78,2022-12-23,5.35000,5.37000,5.34000,5.37000,3600
79,2022-12-22,5.40000,5.40000,5.40000,5.40000,400
80,2022-12-21,5.27000,5.40000,5.27000,5.35000,13600
81,2022-12-20,5.30000,5.31000,5.30000,5.31000,1400
82,2022-12-19,5.35000,5.41000,5.30000,5.30000,10600
83,2022-12-16,5.47000,5.47000,5.26000,5.28000,10200
84,2022-12-15,5.43000,5.43000,5.33000,5.43000,18600
85,2022-12-14,5.16000,5.43000,5.16000,5.35000,15200
86,2022-12-13,5.50000,5.50000,5.29000,5.40000,10300
87,2022-12-12,5.38000,5.38000,5.28000,5.38000,9500
88,2022-12-09,5.40000,5.40000,5.29000,5.30000,1800
89,2022-12-08,5.30000,5.40000,5.30000,5.40000,6600
90,2022-12-07,5.40000,5.40000,5.11000,5.27000,12400
91,2022-12-06,5.35000,5.36000,5.30000,5.34000,18200
92,2022-12-05,5.40000,5.40000,5.10000,5.30000,14800
93,2022-12-02,5.36000,5.40000,5.33000,5.40000,1600
94,2022-12-01,5.31000,5.31000,5.30000,5.30000,800
95,2022-11-30,5.31000,5.40000,5.30000,5.31000,42400
96,2022-11-29,5.39000,5.39000,5.24000,5.25000,6900
97,2022-11-28,5.34000,5.37000,5.24000,5.32000,2900
98,2022-11-25,5.31000,5.31000,5.25000,5.25000,25800
99,2022-11-23,5.14000,5.30000,5.14000,5.24000,2100
100,2022-11-22,5.38000,5.40000,5.11000,5.26000,17600
101,2022-11-21,5.25000,5.40000,5.24000,5.37000,12000
102,2022-11-18,5.25000,5.40000,5.14000,5.16000,7700
103,2022-11-17,5.47000,5.47000,5.27000,5.37000,9300
104,2022-11-16,5.49000,5.64000,5.25000,5.47000,61600
105,2022-11-15,5.89000,6.14000,5.89000,5.95000,66600
106,2022-11-14,5.81000,6.07000,5.81000,6.00000,19600
107,2022-11-11,5.80000,5.89000,5.75000,5.89000,7400
108,2022-11-10,5.66000,5.80000,5.43000,5.77000,9700
109,2022-11-09,5.17000,5.58000,5.17000,5.55000,6000
110,2022-11-08,5.67000,5.67000,5.20000,5.27000,28000
111,2022-11-07,5.02000,5.61000,5.02000,5.59000,13600
112,2022-11-04,5.39000,5.40000,5.03000,5.03000,3800
113,2022-11-03,5.49000,5.49000,5.37000,5.39000,8200
114,2022-11-02,5.50000,5.50000,5.43000,5.45000,4000
115,2022-11-01,5.44000,5.50000,5.38000,5.50000,2600
116,2022-10-31,5.44000,5.44000,5.29000,5.35000,1900
117,2022-10-28,5.50000,5.50000,5.35000,5.40000,7400
118,2022-10-27,5.17000,5.45000,5.17000,5.44000,7700
119,2022-10-26,5.13000,5.25000,5.12000,5.24000,3400
120,2022-10-25,5.05000,5.20000,5.05000,5.10000,17400
121,2022-10-24,5.13000,5.17000,5.10000,5.10000,5400
122,2022-10-21,5.13000,5.13000,5.13000,5.13000,700
123,2022-10-20,5.12000,5.25000,5.12000,5.15000,16100
124,2022-10-19,5.01000,5.14000,5.01000,5.14000,1300
125,2022-10-18,5.15000,5.20000,5.00000,5.10000,2700
126,2022-10-17,5.03000,5.18000,5.00000,5.03000,5800
127,2022-10-14,4.97000,5.03000,4.97000,5.03000,1200
128,2022-10-13,4.66000,5.11000,4.66000,5.05000,7800
129,2022-10-12,5.10000,5.10000,4.94000,5.06000,10200
130,2022-10-11,4.87000,5.07000,4.84000,5.07000,22800
131,2022-10-10,4.54000,4.59000,4.50000,4.55000,6900
132,2022-10-07,4.51000,4.89000,4.40000,4.70000,7300
133,2022-10-06,4.82000,4.88000,4.72000,4.83000,3800
134,2022-10-05,4.70000,4.76000,4.64000,4.72000,8100
135,2022-10-04,4.68000,4.76000,4.55000,4.76000,5500
136,2022-10-03,4.60000,4.70000,4.60000,4.61000,1400
137,2022-09-30,4.65000,4.70000,4.65000,4.67000,6800
138,2022-09-29,4.54000,4.62000,4.41000,4.62000,7100
139,2022-09-28,4.61000,4.61000,4.61000,4.61000,600
140,2022-09-27,4.63000,4.69000,4.59000,4.69000,5600
141,2022-09-26,4.55000,4.55000,4.42000,4.55000,15000
142,2022-09-23,4.70000,4.70000,4.48000,4.56000,14700
143,2022-09-22,4.77000,4.80000,4.65000,4.80000,5700
144,2022-09-21,4.67000,4.79000,4.61000,4.79000,4300
145,2022-09-20,4.68000,4.77000,4.68000,4.77000,3100
146,2022-09-19,4.69000,4.76000,4.52000,4.70000,9200
147,2022-09-16,4.68000,4.79000,4.54000,4.79000,5000
148,2022-09-15,4.95000,4.95000,4.80000,4.85000,4600
149,2022-09-14,4.90000,4.91000,4.90000,4.90000,2800
150,2022-09-13,4.86000,5.02000,4.86000,5.01000,1900
151,2022-09-12,5.00000,5.02000,4.88000,4.91000,3500
152,2022-09-09,4.91000,5.00000,4.81000,4.98000,2300
153,2022-09-08,4.89000,4.96000,4.89000,4.94000,3300
154,2022-09-07,4.76000,5.00000,4.76000,4.99000,2400
155,2022-09-06,4.85000,4.93000,4.72000,4.84000,6700
156,2022-09-02,4.83000,4.83000,4.70000,4.81000,1700
157,2022-09-01,4.70000,4.83000,4.70000,4.71000,7200
158,2022-08-31,4.74000,4.85000,4.71000,4.75000,30400
159,2022-08-30,4.83000,4.90000,4.70000,4.79000,13800
160,2022-08-29,4.92000,5.01000,4.92000,4.97000,7700
161,2022-08-26,4.93000,5.04000,4.85000,4.99000,1600
162,2022-08-25,4.93000,5.07000,4.93000,4.94000,4200
163,2022-08-24,5.02000,5.16000,5.01000,5.13000,3500
164,2022-08-23,5.00000,5.02000,4.97000,5.02000,14200
165,2022-08-22,5.12000,5.12000,4.96000,4.97000,3300
166,2022-08-19,5.14000,5.24000,5.14000,5.16000,3600
167,2022-08-18,5.14000,5.30000,5.14000,5.14000,4000
168,2022-08-17,5.33000,5.35000,5.15000,5.15000,8800
169,2022-08-16,5.23000,5.38000,5.23000,5.30000,3300
170,2022-08-15,5.22000,5.23000,5.15000,5.23000,9700
171,2022-08-12,5.13000,5.22000,5.00000,5.15000,5600
172,2022-08-11,5.17000,5.17000,4.96000,5.04000,12500
173,2022-08-10,4.95000,5.08000,4.94000,5.03000,4300
174,2022-08-09,4.95000,4.95000,4.81000,4.89000,5800
175,2022-08-08,4.85000,4.95000,4.85000,4.87000,8800
176,2022-08-05,4.82000,4.90000,4.82000,4.85000,3500
177,2022-08-04,4.95000,4.95000,4.76000,4.86000,9700
178,2022-08-03,4.81000,4.87000,4.77000,4.85000,3500
179,2022-08-02,4.89000,4.89000,4.76000,4.81000,3700
180,2022-08-01,5.04000,5.04000,4.83000,4.86000,9100
181,2022-07-29,5.20000,5.20000,5.01000,5.04000,3600
182,2022-07-28,5.25000,5.25000,5.01000,5.10000,4500
183,2022-07-27,5.08000,5.14000,5.01000,5.14000,4100
184,2022-07-26,5.09000,5.09000,5.00000,5.05000,3000
185,2022-07-25,4.98000,5.15000,4.74000,5.11000,15100
186,2022-07-22,4.83000,4.98000,4.83000,4.98000,4100
187,2022-07-21,4.87000,4.90000,4.78000,4.79000,2100
188,2022-07-20,4.80000,4.91000,4.70000,4.79000,4900
189,2022-07-19,4.66000,4.75000,4.66000,4.74000,6800
190,2022-07-18,4.48000,4.66000,4.48000,4.61000,5900
191,2022-07-15,4.60000,4.60000,4.43000,4.51000,7800
192,2022-07-14,4.39000,4.56000,4.39000,4.52000,10200
193,2022-07-13,4.57000,4.57000,4.46000,4.51000,3600
194,2022-07-12,4.50000,4.58000,4.40000,4.42000,5800
195,2022-07-11,4.59000,4.60000,4.50000,4.56000,6600
196,2022-07-08,4.66000,4.67000,4.60000,4.60000,3400
197,2022-07-07,4.59000,4.73000,4.59000,4.59000,4800
198,2022-07-06,4.73000,4.73000,4.51000,4.60000,11000
199,2022-07-05,4.81000,4.88000,4.60000,4.62000,6300
200,2022-07-01,4.87000,4.88000,4.61000,4.81000,5200
201,2022-06-30,4.77000,4.85000,4.46000,4.70000,37200
202,2022-06-29,4.85000,4.85000,4.78000,4.78000,5100
203,2022-06-28,4.90000,5.18000,4.90000,4.91000,9800
204,2022-06-27,4.96000,4.98000,4.92000,4.98000,3200
205,2022-06-24,4.77000,4.94000,4.72000,4.92000,11500
206,2022-06-23,5.03000,5.04000,4.77000,4.90000,23400
207,2022-06-22,5.11000,5.17000,5.00000,5.06000,18200
208,2022-06-21,5.19000,5.35000,5.14000,5.19000,27300
209,2022-06-17,5.25000,5.42000,5.13000,5.38000,17500
210,2022-06-16,5.27000,5.34000,5.13000,5.20000,3100
211,2022-06-15,5.31000,5.34000,5.13000,5.23000,6000
212,2022-06-14,5.28000,5.30000,5.16000,5.26000,8100
213,2022-06-13,5.16000,5.30000,5.16000,5.24000,12500
214,2022-06-10,5.07000,5.38000,5.07000,5.34000,24300
215,2022-06-09,5.31000,5.33000,5.21000,5.24000,4800
216,2022-06-08,5.21000,5.26000,5.10000,5.25000,14300
217,2022-06-07,5.34000,5.34000,5.06000,5.10000,40900
218,2022-06-06,5.30000,5.40000,5.14000,5.26000,29500
219,2022-06-03,5.25000,5.28000,5.20000,5.25000,14700
220,2022-06-02,5.28000,5.45000,5.19000,5.25000,24900
221,2022-06-01,5.36000,5.41000,5.27000,5.34000,16800
222,2022-05-31,5.56000,5.56000,5.24000,5.39000,30000
223,2022-05-27,5.39000,5.50000,5.28000,5.40000,51700
224,2022-05-26,5.39000,5.47000,5.29000,5.39000,42400
225,2022-05-25,5.45000,5.47000,5.30000,5.30000,32500
226,2022-05-24,5.31000,5.31000,5.21000,5.27000,4300
227,2022-05-23,5.50000,5.50000,5.22000,5.32000,18000
228,2022-05-20,5.10000,5.35000,5.10000,5.29000,26200
229,2022-05-19,5.14000,5.33000,5.10000,5.11000,8900
230,2022-05-18,5.25000,5.38000,5.15000,5.15000,5900
231,2022-05-17,5.49000,5.49000,5.20000,5.28000,29400
232,2022-05-16,5.33000,5.42000,5.23000,5.31000,8200
233,2022-05-13,5.24000,5.32000,5.15000,5.29000,16100
234,2022-05-12,5.27000,5.33000,5.05000,5.20000,21900
235,2022-05-11,5.27000,5.47000,5.27000,5.30000,9700
