,datetime,open,high,low,close,volume
0,2023-04-14,25.40000,25.41000,25.40000,25.40000,21500
1,2023-04-13,25.39000,25.41000,25.39000,25.40000,133700
2,2023-04-12,25.39000,25.40000,25.39000,25.39000,27500
3,2023-04-11,25.39000,25.40000,25.39000,25.39000,32800
4,2023-04-10,25.38000,25.40000,25.38000,25.39000,59600
5,2023-04-06,25.38000,25.40000,25.38000,25.39000,125400
6,2023-04-05,25.38000,25.38000,25.37000,25.37000,29200
7,2023-04-04,25.36000,25.37000,25.36000,25.37000,37600
8,2023-04-03,25.37000,25.38000,25.35000,25.36000,66200
9,2023-03-31,25.36000,25.39000,25.34000,25.39000,111500
10,2023-03-30,25.33000,25.35000,25.33000,25.34000,82800
11,2023-03-29,25.33000,25.35000,25.33000,25.33000,119400
12,2023-03-28,25.33000,25.35000,25.33000,25.33000,96800
13,2023-03-27,25.31000,25.34000,25.31000,25.33000,112200
14,2023-03-24,25.30000,25.32000,25.30000,25.31000,67600
15,2023-03-23,25.29000,25.31000,25.29000,25.30000,85800
16,2023-03-22,25.28000,25.30800,25.28000,25.29000,255100
17,2023-03-21,25.28000,25.29000,25.27000,25.28000,44500
18,2023-03-20,25.27000,25.27900,25.27000,25.27000,57600
19,2023-03-17,25.27000,25.29000,25.27000,25.28000,44400
20,2023-03-16,25.26000,25.28000,25.26000,25.27000,232000
21,2023-03-15,25.26000,25.27000,25.25000,25.25000,86000
22,2023-03-14,25.23000,25.27000,25.23000,25.25000,424500
23,2023-03-13,25.25000,25.26000,25.15000,25.23000,742400
24,2023-03-10,25.24000,25.27000,25.24000,25.25000,334800
25,2023-03-09,25.17000,25.21000,25.04000,25.04000,51800
26,2023-03-08,25.11000,25.17000,25.11000,25.16000,35700
27,2023-03-07,25.14000,25.17900,25.12900,25.13000,41700
28,2023-03-06,25.14000,25.18000,25.06000,25.18000,28200
29,2023-03-03,25.09000,25.12000,25.03000,25.12000,25600
30,2023-03-02,24.98000,25.09000,24.96000,25.09000,22900
31,2023-03-01,25.01000,25.05000,24.97300,25.02000,21500
32,2023-02-28,25.00000,25.05000,24.90000,25.05000,73400
33,2023-02-27,24.98000,25.00000,24.93000,25.00000,34600
34,2023-02-24,24.92000,24.98000,24.88000,24.98000,19300
35,2023-02-23,24.86000,24.95000,24.85000,24.93000,33800
36,2023-02-22,24.81000,24.89000,24.81000,24.88000,24500
37,2023-02-21,24.84000,24.95000,24.80000,24.80000,52500
38,2023-02-17,24.82000,24.90000,24.80000,24.90000,45200
39,2023-02-16,24.90000,24.90000,24.74000,24.88000,309900
40,2023-02-15,24.98000,25.00000,24.69000,24.97000,129400
41,2023-02-14,24.86000,25.02000,24.86000,24.97000,42100
42,2023-02-13,24.89000,24.92000,24.85000,24.91000,30200
43,2023-02-10,24.92000,24.92000,24.86000,24.87000,50300
44,2023-02-09,24.93000,24.95000,24.86000,24.89000,38500
45,2023-02-08,24.82000,24.95000,24.82000,24.90000,57600
46,2023-02-07,24.85000,24.85000,24.77000,24.77000,88000
47,2023-02-06,24.82000,24.93000,24.82000,24.82000,44300
48,2023-02-03,24.79000,24.95000,24.79000,24.92000,43900
49,2023-02-02,25.02000,25.08000,24.80000,24.87000,308500
50,2023-02-01,24.96000,25.09000,24.96000,25.01000,51100
51,2023-01-31,24.87000,25.04000,24.84000,25.02000,126100
52,2023-01-30,24.72000,24.94000,24.72000,24.90000,69400
53,2023-01-27,24.79000,24.88100,24.77000,24.77000,43400
54,2023-01-26,24.83000,24.92000,24.75000,24.86000,55300
55,2023-01-25,24.76000,24.91000,24.75000,24.87000,90000
56,2023-01-24,24.80000,24.95000,24.80000,24.91000,75400
57,2023-01-23,24.79000,24.88000,24.75000,24.85000,48700
58,2023-01-20,24.73000,24.91000,24.66000,24.85000,94100
59,2023-01-19,24.71000,24.85000,24.57000,24.77000,81600
60,2023-01-18,24.84000,24.99000,24.74000,24.80000,44100
61,2023-01-17,24.70000,24.89000,24.67000,24.79500,71500
62,2023-01-13,24.74000,24.82800,24.60000,24.67000,85400
63,2023-01-12,24.54000,24.79000,24.50000,24.76000,117400
64,2023-01-11,24.50000,24.76000,24.43000,24.54000,113900
65,2023-01-10,24.45000,24.54000,24.43000,24.46000,149100
66,2023-01-09,24.49000,24.60500,24.44000,24.48000,170800
67,2023-01-06,24.51000,24.58000,24.44000,24.49000,176600
68,2023-01-05,24.52000,24.72000,24.45000,24.50500,130000
69,2023-01-04,24.73000,24.75000,24.54000,24.54000,48900
70,2023-01-03,24.35000,24.80000,24.35000,24.63000,121100
71,2022-12-30,24.40000,24.45000,24.28500,24.40000,77800
72,2022-12-29,24.15000,24.44000,24.15000,24.39000,42400
73,2022-12-28,24.36000,24.60000,24.36000,24.51000,40900
74,2022-12-27,24.48000,24.49000,24.36000,24.46000,46000
75,2022-12-23,24.43000,24.67000,24.31000,24.48000,82200
76,2022-12-22,24.47000,24.62000,24.35000,24.47000,59200
77,2022-12-21,24.55000,24.64000,24.30100,24.55500,1439100
78,2022-12-20,24.47000,24.63000,24.42000,24.58000,61500
79,2022-12-19,24.25000,24.56000,24.25000,24.55000,93900
80,2022-12-16,24.26000,24.40000,24.15000,24.34000,227200
81,2022-12-15,24.28000,24.40000,24.26400,24.34000,73600
82,2022-12-14,24.26000,24.40000,24.20000,24.38000,96100
83,2022-12-13,24.33000,24.42000,24.19800,24.38000,80300
84,2022-12-12,24.08000,24.27000,24.01000,24.20000,95500
85,2022-12-09,24.15000,24.24800,24.06000,24.06000,42100
86,2022-12-08,24.20000,24.28000,24.11000,24.15100,58800
87,2022-12-07,24.06000,24.22100,24.06000,24.22000,53900
88,2022-12-06,24.17000,24.36000,24.00000,24.05000,66400
89,2022-12-05,24.37000,24.45000,24.06000,24.13000,104100
90,2022-12-02,24.26000,24.42000,24.19100,24.40000,52700
91,2022-12-01,24.39000,24.43000,24.13000,24.35000,79600
92,2022-11-30,24.09000,24.34000,24.05100,24.34000,135300
93,2022-11-29,24.15000,24.20000,24.05500,24.13000,49100
94,2022-11-28,24.18000,24.24000,24.10000,24.20000,72700
95,2022-11-25,24.09000,24.14000,24.08000,24.14000,30100
96,2022-11-23,24.21000,24.21000,24.09000,24.12000,50200
97,2022-11-22,24.20000,24.35000,24.07000,24.13000,44800
98,2022-11-21,24.20000,24.22000,24.06000,24.13000,137600
99,2022-11-18,24.13000,24.25000,24.01000,24.17500,66400
100,2022-11-17,24.12000,24.25500,24.10000,24.13000,41000
101,2022-11-16,24.23000,24.25000,24.15000,24.22000,51700
102,2022-11-15,24.27000,24.48000,24.26000,24.27000,45600
103,2022-11-14,24.44000,24.44000,24.07000,24.17000,69500
