,datetime,open,high,low,close,volume
0,2023-04-19,24.87000,25.09000,24.48000,24.70000,205200
1,2023-04-18,24.50000,25.01000,24.46000,24.82000,249700
2,2023-04-17,24.11000,24.51000,24.03000,24.44000,152800
3,2023-04-14,24.15000,24.54000,23.93000,24.07000,144600
4,2023-04-13,24.03000,24.18000,23.79000,24.16000,170500
5,2023-04-12,24.13000,24.27000,23.96000,24.01000,124800
6,2023-04-11,24.41000,24.59000,23.85000,23.98000,284600
7,2023-04-10,23.85000,24.47000,23.85000,24.21000,368800
8,2023-04-06,24.41000,24.41000,23.86000,23.86000,238200
9,2023-04-05,24.96000,25.08000,24.29000,24.36000,260800
10,2023-04-04,25.60000,25.60000,24.82000,25.17000,475600
11,2023-04-03,25.56000,25.79000,25.16000,25.48000,246200
12,2023-03-31,25.02000,25.53000,24.86000,25.50000,464600
13,2023-03-30,25.97000,26.03000,24.79000,24.89000,300300
14,2023-03-29,26.51000,26.51000,25.76000,25.78000,205300
15,2023-03-28,26.05000,26.40000,25.83000,26.33000,341700
16,2023-03-27,26.62000,26.63000,26.17000,26.17000,268200
17,2023-03-24,26.19000,26.44000,25.77000,26.22000,274600
18,2023-03-23,25.83000,26.69000,25.76000,26.40000,518500
19,2023-03-22,27.51000,28.14000,23.22000,25.93000,1628200
20,2023-03-21,27.75000,27.99000,27.53000,27.69000,404600
21,2023-03-20,27.02000,27.54000,27.02000,27.36000,239700
22,2023-03-17,27.48000,27.48000,26.72000,26.80000,1023000
23,2023-03-16,26.55000,27.80000,26.47000,27.67000,401400
24,2023-03-15,27.43000,27.61000,26.64000,26.92000,509000
25,2023-03-14,27.75000,28.31000,27.42000,28.10000,425800
26,2023-03-13,26.73000,27.20000,26.48000,27.15000,417100
27,2023-03-10,27.52000,27.54000,26.68000,27.10000,915900
28,2023-03-09,27.86000,27.90000,27.44000,27.60000,542100
29,2023-03-08,27.83000,27.92000,27.45000,27.86000,309700
30,2023-03-07,27.70000,27.86000,27.44000,27.70000,374200
31,2023-03-06,28.31000,28.41000,27.40000,27.72000,481900
32,2023-03-03,28.40000,28.57000,28.06000,28.46000,181800
33,2023-03-02,27.22000,28.30000,27.17000,28.29000,505400
34,2023-03-01,26.88000,27.59000,26.79000,27.43000,273300
35,2023-02-28,26.80000,27.05000,26.73000,26.93000,349800
36,2023-02-27,27.03000,27.04000,26.74000,26.77000,170700
37,2023-02-24,26.47000,26.75000,26.23000,26.73000,174600
38,2023-02-23,26.92000,27.23000,26.51000,26.75000,184100
39,2023-02-22,26.57000,27.13000,26.57000,26.83000,475200
40,2023-02-21,26.84000,26.98000,26.39000,26.52000,285000
41,2023-02-17,26.69000,27.28000,26.56000,27.02000,235600
42,2023-02-16,25.99000,26.88000,25.99000,26.57000,227800
43,2023-02-15,26.13000,26.57000,25.87000,26.32000,560200
44,2023-02-14,26.82000,26.82000,26.28000,26.39000,383700
45,2023-02-13,26.78000,27.12000,26.53000,26.94000,177300
46,2023-02-10,26.41000,27.05000,26.41000,26.77000,321200
47,2023-02-09,27.17000,27.28000,26.50000,26.56000,221800
48,2023-02-08,26.92000,27.16000,26.74000,27.01000,283000
49,2023-02-07,27.24000,27.38000,26.83000,27.14000,360400
50,2023-02-06,27.43000,27.52000,27.00000,27.48000,299000
51,2023-02-03,27.40000,27.83000,27.36000,27.60000,301600
52,2023-02-02,26.88000,27.42000,26.87000,27.40000,203800
53,2023-02-01,26.54000,27.16000,26.42000,26.88000,293600
54,2023-01-31,25.77000,26.55000,25.74000,26.54000,396700
55,2023-01-30,25.69000,26.17000,25.64000,25.73000,167200
56,2023-01-27,25.32000,26.00000,25.32000,25.86000,165900
57,2023-01-26,25.19000,25.55000,25.06000,25.35000,186000
58,2023-01-25,24.71000,25.12000,24.60000,25.12000,282300
59,2023-01-24,24.05000,24.80000,23.92000,24.78000,229200
60,2023-01-23,24.08000,24.47000,24.00000,24.13000,186700
61,2023-01-20,24.50000,24.61000,24.05000,24.13000,363100
62,2023-01-19,24.70000,24.70000,24.31000,24.38000,223300
63,2023-01-18,25.09000,25.31000,24.58000,24.65000,201000
64,2023-01-17,25.40000,25.44000,25.09000,25.10000,169900
65,2023-01-13,25.47000,25.47000,25.11000,25.40000,180200
66,2023-01-12,25.77000,25.82000,25.34000,25.43000,282200
67,2023-01-11,25.27000,25.63000,25.27000,25.57000,171700
68,2023-01-10,25.05000,25.25000,24.83000,25.22000,245400
69,2023-01-09,25.55000,25.77000,24.98000,25.09000,206500
70,2023-01-06,25.63000,26.08000,25.41000,25.43000,248000
71,2023-01-05,25.56000,25.67000,25.18000,25.33000,245800
72,2023-01-04,25.51000,25.82000,25.33000,25.50000,301600
73,2023-01-03,25.62000,25.76000,25.00000,25.33000,236400
74,2022-12-30,25.48000,25.64000,25.30000,25.45000,184300
75,2022-12-29,25.40000,25.65000,25.05000,25.62000,240200
76,2022-12-28,25.78000,25.81000,25.18000,25.18000,213700
77,2022-12-27,25.40000,25.75000,25.24000,25.74000,263600
78,2022-12-23,25.07000,25.39000,24.84000,25.28000,257900
79,2022-12-22,25.00000,25.43000,24.82000,25.26000,438300
80,2022-12-21,25.35000,25.50000,24.05000,25.09000,689400
81,2022-12-20,23.76000,24.28000,23.69000,23.95000,272500
82,2022-12-19,23.32000,24.37000,23.32000,23.80000,444700
83,2022-12-16,23.16000,23.39000,23.01000,23.26000,1290100
84,2022-12-15,23.50000,23.64000,23.33000,23.51000,382000
85,2022-12-14,23.64000,24.24000,23.54000,23.73000,345300
86,2022-12-13,24.43000,24.61000,23.67000,23.73000,359500
87,2022-12-12,23.34000,23.87000,23.09000,23.77000,324100
88,2022-12-09,23.37000,23.54000,23.04000,23.23000,243400
