,datetime,open,high,low,close,volume
0,2023-04-19,12.73000,12.75000,12.69000,12.71000,363400
1,2023-04-18,12.82000,12.85000,12.74000,12.80000,443000
2,2023-04-17,12.75000,12.80000,12.72000,12.79000,129200
3,2023-04-14,12.79000,12.82000,12.72000,12.78000,144500
4,2023-04-13,12.65000,12.81000,12.65000,12.79000,156000
5,2023-04-12,12.59000,12.73000,12.54000,12.64000,261700
6,2023-04-11,12.51000,12.60000,12.51000,12.55000,168400
7,2023-04-10,12.44000,12.57000,12.41000,12.51000,225900
8,2023-04-06,12.44000,12.50000,12.40000,12.44000,205600
9,2023-04-05,12.47000,12.47000,12.40000,12.41000,195300
10,2023-04-04,12.54000,12.56000,12.44000,12.47000,214400
11,2023-04-03,12.65000,12.67000,12.51000,12.54000,279900
12,2023-03-31,12.62000,12.68000,12.58000,12.63000,410000
13,2023-03-30,12.65000,12.72000,12.54000,12.60000,146900
14,2023-03-29,12.53000,12.63000,12.53000,12.57000,164000
15,2023-03-28,12.54000,12.55000,12.45000,12.49000,115600
16,2023-03-27,12.63000,12.65000,12.55000,12.58000,165300
17,2023-03-24,12.51000,12.64000,12.47000,12.58000,139300
18,2023-03-23,12.60000,12.73000,12.50000,12.59000,126200
19,2023-03-22,12.65000,12.76000,12.55000,12.55000,163200
20,2023-03-21,12.70000,12.74000,12.67000,12.73000,144100
21,2023-03-20,12.64000,12.73000,12.61000,12.69000,141000
22,2023-03-17,12.70000,12.74000,12.62000,12.65000,136300
23,2023-03-16,12.50000,12.73000,12.47000,12.72000,158500
24,2023-03-15,12.47000,12.55000,12.42000,12.52000,154000
25,2023-03-14,12.60000,12.75000,12.53000,12.62000,182400
26,2023-03-13,12.38000,12.60000,12.36000,12.47000,194000
27,2023-03-10,12.68000,12.75000,12.43000,12.53000,267900
28,2023-03-09,13.00000,13.04000,12.70000,12.71000,280300
29,2023-03-08,12.96000,13.06000,12.96000,13.01000,138400
30,2023-03-07,13.09000,13.14000,12.96000,12.96000,130400
31,2023-03-06,13.14000,13.27000,13.14000,13.14000,167400
32,2023-03-03,13.12000,13.19000,13.12000,13.16000,137700
33,2023-03-02,12.91000,13.10000,12.90000,13.10000,149200
34,2023-03-01,12.99000,13.15000,12.94000,12.99000,264700
35,2023-02-28,12.97000,13.02000,12.93000,12.98000,166300
36,2023-02-27,12.87000,12.96000,12.85000,12.92000,165200
37,2023-02-24,12.88000,12.88000,12.73000,12.80000,246800
38,2023-02-23,13.00000,13.00000,12.84000,12.97000,177600
39,2023-02-22,12.96000,13.02000,12.89000,12.92000,171800
40,2023-02-21,13.05000,13.15000,12.97000,12.97000,199700
41,2023-02-17,13.25000,13.32000,13.21000,13.28000,127600
42,2023-02-16,13.31000,13.38000,13.26000,13.27000,195100
43,2023-02-15,13.36000,13.46000,13.33000,13.40000,268100
44,2023-02-14,13.32000,13.38000,13.19000,13.37000,233700
45,2023-02-13,13.20000,13.36000,13.19000,13.33000,224200
46,2023-02-10,13.16000,13.19000,13.09000,13.14000,169700
47,2023-02-09,13.27000,13.30000,13.09000,13.14000,192900
48,2023-02-08,13.26000,13.28000,13.15000,13.17000,120700
49,2023-02-07,13.17000,13.28000,13.12000,13.25000,212400
50,2023-02-06,13.14000,13.24000,13.13000,13.15000,245400
51,2023-02-03,13.30000,13.37000,13.11000,13.12000,271700
52,2023-02-02,13.41000,13.41000,13.25000,13.40000,365300
53,2023-02-01,13.10000,13.37000,13.06000,13.31000,338700
54,2023-01-31,13.00000,13.08000,12.96000,13.06000,276100
55,2023-01-30,12.92000,12.93000,12.81000,12.88000,227700
56,2023-01-27,12.88000,12.94000,12.87000,12.93000,251200
57,2023-01-26,12.79000,13.00000,12.76000,12.84000,168100
58,2023-01-25,12.66000,12.78000,12.58000,12.72000,219800
59,2023-01-24,12.88000,12.89000,12.65000,12.80000,243700
60,2023-01-23,12.77000,12.81000,12.65000,12.81000,465500
61,2023-01-20,12.57000,12.68000,12.51000,12.67000,221300
62,2023-01-19,12.51000,12.56000,12.49000,12.53000,268000
63,2023-01-18,12.67000,12.67000,12.51000,12.54000,270800
64,2023-01-17,12.64000,12.64000,12.54000,12.57000,349300
65,2023-01-13,12.55000,12.59000,12.49000,12.59000,205300
66,2023-01-12,12.60000,12.64000,12.50000,12.56000,465900
67,2023-01-11,12.40000,12.58000,12.38000,12.55000,274700
68,2023-01-10,12.36000,12.40000,12.21000,12.40000,190500
69,2023-01-09,12.22000,12.42000,12.20000,12.29000,261900
