,datetime,open,high,low,close,volume
0,2023-04-19,25.66000,25.96000,25.59000,25.76000,641100
1,2023-04-18,26.16000,26.18000,25.75000,25.80000,320900
2,2023-04-17,25.79000,26.21000,25.72000,26.20000,355200
3,2023-04-14,26.37000,26.44000,25.69000,25.78000,251800
4,2023-04-13,26.38000,26.40000,25.94000,26.28000,347600
5,2023-04-12,26.60000,26.82000,26.35000,26.37000,242400
6,2023-04-11,26.58000,26.65000,26.31000,26.45000,261400
7,2023-04-10,26.26000,26.55000,26.19000,26.45000,292200
8,2023-04-06,26.54000,26.58000,26.17000,26.33000,465300
9,2023-04-05,26.60000,26.78000,26.32000,26.33000,464100
10,2023-04-04,26.73000,26.76000,26.33000,26.62000,355400
11,2023-04-03,26.91000,27.13000,26.53000,26.73000,333000
12,2023-03-31,26.61000,26.87000,26.55000,26.86000,652400
13,2023-03-30,26.41000,26.52000,26.30000,26.41000,324800
14,2023-03-29,26.52000,26.65000,26.45000,26.63000,332802
15,2023-03-28,26.12000,26.40000,26.02000,26.39000,326475
16,2023-03-27,26.34000,26.39000,26.03000,26.22000,456539
17,2023-03-24,25.21000,26.12000,25.20070,26.05000,382683
18,2023-03-23,25.25000,25.60000,25.14000,25.31000,495395
19,2023-03-22,26.44000,26.44500,25.25000,25.27000,614009
20,2023-03-21,27.08000,27.21000,26.34000,26.52000,356363
21,2023-03-20,26.65000,27.28000,26.54000,26.89000,500068
22,2023-03-17,26.74000,26.83000,26.19000,26.59000,1300434
23,2023-03-16,26.59000,27.15000,26.36000,26.90000,507952
24,2023-03-15,26.58000,27.00000,26.43500,26.87000,419195
25,2023-03-14,27.57000,27.57000,26.64000,26.94000,352184
26,2023-03-13,25.76000,26.63000,25.75000,26.41000,349900
27,2023-03-10,26.74000,26.87000,25.82000,26.00000,329094
28,2023-03-09,27.09000,27.18000,26.73000,26.81000,306312
29,2023-03-08,26.87000,27.15000,26.79500,27.02000,301138
30,2023-03-07,27.43000,27.50240,26.79000,26.90000,615779
31,2023-03-06,27.79000,27.97000,27.25000,27.38000,514328
32,2023-03-03,27.54000,27.80000,27.28000,27.65000,368644
33,2023-03-02,26.99000,27.99000,26.93000,27.32000,242098
34,2023-03-01,27.05000,27.32500,26.75000,27.07000,231138
35,2023-02-28,27.50000,27.70000,27.13000,27.15000,550873
36,2023-02-27,27.96000,28.03000,27.40000,27.54000,252648
37,2023-02-24,27.84000,27.92000,27.51000,27.68000,372366
38,2023-02-23,28.05000,28.09990,27.76000,28.05000,278113
39,2023-02-22,28.22000,28.34400,27.80000,27.87000,387421
40,2023-02-21,28.20000,28.39500,27.75000,28.22000,1481643
41,2023-02-17,29.01000,29.01000,28.23000,28.44000,391985
42,2023-02-16,27.89000,28.96000,27.61000,28.86000,409277
43,2023-02-15,28.00000,28.48000,27.81000,28.45000,382435
44,2023-02-14,28.57000,28.85000,28.21000,28.21000,605119
45,2023-02-13,28.74000,28.80000,28.61000,28.70000,190534
46,2023-02-10,28.45000,28.71000,28.39000,28.60000,255990
47,2023-02-09,29.18000,29.18000,28.30500,28.46000,338826
48,2023-02-08,28.69000,28.98500,28.69000,28.85000,360589
49,2023-02-07,28.66000,29.16000,28.52500,28.89000,613885
50,2023-02-06,28.69000,28.95000,28.46000,28.91000,252295
51,2023-02-03,28.83000,28.93000,28.47000,28.85000,416596
52,2023-02-02,28.66000,29.30000,28.66000,29.02000,301857
53,2023-02-01,28.72000,28.93000,28.11000,28.60000,376584
54,2023-01-31,28.42000,28.81000,28.21000,28.76000,404020
55,2023-01-30,28.45000,28.57200,28.24000,28.31000,254682
56,2023-01-27,28.51000,28.78500,28.08000,28.55000,256500
57,2023-01-26,28.32000,28.57000,28.21000,28.53000,262340
58,2023-01-25,28.19000,28.39000,28.03000,28.34000,223770
59,2023-01-24,27.94000,28.40000,27.50000,28.25000,211723
60,2023-01-23,28.09000,28.53000,28.05000,28.21000,320505
61,2023-01-20,28.32000,28.45000,27.82000,28.24000,366396
62,2023-01-19,27.91000,28.28000,27.86000,28.14000,319726
63,2023-01-18,28.47000,28.62000,27.89000,27.96000,267157
64,2023-01-17,28.38000,28.60000,28.28000,28.46000,216321
65,2023-01-13,28.11000,28.33000,27.90000,28.23000,274588
66,2023-01-12,28.00000,28.43500,27.86000,28.38000,402689
67,2023-01-11,27.43000,27.89000,27.41000,27.80000,349271
68,2023-01-10,27.14000,27.34000,27.05000,27.31000,629522
69,2023-01-09,26.72000,27.29000,26.67000,27.18000,369008
