,datetime,open,high,low,close,volume
0,2023-04-19,18.44000,18.88000,18.39000,18.87000,628900
1,2023-04-18,18.68000,18.78000,18.46000,18.59000,631600
2,2023-04-17,18.51000,18.77500,18.48000,18.74000,741500
3,2023-04-14,18.81000,18.92000,18.53000,18.64000,671100
4,2023-04-13,18.70000,18.78000,18.58000,18.71000,841200
5,2023-04-12,18.50000,18.73000,18.39000,18.66000,1547400
6,2023-04-11,18.25000,18.53500,18.25000,18.44000,635200
7,2023-04-10,18.48000,18.62000,18.09000,18.21000,1376700
8,2023-04-06,18.41000,18.60000,18.41000,18.56000,976100
9,2023-04-05,18.25000,18.51000,18.25000,18.39000,1913400
10,2023-04-04,18.44000,18.48900,18.14000,18.38000,1984100
11,2023-04-03,18.66000,18.73000,18.33100,18.46000,1481900
12,2023-03-31,18.52000,18.66000,18.38500,18.50000,1219000
13,2023-03-30,18.46000,18.51000,18.31000,18.39000,821200
14,2023-03-29,18.44000,18.47000,18.19700,18.32000,884200
15,2023-03-28,18.34000,18.41600,18.25000,18.31000,538000
16,2023-03-27,18.30000,18.41000,18.20000,18.35000,879900
17,2023-03-24,17.72000,18.10000,17.58000,18.10000,931400
18,2023-03-23,18.09000,18.55500,17.80000,17.87000,1318900
19,2023-03-22,18.30000,18.56000,18.07000,18.07000,1312300
20,2023-03-21,18.09000,18.38000,18.05500,18.30000,1255100
21,2023-03-20,17.57000,18.09000,17.57000,17.76000,1451229
22,2023-03-17,17.57000,17.67000,17.30000,17.46000,1617401
23,2023-03-16,17.32000,17.89000,17.07000,17.70000,1406481
24,2023-03-15,17.23000,17.69000,17.18000,17.45000,2437110
25,2023-03-14,17.60000,18.11000,17.60000,17.77000,1968359
26,2023-03-13,17.65000,18.22000,17.25000,17.84000,3213430
27,2023-03-10,18.88000,18.95000,17.88000,17.93000,2669338
28,2023-03-09,19.64000,19.69000,18.78000,18.81000,1676075
29,2023-03-08,19.68000,19.73590,19.56000,19.69000,758646
30,2023-03-07,19.89000,19.95000,19.56000,19.65000,870234
31,2023-03-06,19.98000,20.12000,19.93500,19.95000,757225
32,2023-03-03,19.78000,19.94000,19.78000,19.94000,742873
33,2023-03-02,19.60000,19.75000,19.40000,19.75000,1033944
34,2023-03-01,19.75000,20.00000,19.63500,19.68000,910214
35,2023-02-28,20.24000,20.60400,19.69000,19.71000,1873569
36,2023-02-27,19.61000,19.94000,19.59000,19.59000,792116
37,2023-02-24,19.47000,19.61000,19.37010,19.52000,496443
38,2023-02-23,19.45000,19.80500,19.42000,19.57000,670785
39,2023-02-22,19.12000,19.41000,19.12000,19.30000,1000034
40,2023-02-21,19.62000,19.66000,19.05000,19.14000,1129676
41,2023-02-17,19.67000,19.75000,19.54500,19.70000,845878
42,2023-02-16,19.55000,19.78000,19.53010,19.63000,872085
43,2023-02-15,19.60000,19.68500,19.30000,19.65000,822917
44,2023-02-14,19.76000,19.92000,19.61000,19.66000,815855
45,2023-02-13,19.60000,19.82500,19.56000,19.74000,628700
46,2023-02-10,19.15000,19.60000,19.12000,19.60000,2033128
47,2023-02-09,19.72000,19.78000,19.16000,19.21000,870368
48,2023-02-08,19.75000,19.90000,19.58000,19.62000,551735
49,2023-02-07,19.55000,19.93000,19.53000,19.85000,653980
50,2023-02-06,19.80000,19.88000,19.43500,19.56000,813973
51,2023-02-03,19.80000,20.13000,19.80000,20.00000,887482
52,2023-02-02,19.96000,20.15500,19.91000,19.97000,790684
53,2023-02-01,19.67000,19.97000,19.59000,19.83000,605687
54,2023-01-31,19.56000,19.66000,19.35500,19.66000,597114
55,2023-01-30,19.70000,19.81000,19.45000,19.45000,554437
56,2023-01-27,19.60000,19.93000,19.55000,19.86000,1009018
57,2023-01-26,19.40000,19.55000,19.35000,19.55000,635893
58,2023-01-25,19.14000,19.31500,19.12000,19.30000,493400
59,2023-01-24,19.33000,19.44000,19.24000,19.30000,643289
60,2023-01-23,19.25000,19.34000,19.18000,19.33000,1020618
61,2023-01-20,18.93000,19.20000,18.81000,19.20000,844819
62,2023-01-19,18.77000,18.93220,18.70300,18.85000,809460
63,2023-01-18,19.05000,19.19000,18.87000,18.91000,1086645
64,2023-01-17,18.86000,19.06500,18.86000,18.98000,684688
65,2023-01-13,18.79000,18.89000,18.60000,18.84000,699047
66,2023-01-12,18.53000,18.92000,18.43000,18.92000,1325298
67,2023-01-11,18.21000,18.49910,18.21000,18.44000,1055047
68,2023-01-10,18.15000,18.33000,18.10400,18.15000,1246041
69,2023-01-09,18.21000,18.32540,18.12000,18.13000,1191618
70,2023-01-06,18.08000,18.26000,18.04500,18.16000,905276
71,2023-01-05,17.94000,18.15000,17.83000,18.07000,1240190
72,2023-01-04,17.84000,18.24000,17.76000,18.10000,2019502
