,datetime,open,high,low,close,volume
0,2023-04-19,62.83000,62.98000,62.37000,62.84000,100500
1,2023-04-18,63.08000,63.30000,62.28000,62.79000,128100
2,2023-04-17,63.03000,63.54000,62.51000,63.08000,125300
3,2023-04-14,63.35000,63.72000,62.44000,62.91000,108700
4,2023-04-13,63.43000,63.71000,62.72000,63.46000,125600
5,2023-04-12,63.54000,63.99000,63.05000,63.44000,138400
6,2023-04-11,62.63000,63.93000,62.63000,63.20000,178500
7,2023-04-10,61.76000,62.85000,61.68000,62.36000,204600
8,2023-04-06,62.40000,62.40000,61.47000,61.71000,170600
9,2023-04-05,62.25000,62.50000,61.78000,62.21000,135400
10,2023-04-04,63.31000,63.31000,61.68000,62.36000,169200
11,2023-04-03,63.58000,64.24000,62.86000,63.29000,191200
12,2023-03-31,62.63000,63.45000,62.43000,63.37000,197400
13,2023-03-30,62.88000,63.25000,61.98000,62.25000,169600
14,2023-03-29,62.15000,62.44000,61.66000,62.36000,183000
15,2023-03-28,61.03000,61.91000,61.03000,61.71000,127300
16,2023-03-27,60.87000,61.69000,60.61000,61.24000,164200
17,2023-03-24,58.99000,60.59000,58.39000,60.31000,172900
18,2023-03-23,59.83000,60.68000,59.01000,59.34000,187600
19,2023-03-22,60.40000,61.13000,59.61000,59.67000,216600
20,2023-03-21,61.22000,61.30000,59.97000,60.20000,242300
21,2023-03-20,59.08000,60.48000,58.96000,60.20000,255600
22,2023-03-17,58.61000,58.63000,57.91000,58.16000,357700
23,2023-03-16,57.84000,59.83000,57.38000,58.83000,242100
24,2023-03-15,59.37000,60.16000,58.30000,58.97000,339900
25,2023-03-14,62.51000,62.70000,60.09000,60.87000,224400
26,2023-03-13,61.16000,61.77000,60.77000,61.03000,222400
27,2023-03-10,62.41000,62.84000,61.25000,62.11000,219100
28,2023-03-09,63.98000,64.18000,62.70000,62.84000,159200
29,2023-03-08,64.30000,64.42000,63.00000,64.03000,177700
30,2023-03-07,65.14000,65.45000,64.52000,64.72000,204200
31,2023-03-06,66.95000,67.09000,64.92000,65.13000,235200
32,2023-03-03,66.45000,67.79000,65.20000,66.96000,255000
33,2023-03-02,69.75000,69.75000,65.70000,66.11000,763900
34,2023-03-01,70.72000,73.96000,70.38000,73.59000,466600
35,2023-02-28,70.27000,71.26000,70.27000,71.05000,237900
36,2023-02-27,70.63000,71.35000,70.28000,70.41000,168400
37,2023-02-24,69.73000,70.35000,69.22000,70.14000,122900
38,2023-02-23,70.28000,70.97000,69.47000,70.45000,111200
39,2023-02-22,69.18000,70.54000,68.77000,69.81000,120000
40,2023-02-21,71.06000,71.06000,68.69000,68.93000,162700
41,2023-02-17,72.12000,72.12000,71.50000,71.72000,110500
42,2023-02-16,70.71000,71.90000,70.43000,71.61000,129700
43,2023-02-15,71.08000,72.04000,70.81000,71.63000,112300
44,2023-02-14,70.33000,72.27000,70.33000,71.55000,90700
45,2023-02-13,70.40000,71.51000,69.95000,71.29000,91800
46,2023-02-10,69.50000,70.40000,68.73000,70.20000,143200
47,2023-02-09,71.22000,71.73000,69.51000,69.56000,132500
48,2023-02-08,71.08000,71.30000,70.35000,70.59000,147000
49,2023-02-07,71.01000,71.74000,70.38000,71.65000,164400
50,2023-02-06,72.27000,72.43000,71.35000,71.64000,163400
