,datetime,open,high,low,close,volume
0,2023-04-19,15.05000,15.35000,14.96000,15.00000,13800
1,2023-04-18,14.95000,15.30000,14.95000,15.10000,11300
2,2023-04-17,15.07000,15.08000,14.95000,14.95000,2800
3,2023-04-14,14.88000,15.00000,14.85000,14.95000,5200
4,2023-04-13,15.03000,15.33000,14.96000,15.07000,4600
5,2023-04-12,15.18000,15.33000,15.17000,15.24000,6300
6,2023-04-11,15.09000,15.32000,15.02000,15.21000,6100
7,2023-04-10,15.21000,15.33000,15.03000,15.08000,15000
8,2023-04-06,15.02000,15.40000,15.02000,15.20000,10300
9,2023-04-05,14.88000,15.00000,14.88000,14.88000,9800
10,2023-04-04,14.79000,15.00000,14.70000,14.80000,8800
11,2023-04-03,14.67000,14.79000,14.67000,14.79000,3700
12,2023-03-31,14.66000,14.84000,14.32000,14.67000,3400
13,2023-03-30,14.49000,14.75000,14.49000,14.63000,11600
14,2023-03-29,14.22000,14.36000,14.17000,14.32000,28500
15,2023-03-28,14.28000,14.52000,14.03000,14.15000,25700
16,2023-03-27,13.76000,14.20000,13.74000,14.09000,22300
17,2023-03-24,14.20000,14.20000,13.66000,13.76000,24500
18,2023-03-23,13.69000,13.93000,13.69000,13.81000,14900
19,2023-03-22,13.97000,13.97000,13.67000,13.68000,24200
20,2023-03-21,14.08000,14.08000,13.62000,13.75000,23100
21,2023-03-20,14.10000,14.10000,13.77000,13.89000,6200
22,2023-03-17,14.10000,14.10000,13.66000,13.84000,13100
23,2023-03-16,13.93000,13.99000,13.77000,13.96000,11200
24,2023-03-15,14.00000,14.14000,13.77000,13.92000,13700
25,2023-03-14,14.06000,14.64000,14.00000,14.08000,25400
26,2023-03-13,14.00000,14.34000,13.92000,14.12000,23500
27,2023-03-10,14.40000,14.47000,13.92000,14.10000,16400
28,2023-03-09,14.53000,14.72000,14.40000,14.50000,17000
29,2023-03-08,14.41000,14.58000,14.41000,14.49000,11300
30,2023-03-07,14.56000,14.75000,14.42000,14.42000,13100
31,2023-03-06,14.63000,14.89000,14.60000,14.72000,38200
32,2023-03-03,14.39000,14.67000,14.39000,14.66000,17600
33,2023-03-02,14.44000,14.64000,14.30000,14.45000,9600
34,2023-03-01,14.57000,14.59000,14.42000,14.50000,14700
35,2023-02-28,14.71000,15.08000,14.51000,14.56000,9400
36,2023-02-27,14.77000,14.86000,14.63000,14.65000,14100
37,2023-02-24,14.94000,14.98000,14.64980,14.69000,30323
38,2023-02-23,15.14000,15.20000,14.78000,14.94000,16200
39,2023-02-22,15.30000,15.30000,14.80000,14.80000,26400
40,2023-02-21,15.24000,15.28000,14.90000,14.90000,26300
41,2023-02-17,14.93000,15.30000,14.84000,15.30000,19300
42,2023-02-16,14.99000,14.99000,14.86000,14.99000,17000
43,2023-02-15,14.99000,14.99000,14.75000,14.98000,11600
44,2023-02-14,14.97000,14.99000,14.83000,14.94000,19100
45,2023-02-13,14.76000,14.97000,14.70000,14.91000,31100
46,2023-02-10,14.59000,14.74000,14.56000,14.74000,9600
47,2023-02-09,14.90000,14.96000,14.70000,14.70000,13600
48,2023-02-08,14.98000,14.98000,14.77000,14.77000,5000
49,2023-02-07,14.87000,14.94000,14.70000,14.94000,14000
50,2023-02-06,14.88000,14.88000,14.72000,14.84000,14400
51,2023-02-03,15.02000,15.02000,14.87000,14.89000,11400
52,2023-02-02,15.09000,15.14000,14.98000,15.04000,18900
53,2023-02-01,14.86000,15.12000,14.79000,15.06000,16200
54,2023-01-31,14.73000,14.86000,14.63000,14.86000,13400
55,2023-01-30,14.73000,14.78000,14.61000,14.68000,23200
56,2023-01-27,14.86000,14.90000,14.83000,14.84000,12800
57,2023-01-26,14.88000,14.88000,14.82000,14.88000,34700
58,2023-01-25,14.65000,14.85000,14.65000,14.83000,25200
59,2023-01-24,15.23000,15.23000,14.77000,14.81000,34400
60,2023-01-23,14.84000,14.87000,14.67000,14.83000,21500
61,2023-01-20,14.69000,14.70000,14.60000,14.63000,35900
62,2023-01-19,14.70000,14.74000,14.65000,14.65000,30300
63,2023-01-18,14.87000,14.87000,14.71000,14.72000,37200
64,2023-01-17,14.77000,14.81000,14.70000,14.76000,19300
65,2023-01-13,14.72000,14.79000,14.70000,14.76000,33700
66,2023-01-12,14.85000,14.93000,14.85000,14.87000,42100
67,2023-01-11,14.86000,14.96000,14.83000,14.88000,16000
68,2023-01-10,14.82000,14.88000,14.70000,14.82000,20100
69,2023-01-09,14.72000,15.03000,14.71000,14.82000,24300
70,2023-01-06,14.52000,14.83000,14.43000,14.78000,44200
71,2023-01-05,14.46000,14.47000,14.15000,14.39000,11800
72,2023-01-04,14.33000,14.43000,14.29000,14.38000,26700
73,2023-01-03,14.25000,14.32000,14.03000,14.32000,45900
74,2022-12-30,14.25000,14.26000,14.02000,14.08000,8200
75,2022-12-29,14.11000,14.19000,14.01000,14.12000,30900
76,2022-12-28,14.21000,14.28000,14.02000,14.04000,26300
77,2022-12-27,14.10000,14.26000,14.10000,14.16000,8100
78,2022-12-23,13.84000,14.17000,13.84000,14.16000,25200
79,2022-12-22,14.31000,14.31000,14.02000,14.12000,15500
80,2022-12-21,14.26000,14.43000,14.00000,14.33000,26600
81,2022-12-20,14.24000,14.28000,14.15000,14.24000,9500
