,datetime,open,high,low,close,volume
0,2023-04-19,13.24000,13.32000,13.18500,13.26000,404600
1,2023-04-18,13.46000,13.56000,13.31000,13.36000,497800
2,2023-04-17,13.34000,13.46800,13.28000,13.44000,408500
3,2023-04-14,13.38000,13.54000,13.24000,13.36000,460700
4,2023-04-13,13.31000,13.52500,13.15000,13.36000,612300
5,2023-04-12,13.48000,13.54000,13.21000,13.29000,557200
6,2023-04-11,13.17000,13.41000,13.17000,13.33000,841100
7,2023-04-10,12.83000,13.17500,12.83000,13.13000,730900
8,2023-04-06,12.97000,13.01000,12.83000,12.86000,452900
9,2023-04-05,13.10000,13.14500,12.85000,13.00000,415800
10,2023-04-04,13.88000,13.91000,13.10000,13.21000,705400
11,2023-04-03,13.84000,13.98000,13.72000,13.83000,518900
12,2023-03-31,13.78000,13.89000,13.71500,13.89000,480100
13,2023-03-30,13.69000,13.80000,13.61000,13.66000,394000
14,2023-03-29,13.51000,13.66000,13.45500,13.58000,623500
15,2023-03-28,13.38000,13.47000,13.32000,13.42000,362000
16,2023-03-27,13.32000,13.51000,13.19000,13.41000,627800
17,2023-03-24,12.91000,13.15000,12.81500,13.15000,1071200
18,2023-03-23,13.24000,13.38500,13.00500,13.11000,571000
19,2023-03-22,13.38000,13.50000,13.11500,13.14000,643900
20,2023-03-21,13.40000,13.55000,13.34500,13.43000,483800
21,2023-03-20,13.18000,13.30000,13.07000,13.19000,870700
22,2023-03-17,13.36000,13.38000,13.00500,13.07000,807100
23,2023-03-16,13.09000,13.53500,12.98000,13.49000,557700
24,2023-03-15,13.26000,13.40000,12.94500,13.26000,1058500
25,2023-03-14,13.71000,13.88000,13.45000,13.62000,1130100
26,2023-03-13,13.26000,13.55000,13.10000,13.20000,978600
27,2023-03-10,13.92000,13.95000,13.41000,13.47000,1796400
28,2023-03-09,14.23000,14.31500,13.95000,13.96000,797100
29,2023-03-08,14.11000,14.28000,14.07000,14.22000,716700
30,2023-03-07,14.19000,14.28000,14.07000,14.11000,765500
31,2023-03-06,14.40000,14.52000,14.15000,14.17000,1246200
32,2023-03-03,14.25000,14.45500,14.25000,14.41000,540700
33,2023-03-02,13.98000,14.22000,13.91000,14.21000,642800
34,2023-03-01,13.98000,14.22000,13.96000,14.11000,653600
35,2023-02-28,14.00000,14.21000,14.00000,14.04000,784800
36,2023-02-27,14.27000,14.37000,13.94500,14.02000,808500
37,2023-02-24,13.93000,14.14000,13.86000,14.12000,641800
38,2023-02-23,14.10000,14.20000,14.06000,14.10000,741200
39,2023-02-22,14.00000,14.21000,13.98000,14.03000,1790700
40,2023-02-21,14.00000,14.09000,13.89000,14.00000,2297400
41,2023-02-17,14.07000,14.16000,13.95500,14.16000,1409900
42,2023-02-16,14.03000,14.14500,13.80000,14.07000,741000
43,2023-02-15,13.97000,14.27500,13.74000,14.25000,1646200
44,2023-02-14,13.81000,14.10000,13.73000,14.04000,1292600
45,2023-02-13,13.95000,14.02500,13.77000,13.85000,2014700
46,2023-02-10,13.88000,14.19000,13.83000,13.87000,1262100
47,2023-02-09,14.00000,14.78000,13.60000,13.94000,1493700
48,2023-02-08,13.33000,13.37000,13.10000,13.13000,371800
49,2023-02-07,13.22000,13.43000,13.17000,13.40000,477900
50,2023-02-06,13.45000,13.45900,13.25500,13.27000,409700
51,2023-02-03,13.49000,13.72000,13.49000,13.63000,428600
52,2023-02-02,13.60000,13.81000,13.55000,13.69000,794700
53,2023-02-01,13.08000,13.47000,12.99500,13.41000,740800
54,2023-01-31,12.87000,13.23500,12.87000,13.21000,467400
55,2023-01-30,12.90000,13.10000,12.77000,12.78000,443100
56,2023-01-27,12.71000,13.10500,12.69500,13.02000,609300
57,2023-01-26,12.75000,12.84000,12.61000,12.77000,810900
58,2023-01-25,12.69000,12.72000,12.47000,12.65000,797800
59,2023-01-24,12.54000,12.87000,12.51000,12.80000,370100
60,2023-01-23,12.55000,12.71000,12.44000,12.69000,449100
61,2023-01-20,12.38000,12.47000,12.20500,12.46000,354900
62,2023-01-19,12.26000,12.33000,12.17500,12.19000,391500
63,2023-01-18,12.56000,12.65000,12.39000,12.39000,323600
64,2023-01-17,12.74000,12.75500,12.52500,12.54000,369900
65,2023-01-13,12.64000,12.74000,12.59000,12.73000,256500
66,2023-01-12,12.77000,12.84000,12.65000,12.72000,385800
67,2023-01-11,12.59000,12.68000,12.53000,12.66000,421800
68,2023-01-10,12.37000,12.56000,12.37000,12.55000,420500
69,2023-01-09,12.55000,12.65000,12.39500,12.45000,449500
70,2023-01-06,12.15000,12.41000,12.15000,12.41000,343400
71,2023-01-05,11.80000,12.01000,11.73000,12.01000,386600
72,2023-01-04,11.70000,11.87000,11.59000,11.83000,413900
73,2023-01-03,11.57000,11.66900,11.38000,11.57000,561300
74,2022-12-30,11.31000,11.41000,11.27000,11.41000,360300
75,2022-12-29,11.18000,11.45500,11.17000,11.41000,535700
76,2022-12-28,11.26000,11.38000,11.01500,11.04000,665000
77,2022-12-27,11.18000,11.46000,11.08000,11.27000,414600
78,2022-12-23,10.94000,11.21000,10.89000,11.16000,441500
