,datetime,open,high,low,close,volume
0,2023-04-19,17.62000,17.84000,17.38000,17.42000,672300
1,2023-04-18,17.43000,17.97700,17.29500,17.79000,578600
2,2023-04-17,17.57000,17.75000,17.32000,17.36000,475300
3,2023-04-14,17.35000,17.61000,17.16000,17.60000,693900
4,2023-04-13,16.80000,17.36000,16.77000,17.33000,682600
5,2023-04-12,17.31000,17.63000,16.60000,16.82000,1070600
6,2023-04-11,17.10000,17.40000,16.94000,17.20000,1048500
7,2023-04-10,16.10000,16.85000,15.87000,16.81000,1501400
8,2023-04-06,15.68000,16.12000,15.41000,16.10000,772100
9,2023-04-05,15.70000,15.72000,15.07000,15.68000,775400
10,2023-04-04,16.05000,16.11000,15.56000,15.80000,506500
11,2023-04-03,15.81000,16.05000,15.51000,15.86000,1065300
12,2023-03-31,15.61000,15.96000,15.55900,15.96000,682400
13,2023-03-30,15.33000,15.57000,15.07000,15.44000,786000
14,2023-03-29,15.25000,15.35000,14.80000,15.15000,759100
15,2023-03-28,15.06000,15.12000,14.77000,15.03000,790900
16,2023-03-27,15.55000,15.76000,15.13000,15.16000,877800
17,2023-03-24,14.81000,15.32500,14.37000,15.30000,1010700
18,2023-03-23,15.41000,15.76000,14.72000,15.06000,1144800
19,2023-03-22,16.49000,16.49000,15.26000,15.29000,1021600
20,2023-03-21,16.22000,16.62000,16.11000,16.46000,761600
21,2023-03-20,16.10000,16.30000,15.77000,15.94000,801800
22,2023-03-17,16.08000,16.51000,15.80000,16.10000,836900
23,2023-03-16,16.07000,16.73000,15.87000,16.28000,700700
24,2023-03-15,16.38000,16.61000,16.05000,16.36000,826200
25,2023-03-14,16.96000,17.15000,16.50500,16.73000,646400
26,2023-03-13,17.12000,17.25000,16.49500,16.58000,1006700
27,2023-03-10,17.35000,17.62500,16.54000,17.25000,969000
28,2023-03-09,17.83000,18.47000,17.24000,17.27000,1021500
29,2023-03-08,19.39000,19.50000,16.86000,17.48000,2799600
30,2023-03-07,19.08000,19.18000,18.52000,18.69000,1569400
31,2023-03-06,18.97000,19.73600,18.85500,19.10000,1161800
32,2023-03-03,18.06000,19.11000,17.91000,18.85000,804900
33,2023-03-02,17.50000,18.22000,17.41000,17.88000,561200
34,2023-03-01,18.03000,18.21000,17.65000,17.73000,718500
35,2023-02-28,18.05000,18.55000,18.00500,18.07000,555400
36,2023-02-27,18.32000,18.83000,17.96000,18.08000,536800
37,2023-02-24,17.76000,18.34000,17.76000,18.07000,370200
38,2023-02-23,18.03000,18.19000,17.74000,18.19000,525400
39,2023-02-22,18.25000,18.36000,17.76500,17.82000,565700
40,2023-02-21,17.88000,18.34000,17.40100,18.02000,465000
41,2023-02-17,18.65000,18.81000,18.13000,18.14000,368600
42,2023-02-16,18.89000,19.22500,18.67100,18.75000,347700
43,2023-02-15,18.72000,19.30000,18.69000,19.30000,419300
44,2023-02-14,18.60000,19.03000,18.30000,18.91000,538300
45,2023-02-13,18.60000,18.73000,18.41000,18.62000,877800
46,2023-02-10,18.32000,18.58000,17.93000,18.51000,999100
47,2023-02-09,19.32000,19.63000,18.36000,18.39000,617200
48,2023-02-08,19.44000,19.57000,19.01000,19.07000,421500
