,datetime,open,high,low,close,volume
0,2023-04-19,10.34000,10.34000,10.34000,10.34000,18500
1,2023-04-18,10.34000,10.34000,10.34000,10.34000,0
2,2023-04-17,10.34000,10.34000,10.33000,10.34000,20600
3,2023-04-14,10.33000,10.33000,10.33000,10.33000,100
4,2023-04-13,10.33000,10.33000,10.33000,10.33000,0
5,2023-04-12,10.33000,10.33000,10.33000,10.33000,4200
6,2023-04-11,10.33000,10.33000,10.33000,10.33000,22200
7,2023-04-10,10.33000,10.33000,10.33000,10.33000,31000
8,2023-04-06,10.33000,10.33000,10.33000,10.33000,7000
9,2023-04-05,10.33000,10.33000,10.33000,10.33000,12000
10,2023-04-04,10.32000,10.33500,10.32000,10.33000,4800
11,2023-04-03,10.33000,10.35000,10.33000,10.33000,1500
12,2023-03-31,10.33000,10.33000,10.33000,10.33000,0
13,2023-03-30,10.33000,10.33000,10.33000,10.33000,100
14,2023-03-29,10.34000,10.34000,10.33000,10.34000,21900
15,2023-03-28,10.36000,10.36000,10.33000,10.33000,6400
16,2023-03-27,10.33000,10.33000,10.33000,10.33000,100
17,2023-03-24,10.33000,10.33000,10.33000,10.33000,100
18,2023-03-23,10.33000,10.33000,10.33000,10.33000,2700
19,2023-03-22,10.33000,10.33000,10.33000,10.33000,100
20,2023-03-21,10.34000,10.34000,10.34000,10.34000,2600
21,2023-03-20,10.33800,10.34000,10.33800,10.34000,1100
22,2023-03-17,10.33000,10.33000,10.32000,10.32000,300
23,2023-03-16,10.32000,10.32000,10.32000,10.32000,1900
24,2023-03-15,10.32000,10.32000,10.32000,10.32000,100
25,2023-03-14,10.32000,10.32000,10.32000,10.32000,0
26,2023-03-13,10.31000,10.32000,10.31000,10.32000,3700
27,2023-03-10,10.31900,10.31900,10.31500,10.31500,508900
28,2023-03-09,10.38000,10.38000,10.33000,10.33000,400
29,2023-03-08,10.32000,10.33000,10.32000,10.32000,116900
30,2023-03-07,10.31000,10.32000,10.31000,10.31500,26400
31,2023-03-06,10.30500,10.32000,10.30500,10.31000,54300
32,2023-03-03,10.30000,10.31000,10.29500,10.30000,11000
33,2023-03-02,10.29000,10.29000,10.29000,10.29000,0
34,2023-03-01,10.29000,10.29000,10.29000,10.29000,0
35,2023-02-28,10.29000,10.29000,10.29000,10.29000,7400
36,2023-02-27,10.29000,10.29000,10.29000,10.29000,0
37,2023-02-24,10.29000,10.29000,10.28500,10.29000,38600
38,2023-02-23,10.28000,10.28000,10.28000,10.28000,0
39,2023-02-22,10.28000,10.28000,10.28000,10.28000,500
40,2023-02-21,10.25000,10.27000,10.25000,10.27000,185600
41,2023-02-17,10.30000,10.30000,10.30000,10.30000,500
42,2023-02-16,10.29000,10.29000,10.28000,10.29000,257900
43,2023-02-15,10.29000,10.29000,10.27000,10.28000,210400
44,2023-02-14,10.28000,10.29000,10.27000,10.29000,197400
45,2023-02-13,10.29000,10.31000,10.27000,10.27000,4500
46,2023-02-10,10.32000,10.32000,10.28000,10.28000,12800
47,2023-02-09,10.25000,10.25000,10.25000,10.25000,200
48,2023-02-08,10.28000,10.28000,10.25000,10.25000,700
49,2023-02-07,10.27500,10.28000,10.27000,10.27000,821600
50,2023-02-06,10.28000,10.28000,10.25000,10.25000,54100
51,2023-02-03,10.30000,10.30000,10.22000,10.22000,300
52,2023-02-02,10.30000,10.30000,10.21000,10.21000,10700
53,2023-02-01,10.28000,10.28000,10.20000,10.21000,21500
54,2023-01-31,10.20000,10.20000,10.20000,10.20000,200
55,2023-01-30,10.19000,10.25000,10.19000,10.22000,19500
56,2023-01-27,10.19000,10.19000,10.19000,10.19000,100000
57,2023-01-26,10.20000,10.20000,10.20000,10.20000,400
58,2023-01-25,10.19000,10.20500,10.19000,10.19000,57900
59,2023-01-24,10.19000,10.19000,10.19000,10.19000,4600
60,2023-01-23,10.19000,10.19000,10.19000,10.19000,1200
61,2023-01-20,10.18000,10.19000,10.18000,10.19000,108500
62,2023-01-19,10.19000,10.20500,10.19000,10.19500,575200
63,2023-01-18,10.19000,10.19000,10.19000,10.19000,97200
64,2023-01-17,10.19000,10.19000,10.19000,10.19000,501600
65,2023-01-12,10.18000,10.19000,10.18000,10.18500,488900
66,2023-01-11,10.19000,10.19000,10.12000,10.18000,109200
67,2023-01-10,10.18000,10.20000,10.18000,10.19000,4900
68,2023-01-09,10.22000,10.22000,10.17000,10.19000,36800
69,2023-01-06,10.17000,10.17000,10.16000,10.17000,2500
70,2023-01-04,10.15000,10.16000,10.15000,10.16000,20500
71,2023-01-03,10.13000,10.15000,10.13000,10.15000,21300
72,2022-12-30,10.15000,10.15000,10.14000,10.14000,170200
73,2022-12-28,10.15000,10.15000,10.15000,10.15000,100
74,2022-12-27,10.10000,10.10000,10.10000,10.10000,1800
75,2022-12-23,10.11000,10.11000,10.11000,10.11000,1000
76,2022-12-22,10.11000,10.11000,10.11000,10.11000,3700
77,2022-12-21,10.10000,10.11000,10.09000,10.10000,312800
78,2022-12-20,10.11000,10.16500,10.10500,10.11000,2347200
79,2022-12-19,10.10000,10.11000,10.10000,10.11000,1000
80,2022-12-16,10.10000,10.11000,10.10000,10.11000,8600
81,2022-12-15,10.11000,10.11000,10.10000,10.10000,375900
82,2022-12-14,10.10000,10.10000,10.10000,10.10000,300
83,2022-12-13,10.08000,10.08000,10.07000,10.08000,101900
84,2022-12-12,10.08000,10.08000,10.07000,10.08000,5200
85,2022-12-09,10.09000,10.09000,10.07000,10.08000,400
86,2022-12-08,10.08000,10.08000,10.07500,10.07500,9900
87,2022-12-07,10.08000,10.08000,10.08000,10.08000,100
88,2022-12-06,10.07000,10.08000,10.07000,10.08000,24700
89,2022-12-05,10.07000,10.07000,10.07000,10.07000,200
90,2022-12-02,10.08000,10.08000,10.07500,10.07500,3900
91,2022-12-01,10.04000,10.07000,10.04000,10.07000,29000
92,2022-11-30,10.06000,10.06000,10.06000,10.06000,600
93,2022-11-29,10.06000,10.07000,10.06000,10.06000,700
94,2022-11-28,10.05000,10.05000,10.05000,10.05000,500
95,2022-11-23,10.06000,10.06000,10.05000,10.05000,2200
96,2022-11-22,10.05000,10.05100,10.05000,10.05000,52800
97,2022-11-21,10.05800,10.05800,10.05000,10.05000,200
98,2022-11-18,10.05000,10.06000,10.05000,10.05000,2200
99,2022-11-16,10.04000,10.04000,10.04000,10.04000,100
100,2022-11-15,10.04000,10.07000,10.04000,10.05000,318800
101,2022-11-14,10.04000,10.06000,10.04000,10.04000,1305200
102,2022-11-11,10.05000,10.05000,10.04500,10.05000,23500
103,2022-11-10,10.05000,10.05000,10.05000,10.05000,2000
104,2022-11-09,10.06000,10.06000,10.06000,10.06000,93000
105,2022-11-08,10.07000,10.07000,10.06000,10.06000,615800
106,2022-11-07,10.07000,10.07000,10.06000,10.06000,220200
107,2022-11-04,10.05000,10.06000,10.05000,10.06000,44300
108,2022-11-03,10.06000,10.06000,10.06000,10.06000,51300
109,2022-11-02,10.06000,10.07000,10.06000,10.07000,162100
110,2022-11-01,10.06000,10.07000,10.06000,10.07000,39500
111,2022-10-28,10.06000,10.07000,10.06000,10.07000,523900
112,2022-10-27,10.06000,10.06000,10.06000,10.06000,100
113,2022-10-26,10.10000,10.10000,10.06000,10.06000,95100
114,2022-10-24,10.06000,10.06000,10.06000,10.06000,3700
115,2022-10-20,10.06000,10.06000,10.06000,10.06000,100
116,2022-10-19,10.06000,10.06000,10.06000,10.06000,900
117,2022-10-18,10.09000,10.09000,10.06000,10.07000,34800
118,2022-10-17,10.08000,10.08000,10.08000,10.08000,4500
119,2022-10-14,10.08000,10.08000,10.08000,10.08000,4700
120,2022-10-13,10.08000,10.08000,10.07000,10.07000,553100
121,2022-10-12,10.08500,10.08500,10.08500,10.08500,100
122,2022-10-11,10.08000,10.08500,10.08000,10.08500,131100
123,2022-10-10,10.08000,10.08000,10.08000,10.08000,5000
124,2022-10-07,10.08000,10.08000,10.08000,10.08000,200
125,2022-10-06,10.09000,10.09000,10.09000,10.09000,1100
126,2022-10-04,10.11000,10.11000,10.08000,10.09000,83200
127,2022-10-03,10.11000,10.11000,10.11000,10.11000,900
128,2022-09-29,10.08000,10.08000,10.08000,10.08000,500
129,2022-09-28,10.08000,10.08000,10.08000,10.08000,20800
130,2022-09-27,10.06000,10.07000,10.06000,10.07000,20400
131,2022-09-26,10.06000,10.06000,10.06000,10.06000,1200
132,2022-09-23,10.05000,10.08000,10.05000,10.06000,17500
133,2022-09-22,10.06000,10.08000,10.06000,10.08000,27600
134,2022-09-21,10.10000,10.10000,10.10000,10.10000,100
135,2022-09-20,10.05000,10.06000,10.05000,10.06000,300
136,2022-09-19,10.05000,10.05000,10.05000,10.05000,7000
137,2022-09-16,10.05000,10.05000,10.05000,10.05000,4800
138,2022-09-15,10.06000,10.06000,10.05000,10.05000,800
139,2022-09-14,10.05000,10.05000,10.04000,10.04000,10000
140,2022-09-13,10.04000,10.04000,9.98000,10.03000,72200
141,2022-09-12,10.06000,10.06000,10.04000,10.04000,700
142,2022-09-09,10.07000,10.09000,10.06000,10.06000,50600
143,2022-09-08,10.12300,10.12300,10.12300,10.12300,100
144,2022-09-02,10.05000,10.08000,10.03000,10.05000,5500
145,2022-09-01,10.05000,10.05000,10.05000,10.05000,400
146,2022-08-31,10.17000,10.17000,10.05000,10.05000,1300
147,2022-08-29,10.03000,10.03000,10.03000,10.03000,100
148,2022-08-25,10.03000,10.04000,10.03000,10.03000,2200
149,2022-08-24,10.04000,10.04000,10.04000,10.04000,21000
150,2022-08-23,10.04000,10.04000,10.04000,10.04000,400
151,2022-08-22,10.04000,10.04000,10.04000,10.04000,200
152,2022-08-17,10.05000,10.06000,10.04000,10.04000,89600
153,2022-08-16,10.05000,10.05000,10.05000,10.05000,100
154,2022-08-15,10.05000,10.06000,10.05000,10.06000,300
155,2022-08-10,10.06000,10.06000,10.06000,10.06000,400
156,2022-08-09,10.04000,10.04000,10.04000,10.04000,38200
157,2022-08-08,10.03000,10.04000,10.03000,10.04000,30600
158,2022-08-05,10.03000,10.04000,10.03000,10.04000,300
159,2022-08-03,10.07000,10.07000,10.07000,10.07000,1800
160,2022-08-01,10.02000,10.02000,10.02000,10.02000,100
161,2022-07-22,10.01000,10.03500,10.01000,10.03500,200
162,2022-07-21,10.01000,10.03000,10.01000,10.03000,200
163,2022-07-20,10.03000,10.03000,10.03000,10.03000,100
164,2022-07-19,10.03000,10.03000,10.01000,10.01000,67800
165,2022-07-18,10.04000,10.04000,10.02000,10.02000,300
166,2022-07-15,10.03000,10.03000,10.03000,10.03000,200
167,2022-07-14,9.99000,10.00000,9.99000,10.00000,3100
168,2022-07-13,9.99000,9.99000,9.99000,9.99000,400
169,2022-07-11,9.98000,9.98000,9.98000,9.98000,100
170,2022-07-07,10.00000,10.00000,9.99000,9.99000,1200
171,2022-07-05,9.97000,9.97000,9.97000,9.97000,200
172,2022-06-30,9.97000,9.97000,9.97000,9.97000,10500
173,2022-06-29,9.93000,9.93000,9.92000,9.92000,800
174,2022-06-27,10.00000,10.00000,10.00000,10.00000,12900
175,2022-06-24,9.99000,9.99000,9.99000,9.99000,300
176,2022-06-22,9.96000,9.96000,9.96000,9.96000,100
177,2022-06-21,9.99000,9.99000,9.97000,9.99000,16800
178,2022-06-17,10.02000,10.02000,9.98000,9.98000,250100
179,2022-06-16,9.98000,9.98000,9.97000,9.98000,111800
180,2022-06-15,9.98000,9.98000,9.98000,9.98000,1900
181,2022-06-14,9.98000,9.98000,9.98000,9.98000,1800
182,2022-06-13,9.97000,9.98000,9.97000,9.98000,18900
183,2022-06-10,9.97000,9.98000,9.97000,9.98000,20200
184,2022-06-09,9.97000,9.98000,9.97000,9.98000,7200
185,2022-06-08,9.98000,9.98000,9.85000,9.98000,49500
186,2022-06-07,9.97000,9.97000,9.97000,9.97000,3200
187,2022-06-06,10.05000,10.05000,10.03000,10.05000,6400
188,2022-06-03,9.97000,9.99000,9.97000,9.99000,29000
189,2022-06-02,9.97000,9.99500,9.97000,9.99500,2600
190,2022-06-01,9.97000,9.98000,9.97000,9.97000,183700
191,2022-05-27,9.97000,9.97000,9.97000,9.97000,5800
192,2022-05-26,9.93000,9.98000,9.92000,9.97000,37600
193,2022-05-25,9.96000,9.96000,9.96000,9.96000,946000
194,2022-05-24,9.98000,9.98000,9.96000,9.96000,6000
195,2022-05-23,9.96000,9.96000,9.95000,9.95000,2151300
196,2022-05-20,9.95000,9.96000,9.95000,9.96000,39800
197,2022-05-19,9.95000,9.95000,9.95000,9.95000,2500
198,2022-05-18,9.96000,9.96000,9.96000,9.96000,1900
199,2022-05-17,9.98000,9.98000,9.98000,9.98000,4800
200,2022-05-11,9.97000,9.98000,9.97000,9.98000,5000
201,2022-05-09,9.97000,9.97000,9.97000,9.97000,2100
202,2022-05-06,9.97000,9.98500,9.97000,9.98500,251100
203,2022-05-05,9.97000,9.98000,9.97000,9.97000,66000
204,2022-05-04,9.99000,9.99000,9.98000,9.98000,5300
205,2022-05-03,9.98000,9.99000,9.98000,9.98000,1275100
206,2022-05-02,9.97000,9.97000,9.97000,9.97000,2600
207,2022-04-29,9.98000,9.98500,9.98000,9.98000,35900
208,2022-04-28,9.98000,9.98000,9.98000,9.98000,1700
209,2022-04-27,9.98000,9.98000,9.98000,9.98000,800
210,2022-04-25,9.97000,9.97000,9.97000,9.97000,50100
211,2022-04-22,9.97000,9.97000,9.97000,9.97000,28900
212,2022-04-19,9.97000,9.97000,9.97000,9.97000,600
213,2022-04-14,9.96000,9.98000,9.96000,9.98000,1700
214,2022-04-13,9.98000,9.98000,9.98000,9.98000,600
215,2022-04-12,9.96000,9.97000,9.96000,9.97000,1800
216,2022-04-08,9.96000,9.96000,9.96000,9.96000,700
217,2022-04-07,9.96000,9.96000,9.95000,9.96000,6400
218,2022-04-06,9.94000,9.95000,9.94000,9.95000,2100
219,2022-04-05,9.94000,9.94000,9.94000,9.94000,7000
220,2022-04-04,9.94000,9.97000,9.94000,9.94000,12500
221,2022-04-01,9.95000,9.97000,9.93000,9.94000,120400
222,2022-03-31,9.96000,9.96500,9.96000,9.96000,1000
223,2022-03-29,9.95000,9.96000,9.95000,9.95000,90200
224,2022-03-28,9.95000,9.95000,9.95000,9.95000,700
225,2022-03-24,9.95000,9.95000,9.94000,9.94000,2800
226,2022-03-23,9.93000,9.94000,9.93000,9.94000,600
227,2022-03-18,9.92000,9.92000,9.92000,9.92000,400
228,2022-03-17,9.93000,9.93000,9.93000,9.93000,700
229,2022-03-16,9.94000,9.94000,9.94000,9.94000,100
230,2022-03-15,9.96000,9.96000,9.96000,9.96000,100
231,2022-03-11,9.91000,9.92000,9.91000,9.92000,500
232,2022-03-10,9.91000,9.91000,9.91000,9.91000,481600
233,2022-03-09,9.91000,9.91000,9.91000,9.91000,195200
234,2022-03-04,9.91000,9.91000,9.91000,9.91000,21400
235,2022-03-02,9.91000,9.93000,9.91000,9.91000,10600
236,2022-03-01,9.91000,9.91000,9.90000,9.90000,1900
237,2022-02-24,9.90000,9.90000,9.90000,9.90000,6400
238,2022-02-14,9.90000,9.94000,9.88000,9.92000,55200
239,2022-02-11,9.94000,9.95000,9.87500,9.90000,22100
240,2022-02-10,9.85000,9.94000,9.81000,9.94000,800
241,2022-02-08,9.94000,9.94000,9.94000,9.94000,76900
242,2022-02-07,9.90000,9.95000,9.90000,9.94000,1700
243,2022-02-01,10.00000,10.00000,9.89500,9.94000,7500
244,2022-01-31,9.95000,9.95000,9.95000,9.95000,500
245,2022-01-27,9.83000,9.91000,9.80000,9.90000,48700
246,2022-01-25,9.90000,9.90000,9.86000,9.90000,38200
247,2022-01-24,9.90000,9.90000,9.90000,9.90000,10700
248,2022-01-20,9.95000,9.95000,9.90000,9.90000,20700
249,2022-01-19,9.86000,9.86000,9.86000,9.86000,300
250,2022-01-05,9.93000,9.93000,9.93000,9.93000,300
251,2022-01-03,9.85000,9.90000,9.85000,9.90000,24600
252,2021-12-31,9.87000,9.87000,9.87000,9.87000,300
253,2021-12-29,9.83000,9.83000,9.83000,9.83000,100
254,2021-12-27,9.65000,9.78000,9.65000,9.75000,300200
255,2021-12-23,9.80000,10.03000,9.80000,10.03000,19300
256,2021-12-13,9.75000,9.76000,9.75000,9.76000,200
