,datetime,open,high,low,close,volume
0,2023-04-19,0.77000,0.79000,0.71000,0.77400,835100
1,2023-04-18,0.76500,0.80500,0.75000,0.76000,428000
2,2023-04-17,0.84700,0.84700,0.75000,0.77900,668300
3,2023-04-14,0.83000,0.84000,0.77100,0.78600,773600
4,2023-04-13,0.81000,0.84500,0.80800,0.82100,488500
5,2023-04-12,0.89400,0.91000,0.81000,0.81600,435200
6,2023-04-11,0.88800,0.90000,0.87000,0.88500,252900
7,2023-04-10,0.87600,0.90000,0.86000,0.87500,354000
8,2023-04-06,0.91300,0.93000,0.87000,0.88200,277100
9,2023-04-05,0.90000,0.94900,0.88000,0.88100,445100
10,2023-04-04,0.94900,0.95600,0.90100,0.93300,390300
11,2023-04-03,0.96000,0.97500,0.92500,0.94000,434000
12,2023-03-31,0.98100,0.99000,0.92900,0.95900,298800
13,2023-03-30,0.92000,0.97000,0.92000,0.94200,354800
14,2023-03-29,0.91800,0.92000,0.90000,0.91600,326600
15,2023-03-28,0.89000,0.93000,0.87000,0.89300,344800
16,2023-03-27,0.87400,0.90600,0.87000,0.88100,479700
17,2023-03-24,0.91000,0.91000,0.87000,0.87600,531100
18,2023-03-23,0.90500,0.93100,0.90000,0.90200,408000
19,2023-03-22,0.92000,0.95000,0.90000,0.90500,528300
20,2023-03-21,0.95000,0.97400,0.90000,0.90000,747200
21,2023-03-20,0.97000,0.98200,0.91000,0.91000,628100
22,2023-03-17,1.05000,1.05000,0.95000,0.97500,1273600
23,2023-03-16,1.02000,1.09000,1.01000,1.04000,411500
24,2023-03-15,0.99000,1.05000,0.93000,1.03000,672000
25,2023-03-14,1.05000,1.06000,0.95600,0.97100,1172100
26,2023-03-13,1.11000,1.13000,0.95500,0.96500,2064500
27,2023-03-10,1.12000,1.13500,1.07000,1.08000,593900
28,2023-03-09,1.29000,1.29000,1.11500,1.13000,645000
29,2023-03-08,1.27000,1.29000,1.24000,1.25000,603900
30,2023-03-07,1.38000,1.40000,1.25000,1.28000,2236400
31,2023-03-06,1.54000,1.63000,1.47500,1.53000,1262800
32,2023-03-03,1.45000,1.54900,1.45000,1.53000,751400
33,2023-03-02,1.30000,1.47000,1.27000,1.45000,626100
34,2023-03-01,1.34000,1.36000,1.27000,1.29000,432200
35,2023-02-28,1.38000,1.42000,1.33000,1.33000,1794100
36,2023-02-27,1.34000,1.39000,1.31000,1.35000,406500
37,2023-02-24,1.34000,1.36000,1.30000,1.32000,400400
38,2023-02-23,1.37000,1.39000,1.34000,1.36000,284800
