,datetime,open,high,low,close,volume
0,2023-04-19,12.65000,12.84000,12.65000,12.81000,1084300
1,2023-04-18,12.80000,12.86000,12.72000,12.76000,1529600
2,2023-04-17,12.86000,12.95500,12.81000,12.95000,1860900
3,2023-04-14,12.99000,13.15000,12.83000,12.88000,2388100
4,2023-04-13,12.73000,12.94500,12.73000,12.91000,879400
5,2023-04-12,12.75000,12.91500,12.71000,12.78000,1934600
6,2023-04-11,12.45000,12.69000,12.44000,12.61000,1618200
7,2023-04-10,12.51000,12.61000,12.23000,12.43000,1319200
8,2023-04-06,12.47000,12.53000,12.37000,12.52000,1127700
9,2023-04-05,12.33000,12.47000,12.32000,12.38000,1308600
10,2023-04-04,12.61000,12.65000,12.32500,12.44000,1659000
11,2023-04-03,12.59000,12.78000,12.52000,12.55000,1670300
12,2023-03-31,12.60000,12.71500,12.50000,12.61000,1854100
13,2023-03-30,12.47000,12.55500,12.37000,12.50000,1790700
14,2023-03-29,12.66000,12.71000,12.58000,12.68000,1554827
15,2023-03-28,12.51000,12.63000,12.48000,12.57000,1310907
16,2023-03-27,12.52000,12.57000,12.38000,12.51000,1559393
17,2023-03-24,12.15000,12.35000,12.06000,12.34000,1972922
18,2023-03-23,12.36000,12.63500,12.19000,12.27000,2503907
19,2023-03-22,12.75000,12.78000,12.33000,12.34000,2604411
20,2023-03-21,12.52000,12.85000,12.52000,12.72000,2015134
21,2023-03-20,12.28000,12.59000,12.18000,12.29000,1868737
22,2023-03-17,12.35000,12.42000,12.06500,12.15000,2108200
23,2023-03-16,12.19000,12.57000,12.05000,12.46000,2083245
24,2023-03-15,12.09000,12.36500,12.08000,12.27000,1933380
25,2023-03-14,12.53000,12.64000,12.34500,12.46000,2635085
26,2023-03-13,11.96000,12.48500,11.68000,12.21000,4481144
27,2023-03-10,12.80000,12.82000,12.15000,12.18000,4577546
28,2023-03-09,13.43000,13.48000,12.78000,12.81000,2600941
29,2023-03-08,13.42000,13.49970,13.36000,13.44000,1138233
30,2023-03-07,13.60000,13.60000,13.33500,13.41000,1369025
31,2023-03-06,13.52000,13.67000,13.50000,13.60000,1325999
32,2023-03-03,13.53000,13.54000,13.46000,13.53000,1230184
33,2023-03-02,13.42000,13.52000,13.33000,13.50000,1518796
34,2023-03-01,13.64000,13.69990,13.46000,13.51000,1411095
35,2023-02-28,13.64000,13.73000,13.55000,13.70000,1932504
36,2023-02-27,13.75000,13.77810,13.59500,13.63000,1814617
37,2023-02-24,13.65000,13.74010,13.52010,13.59000,1691887
