,datetime,open,high,low,close,volume
0,2023-04-19,6.56000,6.58000,6.42000,6.44000,61900
1,2023-04-18,6.59000,6.69000,6.52000,6.58000,62900
2,2023-04-17,6.56000,6.71000,6.46000,6.69000,120900
3,2023-04-14,6.65000,6.66000,6.57000,6.58000,48800
4,2023-04-13,6.49000,6.62000,6.49000,6.60000,83700
5,2023-04-12,6.47000,6.50000,6.46000,6.49000,31100
6,2023-04-11,6.39000,6.49000,6.39000,6.46000,74100
7,2023-04-10,6.42000,6.42000,6.38000,6.40000,60000
8,2023-04-06,6.40000,6.46000,6.39000,6.41000,49400
9,2023-04-05,6.42000,6.46000,6.41000,6.41000,35700
10,2023-04-04,6.44000,6.46000,6.40000,6.43000,27400
11,2023-04-03,6.43000,6.49000,6.42000,6.44000,113300
12,2023-03-31,6.47000,6.50000,6.35000,6.50000,117900
13,2023-03-30,6.40000,6.42000,6.33000,6.42000,80500
14,2023-03-29,6.34000,6.42000,6.32000,6.39000,41800
15,2023-03-28,6.31000,6.35000,6.26000,6.34000,87500
16,2023-03-27,6.27000,6.50000,6.20000,6.29000,96600
17,2023-03-24,6.20000,6.27000,6.19000,6.27000,57600
18,2023-03-23,6.23000,6.28000,6.20000,6.20000,67500
19,2023-03-22,6.30000,6.30000,6.20000,6.22000,43200
20,2023-03-21,6.24000,6.29000,6.21000,6.23000,42000
21,2023-03-20,6.26000,6.33000,6.24000,6.24000,74500
22,2023-03-17,6.32000,6.37000,6.25000,6.26000,72300
23,2023-03-16,6.32000,6.42000,6.27000,6.37000,48000
24,2023-03-15,6.38000,6.40000,6.29000,6.32000,64300
25,2023-03-14,6.36000,6.48000,6.36000,6.43000,56100
26,2023-03-13,6.50000,6.50000,6.32000,6.36000,60900
27,2023-03-10,6.64000,6.64000,6.50000,6.51000,87700
28,2023-03-09,6.73000,6.73000,6.65000,6.66000,26900
29,2023-03-08,6.65000,6.71000,6.65000,6.71000,32000
30,2023-03-07,6.73000,6.73000,6.65000,6.67000,60900
31,2023-03-06,6.78000,6.80000,6.65000,6.70000,108000
32,2023-03-03,6.66000,6.73000,6.62000,6.71000,39900
33,2023-03-02,6.76000,6.76000,6.56000,6.66000,151400
34,2023-03-01,6.74000,6.79000,6.72000,6.72000,36100
35,2023-02-28,6.76000,6.77000,6.72000,6.77000,46100
36,2023-02-27,6.71000,6.74000,6.68000,6.69000,85500
37,2023-02-24,6.71000,6.75000,6.65000,6.71000,41399
38,2023-02-23,6.76000,6.76000,6.67000,6.71000,66600
39,2023-02-22,6.82000,6.82000,6.68000,6.71000,80200
40,2023-02-21,6.84000,6.88000,6.74000,6.76000,63100
