,datetime,open,high,low,close,volume
0,2023-04-19,6.02000,6.04000,5.99000,6.00000,103400
1,2023-04-18,6.17000,6.17000,6.02000,6.06000,84000
2,2023-04-17,6.26000,6.26000,6.13000,6.14000,99500
3,2023-04-14,6.28000,6.28000,6.22000,6.25000,62500
4,2023-04-13,6.22000,6.29000,6.20000,6.27000,33600
5,2023-04-12,6.27000,6.30000,6.22000,6.24000,36500
6,2023-04-11,6.28000,6.30000,6.20000,6.25000,57300
7,2023-04-10,6.28000,6.28000,6.23000,6.26000,50100
8,2023-04-06,6.33000,6.33000,6.28000,6.28000,52300
9,2023-04-05,6.18000,6.33000,6.16000,6.33000,52500
10,2023-04-04,6.14000,6.22000,6.14000,6.15000,65100
11,2023-04-03,6.23000,6.25000,6.18000,6.20000,31900
12,2023-03-31,6.13000,6.20000,6.13000,6.20000,28900
13,2023-03-30,6.09000,6.14000,6.06000,6.12000,376600
14,2023-03-29,6.06000,6.08000,6.04000,6.06000,56100
15,2023-03-28,6.04000,6.07000,6.02000,6.06000,17900
16,2023-03-27,5.98000,6.06000,5.98000,6.01000,32000
17,2023-03-24,6.03000,6.06000,6.00000,6.01000,76700
18,2023-03-23,6.06000,6.06000,5.97000,6.01000,37000
19,2023-03-22,6.02000,6.02000,5.93000,6.00000,52500
20,2023-03-21,6.09000,6.09000,5.91000,5.99000,171100
21,2023-03-20,6.08000,6.11000,6.08000,6.10000,59600
22,2023-03-17,6.11000,6.14000,6.07000,6.09000,34200
23,2023-03-16,6.05000,6.12000,6.05000,6.09000,65200
24,2023-03-15,6.05000,6.11000,6.04000,6.04000,54500
25,2023-03-14,5.97000,6.04000,5.97000,6.02000,51500
26,2023-03-13,5.92000,6.04000,5.91000,5.96000,39900
27,2023-03-10,6.05000,6.13000,5.95000,5.95000,94600
28,2023-03-09,6.02000,6.11000,6.02000,6.04000,43200
29,2023-03-08,5.95000,6.01000,5.94000,5.98000,44600
30,2023-03-07,5.95000,6.00000,5.95000,5.96000,87900
31,2023-03-06,6.08000,6.10000,5.99000,5.99000,88300
32,2023-03-03,6.03000,6.07000,5.94000,6.07000,78300
33,2023-03-02,6.04000,6.04000,5.94000,5.96000,96500
34,2023-03-01,6.06000,6.06000,6.00000,6.05000,58800
35,2023-02-28,6.02000,6.15000,6.01000,6.02000,110000
36,2023-02-27,6.08000,6.08000,6.01000,6.06000,67300
37,2023-02-24,6.04000,6.09000,6.02000,6.04000,122300
38,2023-02-23,6.14000,6.15000,6.03000,6.05000,56200
39,2023-02-22,6.12000,6.12000,6.04000,6.08000,81800
40,2023-02-21,6.15000,6.15000,6.05000,6.09000,99700
41,2023-02-17,6.21000,6.21000,6.14000,6.16000,74700
42,2023-02-16,6.27000,6.27000,6.22000,6.24000,133800
43,2023-02-15,6.30000,6.36000,6.29000,6.29000,93500
44,2023-02-14,6.39000,6.41000,6.33000,6.35000,62300
45,2023-02-13,6.39000,6.42000,6.38000,6.38000,27400
46,2023-02-10,6.40000,6.44000,6.37000,6.38000,75500
47,2023-02-09,6.45000,6.47000,6.40000,6.43000,69100
48,2023-02-08,6.44000,6.50000,6.40000,6.42000,61000
49,2023-02-07,6.46000,6.50000,6.43000,6.48000,41700
50,2023-02-06,6.45000,6.50000,6.42000,6.46000,129400
51,2023-02-03,6.52000,6.53000,6.48000,6.49000,65000
52,2023-02-02,6.59000,6.68000,6.55000,6.58000,93900
53,2023-02-01,6.51000,6.59000,6.48000,6.55000,58300
54,2023-01-31,6.46000,6.52000,6.46000,6.51000,55000
55,2023-01-30,6.45000,6.50000,6.43000,6.46000,52700
56,2023-01-27,6.44000,6.46000,6.43000,6.46000,42000
57,2023-01-26,6.51000,6.57000,6.46000,6.47000,67500
58,2023-01-25,6.43000,6.52000,6.42000,6.48000,50000
59,2023-01-24,6.49000,6.60000,6.47000,6.47000,101500
60,2023-01-23,6.39000,6.52000,6.39000,6.48000,126100
61,2023-01-20,6.39000,6.46000,6.31000,6.44000,97600
62,2023-01-19,6.27000,6.44000,6.27000,6.38000,112300
63,2023-01-18,6.32000,6.34000,6.28000,6.32000,140400
64,2023-01-17,6.24000,6.31000,6.24000,6.27000,118800
65,2023-01-13,6.20000,6.31000,6.20000,6.27000,197300
66,2023-01-12,6.28000,6.32000,6.20000,6.26000,210200
67,2023-01-11,6.22000,6.28000,6.20000,6.24000,271700
68,2023-01-10,6.38000,6.38000,6.16000,6.22000,285500
69,2023-01-09,6.37000,6.44000,6.30000,6.32000,283500
70,2023-01-06,6.37000,6.40000,6.34000,6.40000,75100
71,2023-01-05,6.39000,6.53000,6.30000,6.34000,271900
72,2023-01-04,6.67000,6.67000,6.37000,6.38000,430000
73,2023-01-03,6.83000,6.98000,6.73000,6.93000,98100
74,2022-12-30,6.83000,6.85000,6.76000,6.79000,162800
75,2022-12-29,6.90000,6.98000,6.89000,6.90000,133700
76,2022-12-28,6.99000,7.07000,6.90000,6.91000,162000
77,2022-12-27,6.97000,7.09000,6.89000,6.98000,254000
78,2022-12-23,7.05000,7.17000,6.98000,7.00000,108600
79,2022-12-22,6.86000,7.14000,6.85000,7.05000,182000
80,2022-12-21,6.94000,6.94000,6.87000,6.91000,68600
81,2022-12-20,6.92000,6.98000,6.86000,6.92000,73900
82,2022-12-19,7.00000,7.09000,6.90000,7.02000,121400
83,2022-12-16,6.99000,7.06000,6.91000,7.02000,157700
84,2022-12-15,6.93000,7.12000,6.88000,6.99000,188700
85,2022-12-14,6.94000,7.08000,6.85000,6.91000,84500
86,2022-12-13,7.20000,7.30000,6.98000,6.98000,92900
87,2022-12-12,7.11000,7.19000,7.08000,7.13000,95500
88,2022-12-09,7.06000,7.25000,6.98000,7.10000,105800
89,2022-12-08,7.00000,7.11000,6.92000,7.10000,108500
90,2022-12-07,6.99000,7.12000,6.93000,7.02000,91700
91,2022-12-06,6.85000,6.97000,6.85000,6.97000,97600
92,2022-12-05,6.90000,6.92000,6.78000,6.82000,59200
93,2022-12-02,6.79000,7.00000,6.78000,6.90000,72300
94,2022-12-01,6.89000,6.91000,6.80000,6.85000,112800
