,datetime,open,high,low,close,volume
0,2023-04-19,25.59000,25.65000,24.43000,24.54000,8468500
1,2023-04-18,26.11000,26.23000,25.87000,26.05000,2598500
2,2023-04-17,25.98000,26.19000,25.82000,25.97000,2769100
3,2023-04-14,26.01000,26.52000,25.86500,26.05000,3306900
4,2023-04-13,26.03000,26.22500,25.69000,26.13000,2897700
5,2023-04-12,26.45000,26.53000,25.64500,25.75000,4017500
6,2023-04-11,26.02000,26.43500,25.94500,26.19000,5325800
7,2023-04-10,25.49000,26.18500,25.49000,26.04000,5364300
8,2023-04-06,25.71000,25.82000,25.18000,25.62000,4749500
9,2023-04-05,25.53000,25.54000,24.93500,25.32000,4933300
10,2023-04-04,25.64000,25.77000,25.32000,25.68000,4403200
11,2023-04-03,25.45000,25.70000,25.19500,25.52000,3091400
12,2023-03-31,24.70000,25.52000,24.65000,25.51000,3942500
13,2023-03-30,24.88000,24.90500,24.47500,24.75000,3678000
14,2023-03-29,24.18000,24.72500,23.99500,24.64000,3965800
15,2023-03-28,23.95000,24.03000,23.65500,23.87000,3285700
16,2023-03-27,24.05000,24.15000,23.71000,23.98000,6293600
17,2023-03-24,24.08000,24.13500,23.53000,23.77000,3318200
18,2023-03-23,24.84000,24.94000,24.02500,24.12000,4571400
19,2023-03-22,24.96000,25.26000,24.48000,24.50000,4902000
20,2023-03-21,24.49000,25.11500,24.34000,25.08000,6996900
21,2023-03-20,24.00000,24.40500,23.87000,24.32000,4136300
22,2023-03-17,24.07000,24.70000,23.99000,24.05000,7555500
23,2023-03-16,23.23000,24.30000,23.13000,24.12000,5914500
24,2023-03-15,23.08000,23.72000,22.96000,23.35000,5712400
25,2023-03-14,23.47000,23.66500,23.21500,23.46000,6591800
26,2023-03-13,23.31000,23.50000,22.94500,23.09000,5554600
27,2023-03-10,23.50000,23.89000,23.26500,23.45000,5929800
28,2023-03-09,24.63000,24.80000,23.68000,23.75000,6905214
29,2023-03-08,24.39000,24.97000,24.25000,24.73000,4660100
30,2023-03-07,24.39000,24.93000,24.23000,24.40000,5970100
31,2023-03-06,24.63000,25.20000,24.32000,24.46000,6811400
32,2023-03-03,24.51000,24.72000,23.96000,24.56000,10759300
33,2023-03-02,25.73500,25.85000,23.74000,24.43000,31299800
34,2023-03-01,28.69000,29.21000,28.58000,28.79000,5803800
35,2023-02-28,28.67000,28.88500,28.47000,28.54000,5588300
36,2023-02-27,28.46000,28.71000,28.38000,28.61000,7852900
37,2023-02-24,28.92000,29.04000,27.97000,28.09000,5635100
38,2023-02-23,29.25000,29.47500,28.49000,29.45000,6651500
39,2023-02-22,29.44000,29.58000,28.65000,29.08000,5020800
40,2023-02-21,29.87000,30.18000,29.48500,29.49000,6029300
41,2023-02-17,31.32000,31.42000,30.38500,30.48000,5046700
42,2023-02-16,31.49000,32.02000,31.33600,31.59000,3259300
43,2023-02-15,31.33000,32.18000,31.30000,31.96000,4594000
44,2023-02-14,30.67000,31.60500,30.55000,31.32000,5626200
45,2023-02-13,30.71000,31.01000,30.50000,30.81000,4325800
46,2023-02-10,30.71000,30.90000,30.31000,30.55000,3183500
47,2023-02-09,30.91000,31.74000,30.80000,30.92000,5121400
48,2023-02-08,30.22000,30.81000,30.21000,30.44000,3498500
49,2023-02-07,29.31000,30.34000,29.24000,30.25000,3680800
50,2023-02-06,29.57000,29.85500,29.29000,29.45000,3844400
51,2023-02-03,29.83000,30.45000,29.60000,29.91000,3784100
52,2023-02-02,29.88000,30.96500,29.88000,30.27000,8773100
53,2023-02-01,29.02000,29.67000,28.69000,29.55000,4269700
54,2023-01-31,28.41000,29.11500,28.31000,28.94000,4194700
55,2023-01-30,28.09000,28.38000,27.97000,28.32000,2911200
56,2023-01-27,28.09000,28.85000,27.97000,28.30000,5657500
57,2023-01-26,28.04000,28.28000,27.63500,28.24000,4521200
58,2023-01-25,27.19000,27.63000,26.62500,27.61000,4352300
59,2023-01-24,26.95000,27.71000,26.90000,27.66000,5545600
60,2023-01-23,26.21000,27.22500,26.10000,27.05000,7198200
61,2023-01-20,26.10000,26.19000,25.70500,26.01000,3883400
62,2023-01-19,26.49000,26.67000,25.58500,25.89000,5842000
63,2023-01-18,27.43000,27.63000,26.70500,26.74000,4929000
64,2023-01-17,26.41000,27.15000,26.10000,27.14000,4967500
65,2023-01-13,26.17000,26.64500,26.09500,26.46000,4162800
66,2023-01-12,26.85000,26.85000,26.18000,26.52000,3451000
67,2023-01-11,26.52000,26.85000,26.20000,26.57000,2873500
68,2023-01-10,26.29000,26.61000,26.27000,26.46000,3406300
69,2023-01-09,26.95000,27.27000,26.32000,26.40000,3773500
70,2023-01-06,26.38000,26.74000,26.10000,26.67000,3643900
71,2023-01-05,26.65000,26.76000,25.77500,26.03000,3889500
72,2023-01-04,27.40000,27.41500,26.56500,26.89000,5664800
73,2023-01-03,26.99000,27.55000,26.59000,27.15000,2727900
74,2022-12-30,26.75000,26.95000,26.36000,26.76000,2020400
75,2022-12-29,26.60000,27.13500,26.54000,27.04000,2575400
76,2022-12-28,26.35000,26.53000,26.13000,26.28000,2579900
77,2022-12-27,26.64000,26.74000,26.41000,26.41000,2268000
78,2022-12-23,26.71000,26.81000,26.19000,26.65000,3953700
79,2022-12-22,27.41000,27.52000,26.65000,26.96000,3230800
80,2022-12-21,27.87000,27.87000,27.24500,27.72000,5958300
81,2022-12-20,27.35000,27.88000,26.91000,27.75000,4595800
82,2022-12-19,28.50000,28.67000,27.24500,27.52000,5431300
83,2022-12-16,28.88000,29.14000,28.37500,28.62000,5493800
84,2022-12-15,30.15000,30.21000,28.96000,29.08000,3938000
85,2022-12-14,30.18000,31.23000,30.00000,30.65000,4910000
86,2022-12-13,30.55000,30.87700,29.88000,30.18000,5352500
87,2022-12-12,29.27000,29.82000,29.02000,29.81000,2900000
88,2022-12-09,29.00000,29.55500,28.92000,29.14000,2048900
89,2022-12-08,28.89000,29.42000,28.67000,29.14000,3269800
90,2022-12-07,28.94000,29.18000,28.36000,28.68000,2337900
91,2022-12-06,29.38000,29.64000,28.81500,29.02000,3156300
92,2022-12-05,29.51000,30.13500,29.23500,29.28000,2859400
93,2022-12-02,30.05000,30.08000,28.87000,29.61000,5324000
94,2022-12-01,30.45000,30.57000,28.60000,30.25000,9438200
95,2022-11-30,28.98000,29.25000,27.33000,29.19000,10668500
96,2022-11-29,29.63000,29.93500,29.38000,29.46000,6885400
97,2022-11-28,30.25000,30.69000,29.45000,29.54000,6064300
98,2022-11-25,30.36000,30.60900,29.80000,30.46000,1110600
99,2022-11-23,30.43000,30.92000,30.38000,30.61000,2208400
100,2022-11-22,30.39000,30.60000,29.89500,30.48000,3191900
101,2022-11-21,30.48000,30.57000,30.06000,30.45000,2206300
102,2022-11-18,30.95000,30.95000,30.42000,30.75000,3118800
103,2022-11-17,29.90000,30.51000,29.67000,30.49000,3186600
104,2022-11-16,31.19000,31.30000,30.32500,30.48000,4017600
105,2022-11-15,31.83000,32.44800,31.36000,31.56000,4669300
106,2022-11-14,30.74000,32.39000,30.39000,31.07000,7040200
107,2022-11-11,31.00000,31.42000,30.44000,30.78000,3354700
108,2022-11-10,31.13000,31.47000,30.36000,30.95000,3330700
109,2022-11-09,30.25000,30.32000,29.27000,29.66000,3857900
110,2022-11-08,30.94000,31.28000,30.48000,30.88000,2520500
111,2022-11-07,30.33000,30.83000,30.09000,30.65000,2303500
112,2022-11-04,30.99000,31.20000,29.91000,30.34000,2577800
113,2022-11-03,30.18000,30.88000,29.77000,30.50000,2667200
114,2022-11-02,31.59000,31.91000,30.76000,30.95000,2981900
115,2022-11-01,31.40000,31.97000,31.30000,31.70000,4274000
116,2022-10-31,30.97000,31.38000,30.62000,30.86000,3347500
117,2022-10-28,29.69000,30.80000,29.69000,30.50000,2730300
118,2022-10-27,30.56000,31.05000,29.74000,29.83000,4190500
119,2022-10-26,29.19000,29.74000,28.90500,29.30000,2847600
120,2022-10-25,28.66000,29.71500,28.58000,29.51000,2748700
121,2022-10-24,28.82000,29.00500,28.11000,28.63000,2413200
122,2022-10-21,27.66000,28.89500,27.54000,28.81000,4054500
123,2022-10-20,27.46000,28.12000,27.41000,27.64000,3107800
124,2022-10-19,27.55000,28.06000,27.26500,27.46000,2990700
125,2022-10-18,28.43000,28.70000,27.52000,27.82000,2441700
126,2022-10-17,26.74000,27.83500,26.68000,27.75000,5247000
127,2022-10-14,27.00000,27.20000,26.06000,26.30000,2700400
128,2022-10-13,25.83000,26.88000,25.50000,26.46000,3560100
129,2022-10-12,27.11000,27.17000,26.37000,26.44000,2876400
130,2022-10-11,27.16000,27.52000,26.40000,27.04000,3609100
131,2022-10-10,28.42000,28.49000,26.87000,27.30000,3211800
132,2022-10-07,28.53000,28.79000,27.98000,28.26000,2380100
133,2022-10-06,28.98000,29.43000,28.98000,29.15000,1934100
134,2022-10-05,28.31000,29.36000,28.26000,29.04000,3089900
135,2022-10-04,28.41000,28.87000,28.24500,28.70000,3334300
136,2022-10-03,27.61000,27.90500,27.30000,27.71000,2886900
137,2022-09-30,27.40000,28.14000,27.36000,27.37000,2790000
138,2022-09-29,27.25000,27.51000,26.94000,27.44000,2868900
139,2022-09-28,26.76000,27.72000,26.72000,27.66000,4084800
140,2022-09-27,26.79000,27.20000,26.57500,26.86000,3551000
141,2022-09-26,26.07000,26.51000,25.79000,26.09000,2938100
142,2022-09-23,26.04000,26.29000,25.75000,26.26000,3031100
143,2022-09-22,27.25000,27.44000,25.98000,26.50000,8766000
144,2022-09-21,28.20000,28.52000,27.56000,27.57000,2462100
145,2022-09-20,27.93000,28.20000,27.72000,28.01000,2134600
146,2022-09-19,28.28000,28.63000,27.87000,28.14000,3082500
147,2022-09-16,28.41000,28.75500,27.88000,28.73000,6790200
148,2022-09-15,29.33000,29.39000,28.32000,28.71000,4238900
149,2022-09-14,29.69000,29.85000,29.36000,29.67000,2522600
150,2022-09-13,30.09000,30.38000,29.18000,29.64000,3982800
151,2022-09-12,30.65000,30.88000,30.08000,30.81000,4015700
152,2022-09-09,29.48000,30.70200,29.46000,30.30000,5707100
153,2022-09-08,29.00000,29.53500,28.76000,29.15000,3535600
154,2022-09-07,28.73000,29.22000,28.49400,29.22000,3568100
155,2022-09-06,29.13000,29.40000,28.12000,28.73000,3587700
156,2022-09-02,28.66000,29.76000,28.41000,29.16000,7175400
157,2022-09-01,30.00000,30.28000,27.19000,28.23000,11850000
158,2022-08-31,29.61000,29.86000,28.89000,28.97000,5398000
159,2022-08-30,29.96000,30.17000,29.07800,29.49000,3522600
160,2022-08-29,29.94000,30.23000,29.67000,29.77000,3489500
161,2022-08-26,30.94000,31.16000,30.11500,30.38000,3219700
162,2022-08-25,30.09000,31.08000,30.06000,31.05000,3443600
163,2022-08-24,29.76000,30.19000,29.55000,29.72000,1606900
164,2022-08-23,29.99000,30.17000,29.45000,29.68000,2914300
165,2022-08-22,30.25000,30.32500,29.84000,29.93000,2376600
166,2022-08-19,30.94000,31.03000,30.39000,30.69000,2955500
167,2022-08-18,30.33000,31.52000,30.23000,31.34000,4923000
168,2022-08-17,30.23000,30.38000,29.74500,30.16000,2119900
169,2022-08-16,30.28000,30.48000,30.12000,30.25000,1490700
170,2022-08-15,30.29000,30.41000,30.03000,30.28000,1954000
171,2022-08-12,30.52000,30.65000,30.13500,30.37000,2669800
172,2022-08-11,30.56000,30.66300,29.93500,30.21000,2086400
173,2022-08-10,30.02000,30.47500,29.90000,30.27000,2797400
174,2022-08-09,29.55000,29.66000,29.00000,29.21000,2382300
175,2022-08-08,29.59000,30.09000,29.56000,29.86000,2431000
176,2022-08-05,29.06000,29.99000,29.04000,29.63000,2044800
177,2022-08-04,29.17000,29.53000,29.03000,29.52000,1724100
178,2022-08-03,28.83000,29.17000,28.71000,29.09000,1714500
179,2022-08-02,27.80000,28.73000,27.77000,28.61000,2437800
180,2022-08-01,28.31000,28.83000,28.16000,28.35000,1590500
181,2022-07-29,27.87000,28.52500,27.76000,28.35000,2711100
182,2022-07-28,27.52000,28.21000,27.32000,27.90000,2232700
183,2022-07-27,27.02000,27.79000,26.99000,27.52000,3189800
184,2022-07-26,27.12000,27.39500,26.54500,26.73000,2191200
185,2022-07-25,26.74000,27.04000,26.25000,26.98000,2228000
186,2022-07-22,27.50000,27.99000,26.61000,26.82000,3456100
187,2022-07-21,26.89000,27.58000,26.87000,27.56000,2800000
188,2022-07-20,26.70000,27.59500,26.58000,27.13000,4002500
189,2022-07-19,26.11000,26.62000,26.05000,26.57000,2293100
190,2022-07-18,26.04000,26.61000,25.62000,25.83000,2409500
191,2022-07-15,26.16000,26.16000,25.40000,25.92000,1786800
192,2022-07-14,25.26000,25.81000,25.03000,25.65000,3078600
193,2022-07-13,25.04000,25.96500,24.89000,25.51000,2133000
194,2022-07-12,26.19000,26.41000,25.31500,25.52000,2341000
195,2022-07-11,26.05000,26.23000,25.69000,26.01000,1261300
196,2022-07-08,25.76000,26.39000,25.53000,26.28000,1524300
197,2022-07-07,25.81000,26.74000,25.75000,26.03000,2461400
198,2022-07-06,25.60000,25.76000,25.19000,25.48000,2661500
199,2022-07-05,24.43000,25.75000,24.29500,25.68000,3697300
200,2022-07-01,25.54000,25.86000,24.23000,24.76000,3252200
201,2022-06-30,25.50000,25.88000,24.98000,25.71000,3675000
202,2022-06-29,26.25000,26.38000,25.71000,25.92000,2080300
203,2022-06-28,26.87000,27.13000,25.75000,26.11000,3131800
204,2022-06-27,27.11000,27.33000,26.45500,26.96000,3398600
