,datetime,open,high,low,close,volume
0,2023-04-19,22.60000,22.60000,22.60000,22.60000,0
1,2023-04-18,22.60000,22.60000,22.60000,22.60000,300
2,2023-04-17,21.66000,21.66000,21.66000,21.66000,300
3,2023-04-14,21.97000,21.97000,21.97000,21.97000,200
4,2023-04-13,21.25000,21.25000,21.25000,21.25000,0
5,2023-04-12,21.25000,21.25000,21.25000,21.25000,0
6,2023-04-11,21.98000,21.98000,21.15000,21.25000,1700
7,2023-04-10,21.98000,21.98000,21.98000,21.98000,0
8,2023-04-06,21.46000,21.98000,21.46000,21.98000,1000
9,2023-04-05,21.10000,21.10000,21.10000,21.10000,0
10,2023-04-04,21.10000,21.10000,21.10000,21.10000,0
11,2023-04-03,21.10000,21.10000,21.10000,21.10000,200
12,2023-03-31,21.08000,21.70000,21.08000,21.70000,1200
13,2023-03-30,21.69000,21.69000,21.69000,21.69000,0
14,2023-03-29,21.69000,21.69000,21.66000,21.69000,800
15,2023-03-28,21.10000,21.50000,21.10000,21.50000,1200
16,2023-03-27,21.75000,21.75000,21.75000,21.75000,0
17,2023-03-24,20.73000,21.75000,20.73000,21.75000,800
18,2023-03-23,21.59000,21.75000,21.00000,21.75000,700
19,2023-03-22,20.65000,20.65000,20.65000,20.65000,0
20,2023-03-21,20.65000,20.65000,20.65000,20.65000,100
21,2023-03-20,20.40000,20.40000,20.40000,20.40000,0
22,2023-03-17,20.75000,20.75000,20.40000,20.40000,2200
23,2023-03-16,21.50000,21.50000,21.50000,21.50000,500
24,2023-03-15,21.78000,21.78000,21.78000,21.78000,0
25,2023-03-14,20.85000,21.78000,20.85000,21.78000,1000
26,2023-03-13,20.11000,20.51000,20.11000,20.51000,1000
27,2023-03-10,21.15000,21.15000,21.15000,21.15000,0
28,2023-03-09,21.15000,21.15000,21.15000,21.15000,0
29,2023-03-08,21.15000,21.15000,21.15000,21.15000,0
30,2023-03-07,21.15000,21.15000,21.15000,21.15000,0
31,2023-03-06,21.15000,21.15000,21.15000,21.15000,400
32,2023-03-03,21.62000,21.62000,21.62000,21.62000,0
