,datetime,open,high,low,close,volume
0,2023-04-19,48.66000,48.73000,48.31000,48.48000,229400
1,2023-04-18,48.92000,48.98000,48.60000,48.78000,165100
2,2023-04-17,49.26000,49.26000,48.74000,48.79000,350000
3,2023-04-14,49.32000,49.56000,48.97000,49.25000,299700
4,2023-04-13,49.09000,49.44000,49.09000,49.30000,340800
5,2023-04-12,48.76000,49.33000,48.65000,48.86000,330700
6,2023-04-11,48.69000,49.27000,48.60000,48.71000,347500
7,2023-04-10,47.70000,48.81000,47.50000,48.69000,491500
8,2023-04-06,48.05000,48.35000,47.45000,47.59000,303000
9,2023-04-05,47.36000,48.05000,47.25000,47.94000,450400
10,2023-04-04,45.77000,47.23000,45.68000,47.13000,652100
11,2023-04-03,45.67000,46.30000,44.59000,45.77000,478200
12,2023-03-31,48.70000,48.70000,46.04000,46.36000,740600
13,2023-03-30,47.17000,47.70000,47.02000,47.68000,196500
14,2023-03-29,46.81000,46.98000,46.59000,46.85000,267600
15,2023-03-28,45.80000,46.77000,45.80000,46.69000,222700
16,2023-03-27,45.88000,45.98000,45.41000,45.96000,324000
17,2023-03-24,45.47000,45.72000,45.03000,45.69000,210100
18,2023-03-23,45.33000,45.95000,45.31000,45.58000,228700
19,2023-03-22,45.32000,45.77000,45.23000,45.24000,213100
20,2023-03-21,45.92000,45.92000,45.15000,45.46000,170000
21,2023-03-20,45.11000,45.91000,45.01000,45.80000,256500
22,2023-03-17,44.71000,44.94000,44.18000,44.75000,365000
23,2023-03-16,43.97000,44.46000,43.65000,44.44000,267700
24,2023-03-15,44.63000,44.63000,43.49000,44.04000,364100
25,2023-03-14,44.70000,45.19000,44.64000,45.12000,205500
26,2023-03-13,44.58000,45.22000,44.16000,44.37000,408200
27,2023-03-10,44.45000,45.05000,43.58000,44.87000,274600
28,2023-03-09,45.55000,45.55000,44.13000,44.19000,415280
29,2023-03-08,46.41000,46.63000,45.79000,45.83000,246500
30,2023-03-07,47.16000,47.32000,46.10000,46.16000,220500
31,2023-03-06,47.46000,47.79000,47.18000,47.20000,153100
32,2023-03-03,47.17000,47.51500,46.87000,47.41000,195401
33,2023-03-02,47.47000,47.54000,46.82000,47.03000,184179
34,2023-03-01,47.92000,48.25000,47.50000,47.60000,228340
35,2023-02-28,47.82000,47.99000,47.34000,47.78000,308595
36,2023-02-27,48.19000,48.34000,47.70000,47.71000,146997
37,2023-02-24,47.70000,48.05000,47.38000,48.02000,170235
