,datetime,open,high,low,close,volume
0,2023-04-19,21.95000,22.05000,21.55000,21.75000,1405300
1,2023-04-18,23.06000,23.20000,21.74000,22.27000,1565400
2,2023-04-17,23.75000,23.90000,22.33000,22.70000,1816800
3,2023-04-14,24.16000,24.37000,23.45000,23.86000,1016300
4,2023-04-13,23.11000,24.36000,22.95000,23.86000,1594900
5,2023-04-12,24.63000,24.67000,22.57000,22.87000,1075600
6,2023-04-11,24.17000,24.33000,23.71000,24.00000,707800
7,2023-04-10,23.31000,24.14000,23.17000,24.00000,815700
8,2023-04-06,23.12000,23.94000,22.19000,23.51000,1136400
9,2023-04-05,25.98000,25.98000,23.28000,23.44000,1826700
10,2023-04-04,26.22000,26.45000,25.86000,26.23000,654800
11,2023-04-03,26.19000,26.41000,25.58000,25.92000,1172900
12,2023-03-31,25.93000,26.76000,25.69000,26.30000,1283800
13,2023-03-30,26.43000,26.59000,25.54800,25.63000,904900
14,2023-03-29,26.30000,26.57000,25.39000,25.88000,1635200
15,2023-03-28,26.11000,26.70000,25.78000,26.33000,900600
16,2023-03-27,25.52000,26.56000,25.07500,26.25000,1435900
17,2023-03-24,25.27000,25.57000,24.94000,25.16000,1007800
18,2023-03-23,25.22000,25.96000,24.90000,25.40000,847400
19,2023-03-22,25.48000,26.38000,24.95000,24.99000,1409500
20,2023-03-21,24.95000,25.61000,24.82500,25.40000,1124400
21,2023-03-20,24.68000,25.29000,23.95000,24.45000,735600
22,2023-03-17,24.70000,25.07000,23.95000,24.78000,1643800
23,2023-03-16,24.72000,25.45500,24.30000,24.69000,1214400
24,2023-03-15,23.87000,24.93000,23.74000,24.92000,997700
25,2023-03-14,25.45000,26.01000,24.54000,24.66000,1392300
26,2023-03-13,24.15000,25.11000,23.65000,24.67000,1031700
27,2023-03-10,25.73000,25.73000,24.27000,24.66000,1287400
28,2023-03-09,26.30000,26.94000,25.83000,25.93000,1104400
29,2023-03-08,27.60000,27.65500,26.20000,26.48000,991900
30,2023-03-07,27.47000,28.41000,27.13000,27.77000,731300
31,2023-03-06,28.25000,28.72000,27.32500,27.35000,1022200
32,2023-03-03,27.46000,28.19500,27.06000,28.09000,952600
33,2023-03-02,26.55000,27.63000,26.55000,27.18000,1519700
34,2023-03-01,26.84000,27.43000,26.43000,26.82000,1718900
