,datetime,open,high,low,close,volume
0,2023-04-19,24.80400,24.83000,24.80400,24.83000,600
1,2023-04-18,24.85000,24.90200,24.83200,24.90200,3100
2,2023-04-17,24.82000,24.82000,24.79600,24.80000,1000
3,2023-04-14,24.95000,24.95000,24.76600,24.80000,4700
4,2023-04-13,24.77600,24.77600,24.77600,24.77600,1100
5,2023-04-12,24.85000,24.85000,24.76000,24.76000,3100
6,2023-04-11,24.94000,24.95000,24.75000,24.75000,6500
7,2023-04-10,24.94000,24.94000,24.82500,24.85000,900
8,2023-04-06,24.91900,24.97000,24.68300,24.83000,8800
9,2023-04-05,24.91900,24.91900,24.91900,24.91900,1200
10,2023-04-04,24.70000,24.88000,24.65000,24.65000,4500
11,2023-04-03,24.65000,24.76000,24.65000,24.70000,2200
12,2023-03-31,24.74000,24.94000,24.65000,24.66000,17700
13,2023-03-30,24.55000,24.65500,24.55000,24.65500,2100
14,2023-03-29,24.69000,24.76000,24.55000,24.55000,4300
15,2023-03-28,24.74000,24.74000,24.60000,24.62000,3600
16,2023-03-27,24.71000,24.78000,24.65000,24.65000,2800
17,2023-03-24,24.65000,24.69000,24.65000,24.65000,2100
18,2023-03-23,24.59000,24.72400,24.59000,24.65000,3800
19,2023-03-22,24.52000,24.62000,24.50000,24.60000,8500
20,2023-03-21,24.54000,24.59000,24.54000,24.59000,1500
21,2023-03-20,24.62000,24.64500,24.50000,24.64500,1400
22,2023-03-17,24.73000,24.73000,24.73000,24.73000,0
23,2023-03-16,24.44000,24.74000,24.31000,24.73000,9800
24,2023-03-15,24.52000,24.55000,24.28000,24.48000,3500
25,2023-03-14,24.17000,24.91000,24.17000,24.75000,3300
26,2023-03-13,25.05000,25.09900,24.81300,24.91000,7100
27,2023-03-10,25.06000,25.16500,25.05000,25.05000,6600
28,2023-03-09,25.33000,25.33000,25.06000,25.06000,4300
29,2023-03-08,25.12000,25.18000,25.06000,25.06000,10800
30,2023-03-07,25.33800,25.33800,25.10000,25.11000,1800
31,2023-03-06,25.02000,25.31800,25.02000,25.31800,1500
32,2023-03-03,25.16200,25.28500,25.16000,25.23000,3000
33,2023-03-02,25.23300,25.23300,25.00000,25.00000,4900
